#radius[cm] density[g/cm^3] temperature[K] pressure[dyne/cm^2] sp.energy[erg/g] sp.entropy[erg/g/K] menclosed[g] matID
0.00000000e+00 6.62908297e+00 2.43600674e+03 7.83678739e+10 1.68847024e+10 1.94283669e+07 0.00000000e+00 402
5.20000000e+04 6.62908297e+00 2.43600674e+03 7.83678739e+10 1.68847024e+10 1.94283669e+07 1.17131404e+16 402
1.04000000e+05 6.62908285e+00 2.43600664e+03 7.83678490e+10 1.68847021e+10 1.94283669e+07 5.85657021e+16 402
1.56000000e+05 6.62908258e+00 2.43600642e+03 7.83677937e+10 1.68847017e+10 1.94283669e+07 1.63983964e+17 402
2.08000000e+05 6.62908215e+00 2.43600607e+03 7.83677065e+10 1.68847009e+10 1.94283669e+07 3.51394199e+17 402
2.60000000e+05 6.62908156e+00 2.43600560e+03 7.83675870e+10 1.68846999e+10 1.94283669e+07 6.44222674e+17 402
3.12000000e+05 6.62908081e+00 2.43600499e+03 7.83674348e+10 1.68846986e+10 1.94283669e+07 1.06589564e+18 402
3.64000000e+05 6.62907990e+00 2.43600425e+03 7.83672499e+10 1.68846970e+10 1.94283669e+07 1.63983933e+18 402
4.16000000e+05 6.62907883e+00 2.43600338e+03 7.83670320e+10 1.68846951e+10 1.94283669e+07 2.38947997e+18 402
4.68000000e+05 6.62907760e+00 2.43600238e+03 7.83667812e+10 1.68846930e+10 1.94283669e+07 3.33824375e+18 402
5.20000000e+05 6.62907620e+00 2.43600124e+03 7.83664973e+10 1.68846905e+10 1.94283669e+07 4.50955685e+18 402
5.72000000e+05 6.62907465e+00 2.43599998e+03 7.83661804e+10 1.68846878e+10 1.94283669e+07 5.92684539e+18 402
6.24000000e+05 6.62907293e+00 2.43599858e+03 7.83658304e+10 1.68846848e+10 1.94283669e+07 7.61353549e+18 402
6.76000000e+05 6.62907104e+00 2.43599705e+03 7.83654474e+10 1.68846815e+10 1.94283669e+07 9.59305323e+18 402
7.28000000e+05 6.62906900e+00 2.43599539e+03 7.83650312e+10 1.68846780e+10 1.94283669e+07 1.18888246e+19 402
7.80000000e+05 6.62906679e+00 2.43599359e+03 7.83645819e+10 1.68846741e+10 1.94283669e+07 1.45242757e+19 402
8.32000000e+05 6.62906442e+00 2.43599166e+03 7.83640995e+10 1.68846700e+10 1.94283669e+07 1.75228323e+19 402
8.84000000e+05 6.62906188e+00 2.43598960e+03 7.83635839e+10 1.68846656e+10 1.94283669e+07 2.09079204e+19 402
9.36000000e+05 6.62905919e+00 2.43598741e+03 7.83630352e+10 1.68846609e+10 1.94283669e+07 2.47029658e+19 402
9.88000000e+05 6.62905633e+00 2.43598509e+03 7.83624533e+10 1.68846559e+10 1.94283669e+07 2.89313943e+19 402
1.04000000e+06 6.62905330e+00 2.43598263e+03 7.83618383e+10 1.68846506e+10 1.94283669e+07 3.36166317e+19 402
1.09200000e+06 6.62905012e+00 2.43598004e+03 7.83611902e+10 1.68846451e+10 1.94283669e+07 3.87821035e+19 402
1.14400000e+06 6.62904677e+00 2.43597732e+03 7.83605088e+10 1.68846392e+10 1.94283669e+07 4.44512353e+19 402
1.19600000e+06 6.62904326e+00 2.43597447e+03 7.83597943e+10 1.68846331e+10 1.94283669e+07 5.06474528e+19 402
1.24800000e+06 6.62903958e+00 2.43597148e+03 7.83590467e+10 1.68846267e+10 1.94283669e+07 5.73941813e+19 402
1.30000000e+06 6.62903574e+00 2.43596836e+03 7.83582658e+10 1.68846200e+10 1.94283669e+07 6.47148461e+19 402
1.35200000e+06 6.62903174e+00 2.43596511e+03 7.83574518e+10 1.68846130e+10 1.94283669e+07 7.26328726e+19 402
1.40400000e+06 6.62902758e+00 2.43596172e+03 7.83566046e+10 1.68846057e+10 1.94283669e+07 8.11716860e+19 402
1.45600000e+06 6.62902325e+00 2.43595821e+03 7.83557243e+10 1.68845982e+10 1.94283669e+07 9.03547113e+19 402
1.50800000e+06 6.62901876e+00 2.43595456e+03 7.83548107e+10 1.68845904e+10 1.94283669e+07 1.00205374e+20 402
1.56000000e+06 6.62901411e+00 2.43595077e+03 7.83538640e+10 1.68845823e+10 1.94283669e+07 1.10747098e+20 402
1.61200000e+06 6.62900929e+00 2.43594686e+03 7.83528841e+10 1.68845739e+10 1.94283669e+07 1.22003309e+20 402
1.66400000e+06 6.62900431e+00 2.43594281e+03 7.83518710e+10 1.68845652e+10 1.94283669e+07 1.33997431e+20 402
1.71600000e+06 6.62899917e+00 2.43593863e+03 7.83508248e+10 1.68845562e+10 1.94283669e+07 1.46752890e+20 402
1.76800000e+06 6.62899386e+00 2.43593432e+03 7.83497453e+10 1.68845469e+10 1.94283669e+07 1.60293109e+20 402
1.82000000e+06 6.62898839e+00 2.43592988e+03 7.83486327e+10 1.68845374e+10 1.94283669e+07 1.74641513e+20 402
1.87200000e+06 6.62898276e+00 2.43592530e+03 7.83474869e+10 1.68845276e+10 1.94283669e+07 1.89821527e+20 402
