#radius[cm] density[g/cm^3] temperature[K] pressure[dyne/cm^2] sp.energy[erg/g] sp.entropy[erg/g/K] menclosed[g] matID
0.00000000e+00 8.14288305e+00 3.17969171e+03 4.49552864e+11 2.08975019e+10 1.85227378e+07 0.00000000e+00 402
1.05800000e+05 8.14288305e+00 3.17969171e+03 4.49552864e+11 2.08975019e+10 1.85227378e+07 1.21183939e+17 402
2.11600000e+05 8.14288261e+00 3.17969139e+03 4.49552708e+11 2.08974989e+10 1.85227378e+07 6.05919695e+17 402
3.17400000e+05 8.14288163e+00 3.17969067e+03 4.49552363e+11 2.08974922e+10 1.85227378e+07 1.69657509e+18 402
4.23200000e+05 8.14288009e+00 3.17968953e+03 4.49551818e+11 2.08974817e+10 1.85227378e+07 3.63551777e+18 402
5.29000000e+05 8.14287797e+00 3.17968797e+03 4.49551072e+11 2.08974673e+10 1.85227378e+07 6.66511514e+18 402
6.34800000e+05 8.14287527e+00 3.17968599e+03 4.49550121e+11 2.08974490e+10 1.85227378e+07 1.10277342e+19 402
7.40600000e+05 8.14287198e+00 3.17968357e+03 4.49548966e+11 2.08974267e+10 1.85227378e+07 1.69657415e+19 402
8.46400000e+05 8.14286812e+00 3.17968073e+03 4.49547605e+11 2.08974004e+10 1.85227378e+07 2.47215031e+19 402
9.52200000e+05 8.14286367e+00 3.17967746e+03 4.49546038e+11 2.08973701e+10 1.85227378e+07 3.45373842e+19 402
1.05800000e+06 8.14285863e+00 3.17967376e+03 4.49544266e+11 2.08973359e+10 1.85227378e+07 4.66557492e+19 402
1.16380000e+06 8.14285301e+00 3.17966962e+03 4.49542286e+11 2.08972977e+10 1.85227378e+07 6.13189618e+19 402
1.26960000e+06 8.14284680e+00 3.17966506e+03 4.49540100e+11 2.08972555e+10 1.85227378e+07 7.87693847e+19 402
1.37540000e+06 8.14284001e+00 3.17966006e+03 4.49537707e+11 2.08972093e+10 1.85227378e+07 9.92493792e+19 402
1.48120000e+06 8.14283262e+00 3.17965463e+03 4.49535108e+11 2.08971591e+10 1.85227378e+07 1.23001306e+20 402
1.58700000e+06 8.14282465e+00 3.17964877e+03 4.49532302e+11 2.08971049e+10 1.85227378e+07 1.50267523e+20 402
1.69280000e+06 8.14281609e+00 3.17964247e+03 4.49529288e+11 2.08970468e+10 1.85227378e+07 1.81290389e+20 402
1.79860000e+06 8.14280695e+00 3.17963575e+03 4.49526068e+11 2.08969846e+10 1.85227378e+07 2.16312259e+20 402
1.90440000e+06 8.14279721e+00 3.17962859e+03 4.49522641e+11 2.08969184e+10 1.85227378e+07 2.55575489e+20 402
2.01020000e+06 8.14278689e+00 3.17962100e+03 4.49519006e+11 2.08968483e+10 1.85227378e+07 2.99322429e+20 402
2.11600000e+06 8.14277598e+00 3.17961297e+03 4.49515165e+11 2.08967741e+10 1.85227378e+07 3.47795433e+20 402
2.22180000e+06 8.14276448e+00 3.17960452e+03 4.49511116e+11 2.08966959e+10 1.85227378e+07 4.01236847e+20 402
2.32760000e+06 8.14275240e+00 3.17959563e+03 4.49506861e+11 2.08966138e+10 1.85227378e+07 4.59889019e+20 402
2.43340000e+06 8.14273972e+00 3.17958631e+03 4.49502398e+11 2.08965276e+10 1.85227378e+07 5.23994294e+20 402
2.53920000e+06 8.14272646e+00 3.17957655e+03 4.49497728e+11 2.08964375e+10 1.85227378e+07 5.93795015e+20 402
2.64500000e+06 8.14271260e+00 3.17956637e+03 4.49492851e+11 2.08963433e+10 1.85227378e+07 6.69533520e+20 402
2.75080000e+06 8.14269816e+00 3.17955575e+03 4.49487766e+11 2.08962452e+10 1.85227378e+07 7.51452148e+20 402
2.85660000e+06 8.14268314e+00 3.17954470e+03 4.49482475e+11 2.08961430e+10 1.85227378e+07 8.39793233e+20 402
2.96240000e+06 8.14266752e+00 3.17953321e+03 4.49476976e+11 2.08960368e+10 1.85227378e+07 9.34799109e+20 402
3.06820000e+06 8.14265131e+00 3.17952129e+03 4.49471270e+11 2.08959267e+10 1.85227378e+07 1.03671210e+21 402
3.17400000e+06 8.14263452e+00 3.17950894e+03 4.49465357e+11 2.08958125e+10 1.85227378e+07 1.14577455e+21 402
3.27980000e+06 8.14261713e+00 3.17949616e+03 4.49459237e+11 2.08956944e+10 1.85227378e+07 1.26222876e+21 402
3.38560000e+06 8.14259916e+00 3.17948294e+03 4.49452909e+11 2.08955722e+10 1.85227378e+07 1.38631706e+21 402
3.49140000e+06 8.14258060e+00 3.17946930e+03 4.49446374e+11 2.08954460e+10 1.85227378e+07 1.51828177e+21 402
3.59720000e+06 8.14256145e+00 3.17945521e+03 4.49439632e+11 2.08953159e+10 1.85227378e+07 1.65836520e+21 402
3.70300000e+06 8.14254171e+00 3.17944070e+03 4.49432683e+11 2.08951817e+10 1.85227378e+07 1.80680966e+21 402
3.80880000e+06 8.14252139e+00 3.17942575e+03 4.49425526e+11 2.08950435e+10 1.85227378e+07 1.96385746e+21 402
3.91460000e+06 8.14250047e+00 3.17941037e+03 4.49418162e+11 2.08949014e+10 1.85227378e+07 2.12975090e+21 402
4.02040000e+06 8.14247897e+00 3.17939456e+03 4.49410591e+11 2.08947552e+10 1.85227378e+07 2.30473229e+21 402
4.12620000e+06 8.14245688e+00 3.17937831e+03 4.49402813e+11 2.08946050e+10 1.85227378e+07 2.48904391e+21 402
4.23200000e+06 8.14243420e+00 3.17936163e+03 4.49394827e+11 2.08944509e+10 1.85227378e+07 2.68292807e+21 402
4.33780000e+06 8.14241093e+00 3.17934452e+03 4.49386634e+11 2.08942927e+10 1.85227378e+07 2.88662704e+21 402
4.44360000e+06 8.14238707e+00 3.17932697e+03 4.49378234e+11 2.08941305e+10 1.85227378e+07 3.10038311e+21 402
4.54940000e+06 8.14236262e+00 3.17930900e+03 4.49369627e+11 2.08939644e+10 1.85227378e+07 3.32443857e+21 402
4.65520000e+06 8.14233759e+00 3.17929059e+03 4.49360812e+11 2.08937942e+10 1.85227378e+07 3.55903568e+21 402
4.76100000e+06 8.14231196e+00 3.17927174e+03 4.49351790e+11 2.08936200e+10 1.85227378e+07 3.80441672e+21 402
4.86680000e+06 8.14228575e+00 3.17925247e+03 4.49342561e+11 2.08934418e+10 1.85227378e+07 4.06082395e+21 402
4.97260000e+06 8.14225895e+00 3.17923276e+03 4.49333125e+11 2.08932596e+10 1.85227378e+07 4.32849963e+21 402
5.07840000e+06 8.14223156e+00 3.17921262e+03 4.49323481e+11 2.08930735e+10 1.85227378e+07 4.60768603e+21 402
5.18420000e+06 8.14220358e+00 3.17919204e+03 4.49313630e+11 2.08928833e+10 1.85227378e+07 4.89862539e+21 402
5.29000000e+06 8.14217501e+00 3.17917103e+03 4.49303572e+11 2.08926891e+10 1.85227378e+07 5.20155996e+21 402
5.39580000e+06 8.14214586e+00 3.17914959e+03 4.49293307e+11 2.08924909e+10 1.85227378e+07 5.51673197e+21 402
5.50160000e+06 8.14211611e+00 3.17912772e+03 4.49282834e+11 2.08922887e+10 1.85227378e+07 5.84438368e+21 402
5.60740000e+06 8.14208578e+00 3.17910541e+03 4.49272154e+11 2.08920826e+10 1.85227378e+07 6.18475730e+21 402
5.71320000e+06 8.14205486e+00 3.17908267e+03 4.49261267e+11 2.08918724e+10 1.85227378e+07 6.53809507e+21 402
5.81900000e+06 8.14202335e+00 3.17905950e+03 4.49250173e+11 2.08916582e+10 1.85227378e+07 6.90463920e+21 402
5.92480000e+06 8.14199125e+00 3.17903590e+03 4.49238871e+11 2.08914400e+10 1.85227378e+07 7.28463191e+21 402
6.03060000e+06 8.14195856e+00 3.17901186e+03 4.49227363e+11 2.08912178e+10 1.85227378e+07 7.67831541e+21 402
6.13640000e+06 8.14192529e+00 3.17898739e+03 4.49215647e+11 2.08909916e+10 1.85227378e+07 8.08593189e+21 402
6.24220000e+06 8.14189142e+00 3.17896248e+03 4.49203723e+11 2.08907614e+10 1.85227378e+07 8.50772357e+21 402
6.34800000e+06 8.14185697e+00 3.17893715e+03 4.49191593e+11 2.08905272e+10 1.85227378e+07 8.94393262e+21 402
6.45380000e+06 8.14182193e+00 3.17891138e+03 4.49179255e+11 2.08902891e+10 1.85227378e+07 9.39480124e+21 402
6.55960000e+06 8.14178630e+00 3.17888518e+03 4.49166710e+11 2.08900469e+10 1.85227378e+07 9.86057160e+21 402
6.66540000e+06 8.14175008e+00 3.17885854e+03 4.49153958e+11 2.08898007e+10 1.85227378e+07 1.03414859e+22 402
6.77120000e+06 8.14171327e+00 3.17883148e+03 4.49140999e+11 2.08895505e+10 1.85227378e+07 1.08377862e+22 402
6.87700000e+06 8.14167588e+00 3.17880398e+03 4.49127833e+11 2.08892963e+10 1.85227378e+07 1.13497148e+22 402
6.98280000e+06 8.14163789e+00 3.17877604e+03 4.49114459e+11 2.08890381e+10 1.85227378e+07 1.18775138e+22 402
7.08860000e+06 8.14159932e+00 3.17874768e+03 4.49100878e+11 2.08887759e+10 1.85227378e+07 1.24214253e+22 402
7.19440000e+06 8.14156016e+00 3.17871888e+03 4.49087090e+11 2.08885097e+10 1.85227378e+07 1.29816915e+22 402
7.30020000e+06 8.14152041e+00 3.17868965e+03 4.49073095e+11 2.08882395e+10 1.85227378e+07 1.35585545e+22 402
7.40600000e+06 8.14148007e+00 3.17865998e+03 4.49058892e+11 2.08879653e+10 1.85227378e+07 1.41522564e+22 402
7.51180000e+06 8.14143915e+00 3.17862989e+03 4.49044483e+11 2.08876871e+10 1.85227378e+07 1.47630394e+22 402
7.61760000e+06 8.14139763e+00 3.17859936e+03 4.49029866e+11 2.08874050e+10 1.85227378e+07 1.53911456e+22 402
7.72340000e+06 8.14135553e+00 3.17856840e+03 4.49015042e+11 2.08871188e+10 1.85227378e+07 1.60368170e+22 402
7.82920000e+06 8.14131284e+00 3.17853700e+03 4.49000011e+11 2.08868286e+10 1.85227378e+07 1.67002957e+22 402
7.93500000e+06 8.14126956e+00 3.17850517e+03 4.48984773e+11 2.08865344e+10 1.85227378e+07 1.73818239e+22 402
8.04080000e+06 8.14122569e+00 3.17847291e+03 4.48969327e+11 2.08862362e+10 1.85227378e+07 1.80816437e+22 402
8.14660000e+06 8.14118123e+00 3.17844022e+03 4.48953674e+11 2.08859340e+10 1.85227378e+07 1.87999970e+22 402
8.25240000e+06 8.14113619e+00 3.17840710e+03 4.48937815e+11 2.08856278e+10 1.85227378e+07 1.95371260e+22 402
8.35820000e+06 8.14109055e+00 3.17837354e+03 4.48921748e+11 2.08853176e+10 1.85227378e+07 2.02932727e+22 402
8.46400000e+06 8.14104433e+00 3.17833955e+03 4.48905474e+11 2.08850034e+10 1.85227378e+07 2.10686792e+22 402
8.56980000e+06 8.14099752e+00 3.17830513e+03 4.48888993e+11 2.08846853e+10 1.85227378e+07 2.18635875e+22 402
8.67560000e+06 8.14095012e+00 3.17827027e+03 4.48872304e+11 2.08843631e+10 1.85227378e+07 2.26782396e+22 402
8.78140000e+06 8.14090214e+00 3.17823498e+03 4.48855409e+11 2.08840369e+10 1.85227378e+07 2.35128776e+22 402
8.88720000e+06 8.14085356e+00 3.17819926e+03 4.48838306e+11 2.08837067e+10 1.85227378e+07 2.43677435e+22 402
8.99300000e+06 8.14080440e+00 3.17816311e+03 4.48820997e+11 2.08833725e+10 1.85227378e+07 2.52430792e+22 402
9.09880000e+06 8.14075465e+00 3.17812652e+03 4.48803480e+11 2.08830344e+10 1.85227378e+07 2.61391268e+22 402
9.20460000e+06 8.14070431e+00 3.17808950e+03 4.48785756e+11 2.08826922e+10 1.85227378e+07 2.70561283e+22 402
9.31040000e+06 8.14065338e+00 3.17805205e+03 4.48767825e+11 2.08823460e+10 1.85227378e+07 2.79943256e+22 402
9.41620000e+06 8.14060186e+00 3.17801417e+03 4.48749687e+11 2.08819958e+10 1.85227378e+07 2.89539608e+22 402
9.52200000e+06 8.14054976e+00 3.17797585e+03 4.48731342e+11 2.08816417e+10 1.85227378e+07 2.99352757e+22 402
9.62780000e+06 8.14049707e+00 3.17793710e+03 4.48712790e+11 2.08812835e+10 1.85227378e+07 3.09385123e+22 402
9.73360000e+06 8.14044379e+00 3.17789792e+03 4.48694031e+11 2.08809213e+10 1.85227378e+07 3.19639126e+22 402
9.83940000e+06 8.14038992e+00 3.17785831e+03 4.48675065e+11 2.08805552e+10 1.85227378e+07 3.30117186e+22 402
9.94520000e+06 8.14033546e+00 3.17781826e+03 4.48655891e+11 2.08801850e+10 1.85227378e+07 3.40821720e+22 402
1.00510000e+07 8.14028042e+00 3.17777778e+03 4.48636511e+11 2.08798109e+10 1.85227378e+07 3.51755149e+22 402
1.01568000e+07 8.14022479e+00 3.17773687e+03 4.48616923e+11 2.08794327e+10 1.85227378e+07 3.62919891e+22 402
1.02626000e+07 8.14016857e+00 3.17769553e+03 4.48597129e+11 2.08790506e+10 1.85227378e+07 3.74318366e+22 402
1.03684000e+07 8.14011176e+00 3.17765375e+03 4.48577128e+11 2.08786644e+10 1.85227378e+07 3.85952991e+22 402
1.04742000e+07 8.14005436e+00 3.17761154e+03 4.48556919e+11 2.08782743e+10 1.85227378e+07 3.97826187e+22 402
1.05800000e+07 8.13999638e+00 3.17756890e+03 4.48536503e+11 2.08778801e+10 1.85227378e+07 4.09940371e+22 402
