#radius[cm] density[g/cm^3] temperature[K] pressure[dyne/cm^2] sp.energy[erg/g] sp.entropy[erg/g/K] menclosed[g] matID
0.00000000e+00 1.13434557e+01 5.18327066e+03 2.44376846e+12 6.05650134e+10 1.82407930e+07 0.00000000e+00 402
1.84700000e+05 1.13434557e+01 5.18327066e+03 2.44376846e+12 6.05650134e+10 1.82407930e+07 8.98164591e+17 402
3.69400000e+05 1.13434547e+01 5.18327004e+03 2.44376754e+12 6.05649951e+10 1.82407930e+07 4.49082296e+18 402
5.54100000e+05 1.13434526e+01 5.18326867e+03 2.44376549e+12 6.05649543e+10 1.82407930e+07 1.25743036e+19 402
7.38800000e+05 1.13434492e+01 5.18326651e+03 2.44376227e+12 6.05648900e+10 1.82407930e+07 2.69449331e+19 402
9.23500000e+05 1.13434446e+01 5.18326354e+03 2.44375785e+12 6.05648019e+10 1.82407930e+07 4.93990350e+19 402
1.10820000e+06 1.13434387e+01 5.18325976e+03 2.44375223e+12 6.05646896e+10 1.82407930e+07 8.17329286e+19 402
1.29290000e+06 1.13434315e+01 5.18325516e+03 2.44374539e+12 6.05645532e+10 1.82407930e+07 1.25742927e+20 402
1.47760000e+06 1.13434230e+01 5.18324975e+03 2.44373734e+12 6.05643926e+10 1.82407930e+07 1.83225338e+20 402
1.66230000e+06 1.13434133e+01 5.18324352e+03 2.44372807e+12 6.05642076e+10 1.82407930e+07 2.55976461e+20 402
1.84700000e+06 1.13434023e+01 5.18323647e+03 2.44371757e+12 6.05639983e+10 1.82407930e+07 3.45792584e+20 402
2.03170000e+06 1.13433900e+01 5.18322860e+03 2.44370586e+12 6.05637646e+10 1.82407930e+07 4.54469988e+20 402
2.21640000e+06 1.13433764e+01 5.18321991e+03 2.44369292e+12 6.05635065e+10 1.82407930e+07 5.83804939e+20 402
2.40110000e+06 1.13433615e+01 5.18321040e+03 2.44367876e+12 6.05632240e+10 1.82407930e+07 7.35593694e+20 402
2.58580000e+06 1.13433453e+01 5.18320006e+03 2.44366338e+12 6.05629171e+10 1.82407930e+07 9.11632492e+20 402
2.77050000e+06 1.13433279e+01 5.18318891e+03 2.44364677e+12 6.05625857e+10 1.82407930e+07 1.11371756e+21 402
2.95520000e+06 1.13433092e+01 5.18317692e+03 2.44362894e+12 6.05622300e+10 1.82407930e+07 1.34364510e+21 402
3.13990000e+06 1.13432892e+01 5.18316412e+03 2.44360989e+12 6.05618498e+10 1.82407930e+07 1.60321132e+21 402
3.32460000e+06 1.13432679e+01 5.18315049e+03 2.44358960e+12 6.05614452e+10 1.82407930e+07 1.89421237e+21 402
3.50930000e+06 1.13432453e+01 5.18313604e+03 2.44356810e+12 6.05610161e+10 1.82407930e+07 2.21844442e+21 402
3.69400000e+06 1.13432214e+01 5.18312077e+03 2.44354536e+12 6.05605625e+10 1.82407930e+07 2.57770359e+21 402
3.87870000e+06 1.13431962e+01 5.18310467e+03 2.44352141e+12 6.05600846e+10 1.82407930e+07 2.97378600e+21 402
4.06340000e+06 1.13431698e+01 5.18308775e+03 2.44349622e+12 6.05595821e+10 1.82407930e+07 3.40848772e+21 402
4.24810000e+06 1.13431421e+01 5.18307001e+03 2.44346981e+12 6.05590552e+10 1.82407930e+07 3.88360481e+21 402
4.43280000e+06 1.13431130e+01 5.18305144e+03 2.44344218e+12 6.05585039e+10 1.82407930e+07 4.40093331e+21 402
4.61750000e+06 1.13430827e+01 5.18303205e+03 2.44341331e+12 6.05579281e+10 1.82407930e+07 4.96226922e+21 402
4.80220000e+06 1.13430511e+01 5.18301183e+03 2.44338323e+12 6.05573278e+10 1.82407930e+07 5.56940852e+21 402
4.98690000e+06 1.13430182e+01 5.18299080e+03 2.44335191e+12 6.05567031e+10 1.82407930e+07 6.22414716e+21 402
5.17160000e+06 1.13429841e+01 5.18296893e+03 2.44331937e+12 6.05560539e+10 1.82407930e+07 6.92828104e+21 402
5.35630000e+06 1.13429486e+01 5.18294625e+03 2.44328561e+12 6.05553802e+10 1.82407930e+07 7.68360605e+21 402
5.54100000e+06 1.13429119e+01 5.18292274e+03 2.44325061e+12 6.05546821e+10 1.82407930e+07 8.49191805e+21 402
5.72570000e+06 1.13428738e+01 5.18289840e+03 2.44321440e+12 6.05539595e+10 1.82407930e+07 9.35501284e+21 402
