#radius[cm] density[g/cm^3] temperature[K] pressure[dyne/cm^2] sp.energy[erg/g] sp.entropy[erg/g/K] menclosed[g] matID
0.00000000e+00 1.19536798e+01 5.50515942e+03 3.06156735e+12 7.25356972e+10 1.81731155e+07 0.00000000e+00 402
1.96633333e+05 1.19536798e+01 5.50515942e+03 3.06156735e+12 7.25356972e+10 1.81731155e+07 1.14204418e+18 402
3.93266667e+05 1.19536787e+01 5.50515877e+03 3.06156619e+12 7.25356745e+10 1.81731155e+07 5.71022092e+18 402
5.89900000e+05 1.19536764e+01 5.50515731e+03 3.06156362e+12 7.25356241e+10 1.81731155e+07 1.59886177e+19 402
7.86533333e+05 1.19536727e+01 5.50515503e+03 3.06155957e+12 7.25355446e+10 1.81731155e+07 3.42613194e+19 402
9.83166667e+05 1.19536676e+01 5.50515189e+03 3.06155401e+12 7.25354357e+10 1.81731155e+07 6.28124070e+19 402
1.17980000e+06 1.19536611e+01 5.50514789e+03 3.06154694e+12 7.25352970e+10 1.81731155e+07 1.03925956e+20 402
1.37643333e+06 1.19536533e+01 5.50514303e+03 3.06153834e+12 7.25351284e+10 1.81731155e+07 1.59886033e+20 402
1.57306667e+06 1.19536440e+01 5.50513731e+03 3.06152821e+12 7.25349298e+10 1.81731155e+07 2.32976699e+20 402
1.76970000e+06 1.19536334e+01 5.50513072e+03 3.06151655e+12 7.25347011e+10 1.81731155e+07 3.25482001e+20 402
1.96633333e+06 1.19536213e+01 5.50512326e+03 3.06150335e+12 7.25344423e+10 1.81731155e+07 4.39685976e+20 402
2.16296667e+06 1.19536078e+01 5.50511494e+03 3.06148861e+12 7.25341535e+10 1.81731155e+07 5.77872646e+20 402
2.35960000e+06 1.19535930e+01 5.50510575e+03 3.06147234e+12 7.25338344e+10 1.81731155e+07 7.42326018e+20 402
2.55623333e+06 1.19535767e+01 5.50509569e+03 3.06145453e+12 7.25334852e+10 1.81731155e+07 9.35330083e+20 402
2.75286667e+06 1.19535590e+01 5.50508476e+03 3.06143518e+12 7.25331059e+10 1.81731155e+07 1.15916881e+21 402
2.94950000e+06 1.19535399e+01 5.50507296e+03 3.06141429e+12 7.25326963e+10 1.81731155e+07 1.41612616e+21 402
3.14613333e+06 1.19535194e+01 5.50506028e+03 3.06139186e+12 7.25322565e+10 1.81731155e+07 1.70848605e+21 402
3.34276667e+06 1.19534975e+01 5.50504674e+03 3.06136789e+12 7.25317865e+10 1.81731155e+07 2.03853239e+21 402
3.53940000e+06 1.19534742e+01 5.50503233e+03 3.06134238e+12 7.25312864e+10 1.81731155e+07 2.40854906e+21 402
3.73603333e+06 1.19534494e+01 5.50501705e+03 3.06131533e+12 7.25307560e+10 1.81731155e+07 2.82081992e+21 402
3.93266667e+06 1.19534233e+01 5.50500089e+03 3.06128673e+12 7.25301953e+10 1.81731155e+07 3.27762879e+21 402
4.12930000e+06 1.19533957e+01 5.50498387e+03 3.06125660e+12 7.25296045e+10 1.81731155e+07 3.78125946e+21 402
4.32593333e+06 1.19533668e+01 5.50496597e+03 3.06122492e+12 7.25289834e+10 1.81731155e+07 4.33399571e+21 402
4.52256667e+06 1.19533364e+01 5.50494721e+03 3.06119170e+12 7.25283321e+10 1.81731155e+07 4.93812127e+21 402
4.71920000e+06 1.19533046e+01 5.50492757e+03 3.06115694e+12 7.25276505e+10 1.81731155e+07 5.59591982e+21 402
4.91583333e+06 1.19532715e+01 5.50490706e+03 3.06112064e+12 7.25269388e+10 1.81731155e+07 6.30967504e+21 402
5.11246667e+06 1.19532369e+01 5.50488568e+03 3.06108279e+12 7.25261968e+10 1.81731155e+07 7.08167053e+21 402
5.30910000e+06 1.19532009e+01 5.50486343e+03 3.06104340e+12 7.25254245e+10 1.81731155e+07 7.91418989e+21 402
5.50573333e+06 1.19531634e+01 5.50484031e+03 3.06100247e+12 7.25246220e+10 1.81731155e+07 8.80951666e+21 402
5.70236667e+06 1.19531246e+01 5.50481632e+03 3.06096000e+12 7.25237893e+10 1.81731155e+07 9.76993433e+21 402
5.89900000e+06 1.19530844e+01 5.50479145e+03 3.06091598e+12 7.25229263e+10 1.81731155e+07 1.07977264e+22 402
6.09563333e+06 1.19530427e+01 5.50476571e+03 3.06087043e+12 7.25220331e+10 1.81731155e+07 1.18951762e+22 402
6.29226667e+06 1.19529997e+01 5.50473911e+03 3.06082333e+12 7.25211097e+10 1.81731155e+07 1.30645671e+22 402
6.48890000e+06 1.19529552e+01 5.50471163e+03 3.06077469e+12 7.25201560e+10 1.81731155e+07 1.43081824e+22 402
6.68553333e+06 1.19529094e+01 5.50468328e+03 3.06072450e+12 7.25191720e+10 1.81731155e+07 1.56283055e+22 402
6.88216667e+06 1.19528621e+01 5.50465406e+03 3.06067277e+12 7.25181579e+10 1.81731155e+07 1.70272194e+22 402
7.07880000e+06 1.19528134e+01 5.50462396e+03 3.06061950e+12 7.25171134e+10 1.81731155e+07 1.85072075e+22 402
7.27543333e+06 1.19527633e+01 5.50459300e+03 3.06056469e+12 7.25160388e+10 1.81731155e+07 2.00705526e+22 402
7.47206667e+06 1.19527118e+01 5.50456116e+03 3.06050834e+12 7.25149339e+10 1.81731155e+07 2.17195380e+22 402
7.66870000e+06 1.19526588e+01 5.50452845e+03 3.06045044e+12 7.25137987e+10 1.81731155e+07 2.34564465e+22 402
7.86533333e+06 1.19526045e+01 5.50449488e+03 3.06039100e+12 7.25126333e+10 1.81731155e+07 2.52835611e+22 402
8.06196667e+06 1.19525488e+01 5.50446043e+03 3.06033002e+12 7.25114377e+10 1.81731155e+07 2.72031647e+22 402
8.25860000e+06 1.19524916e+01 5.50442510e+03 3.06026749e+12 7.25102118e+10 1.81731155e+07 2.92175400e+22 402
8.45523333e+06 1.19524330e+01 5.50438891e+03 3.06020343e+12 7.25089557e+10 1.81731155e+07 3.13289698e+22 402
8.65186667e+06 1.19523731e+01 5.50435185e+03 3.06013782e+12 7.25076694e+10 1.81731155e+07 3.35397368e+22 402
8.84850000e+06 1.19523117e+01 5.50431391e+03 3.06007067e+12 7.25063528e+10 1.81731155e+07 3.58521234e+22 402
9.04513333e+06 1.19522489e+01 5.50427511e+03 3.06000197e+12 7.25050059e+10 1.81731155e+07 3.82684124e+22 402
9.24176667e+06 1.19521847e+01 5.50423543e+03 3.05993174e+12 7.25036288e+10 1.81731155e+07 4.07908860e+22 402
9.43840000e+06 1.19521191e+01 5.50419488e+03 3.05985996e+12 7.25022215e+10 1.81731155e+07 4.34218267e+22 402
9.63503333e+06 1.19520521e+01 5.50415346e+03 3.05978664e+12 7.25007840e+10 1.81731155e+07 4.61635167e+22 402
9.83166667e+06 1.19519836e+01 5.50411116e+03 3.05971177e+12 7.24993162e+10 1.81731155e+07 4.90182384e+22 402
1.00283000e+07 1.19519138e+01 5.50406800e+03 3.05963537e+12 7.24978181e+10 1.81731155e+07 5.19882739e+22 402
1.02249333e+07 1.19518425e+01 5.50402397e+03 3.05955742e+12 7.24962899e+10 1.81731155e+07 5.50759051e+22 402
1.04215667e+07 1.19517699e+01 5.50397906e+03 3.05947793e+12 7.24947314e+10 1.81731155e+07 5.82834141e+22 402
1.06182000e+07 1.19516958e+01 5.50393328e+03 3.05939690e+12 7.24931426e+10 1.81731155e+07 6.16130829e+22 402
1.08148333e+07 1.19516203e+01 5.50388664e+03 3.05931432e+12 7.24915236e+10 1.81731155e+07 6.50671932e+22 402
