#radius[cm] density[g/cm^3] temperature[K] pressure[dyne/cm^2] sp.energy[erg/g] sp.entropy[erg/g/K] menclosed[g] matID
0.00000000e+00 1.19855648e+01 5.51061727e+03 3.09519246e+12 7.31375693e+10 1.81580049e+07 0.00000000e+00 402
1.96633333e+05 1.19855648e+01 5.51061727e+03 3.09519246e+12 7.31375693e+10 1.81580049e+07 1.14509045e+18 402
3.93266667e+05 1.19855637e+01 5.51061662e+03 3.09519130e+12 7.31375465e+10 1.81580049e+07 5.72545223e+18 402
5.89900000e+05 1.19855613e+01 5.51061517e+03 3.09518871e+12 7.31374959e+10 1.81580049e+07 1.60312653e+19 402
7.86533333e+05 1.19855576e+01 5.51061289e+03 3.09518464e+12 7.31374161e+10 1.81580049e+07 3.43527072e+19 402
9.83166667e+05 1.19855526e+01 5.51060977e+03 3.09517905e+12 7.31373067e+10 1.81580049e+07 6.29799514e+19 402
1.17980000e+06 1.19855461e+01 5.51060578e+03 3.09517194e+12 7.31371674e+10 1.81580049e+07 1.04203166e+20 402
1.37643333e+06 1.19855383e+01 5.51060095e+03 3.09516329e+12 7.31369980e+10 1.81580049e+07 1.60312510e+20 402
1.57306667e+06 1.19855290e+01 5.51059525e+03 3.09515311e+12 7.31367986e+10 1.81580049e+07 2.33598137e+20 402
1.76970000e+06 1.19855184e+01 5.51058869e+03 3.09514138e+12 7.31365689e+10 1.81580049e+07 3.26350186e+20 402
1.96633333e+06 1.19855063e+01 5.51058126e+03 3.09512811e+12 7.31363090e+10 1.81580049e+07 4.40858788e+20 402
2.16296667e+06 1.19854929e+01 5.51057297e+03 3.09511330e+12 7.31360189e+10 1.81580049e+07 5.79414056e+20 402
2.35960000e+06 1.19854780e+01 5.51056382e+03 3.09509694e+12 7.31356985e+10 1.81580049e+07 7.44306091e+20 402
2.55623333e+06 1.19854617e+01 5.51055379e+03 3.09507904e+12 7.31353478e+10 1.81580049e+07 9.37824976e+20 402
2.75286667e+06 1.19854441e+01 5.51054291e+03 3.09505958e+12 7.31349668e+10 1.81580049e+07 1.16226077e+21 402
2.94950000e+06 1.19854250e+01 5.51053116e+03 3.09503858e+12 7.31345554e+10 1.81580049e+07 1.41990353e+21 402
