#radius[cm] density[g/cm^3] temperature[K] pressure[dyne/cm^2] sp.energy[erg/g] sp.entropy[erg/g/K] menclosed[g] matID
0.00000000e+00 1.29987406e+01 6.18117593e+03 4.33991675e+12 9.73960898e+10 1.82135864e+07 0.00000000e+00 402
2.14533333e+05 1.29987406e+01 6.18117593e+03 4.33991675e+12 9.73960898e+10 1.82135864e+07 1.61285559e+18 402
4.29066667e+05 1.29987394e+01 6.18117521e+03 4.33991512e+12 9.73960587e+10 1.82135864e+07 8.06427794e+18 402
6.43600000e+05 1.29987367e+01 6.18117361e+03 4.33991150e+12 9.73959898e+10 1.82135864e+07 2.25799769e+19 402
8.58133333e+05 1.29987325e+01 6.18117108e+03 4.33990580e+12 9.73958812e+10 1.82135864e+07 4.83856586e+19 402
1.07266667e+06 1.29987267e+01 6.18116762e+03 4.33989798e+12 9.73957323e+10 1.82135864e+07 8.87070231e+19 402
1.28720000e+06 1.29987193e+01 6.18116321e+03 4.33988802e+12 9.73955426e+10 1.82135864e+07 1.46769762e+20 402
1.50173333e+06 1.29987104e+01 6.18115784e+03 4.33987591e+12 9.73953122e+10 1.82135864e+07 2.25799557e+20 402
1.71626667e+06 1.29986998e+01 6.18115153e+03 4.33986166e+12 9.73950407e+10 1.82135864e+07 3.29022074e+20 402
1.93080000e+06 1.29986876e+01 6.18114425e+03 4.33984524e+12 9.73947281e+10 1.82135864e+07 4.59662967e+20 402
2.14533333e+06 1.29986739e+01 6.18113602e+03 4.33982666e+12 9.73943744e+10 1.82135864e+07 6.20947868e+20 402
2.35986667e+06 1.29986585e+01 6.18112684e+03 4.33980592e+12 9.73939795e+10 1.82135864e+07 8.16102393e+20 402
2.57440000e+06 1.29986416e+01 6.18111669e+03 4.33978302e+12 9.73935434e+10 1.82135864e+07 1.04835213e+21 402
2.78893333e+06 1.29986230e+01 6.18110558e+03 4.33975795e+12 9.73930660e+10 1.82135864e+07 1.32092265e+21 402
3.00346667e+06 1.29986028e+01 6.18109352e+03 4.33973071e+12 9.73925475e+10 1.82135864e+07 1.63703948e+21 402
3.21800000e+06 1.29985811e+01 6.18108049e+03 4.33970131e+12 9.73919876e+10 1.82135864e+07 1.99992815e+21 402
3.43253333e+06 1.29985577e+01 6.18106651e+03 4.33966974e+12 9.73913864e+10 1.82135864e+07 2.41281411e+21 402
3.64706667e+06 1.29985327e+01 6.18105156e+03 4.33963600e+12 9.73907440e+10 1.82135864e+07 2.87892281e+21 402
3.86160000e+06 1.29985061e+01 6.18103565e+03 4.33960009e+12 9.73900603e+10 1.82135864e+07 3.40147967e+21 402
4.07613333e+06 1.29984779e+01 6.18101878e+03 4.33956201e+12 9.73893352e+10 1.82135864e+07 3.98371003e+21 402
4.29066667e+06 1.29984481e+01 6.18100095e+03 4.33952176e+12 9.73885689e+10 1.82135864e+07 4.62883923e+21 402
4.50520000e+06 1.29984167e+01 6.18098216e+03 4.33947934e+12 9.73877612e+10 1.82135864e+07 5.34009254e+21 402
4.71973333e+06 1.29983837e+01 6.18096241e+03 4.33943475e+12 9.73869122e+10 1.82135864e+07 6.12069519e+21 402
4.93426667e+06 1.29983490e+01 6.18094169e+03 4.33938799e+12 9.73860219e+10 1.82135864e+07 6.97387237e+21 402
5.14880000e+06 1.29983128e+01 6.18092002e+03 4.33933906e+12 9.73850902e+10 1.82135864e+07 7.90284920e+21 402
5.36333333e+06 1.29982750e+01 6.18089738e+03 4.33928796e+12 9.73841173e+10 1.82135864e+07 8.91085077e+21 402
5.57786667e+06 1.29982355e+01 6.18087378e+03 4.33923469e+12 9.73831030e+10 1.82135864e+07 1.00011021e+22 402
5.79240000e+06 1.29981945e+01 6.18084922e+03 4.33917925e+12 9.73820473e+10 1.82135864e+07 1.11768281e+22 402
6.00693333e+06 1.29981518e+01 6.18082370e+03 4.33912164e+12 9.73809504e+10 1.82135864e+07 1.24412538e+22 402
6.22146667e+06 1.29981075e+01 6.18079721e+03 4.33906186e+12 9.73798121e+10 1.82135864e+07 1.37976039e+22 402
6.43600000e+06 1.29980617e+01 6.18076977e+03 4.33899990e+12 9.73786324e+10 1.82135864e+07 1.52491032e+22 402
6.65053333e+06 1.29980142e+01 6.18074136e+03 4.33893578e+12 9.73774114e+10 1.82135864e+07 1.67989765e+22 402
6.86506667e+06 1.29979651e+01 6.18071199e+03 4.33886948e+12 9.73761491e+10 1.82135864e+07 1.84504483e+22 402
7.07960000e+06 1.29979144e+01 6.18068166e+03 4.33880101e+12 9.73748454e+10 1.82135864e+07 2.02067433e+22 402
7.29413333e+06 1.29978621e+01 6.18065037e+03 4.33873037e+12 9.73735005e+10 1.82135864e+07 2.20710858e+22 402
7.50866667e+06 1.29978082e+01 6.18061811e+03 4.33865756e+12 9.73721141e+10 1.82135864e+07 2.40467004e+22 402
7.72320000e+06 1.29977526e+01 6.18058489e+03 4.33858258e+12 9.73706864e+10 1.82135864e+07 2.61368113e+22 402
7.93773333e+06 1.29976955e+01 6.18055072e+03 4.33850543e+12 9.73692174e+10 1.82135864e+07 2.83446428e+22 402
8.15226667e+06 1.29976368e+01 6.18051558e+03 4.33842611e+12 9.73677071e+10 1.82135864e+07 3.06734190e+22 402
8.36680000e+06 1.29975764e+01 6.18047947e+03 4.33834461e+12 9.73661554e+10 1.82135864e+07 3.31263640e+22 402
8.58133333e+06 1.29975145e+01 6.18044241e+03 4.33826095e+12 9.73645623e+10 1.82135864e+07 3.57067019e+22 402
8.79586667e+06 1.29974509e+01 6.18040438e+03 4.33817511e+12 9.73629279e+10 1.82135864e+07 3.84176564e+22 402
9.01040000e+06 1.29973857e+01 6.18036540e+03 4.33808710e+12 9.73612522e+10 1.82135864e+07 4.12624513e+22 402
9.22493333e+06 1.29973190e+01 6.18032545e+03 4.33799692e+12 9.73595352e+10 1.82135864e+07 4.42443105e+22 402
9.43946667e+06 1.29972506e+01 6.18028454e+03 4.33790457e+12 9.73577768e+10 1.82135864e+07 4.73664574e+22 402
9.65400000e+06 1.29971806e+01 6.18024266e+03 4.33781005e+12 9.73559771e+10 1.82135864e+07 5.06321156e+22 402
9.86853333e+06 1.29971090e+01 6.18019983e+03 4.33771336e+12 9.73541360e+10 1.82135864e+07 5.40445084e+22 402
1.00830667e+07 1.29970358e+01 6.18015603e+03 4.33761450e+12 9.73522536e+10 1.82135864e+07 5.76068592e+22 402
1.02976000e+07 1.29969610e+01 6.18011127e+03 4.33751346e+12 9.73503299e+10 1.82135864e+07 6.13223911e+22 402
1.05121333e+07 1.29968845e+01 6.18006555e+03 4.33741026e+12 9.73483648e+10 1.82135864e+07 6.51943272e+22 402
1.07266667e+07 1.29968065e+01 6.18001887e+03 4.33730488e+12 9.73463584e+10 1.82135864e+07 6.92258904e+22 402
1.09412000e+07 1.29967269e+01 6.17997123e+03 4.33719734e+12 9.73443106e+10 1.82135864e+07 7.34203036e+22 402
1.11557333e+07 1.29966456e+01 6.17992262e+03 4.33708762e+12 9.73422216e+10 1.82135864e+07 7.77807895e+22 402
1.13702667e+07 1.29965628e+01 6.17987306e+03 4.33697573e+12 9.73400912e+10 1.82135864e+07 8.23105707e+22 402
1.15848000e+07 1.29964783e+01 6.17982253e+03 4.33686167e+12 9.73379194e+10 1.82135864e+07 8.70128696e+22 402
1.17993333e+07 1.29963922e+01 6.17977104e+03 4.33674544e+12 9.73357064e+10 1.82135864e+07 9.18909087e+22 402
1.20138667e+07 1.29963046e+01 6.17971859e+03 4.33662704e+12 9.73334520e+10 1.82135864e+07 9.69479100e+22 402
1.22284000e+07 1.29962153e+01 6.17966518e+03 4.33650647e+12 9.73311563e+10 1.82135864e+07 1.02187096e+23 402
1.24429333e+07 1.29961244e+01 6.17961080e+03 4.33638373e+12 9.73288192e+10 1.82135864e+07 1.07611688e+23 402
1.26574667e+07 1.29960319e+01 6.17955547e+03 4.33625882e+12 9.73264409e+10 1.82135864e+07 1.13224908e+23 402
1.28720000e+07 1.29959378e+01 6.17949917e+03 4.33613174e+12 9.73240212e+10 1.82135864e+07 1.19029978e+23 402
1.30865333e+07 1.29958421e+01 6.17944191e+03 4.33600249e+12 9.73215602e+10 1.82135864e+07 1.25030120e+23 402
1.33010667e+07 1.29957448e+01 6.17938369e+03 4.33587107e+12 9.73190578e+10 1.82135864e+07 1.31228554e+23 402
1.35156000e+07 1.29956458e+01 6.17932451e+03 4.33573748e+12 9.73165142e+10 1.82135864e+07 1.37628503e+23 402
1.37301333e+07 1.29955453e+01 6.17926437e+03 4.33560171e+12 9.73139292e+10 1.82135864e+07 1.44233187e+23 402
1.39446667e+07 1.29954432e+01 6.17920326e+03 4.33546378e+12 9.73113029e+10 1.82135864e+07 1.51045826e+23 402
1.41592000e+07 1.29953394e+01 6.17914120e+03 4.33532368e+12 9.73086353e+10 1.82135864e+07 1.58069643e+23 402
1.43737333e+07 1.29952341e+01 6.17907817e+03 4.33518141e+12 9.73059264e+10 1.82135864e+07 1.65307857e+23 402
1.45882667e+07 1.29951271e+01 6.17901418e+03 4.33503697e+12 9.73031761e+10 1.82135864e+07 1.72763690e+23 402
1.48028000e+07 1.29950185e+01 6.17894923e+03 4.33489036e+12 9.73003846e+10 1.82135864e+07 1.80440361e+23 402
1.50173333e+07 1.29949084e+01 6.17888332e+03 4.33474158e+12 9.72975517e+10 1.82135864e+07 1.88341090e+23 402
1.52318667e+07 1.29947966e+01 6.17881645e+03 4.33459063e+12 9.72946776e+10 1.82135864e+07 1.96469098e+23 402
