#RRR|Lz25|Lz50|Lz75|Lzmean|
2.509433820e+05|1.629277034e+25|3.990243717e+25|5.795981852e+25|3.948094254e+25|3.948094254e+27
3.819995709e+05|5.798968284e+25|9.604960657e+25|1.179571739e+26|8.756851525e+25|8.756851525e+27
4.550694071e+05|8.314262774e+25|1.360463028e+26|1.679630485e+26|1.248147898e+26|1.248147898e+28
5.068690988e+05|9.581624193e+25|1.739066092e+26|2.112199430e+26|1.540948288e+26|1.540948288e+28
5.544251471e+05|1.330424826e+26|2.051739430e+26|2.493832525e+26|1.842459058e+26|1.842459058e+28
5.917475430e+05|1.351885495e+26|2.212175241e+26|2.934139338e+26|2.035379733e+26|2.035379733e+28
6.234607486e+05|1.972262324e+26|2.743087880e+26|3.211881144e+26|2.382213060e+26|2.382213060e+28
6.586623740e+05|1.468394708e+26|2.571289915e+26|3.598490926e+26|2.446488298e+26|2.446488298e+28
6.840415002e+05|2.017806732e+26|3.203852131e+26|3.884736432e+26|2.846188075e+26|2.846188075e+28
7.088817490e+05|1.951531950e+26|3.402698805e+26|4.091113652e+26|2.933181866e+26|2.933181866e+28
7.338148707e+05|2.387755259e+26|3.935664404e+26|4.563931601e+26|3.351199734e+26|3.351199734e+28
7.580640525e+05|1.797262307e+26|3.496683484e+26|4.663068107e+26|3.190485252e+26|3.190485252e+28
7.801490296e+05|2.609589814e+26|3.747589901e+26|5.056398571e+26|3.603443034e+26|3.603443034e+28
7.981626479e+05|2.401545195e+26|4.416327384e+26|5.305876447e+26|3.747773331e+26|3.747773331e+28
8.164393005e+05|2.848896412e+26|4.506519400e+26|5.455220034e+26|4.008126475e+26|4.008126475e+28
8.361257136e+05|2.544897751e+26|4.813221650e+26|5.791270278e+26|4.112531484e+26|4.112531484e+28
8.551957952e+05|2.823434907e+26|4.982448085e+26|6.075373730e+26|4.402146351e+26|4.402146351e+28
8.726089665e+05|3.527545015e+26|5.029795951e+26|6.266190746e+26|4.591734173e+26|4.591734173e+28
8.884795489e+05|2.986147562e+26|5.034817160e+26|6.521358361e+26|4.588173651e+26|4.588173651e+28
9.042050469e+05|2.832406089e+26|5.368945461e+26|6.760415783e+26|4.646535658e+26|4.646535658e+28
9.160486332e+05|3.428790259e+26|5.585440110e+26|6.922151536e+26|5.003837817e+26|5.003837817e+28
9.316770893e+05|4.409862457e+26|6.027814330e+26|7.276376070e+26|5.365399149e+26|5.365399149e+28
9.493541810e+05|3.520048130e+26|6.245438372e+26|7.465756281e+26|5.371820092e+26|5.371820092e+28
9.625385365e+05|3.043090494e+26|5.402812615e+26|7.657550726e+26|5.108613534e+26|5.108613534e+28
9.769666682e+05|3.953574766e+26|6.481577284e+26|8.040225499e+26|5.716562270e+26|5.716562270e+28
9.889976362e+05|4.798315215e+26|6.678787464e+26|8.058013699e+26|6.216427232e+26|6.216427232e+28
1.001777197e+06|3.134221012e+26|6.087550498e+26|8.081406947e+26|5.488888966e+26|5.488888966e+28
