#RRR|Lz25|Lz50|Lz75|Lzmean|
2.512916178e+05|1.544528001e+25|3.158487478e+25|5.434939037e+25|3.560566823e+25|3.560566823e+27
3.817808361e+05|5.394263150e+25|8.752957895e+25|1.089716601e+26|8.196727737e+25|8.196727737e+27
4.549924650e+05|7.958677563e+25|1.301566717e+26|1.604014623e+26|1.172602299e+26|1.172602299e+28
5.084654420e+05|8.783902844e+25|1.547280806e+26|2.009481111e+26|1.419093250e+26|1.419093250e+28
5.545982743e+05|1.062935669e+26|1.984927976e+26|2.440263531e+26|1.759502745e+26|1.759502745e+28
5.907064366e+05|1.305192103e+26|2.241372568e+26|2.758575363e+26|2.001592320e+26|2.001592320e+28
6.258113756e+05|1.381462397e+26|2.282724001e+26|3.073218082e+26|2.107313311e+26|2.107313311e+28
6.580310386e+05|1.732091420e+26|2.899477580e+26|3.425144833e+26|2.551870841e+26|2.551870841e+28
6.841975241e+05|1.755072431e+26|2.895294124e+26|3.701279915e+26|2.659461204e+26|2.659461204e+28
7.098740344e+05|1.923636079e+26|3.217614795e+26|4.031109917e+26|2.882281205e+26|2.882281205e+28
7.347011530e+05|1.746967689e+26|3.542906454e+26|4.289937895e+26|3.018687720e+26|3.018687720e+28
7.575754490e+05|2.170801366e+26|3.565647107e+26|4.497469466e+26|3.266279091e+26|3.266279091e+28
7.794722830e+05|2.513574749e+26|4.066461953e+26|4.826165330e+26|3.635846738e+26|3.635846738e+28
7.998635629e+05|2.483899123e+26|4.145584237e+26|5.065039334e+26|3.677109454e+26|3.677109454e+28
8.175686303e+05|2.536229653e+26|4.255080329e+26|5.423239955e+26|3.781098334e+26|3.781098334e+28
8.366019463e+05|2.326440367e+26|4.303365218e+26|5.396244108e+26|3.827258207e+26|3.827258207e+28
8.550962054e+05|2.238137631e+26|4.829819787e+26|6.012995307e+26|4.121092529e+26|4.121092529e+28
8.729425977e+05|3.389946118e+26|5.092521540e+26|6.083283861e+26|4.519885899e+26|4.519885899e+28
8.876149395e+05|3.022602628e+26|5.181200015e+26|6.213565088e+26|4.595592754e+26|4.595592754e+28
9.032998596e+05|3.195303826e+26|5.401914735e+26|6.398256899e+26|4.705783631e+26|4.705783631e+28
9.194648506e+05|3.099848269e+26|5.168260582e+26|6.559400732e+26|4.592847467e+26|4.592847467e+28
9.341593993e+05|2.293814539e+26|5.397386887e+26|6.910987186e+26|4.840869214e+26|4.840869214e+28
9.477550309e+05|3.118436440e+26|5.532746596e+26|7.076900611e+26|5.011587321e+26|5.011587321e+28
9.625606446e+05|4.290371485e+26|6.250595609e+26|7.417076919e+26|5.618682140e+26|5.618682140e+28
9.767351076e+05|3.194718196e+26|5.335532914e+26|7.571689277e+26|5.227087332e+26|5.227087332e+28
9.897811521e+05|4.596016102e+26|6.647562755e+26|7.922803328e+26|5.999385929e+26|5.999385929e+28
1.001466987e+06|3.369263705e+26|6.525344022e+26|7.822375006e+26|5.666963052e+26|5.666963052e+28
1.013984699e+06|4.024253780e+26|6.301169270e+26|8.171941271e+26|5.860790418e+26|5.860790418e+28
1.025905435e+06|3.708133942e+26|7.067305000e+26|8.364373201e+26|5.843719791e+26|5.843719791e+28
1.038948694e+06|4.160960964e+26|6.998157931e+26|8.744291773e+26|6.223729786e+26|6.223729786e+28
1.050938816e+06|3.314053401e+26|6.289650831e+26|8.590974637e+26|5.810384178e+26|5.810384178e+28
1.061042802e+06|4.870501872e+26|7.742882304e+26|9.119022916e+26|6.938886839e+26|6.938886839e+28
1.073435938e+06|3.855662549e+26|7.026168368e+26|9.035339797e+26|6.374331921e+26|6.374331921e+28
1.084857578e+06|5.148884486e+26|7.797573466e+26|9.463887350e+26|7.053661854e+26|7.053661854e+28
1.095014744e+06|4.228077558e+26|7.465833508e+26|9.659388374e+26|6.671916356e+26|6.671916356e+28
1.104819574e+06|5.091081450e+26|8.210993507e+26|9.907744413e+26|7.220553347e+26|7.220553347e+28
1.115438974e+06|4.820524837e+26|8.203249055e+26|1.007715338e+27|7.252990532e+26|7.252990532e+28
