#RRR|Lz25|Lz50|Lz75|Lzmean|Lzsum|Isum
5.399291960e+04|1.126919637e+24|2.280980689e+24|3.481504213e+24|2.467694438e+24|2.467694438e+26|5.427232201e+30
1.025309394e+05|5.965520797e+24|7.444997617e+24|8.842686630e+24|8.108748457e+24|8.108748457e+26|1.767754304e+31
1.325489411e+05|1.087019119e+25|1.225667177e+25|1.395341588e+25|1.222937446e+25|1.222937446e+27|2.937687816e+31
1.560586288e+05|1.550374545e+25|1.697327336e+25|1.921572878e+25|1.723285603e+25|1.723285603e+27|4.063524352e+31
1.756064829e+05|2.026885882e+25|2.163096488e+25|2.358104741e+25|2.224228868e+25|2.224228868e+27|5.140356989e+31
1.949669868e+05|2.449807405e+25|2.672856552e+25|2.950293322e+25|2.702141161e+25|2.702141161e+27|6.333734935e+31
2.110336606e+05|2.958686917e+25|3.172443253e+25|3.393315866e+25|3.249171826e+25|3.249171826e+27|7.423203143e+31
2.278088412e+05|3.462882099e+25|3.727164535e+25|3.931879489e+25|3.741300363e+25|3.741300363e+27|8.647029814e+31
2.432672534e+05|3.997078818e+25|4.213235831e+25|4.445590281e+25|4.234498882e+25|4.234498882e+27|9.862050488e+31
2.566688254e+05|4.417879921e+25|4.659977533e+25|4.904602966e+25|4.705188881e+25|4.705188881e+27|1.097677607e+32
2.698883275e+05|4.926167839e+25|5.134619203e+25|5.420319550e+25|5.127030414e+25|5.127030414e+27|1.213634412e+32
2.828764765e+05|5.356332840e+25|5.665571482e+25|5.853965430e+25|5.604459769e+25|5.604459769e+27|1.333392746e+32
2.946187742e+05|5.910842462e+25|6.127177315e+25|6.378707546e+25|6.084753551e+25|6.084753551e+27|1.446316925e+32
3.050609941e+05|6.310923177e+25|6.552781916e+25|6.919533596e+25|6.634349896e+25|6.634349896e+27|1.549645619e+32
3.177844077e+05|6.846495055e+25|7.154314830e+25|7.425951378e+25|7.123515113e+25|7.123515113e+27|1.682562196e+32
3.292708368e+05|7.355114946e+25|7.705247530e+25|8.073155239e+25|7.718623765e+25|7.718623765e+27|1.806599315e+32
3.388312233e+05|7.863370646e+25|8.138481155e+25|8.481974881e+25|8.223986427e+25|8.223986427e+27|1.912746852e+32
3.487773672e+05|8.360505955e+25|8.666201057e+25|8.995045404e+25|8.693853918e+25|8.693853918e+27|2.026739587e+32
3.586584692e+05|8.683268431e+25|8.990473162e+25|9.369685699e+25|8.980121456e+25|8.980121456e+27|2.143133313e+32
3.679949178e+05|9.275305006e+25|9.632263605e+25|1.005867284e+26|9.749658839e+25|9.749658839e+27|2.255042029e+32
3.767378580e+05|9.725136631e+25|1.001855094e+26|1.039530825e+26|1.009473904e+26|1.009473904e+28|2.364511743e+32
3.855028774e+05|1.020223253e+26|1.055757845e+26|1.091531208e+26|1.057489480e+26|1.057489480e+28|2.476129999e+32
3.955033030e+05|1.064840655e+26|1.107827931e+26|1.141148931e+26|1.113514312e+26|1.113514312e+28|2.605844858e+32
