#R_planet
5.498517772e+06
#RRR|RRR50|RR|RR50|U25|U50|U75|Umean|U25mean|U75mean|deltaU25|deltaU50|deltaU75|deltaUmean|deltaU25mean|deltaU75mean|S25|S50|S75|Smean|S25mean|S75mean|deltaS25|deltaS50|delatS75|deltaSmean|deltaS25mean|deltaS75mean|T25|T50|T75|Tmean|T25mean|T75mean|deltaT25|deltaT50|deltaT75|deltaTmean|deltaT25|deltaT75|P25|P50|P75|Pmean|P25mean|P75mean|deltaP25|deltaP50|deltaP75|deltaPmean|deltaP25mean|deltaP75mean|rho25|rho50|rho75|rhomean|rho25mean|rho75mean
2.516140311e+05|2.648790828e+05|1.955677155e+05|2.056029980e+05|4.859809625e+06|4.884207500e+06|4.908862750e+06|4.884981000e+06|4.851685000e+06|4.918278000e+06|1.537241250e+05|1.804200000e+05|2.198551250e+05|1.890017656e+05|1.466829531e+05|2.313205625e+05|1.870922952e+03|1.874236744e+03|1.876453133e+03|1.873946239e+03|1.870832746e+03|1.877059732e+03|5.037464973e+01|5.368765749e+01|5.589962982e+01|5.339572971e+01|5.028265415e+01|5.650880527e+01|5.044493631e+03|5.071221790e+03|5.093669539e+03|5.069904680e+03|5.038217877e+03|5.101591482e+03|3.863397207e+02|4.116796374e+02|4.399218287e+02|4.148138624e+02|3.811135636e+02|4.485141613e+02|1.769285837e+11|1.778115789e+11|1.788151235e+11|1.779231293e+11|1.765608817e+11|1.792853606e+11|-1.058025472e+09|1.404764160e+08|1.982070784e+09|6.075762560e+08|-1.270723072e+09|2.485875456e+09|1.051489697e+04|1.052877686e+04|1.053907812e+04|1.052829297e+04|1.051117773e+04|1.054540625e+04
3.814437097e+05|3.815831048e+05|3.054054128e+05|3.304158503e+05|4.837520125e+06|4.858013750e+06|4.884802375e+06|4.858766500e+06|4.825699500e+06|4.891834500e+06|1.720126250e+05|1.971145000e+05|2.322123750e+05|1.980344062e+05|1.558498438e+05|2.402189531e+05|1.871012312e+03|1.874565503e+03|1.878082714e+03|1.874630609e+03|1.870315951e+03|1.878945268e+03|5.046028491e+01|5.401074782e+01|5.753230003e+01|5.407943165e+01|4.976339019e+01|5.839547312e+01|5.030031854e+03|5.061241757e+03|5.094591810e+03|5.062623847e+03|5.024161075e+03|5.101086618e+03|3.850503181e+02|4.182531745e+02|4.532757510e+02|4.221105900e+02|3.825049059e+02|4.617162740e+02|1.757864960e+11|1.766099927e+11|1.775048049e+11|1.765340447e+11|1.752428380e+11|1.778252349e+11|-4.330209280e+08|1.168670720e+09|2.798764032e+09|9.573146880e+08|-1.014857408e+09|2.929486848e+09|1.049801562e+04|1.050965674e+04|1.052300708e+04|1.050972363e+04|1.049342383e+04|1.052602344e+04
4.540793064e+05|4.557344892e+05|3.506148697e+05|3.813125371e+05|4.810849500e+06|4.832665000e+06|4.862235375e+06|4.838761000e+06|4.803508000e+06|4.874013500e+06|1.485795000e+05|1.876727500e+05|2.221838750e+05|1.878395156e+05|1.405154688e+05|2.351635625e+05|1.870056244e+03|1.873285988e+03|1.878013530e+03|1.874155853e+03|1.869202175e+03|1.879109532e+03|4.950871867e+01|5.274046009e+01|5.746724520e+01|5.360526116e+01|4.865151304e+01|5.855900928e+01|5.013254799e+03|5.042472045e+03|5.087593598e+03|5.050625566e+03|5.008041067e+03|5.093210065e+03|3.727941599e+02|4.111066308e+02|4.548575385e+02|4.141974159e+02|3.696885599e+02|4.587062719e+02|1.747473285e+11|1.756729508e+11|1.764359209e+11|1.756413460e+11|1.743095562e+11|1.769731195e+11|-1.309601792e+09|2.498314240e+08|2.405306368e+09|5.485091200e+08|-1.627454464e+09|2.724472832e+09|1.048815039e+04|1.050149854e+04|1.050895923e+04|1.049866992e+04|1.048118262e+04|1.051615918e+04
5.089477978e+05|5.107871936e+05|4.031245586e+05|4.425930967e+05|4.784108750e+06|4.810869000e+06|4.837263375e+06|4.811292000e+06|4.777908000e+06|4.844677000e+06|1.418486250e+05|1.883922500e+05|2.241642500e+05|1.828463594e+05|1.329545938e+05|2.327381875e+05|1.867607858e+03|1.871468754e+03|1.875707014e+03|1.871483470e+03|1.866658786e+03|1.876308154e+03|4.705672599e+01|5.092488814e+01|5.515095896e+01|5.093300072e+01|4.610857374e+01|5.575742769e+01|4.990742820e+03|5.021146014e+03|5.059316005e+03|5.021288684e+03|4.978939560e+03|5.063637807e+03|3.594793501e+02|3.891146560e+02|4.242320875e+02|3.942343899e+02|3.513210844e+02|4.371476954e+02|1.740081644e+11|1.747501384e+11|1.756078408e+11|1.747506299e+11|1.735165870e+11|1.759846236e+11|-1.161445376e+09|1.008017408e+09|2.449043456e+09|7.660259200e+08|-1.484622720e+09|3.016674560e+09|1.047812793e+04|1.048954834e+04|1.050010864e+04|1.048988281e+04|1.047403516e+04|1.050573047e+04
5.530476809e+05|5.533261206e+05|4.362072486e+05|4.849171714e+05|4.766849625e+06|4.790042500e+06|4.827944375e+06|4.795101500e+06|4.759412000e+06|4.830791000e+06|1.335711250e+05|1.762797500e+05|2.143503750e+05|1.751382188e+05|1.260766719e+05|2.241997656e+05|1.867055147e+03|1.871808458e+03|1.876512455e+03|1.871652525e+03|1.866540750e+03|1.876764300e+03|4.651348355e+01|5.124813374e+01|5.595982041e+01|5.110148987e+01|4.598914769e+01|5.621383205e+01|4.974588533e+03|5.011689465e+03|5.050661373e+03|5.015090144e+03|4.970555865e+03|5.059624423e+03|3.538703809e+02|3.928099869e+02|4.278981974e+02|3.915770686e+02|3.484766949e+02|4.346774423e+02|1.728877117e+11|1.739475927e+11|1.748803092e+11|1.739358208e+11|1.726230692e+11|1.752485888e+11|-1.758158848e+09|3.681239040e+08|2.256535552e+09|3.694416640e+08|-1.983966720e+09|2.722850048e+09|1.046757837e+04|1.048190039e+04|1.048937476e+04|1.047912012e+04|1.046266016e+04|1.049558008e+04
5.924835762e+05|5.926610405e+05|4.908355512e+05|5.254988281e+05|4.740421125e+06|4.773754750e+06|4.804568750e+06|4.772897500e+06|4.736553500e+06|4.809241500e+06|1.377011250e+05|1.709442500e+05|2.083287500e+05|1.730224375e+05|1.237540078e+05|2.222908750e+05|1.865145828e+03|1.870868293e+03|1.875537085e+03|1.870405735e+03|1.864716716e+03|1.876094755e+03|4.459159577e+01|5.031335387e+01|5.498468980e+01|4.985548044e+01|4.416642348e+01|5.554453740e+01|4.957052950e+03|5.001636893e+03|5.038571989e+03|4.997220583e+03|4.949575752e+03|5.044865414e+03|3.460930117e+02|3.807083599e+02|4.249231377e+02|3.821215603e+02|3.329792941e+02|4.312638264e+02|1.722770145e+11|1.731772826e+11|1.739091804e+11|1.730627994e+11|1.717329920e+11|1.743926067e+11|-1.072623616e+09|6.190940160e+08|1.716051968e+09|4.867971520e+08|-1.709938816e+09|2.683533056e+09|1.046035425e+04|1.047168799e+04|1.048042993e+04|1.046901465e+04|1.045133398e+04|1.048669629e+04
6.315504487e+05|6.337627647e+05|5.489842727e+05|5.660288090e+05|4.736747875e+06|4.754690250e+06|4.782927500e+06|4.759625000e+06|4.730221000e+06|4.789028000e+06|1.187701250e+05|1.660355000e+05|2.005547500e+05|1.651644219e+05|1.156388594e+05|2.146899531e+05|1.864410529e+03|1.869667777e+03|1.874541515e+03|1.869657195e+03|1.864434199e+03|1.874880192e+03|4.385951911e+01|4.911235355e+01|5.399431617e+01|4.910542353e+01|4.388240415e+01|5.432844290e+01|4.945817758e+03|4.984832773e+03|5.018948981e+03|4.986512806e+03|4.942570762e+03|5.030454851e+03|3.378921228e+02|3.641233135e+02|4.087925163e+02|3.737038818e+02|3.303249998e+02|4.170827637e+02|1.719853793e+11|1.724777677e+11|1.731767296e+11|1.725419684e+11|1.716115374e+11|1.734724157e+11|-1.745170432e+09|2.224209920e+08|1.813106688e+09|2.326382240e+08|-2.068100864e+09|2.533377280e+09|1.045617749e+04|1.046378418e+04|1.047080371e+04|1.046302344e+04|1.045136035e+04|1.047468652e+04
6.674324498e+05|6.674234961e+05|5.840299270e+05|6.179378740e+05|4.703303375e+06|4.727745500e+06|4.750928875e+06|4.728118500e+06|4.698786500e+06|4.757450000e+06|1.105627500e+05|1.598070000e+05|1.989072500e+05|1.583010156e+05|1.017743828e+05|2.148276875e+05|1.862774858e+03|1.867090847e+03|1.871352203e+03|1.867120693e+03|1.861858294e+03|1.872383092e+03|4.222323211e+01|4.653701439e+01|5.080535691e+01|4.657071274e+01|4.130824633e+01|5.183317916e+01|4.923012750e+03|4.956171175e+03|4.989184104e+03|4.956351542e+03|4.914712263e+03|4.997990820e+03|3.208348182e+02|3.593206548e+02|3.851866716e+02|3.539532470e+02|3.098858413e+02|3.980206527e+02|1.706817700e+11|1.716539392e+11|1.721606185e+11|1.714268242e+11|1.703772488e+11|1.724763832e+11|-2.059743232e+09|2.340208640e+08|2.309296128e+09|3.317872960e+08|-2.429059072e+09|3.092633600e+09|1.044188770e+04|1.045594385e+04|1.046180542e+04|1.045099023e+04|1.043678223e+04|1.046520020e+04
7.020840486e+05|7.037667991e+05|6.197996554e+05|6.426126898e+05|4.702724125e+06|4.718449500e+06|4.750677125e+06|4.724201000e+06|4.694809000e+06|4.753593500e+06|1.335793750e+05|1.673950000e+05|2.080111250e+05|1.708090469e+05|1.231380000e+05|2.184800469e+05|1.864409731e+03|1.868625599e+03|1.873167973e+03|1.868693108e+03|1.863283746e+03|1.874102469e+03|4.385707609e+01|4.807308405e+01|5.262229347e+01|4.814176776e+01|4.273288770e+01|5.355064782e+01|4.930436059e+03|4.960576103e+03|5.004069872e+03|4.964422844e+03|4.920000248e+03|5.008845439e+03|3.319767456e+02|3.633403112e+02|4.125195189e+02|3.689319572e+02|3.251702843e+02|4.126936302e+02|1.703626260e+11|1.709959578e+11|1.717878907e+11|1.709794427e+11|1.700206182e+11|1.719382508e+11|-1.144061952e+09|4.101980160e+08|2.591064064e+09|6.938785920e+08|-1.664779264e+09|3.052536576e+09|1.043636060e+04|1.044585303e+04|1.045380151e+04|1.044353320e+04|1.043078516e+04|1.045628125e+04
7.316141621e+05|7.315500717e+05|6.471388431e+05|6.703430888e+05|4.678840500e+06|4.695595750e+06|4.713064000e+06|4.698721500e+06|4.672571000e+06|4.724871500e+06|1.174975000e+05|1.568315000e+05|2.039885000e+05|1.568962969e+05|1.051712266e+05|2.086213594e+05|1.861890980e+03|1.865276461e+03|1.870360077e+03|1.866254299e+03|1.861540674e+03|1.870967925e+03|4.134428286e+01|4.472541292e+01|4.980732546e+01|4.570215226e+01|4.098898557e+01|5.041531895e+01|4.899557480e+03|4.928583875e+03|4.972987068e+03|4.937638374e+03|4.898585591e+03|4.976691158e+03|3.076325463e+02|3.526217669e+02|3.874927033e+02|3.470346297e+02|3.021351336e+02|3.919341259e+02|1.696411402e+11|1.702439158e+11|1.706587505e+11|1.701406966e+11|1.693030973e+11|1.709782958e+11|-1.545895936e+09|3.293429760e+08|2.037383168e+09|4.250420800e+08|-1.876110208e+09|2.726194432e+09|1.042933447e+04|1.043643750e+04|1.044381763e+04|1.043500293e+04|1.042406641e+04|1.044593945e+04
