#RRR|U50|U25|U75|Umean|T50|T25|T75|Tmean|P50|P25|P75|Pmean|rho50|rho25|rho75|Pmean|S
2.516140311e+05|4.785155589e+06|4.807244289e+06|4.823686872e+06|4.806573898e+06|4.926380151e+03|4.936061568e+03|4.943232253e+03|4.935713396e+03|1.756498858e+11|1.767273188e+11|1.775299436e+11|1.766951741e+11|1.051489697e+04|1.052877686e+04|1.053907812e+04|1.052829297e+04|1.858310284e+03
3.814437097e+05|4.758385526e+06|4.776834386e+06|4.798053917e+06|4.777040311e+06|4.914612016e+03|4.922726348e+03|4.932036562e+03|4.922768214e+03|1.743440480e+11|1.752440107e+11|1.762790439e+11|1.752544011e+11|1.049801562e+04|1.050965674e+04|1.052300708e+04|1.050972363e+04|1.858310284e+03
4.540793064e+05|4.742795301e+06|4.763897921e+06|4.775733163e+06|4.759544877e+06|4.907721991e+03|4.917038738e+03|4.922242526e+03|4.915058635e+03|1.735841047e+11|1.746128893e+11|1.751902982e+11|1.744012203e+11|1.048815039e+04|1.050149854e+04|1.050895923e+04|1.049866992e+04|1.858310284e+03
5.089477978e+05|4.726996552e+06|4.745009829e+06|4.761701738e+06|4.745622874e+06|4.900726568e+03|4.908701462e+03|4.916072270e+03|4.908928378e+03|1.728139897e+11|1.736920453e+11|1.745057773e+11|1.737222798e+11|1.047812793e+04|1.048954834e+04|1.050010864e+04|1.048988281e+04|1.858310284e+03
5.530476809e+05|4.710411716e+06|4.732943455e+06|4.744729447e+06|4.728664016e+06|4.893368465e+03|4.903361327e+03|4.908577479e+03|4.901415894e+03|1.720054983e+11|1.731039129e+11|1.736783766e+11|1.728955786e+11|1.046757837e+04|1.048190039e+04|1.048937476e+04|1.047912012e+04|1.858310284e+03
5.924835762e+05|4.699083291e+06|4.716871384e+06|4.730624854e+06|4.712785904e+06|4.888317713e+03|4.896236271e+03|4.902334192e+03|4.894360858e+03|1.714535898e+11|1.723204527e+11|1.729908624e+11|1.721216965e+11|1.046035425e+04|1.047168799e+04|1.048042993e+04|1.046901465e+04|1.858310284e+03
6.315504487e+05|4.692547576e+06|4.704466263e+06|4.715478276e+06|4.703328071e+06|4.885400398e+03|4.890718745e+03|4.895618025e+03|4.890180346e+03|1.711351075e+11|1.717158318e+11|1.722525363e+11|1.716605886e+11|1.045617749e+04|1.046378418e+04|1.047080371e+04|1.046302344e+04|1.858310284e+03
6.674324498e+05|4.670217750e+06|4.692176935e+06|4.701357694e+06|4.684506984e+06|4.875415603e+03|4.885234889e+03|4.889332384e+03|4.881772191e+03|1.700470182e+11|1.711170479e+11|1.715644005e+11|1.707435939e+11|1.044188770e+04|1.045594385e+04|1.046180542e+04|1.045099023e+04|1.858310284e+03
7.020840486e+05|4.661605604e+06|4.676403540e+06|4.688830881e+06|4.672845219e+06|4.871556680e+03|4.878184307e+03|4.883740361e+03|4.876561907e+03|1.696274359e+11|1.703484775e+11|1.709540044e+11|1.701753649e+11|1.043636060e+04|1.044585303e+04|1.045380151e+04|1.044353320e+04|1.858310284e+03
7.316141621e+05|4.650670847e+06|4.661721878e+06|4.673235793e+06|4.659532713e+06|4.866639254e+03|4.871608917e+03|4.876766714e+03|4.870600863e+03|1.690950523e+11|1.696330966e+11|1.701940801e+11|1.695268225e+11|1.042933447e+04|1.043643750e+04|1.044381763e+04|1.043500293e+04|1.858310284e+03
7.637102310e+05|4.636457207e+06|4.651308709e+06|4.667170613e+06|4.649082696e+06|4.860237479e+03|4.866926310e+03|4.874050962e+03|4.865888211e+03|1.684030926e+11|1.691260992e+11|1.698985598e+11|1.690180315e+11|1.042018115e+04|1.042974512e+04|1.043993433e+04|1.042826660e+04|1.858310284e+03
7.923183657e+05|4.626523521e+06|4.635173834e+06|4.644469655e+06|4.633010049e+06|4.855756736e+03|4.859658911e+03|4.863847645e+03|4.858667059e+03|1.679195015e+11|1.683406169e+11|1.687932142e+11|1.682353298e+11|1.041377783e+04|1.041935352e+04|1.042534351e+04|1.041794043e+04|1.858310284e+03
8.196985917e+05|4.615149151e+06|4.623989622e+06|4.638346199e+06|4.625721563e+06|4.850619400e+03|4.854612900e+03|4.861088930e+03|4.855350638e+03|1.673656326e+11|1.677961371e+11|1.684950720e+11|1.678806780e+11|1.040642212e+04|1.041214111e+04|1.042140454e+04|1.041320215e+04|1.858310284e+03
8.461909305e+05|4.594806714e+06|4.611171741e+06|4.620247064e+06|4.608888878e+06|4.841381714e+03|4.848815902e+03|4.852922808e+03|4.847753734e+03|1.663756074e+11|1.671721063e+11|1.676138996e+11|1.670611280e+11|1.039324023e+04|1.040384912e+04|1.040971851e+04|1.040234082e+04|1.858310284e+03
8.747700047e+05|4.578792560e+06|4.594505270e+06|4.608553098e+06|4.593529235e+06|4.834092333e+03|4.841244634e+03|4.847627333e+03|4.840763818e+03|1.655961718e+11|1.663609355e+11|1.670446819e+11|1.663136398e+11|1.038282349e+04|1.039304639e+04|1.040215820e+04|1.039235938e+04|1.858310284e+03
9.000904964e+05|4.565829308e+06|4.581717710e+06|4.591236404e+06|4.577873011e+06|4.828179292e+03|4.835424894e+03|4.839757819e+03|4.833639073e+03|1.649652870e+11|1.657385398e+11|1.662018707e+11|1.655517098e+11|1.037437891e+04|1.038472754e+04|1.039091870e+04|1.038218359e+04|1.858310284e+03
9.251704689e+05|4.559723077e+06|4.571759326e+06|4.580504071e+06|4.568351014e+06|4.825383522e+03|4.830886338e+03|4.834872073e+03|4.829303030e+03|1.646682630e+11|1.652538814e+11|1.656794618e+11|1.650882910e+11|1.037038843e+04|1.037824561e+04|1.038393701e+04|1.037599121e+04|1.858310284e+03
9.492209244e+05|4.541298856e+06|4.558818506e+06|4.569189635e+06|4.556736982e+06|4.816934978e+03|4.824969163e+03|4.829714283e+03|4.823989393e+03|1.637722559e+11|1.646242842e+11|1.651288090e+11|1.645232913e+11|1.035834155e+04|1.036980322e+04|1.037657104e+04|1.036840723e+04|1.858310284e+03
