#R_planet
5.286801103e+06
#RRR|RRR50|RR|RR50|U25|U50|U75|Umean|U25mean|U75mean|deltaU25|deltaU50|deltaU75|deltaUmean|deltaU25mean|deltaU75mean|S25|S50|S75|Smean|S25mean|S75mean|deltaS25|deltaS50|delatS75|deltaSmean|deltaS25mean|deltaS75mean|T25|T50|T75|Tmean|T25mean|T75mean|deltaT25|deltaT50|deltaT75|deltaTmean|deltaT25|deltaT75|P25|P50|P75|Pmean|P25mean|P75mean|deltaP25|deltaP50|deltaP75|deltaPmean|deltaP25mean|deltaP75mean|rho25|rho50|rho75|rhomean|rho25mean|rho75mean
2.894340284e+06|2.896566473e+06|2.878160056e+06|2.881079594e+06|6.599688375e+06|6.659107750e+06|6.726731625e+06|6.666958500e+06|6.592184500e+06|6.741733000e+06|2.835902500e+05|3.894300000e+05|1.563490750e+06|7.015285625e+05|2.638005938e+05|1.139256500e+06|2.915235046e+03|2.922702547e+03|2.938466652e+03|2.928014156e+03|2.913149287e+03|2.942879026e+03|9.509294606e+01|1.027301684e+02|1.184902246e+02|1.080340562e+02|9.317906950e+01|1.228890429e+02|3.278988356e+03|3.300439470e+03|3.322157412e+03|3.307674993e+03|3.276169040e+03|3.339180947e+03|1.942273270e+02|2.207814975e+02|3.776067605e+02|2.689858736e+02|1.905165734e+02|3.474551737e+02|8.948591821e+10|9.062953779e+10|9.156540621e+10|9.070478950e+10|8.939306189e+10|9.201651712e+10|3.835514880e+08|2.333818880e+09|2.810062029e+10|9.111234560e+09|-1.610121280e+08|1.838348288e+10|4.822966064e+03|4.837662842e+03|4.848685791e+03|4.837618164e+03|4.821829590e+03|4.853407227e+03
2.906441650e+06|2.906382969e+06|2.892315997e+06|2.896629822e+06|6.578457625e+06|6.646535750e+06|6.703388125e+06|6.642020500e+06|6.556759000e+06|6.727281500e+06|2.264047500e+05|3.530612500e+05|8.306922500e+05|6.464808125e+05|2.192910469e+05|1.073670750e+06|2.922177695e+03|2.934693394e+03|2.949203745e+03|2.937568060e+03|2.919578246e+03|2.955557875e+03|1.023176791e+02|1.146058645e+02|1.292926291e+02|1.175861310e+02|9.960679543e+01|1.355654666e+02|3.282065829e+03|3.315534834e+03|3.353047767e+03|3.320801064e+03|3.281282663e+03|3.360319465e+03|1.967346895e+02|2.445422911e+02|3.568655554e+02|2.780806618e+02|1.965159081e+02|3.596454155e+02|8.834683904e+10|8.933189632e+10|9.039711642e+10|8.956258714e+10|8.822084403e+10|9.090432205e+10|-1.299449856e+09|8.764538880e+08|1.112957747e+10|7.299187200e+09|-1.566183936e+09|1.616455782e+10|4.808301636e+03|4.820065186e+03|4.835739868e+03|4.822908691e+03|4.807003906e+03|4.838813965e+03
2.912549764e+06|2.912814352e+06|2.894542840e+06|2.900053396e+06|6.522560250e+06|6.599982250e+06|6.703751375e+06|6.613583500e+06|6.514036500e+06|6.713129500e+06|2.093746250e+05|3.297780000e+05|4.957803750e+05|5.821199375e+05|2.066691562e+05|9.575706250e+05|2.925862105e+03|2.940452217e+03|2.960414287e+03|2.941967573e+03|2.922089825e+03|2.961845321e+03|1.058116068e+02|1.204245897e+02|1.405204990e+02|1.219852072e+02|1.021112714e+02|1.418591430e+02|3.287802803e+03|3.316506171e+03|3.366280123e+03|3.324578735e+03|3.281817547e+03|3.367339922e+03|2.052528955e+02|2.463273212e+02|3.235798982e+02|2.769599019e+02|2.008401610e+02|3.530796428e+02|8.689374003e+10|8.822485811e+10|9.029961523e+10|8.866462106e+10|8.675930112e+10|9.056994099e+10|-2.347687936e+09|1.777704960e+08|3.634925568e+09|5.602759168e+09|-2.320663296e+09|1.352618394e+10|4.790052368e+03|4.807442139e+03|4.830953857e+03|4.811619629e+03|4.788915039e+03|4.834324219e+03
2.917592848e+06|2.917503869e+06|2.899340418e+06|2.901589819e+06|6.523540625e+06|6.568054000e+06|6.674077500e+06|6.592327000e+06|6.495800500e+06|6.688854000e+06|2.077138750e+05|3.112150000e+05|1.478163875e+06|6.784253750e+05|1.908620469e+05|1.165988750e+06|2.924234970e+03|2.940575191e+03|2.957700711e+03|2.942841027e+03|2.923232075e+03|2.962449978e+03|1.043165777e+02|1.206884643e+02|1.375976484e+02|1.228708863e+02|1.032636553e+02|1.424781173e+02|3.284855135e+03|3.317250956e+03|3.358398078e+03|3.323355210e+03|3.280880368e+03|3.365830051e+03|2.040444846e+02|2.538922674e+02|3.920397811e+02|2.917045349e+02|2.017279887e+02|3.816810810e+02|8.697977651e+10|8.827983462e+10|8.950934323e+10|8.814136525e+10|8.640442368e+10|8.987831501e+10|-2.247550976e+09|1.710489600e+07|2.531483750e+10|7.694369280e+09|-2.611088384e+09|1.799982694e+10|4.791416870e+03|4.806501709e+03|4.821797363e+03|4.805297363e+03|4.784811035e+03|4.825785156e+03
2.922341690e+06|2.922354195e+06|2.904720441e+06|2.905841188e+06|6.503824125e+06|6.603125250e+06|6.674658125e+06|6.594437000e+06|6.498512000e+06|6.690363500e+06|1.792985000e+05|3.459847500e+05|1.459620875e+06|6.630603750e+05|1.788760156e+05|1.147244750e+06|2.925496623e+03|2.950154009e+03|2.969517077e+03|2.947019536e+03|2.923912033e+03|2.970127039e+03|1.055648044e+02|1.300574279e+02|1.495795077e+02|1.270275917e+02|1.039267987e+02|1.501283848e+02|3.276177633e+03|3.338578432e+03|3.369950794e+03|3.330781073e+03|3.281886977e+03|3.379675170e+03|1.931140826e+02|2.698193520e+02|3.944870244e+02|2.965355572e+02|2.025871986e+02|3.904839159e+02|8.675035136e+10|8.841789030e+10|8.912702874e+10|8.792668570e+10|8.646589645e+10|8.938747494e+10|-2.935420928e+09|2.463825920e+08|2.523363840e+10|7.090044928e+09|-3.038843392e+09|1.721893069e+10|4.788399170e+03|4.806655029e+03|4.817149902e+03|4.802219238e+03|4.784811035e+03|4.819625977e+03
2.926308888e+06|2.926212901e+06|2.910720133e+06|2.915417387e+06|6.496384500e+06|6.589280000e+06|6.688983375e+06|6.593020000e+06|6.485284500e+06|6.700754000e+06|1.936878750e+05|3.290030000e+05|1.505455125e+06|6.486737500e+05|1.803113594e+05|1.117036125e+06|2.925033566e+03|2.952118472e+03|2.972320581e+03|2.951811516e+03|2.926491319e+03|2.977131713e+03|1.051337187e+02|1.321355883e+02|1.522954578e+02|1.318265212e+02|1.065151153e+02|1.571379272e+02|3.285111365e+03|3.337442793e+03|3.383027440e+03|3.338890350e+03|3.283755639e+03|3.394025061e+03|2.070968700e+02|2.729568571e+02|3.991485603e+02|3.030132062e+02|2.052719686e+02|4.007544437e+02|8.695089766e+10|8.782374093e+10|8.856425882e+10|8.759513907e+10|8.638381261e+10|8.880648192e+10|-2.972209152e+09|-7.417200640e+08|2.506014413e+10|6.470419968e+09|-2.993324032e+09|1.593416192e+10|4.790375488e+03|4.801597412e+03|4.808599609e+03|4.797636719e+03|4.783679688e+03|4.811594238e+03
2.929986837e+06|2.929805612e+06|2.913600860e+06|2.920238127e+06|6.484517750e+06|6.585086250e+06|6.701178125e+06|6.585490500e+06|6.470621500e+06|6.700359000e+06|1.741746250e+05|3.092375000e+05|1.524928875e+06|6.411606250e+05|1.400513438e+05|1.142269875e+06|2.926421457e+03|2.951727119e+03|2.974366817e+03|2.953571262e+03|2.926408717e+03|2.980733808e+03|1.064632253e+02|1.316598710e+02|1.544425215e+02|1.335912942e+02|1.064324988e+02|1.607500895e+02|3.279314230e+03|3.332564233e+03|3.387308987e+03|3.340971717e+03|3.280604402e+03|3.401339032e+03|1.937073043e+02|2.812448939e+02|4.061335437e+02|3.051449363e+02|2.009632772e+02|4.093265954e+02|8.646858342e+10|8.774044467e+10|8.824290304e+10|8.731648000e+10|8.605758259e+10|8.857537741e+10|-3.425918976e+09|-1.032024064e+09|2.536859648e+10|6.191982592e+09|-3.876143104e+09|1.626010829e+10|4.784472168e+03|4.798108154e+03|4.807176025e+03|4.794053223e+03|4.779503906e+03|4.808603027e+03
2.935132963e+06|2.934925203e+06|2.920185858e+06|2.923897277e+06|6.463383125e+06|6.538162000e+06|6.656283125e+06|6.555527000e+06|6.447348000e+06|6.663705500e+06|1.566811250e+05|2.993170000e+05|1.505333750e+06|6.580017500e+05|1.325482188e+05|1.183455250e+06|2.931355629e+03|2.954044300e+03|2.974828066e+03|2.954103282e+03|2.928267936e+03|2.979938628e+03|1.114004950e+02|1.340172695e+02|1.549383208e+02|1.341015834e+02|1.082554090e+02|1.599477578e+02|3.283366650e+03|3.341157253e+03|3.384854754e+03|3.337870471e+03|3.281438922e+03|3.394302020e+03|2.060195231e+02|2.787310587e+02|4.118324090e+02|3.083016923e+02|2.058245403e+02|4.107788443e+02|8.550754918e+10|8.691724698e+10|8.778317414e+10|8.662745907e+10|8.529997824e+10|8.795493990e+10|-3.931310080e+09|-1.373106176e+09|2.576001229e+10|6.544671232e+09|-4.346440704e+09|1.743578317e+10|4.773189819e+03|4.788708008e+03|4.801537109e+03|4.785717285e+03|4.770086426e+03|4.801348633e+03
2.982040940e+06|2.947302785e+06|2.966604261e+06|2.942777692e+06|5.340800125e+06|6.290997750e+06|6.563201625e+06|6.001558500e+06|5.436870500e+06|6.566245000e+06|1.857481250e+05|3.362310000e+05|4.671005000e+05|4.628281562e+05|2.949955078e+04|8.961567500e+05|2.921826366e+03|2.943075225e+03|2.974612789e+03|2.954222808e+03|2.920964187e+03|2.987481429e+03|1.019250901e+02|1.231227294e+02|1.547107636e+02|1.342322752e+02|1.009847690e+02|1.674797814e+02|3.117844395e+03|3.247574974e+03|3.370774046e+03|3.259158748e+03|3.132440530e+03|3.385876966e+03|1.876831903e+02|2.262181093e+02|3.487527230e+02|2.782601342e+02|1.735426049e+02|3.829776635e+02|6.124587827e+10|8.140943360e+10|8.562122547e+10|7.440266854e+10|6.348822528e+10|8.531710771e+10|-4.262029312e+09|9.174343680e+08|3.335596032e+09|2.304209152e+09|-6.858944512e+09|1.146736333e+10|4.454104492e+03|4.719195068e+03|4.767530762e+03|4.625133301e+03|4.483640137e+03|4.766626953e+03
3.053403346e+06|3.054068739e+06|3.038524625e+06|3.040110445e+06|5.290980875e+06|5.338700750e+06|5.379938875e+06|5.341876500e+06|5.283707500e+06|5.400046000e+06|2.203170000e+05|3.222320000e+05|4.380212500e+05|1.182595234e+05|-2.021654062e+05|4.386844062e+05|2.927300628e+03|2.941491337e+03|2.953656325e+03|2.942187635e+03|2.923978945e+03|2.960396326e+03|1.072316649e+02|1.215187718e+02|1.335992004e+02|1.221929489e+02|1.039695096e+02|1.404163882e+02|3.112492404e+03|3.140814025e+03|3.165081924e+03|3.141299246e+03|3.105128934e+03|3.177469558e+03|1.629944179e+02|2.172104120e+02|2.431591982e+02|2.029680784e+02|1.461178939e+02|2.598182629e+02|6.034515354e+10|6.066646426e+10|6.099361587e+10|6.067031245e+10|6.018700083e+10|6.115361997e+10|-1.150018560e+09|3.382865920e+08|1.428422656e+09|-4.417115648e+09|-1.131325440e+10|2.479023104e+09|4.438037354e+03|4.443522705e+03|4.448196167e+03|4.443112305e+03|4.436377930e+03|4.449846680e+03
