#RRR|P25fit|P50fit|P75fit|P25model|P50model|P75model
2.516140311e+05|1.769314434e+11|1.778945033e+11|1.789358077e+11|0.000000|0.000000|0.000000
3.814437097e+05|1.756585149e+11|1.765409126e+11|1.774195855e+11|0.000000|0.000000|0.000000
4.540793064e+05|1.747138596e+11|1.755511489e+11|1.763622696e+11|0.000000|0.000000|0.000000
5.089477978e+05|1.738912039e+11|1.746949590e+11|1.754643250e+11|0.000000|0.000000|0.000000
5.530476809e+05|1.731626170e+11|1.739399570e+11|1.746808289e+11|0.000000|0.000000|0.000000
5.924835762e+05|1.724606289e+11|1.732148664e+11|1.739336688e+11|0.000000|0.000000|0.000000
6.315504487e+05|1.717185788e+11|1.724505005e+11|1.731502928e+11|0.000000|0.000000|0.000000
6.674324498e+05|1.709964165e+11|1.717084090e+11|1.723929919e+11|0.000000|0.000000|0.000000
7.020840486e+05|1.702623635e+11|1.709556805e+11|1.716274132e+11|0.000000|0.000000|0.000000
7.316141621e+05|1.696085592e+11|1.702864395e+11|1.709485062e+11|0.000000|0.000000|0.000000
7.637102310e+05|1.688686506e+11|1.695302866e+11|1.701830543e+11|0.000000|0.000000|0.000000
7.923183657e+05|1.681835814e+11|1.688312334e+11|1.694766671e+11|0.000000|0.000000|0.000000
8.196985917e+05|1.675054792e+11|1.681402057e+11|1.687793764e+11|0.000000|0.000000|0.000000
8.461909305e+05|1.668285936e+11|1.674512577e+11|1.680850009e+11|0.000000|0.000000|0.000000
8.747700047e+05|1.660756129e+11|1.666857719e+11|1.673142822e+11|0.000000|0.000000|0.000000
9.000904964e+05|1.653888456e+11|1.659883792e+11|1.666127324e+11|0.000000|0.000000|0.000000
9.251704689e+05|1.646905113e+11|1.652799527e+11|1.659005797e+11|0.000000|0.000000|0.000000
9.492209244e+05|1.640040224e+11|1.645841995e+11|1.652015757e+11|0.000000|0.000000|0.000000
9.742419122e+05|1.632724464e+11|1.638434241e+11|1.644577106e+11|0.000000|0.000000|0.000000
9.997975585e+05|1.625070376e+11|1.630690900e+11|1.636804856e+11|0.000000|0.000000|0.000000
1.020929135e+06|1.618603146e+11|1.624153518e+11|1.630245299e+11|0.000000|0.000000|0.000000
1.042786820e+06|1.611782766e+11|1.617264100e+11|1.623334337e+11|0.000000|0.000000|0.000000
1.065581066e+06|1.604529042e+11|1.609942239e+11|1.615991270e+11|0.000000|0.000000|0.000000
1.088771041e+06|1.597002324e+11|1.602350287e+11|1.608378819e+11|0.000000|0.000000|0.000000
1.107476046e+06|1.590823757e+11|1.596122131e+11|1.602134753e+11|0.000000|0.000000|0.000000
1.130083212e+06|1.583228750e+11|1.588470820e+11|1.594464781e+11|0.000000|0.000000|0.000000
1.149057890e+06|1.576746911e+11|1.581944810e+11|1.587923456e+11|0.000000|0.000000|0.000000
1.169083906e+06|1.569800356e+11|1.574954702e+11|1.580917406e+11|0.000000|0.000000|0.000000
1.191289169e+06|1.561971747e+11|1.567081493e+11|1.573026652e+11|0.000000|0.000000|0.000000
1.209191432e+06|1.555564100e+11|1.560640721e+11|1.566571745e+11|0.000000|0.000000|0.000000
1.228861380e+06|1.548425348e+11|1.553468489e+11|1.559383911e+11|0.000000|0.000000|0.000000
1.247409700e+06|1.541599722e+11|1.546614089e+11|1.552514659e+11|0.000000|0.000000|0.000000
1.266714961e+06|1.534399180e+11|1.539386477e+11|1.545271386e+11|0.000000|0.000000|0.000000
1.286068777e+06|1.527082350e+11|1.532045448e+11|1.537914392e+11|0.000000|0.000000|0.000000
1.305196449e+06|1.519754918e+11|1.524696983e+11|1.530549842e+11|0.000000|0.000000|0.000000
1.322679947e+06|1.512974182e+11|1.517899517e+11|1.523737375e+11|0.000000|0.000000|0.000000
1.339525989e+06|1.506365903e+11|1.511277361e+11|1.517100475e+11|0.000000|0.000000|0.000000
1.357558907e+06|1.499211106e+11|1.504110135e+11|1.509917134e+11|0.000000|0.000000|0.000000
1.375208668e+06|1.492127677e+11|1.497016953e+11|1.502807835e+11|0.000000|0.000000|0.000000
1.393277433e+06|1.484793844e+11|1.489675586e+11|1.495449614e+11|0.000000|0.000000|0.000000
1.410237946e+06|1.477834493e+11|1.482711402e+11|1.488469282e+11|0.000000|0.000000|0.000000
1.426368474e+06|1.471148344e+11|1.476022647e+11|1.481764884e+11|0.000000|0.000000|0.000000
1.441812383e+06|1.464685543e+11|1.469559152e+11|1.475286160e+11|0.000000|0.000000|0.000000
1.457832448e+06|1.457918605e+11|1.462793338e+11|1.468504302e+11|0.000000|0.000000|0.000000
1.473476050e+06|1.451249027e+11|1.456126647e+11|1.461821721e+11|0.000000|0.000000|0.000000
1.489866242e+06|1.444196089e+11|1.449078608e+11|1.454756821e+11|0.000000|0.000000|0.000000
1.506830930e+06|1.436826164e+11|1.441715748e+11|1.447376308e+11|0.000000|0.000000|0.000000
1.522326791e+06|1.430032614e+11|1.434930396e+11|1.440574686e+11|0.000000|0.000000|0.000000
1.536746996e+06|1.423657956e+11|1.428564842e+11|1.434193894e+11|0.000000|0.000000|0.000000
1.552164938e+06|1.416786303e+11|1.421704473e+11|1.427317164e+11|0.000000|0.000000|0.000000
1.565313810e+06|1.410880490e+11|1.415809527e+11|1.421408237e+11|0.000000|0.000000|0.000000
1.579693761e+06|1.404374032e+11|1.409316245e+11|1.414899668e+11|0.000000|0.000000|0.000000
1.596001940e+06|1.396935077e+11|1.401893835e+11|1.407459971e+11|0.000000|0.000000|0.000000
1.612582731e+06|1.389306672e+11|1.394283964e+11|1.399832635e+11|0.000000|0.000000|0.000000
1.627143671e+06|1.382553691e+11|1.387548651e+11|1.393082128e+11|0.000000|0.000000|0.000000
1.641081479e+06|1.376042749e+11|1.381055814e+11|1.386574920e+11|0.000000|0.000000|0.000000
1.655639187e+06|1.369193417e+11|1.374226610e+11|1.379730935e+11|0.000000|0.000000|0.000000
1.669747790e+06|1.362508018e+11|1.367561880e+11|1.373052150e+11|0.000000|0.000000|0.000000
1.682782678e+06|1.356290152e+11|1.361364100e+11|1.366841669e+11|0.000000|0.000000|0.000000
1.697021807e+06|1.349452771e+11|1.354549722e+11|1.360013777e+11|0.000000|0.000000|0.000000
1.712774364e+06|1.341834099e+11|1.346957752e+11|1.352407364e+11|0.000000|0.000000|0.000000
1.727835849e+06|1.334496327e+11|1.339646706e+11|1.345083079e+11|0.000000|0.000000|0.000000
1.741118096e+06|1.327982329e+11|1.333157216e+11|1.338582436e+11|0.000000|0.000000|0.000000
1.755213742e+06|1.321025500e+11|1.326227327e+11|1.331641311e+11|0.000000|0.000000|0.000000
1.767878944e+06|1.314736267e+11|1.319963092e+11|1.325367558e+11|0.000000|0.000000|0.000000
1.781626277e+06|1.307868737e+11|1.313123513e+11|1.318518327e+11|0.000000|0.000000|0.000000
1.795364090e+06|1.300963591e+11|1.306247120e+11|1.311633060e+11|0.000000|0.000000|0.000000
1.808985314e+06|1.294075431e+11|1.299388245e+11|1.304766215e+11|0.000000|0.000000|0.000000
1.822591620e+06|1.287153645e+11|1.292496452e+11|1.297867351e+11|0.000000|0.000000|0.000000
1.836824115e+06|1.279869489e+11|1.285244425e+11|1.290608958e+11|0.000000|0.000000|0.000000
1.849839753e+06|1.273169095e+11|1.278574056e+11|1.283933758e+11|0.000000|0.000000|0.000000
1.862551635e+06|1.266589261e+11|1.272024110e+11|1.277380072e+11|0.000000|0.000000|0.000000
1.874353865e+06|1.260448739e+11|1.265911811e+11|1.271265221e+11|0.000000|0.000000|0.000000
1.886195177e+06|1.254257504e+11|1.259749325e+11|1.265101119e+11|0.000000|0.000000|0.000000
1.899568738e+06|1.247228711e+11|1.252753493e+11|1.258104665e+11|0.000000|0.000000|0.000000
1.913303021e+06|1.239970316e+11|1.245529455e+11|1.250881398e+11|0.000000|0.000000|0.000000
1.927361758e+06|1.232498673e+11|1.238093471e+11|1.243447771e+11|0.000000|0.000000|0.000000
1.938507496e+06|1.226545283e+11|1.232168677e+11|1.237526036e+11|0.000000|0.000000|0.000000
1.952266487e+06|1.219159775e+11|1.224818831e+11|1.230181498e+11|0.000000|0.000000|0.000000
1.964295775e+06|1.212670050e+11|1.218360582e+11|1.223729344e+11|0.000000|0.000000|0.000000
1.975606059e+06|1.206540548e+11|1.212260900e+11|1.217636692e+11|0.000000|0.000000|0.000000
1.987360757e+06|1.200141908e+11|1.205893458e+11|1.211277949e+11|0.000000|0.000000|0.000000
1.998952659e+06|1.193803774e+11|1.199586268e+11|1.204980789e+11|0.000000|0.000000|0.000000
2.011613508e+06|1.186849425e+11|1.192665889e+11|1.198073085e+11|0.000000|0.000000|0.000000
2.025350611e+06|1.179266618e+11|1.185120102e+11|1.190543171e+11|0.000000|0.000000|0.000000
2.040393269e+06|1.170918877e+11|1.176813043e+11|1.182256148e+11|0.000000|0.000000|0.000000
2.051715698e+06|1.164605272e+11|1.170530120e+11|1.175990221e+11|0.000000|0.000000|0.000000
2.062719593e+06|1.158444430e+11|1.164399120e+11|1.169877380e+11|0.000000|0.000000|0.000000
2.075107046e+06|1.151479788e+11|1.157468069e+11|1.162968778e+11|0.000000|0.000000|0.000000
2.085581709e+06|1.145566583e+11|1.151583241e+11|1.157104650e+11|0.000000|0.000000|0.000000
2.096420375e+06|1.139424850e+11|1.145470818e+11|1.151015364e+11|0.000000|0.000000|0.000000
2.107626407e+06|1.133050426e+11|1.139126617e+11|1.144696979e+11|0.000000|0.000000|0.000000
2.120210704e+06|1.125862419e+11|1.131972419e+11|1.137574150e+11|0.000000|0.000000|0.000000
2.133898603e+06|1.118008718e+11|1.124155290e+11|1.129794102e+11|0.000000|0.000000|0.000000
2.147265161e+06|1.110304072e+11|1.116486106e+11|1.122164220e+11|0.000000|0.000000|0.000000
2.160422095e+06|1.102686372e+11|1.108903022e+11|1.114622920e+11|0.000000|0.000000|0.000000
2.171439229e+06|1.096281875e+11|1.102527255e+11|1.108284588e+11|0.000000|0.000000|0.000000
2.181119344e+06|1.090635369e+11|1.096905777e+11|1.102697899e+11|0.000000|0.000000|0.000000
2.190679061e+06|1.085041504e+11|1.091336412e+11|1.097164677e+11|0.000000|0.000000|0.000000
2.201246854e+06|1.078837516e+11|1.085159233e+11|1.091029578e+11|0.000000|0.000000|0.000000
2.211673242e+06|1.072695803e+11|1.079043665e+11|1.084957768e+11|0.000000|0.000000|0.000000
2.223827673e+06|1.065510307e+11|1.071888230e+11|1.077856237e+11|0.000000|0.000000|0.000000
2.235365375e+06|1.058663781e+11|1.065069790e+11|1.071091930e+11|0.000000|0.000000|0.000000
2.249556980e+06|1.050208382e+11|1.056648288e+11|1.062741096e+11|0.000000|0.000000|0.000000
2.263803589e+06|1.041682688e+11|1.048155838e+11|1.054324271e+11|0.000000|0.000000|0.000000
2.274107611e+06|1.035493098e+11|1.041989767e+11|1.048215909e+11|0.000000|0.000000|0.000000
2.285412937e+06|1.028679671e+11|1.035201602e+11|1.041494057e+11|0.000000|0.000000|0.000000
