#RRR|Lz25|Lz50|Lz75|Lzmean|Lzsum|Isum
5.571332300e+04|7.960130542e+24|1.666242074e+25|2.496214110e+25|1.787035339e+25|1.787035339e+27|5.846635015e+30
1.032234206e+05|4.353375026e+25|5.466956820e+25|6.163335198e+25|5.330859320e+25|5.330859320e+27|1.785474224e+31
1.338165794e+05|7.921971858e+25|8.675344403e+25|9.778470483e+25|8.864633991e+25|8.864633991e+27|2.990656512e+31
1.584763954e+05|1.108703250e+26|1.210250831e+26|1.332804077e+26|1.220218424e+26|1.220218424e+28|4.180197425e+31
1.803104200e+05|1.503468286e+26|1.602627484e+26|1.709185604e+26|1.600606787e+26|1.600606787e+28|5.391577154e+31
1.988107009e+05|1.848386062e+26|1.971325258e+26|2.055883999e+26|1.961688976e+26|1.961688976e+28|6.575047091e+31
2.149613420e+05|2.170153243e+26|2.279445854e+26|2.395142379e+26|2.282538911e+26|2.282538911e+28|7.685640711e+31
2.320348141e+05|2.540838871e+26|2.708109488e+26|2.825790551e+26|2.703913081e+26|2.703913081e+28|8.938988293e+31
2.474654920e+05|2.902490125e+26|3.043397518e+26|3.207532525e+26|3.001341142e+26|3.001341142e+28|1.017934648e+32
2.618454432e+05|3.302230866e+26|3.439258349e+26|3.548654598e+26|3.450602883e+26|3.450602883e+28|1.139609692e+32
2.756332428e+05|3.637384705e+26|3.772864233e+26|3.927613094e+26|3.776705407e+26|3.776705407e+28|1.262849346e+32
2.889354802e+05|3.960771441e+26|4.105882595e+26|4.294382261e+26|4.140986734e+26|4.140986734e+28|1.385573353e+32
2.996387200e+05|4.304104201e+26|4.457889853e+26|4.601713508e+26|4.432650380e+26|4.432650380e+28|1.488714928e+32
3.120531979e+05|4.644798029e+26|4.822903400e+26|4.996774249e+26|4.819764669e+26|4.819764669e+28|1.618398531e+32
3.218077346e+05|4.963496433e+26|5.105566132e+26|5.255042324e+26|5.115174139e+26|5.115174139e+28|1.723534882e+32
3.323403222e+05|5.315461347e+26|5.478695943e+26|5.633771263e+26|5.468950883e+26|5.468950883e+28|1.837302080e+32
3.434046181e+05|5.679674478e+26|5.848072887e+26|6.065991352e+26|5.876487131e+26|5.876487131e+28|1.960783897e+32
3.538344736e+05|6.025355163e+26|6.197773686e+26|6.377991309e+26|6.439139285e+26|6.439139285e+28|2.074877572e+32
3.638517885e+05|6.357631531e+26|6.541550280e+26|6.733298735e+26|6.532466897e+26|6.532466897e+28|2.193093213e+32
3.733800453e+05|6.769614753e+26|6.938122221e+26|7.135064631e+26|7.001029085e+26|7.001029085e+28|2.312650121e+32
3.837911267e+05|7.145517692e+26|7.378967308e+26|7.580899793e+26|7.338195505e+26|7.338195505e+28|2.449087101e+32
3.946179729e+05|7.542684616e+26|7.690116401e+26|7.890666074e+26|7.678048938e+26|7.678048938e+28|2.583141547e+32
4.033111423e+05|7.921033055e+26|8.072632316e+26|8.250959168e+26|8.077362920e+26|8.077362920e+28|2.703132151e+32
4.129964626e+05|8.296894640e+26|8.471532012e+26|8.676060171e+26|8.449167515e+26|8.449167515e+28|2.833194154e+32
4.201802079e+05|8.681759046e+26|8.838417549e+26|8.998304871e+26|8.823184743e+26|8.823184743e+28|2.935295753e+32
4.292984064e+05|8.926949434e+26|9.111467901e+26|9.320759777e+26|9.127674591e+26|9.127674591e+28|3.069864426e+32
4.370468088e+05|9.293081221e+26|9.478069498e+26|9.617016464e+26|9.382925925e+26|9.382925925e+28|3.171409035e+32
4.443831443e+05|9.564170854e+26|9.773363840e+26|9.960334814e+26|9.848491234e+26|9.848491234e+28|3.278598242e+32
4.530523655e+05|9.953604032e+26|1.014668004e+27|1.032977389e+27|1.013567393e+27|1.013567393e+29|3.406194140e+32
4.608153337e+05|1.027147185e+27|1.052341834e+27|1.071351139e+27|1.052045286e+27|1.052045286e+29|3.528989463e+32
4.689771198e+05|1.053525717e+27|1.085385242e+27|1.109025945e+27|1.082498287e+27|1.082498287e+29|3.649907116e+32
4.761558635e+05|1.113837979e+27|1.130023975e+27|1.147044582e+27|1.130383005e+27|1.130383005e+29|3.760642008e+32
4.832934747e+05|1.135147179e+27|1.156259652e+27|1.184414982e+27|1.159465187e+27|1.159465187e+29|3.881621864e+32
4.919573321e+05|1.178279843e+27|1.206752617e+27|1.234333606e+27|1.207424736e+27|1.207424736e+29|4.022079931e+32
4.988411259e+05|1.210693541e+27|1.230997964e+27|1.257941795e+27|1.232053988e+27|1.232053988e+29|4.139212591e+32
5.055135639e+05|1.246652699e+27|1.269896888e+27|1.287964443e+27|1.261676189e+27|1.261676189e+29|4.244815162e+32
5.132732563e+05|1.289400695e+27|1.308326520e+27|1.339260251e+27|1.311286778e+27|1.311286778e+29|4.377963492e+32
5.208490069e+05|1.317068646e+27|1.343649939e+27|1.364317561e+27|1.338095428e+27|1.338095428e+29|4.506035711e+32
5.276570094e+05|1.351733526e+27|1.377428939e+27|1.400393049e+27|1.376813981e+27|1.376813981e+29|4.631215357e+32
5.340864309e+05|1.383992709e+27|1.404991185e+27|1.438803697e+27|1.404205242e+27|1.404205242e+29|4.738132748e+32
5.401733656e+05|1.429654895e+27|1.449418113e+27|1.475156935e+27|1.468162153e+27|1.468162153e+29|4.853805160e+32
5.469366020e+05|1.457554997e+27|1.481406948e+27|1.509012436e+27|1.494545413e+27|1.494545413e+29|4.971250591e+32
5.534462216e+05|1.490933309e+27|1.515149959e+27|1.534655621e+27|1.515016582e+27|1.515016582e+29|5.087803089e+32
5.602794255e+05|1.525712900e+27|1.557108375e+27|1.579048140e+27|1.560540406e+27|1.560540406e+29|5.206737702e+32
5.660755993e+05|1.557936389e+27|1.581961088e+27|1.609901413e+27|1.580182493e+27|1.580182493e+29|5.322647346e+32
5.728143920e+05|1.596875680e+27|1.620231350e+27|1.648987481e+27|1.631260545e+27|1.631260545e+29|5.447478951e+32
5.797022535e+05|1.638139999e+27|1.659061522e+27|1.686130597e+27|1.654802672e+27|1.654802672e+29|5.571748163e+32
5.857661541e+05|1.660816176e+27|1.699981992e+27|1.727363343e+27|1.698435736e+27|1.698435736e+29|5.691425871e+32
5.918582431e+05|1.712513223e+27|1.734432186e+27|1.751751519e+27|1.732421694e+27|1.732421694e+29|5.826712494e+32
5.985344195e+05|1.738001804e+27|1.773658618e+27|1.796236279e+27|1.770246850e+27|1.770246850e+29|5.950524926e+32
6.042616653e+05|1.771735523e+27|1.799687800e+27|1.822503674e+27|1.775683793e+27|1.775683793e+29|6.048373490e+32
6.097199435e+05|1.812858120e+27|1.834780520e+27|1.875951903e+27|1.851936194e+27|1.851936194e+29|6.172085138e+32
6.169767180e+05|1.866212755e+27|1.894672906e+27|1.912114317e+27|1.886398406e+27|1.886398406e+29|6.317171952e+32
6.229759874e+05|1.887960251e+27|1.923158403e+27|1.949380363e+27|1.908770442e+27|1.908770442e+29|6.440512880e+32
6.287277792e+05|1.936216726e+27|1.960240399e+27|1.993336504e+27|1.957537397e+27|1.957537397e+29|6.584459363e+32
6.341945425e+05|1.962828507e+27|1.996913394e+27|2.022929114e+27|2.001694129e+27|2.001694129e+29|6.683987367e+32
6.391913533e+05|1.979657150e+27|2.015487088e+27|2.034506203e+27|1.995209953e+27|1.995209953e+29|6.767614453e+32
6.448122651e+05|2.020562421e+27|2.053818588e+27|2.080856336e+27|2.047396191e+27|2.047396191e+29|6.880882462e+32
6.500113923e+05|2.068216937e+27|2.088916028e+27|2.120617913e+27|2.090737167e+27|2.090737167e+29|7.018123829e+32
6.555837530e+05|2.098279794e+27|2.125939646e+27|2.153961788e+27|2.138975025e+27|2.138975025e+29|7.122511292e+32
6.609114871e+05|2.132152749e+27|2.155917078e+27|2.184235052e+27|2.148355537e+27|2.148355537e+29|7.275773710e+32
6.660961811e+05|2.165139405e+27|2.199720391e+27|2.229334494e+27|2.198223472e+27|2.198223472e+29|7.376810466e+32
6.717219625e+05|2.204061108e+27|2.239001421e+27|2.256817274e+27|2.268590557e+27|2.268590557e+29|7.494774890e+32
6.771426583e+05|2.235393203e+27|2.271976415e+27|2.307770204e+27|2.264245646e+27|2.264245646e+29|7.623396560e+32
6.836894722e+05|2.281223957e+27|2.314453352e+27|2.347833368e+27|2.309295312e+27|2.309295312e+29|7.775071820e+32
6.899303899e+05|2.325314249e+27|2.353728828e+27|2.382667506e+27|2.356947360e+27|2.356947360e+29|7.906672142e+32
6.945861500e+05|2.361559576e+27|2.388118157e+27|2.408025024e+27|2.388609005e+27|2.388609005e+29|8.021136877e+32
6.995496052e+05|2.387449457e+27|2.422502781e+27|2.458194264e+27|2.420750806e+27|2.420750806e+29|8.128612025e+32
7.043320450e+05|2.431257435e+27|2.459608328e+27|2.488175325e+27|2.451323853e+27|2.451323853e+29|8.251866319e+32
7.093516247e+05|2.465501174e+27|2.495419599e+27|2.524882793e+27|2.487356392e+27|2.487356392e+29|8.362035910e+32
7.146288967e+05|2.505311332e+27|2.531820180e+27|2.565434680e+27|2.539129244e+27|2.539129244e+29|8.490581521e+32
7.197267465e+05|2.533185627e+27|2.560562407e+27|2.592438175e+27|2.564894873e+27|2.564894873e+29|8.592482920e+32
7.257382517e+05|2.575402938e+27|2.605409544e+27|2.639178100e+27|2.607398054e+27|2.607398054e+29|8.769151772e+32
7.307869613e+05|2.611066240e+27|2.637412905e+27|2.679112553e+27|2.639195066e+27|2.639195066e+29|8.862621452e+32
7.357311232e+05|2.656440265e+27|2.691770066e+27|2.711801855e+27|2.686066818e+27|2.686066818e+29|8.995523183e+32
7.408357308e+05|2.684171605e+27|2.714394552e+27|2.751560324e+27|2.703389111e+27|2.703389111e+29|9.112172336e+32
7.456592773e+05|2.725814015e+27|2.766228963e+27|2.794416922e+27|2.765448565e+27|2.765448565e+29|9.240061651e+32
7.503610385e+05|2.754430746e+27|2.790768481e+27|2.820194123e+27|2.762136089e+27|2.762136089e+29|9.339687523e+32
7.553499944e+05|2.791789106e+27|2.824142184e+27|2.864007969e+27|2.820917975e+27|2.820917975e+29|9.481918384e+32
7.601246003e+05|2.820266760e+27|2.859602146e+27|2.896212268e+27|2.847946593e+27|2.847946593e+29|9.588495078e+32
7.651340989e+05|2.864718318e+27|2.897633557e+27|2.922778738e+27|2.899014443e+27|2.899014443e+29|9.733529997e+32
7.694163510e+05|2.892717630e+27|2.929440187e+27|2.967725552e+27|2.925045876e+27|2.925045876e+29|9.796821806e+32
7.737198058e+05|2.920239501e+27|2.952945052e+27|2.995704163e+27|2.946955059e+27|2.946955059e+29|9.952937502e+32
7.784450874e+05|2.957123949e+27|2.995934246e+27|3.037450908e+27|2.986398707e+27|2.986398707e+29|1.005174463e+33
7.830074129e+05|2.995410034e+27|3.034706145e+27|3.068413906e+27|3.038503790e+27|3.038503790e+29|1.020295386e+33
7.877374404e+05|3.044909080e+27|3.080774880e+27|3.113086146e+27|3.093147098e+27|3.093147098e+29|1.030726837e+33
7.923715132e+05|3.070901851e+27|3.102510474e+27|3.150239146e+27|3.084834421e+27|3.084834421e+29|1.043884631e+33
7.974985226e+05|3.119862194e+27|3.153648082e+27|3.179485675e+27|3.166082092e+27|3.166082092e+29|1.056957353e+33
8.026345542e+05|3.142510781e+27|3.185340371e+27|3.223927546e+27|3.188803417e+27|3.188803417e+29|1.069609243e+33
8.069767289e+05|3.189982355e+27|3.228378367e+27|3.267252709e+27|3.279493998e+27|3.279493998e+29|1.079191626e+33
8.115724850e+05|3.235473867e+27|3.259005061e+27|3.292720691e+27|3.255388307e+27|3.255388307e+29|1.094027190e+33
