#RRR|P25fit|P50fit|P75fit|P25model|P50model|P75model
2.517219991e+05|1.716060498e+11|1.727579275e+11|1.738432232e+11|0.000000|0.000000|0.000000
3.851580085e+05|1.701784379e+11|1.713032413e+11|1.723700793e+11|0.000000|0.000000|0.000000
4.592481014e+05|1.692089630e+11|1.703215633e+11|1.713809219e+11|0.000000|0.000000|0.000000
5.097250801e+05|1.684747727e+11|1.695793806e+11|1.706340333e+11|0.000000|0.000000|0.000000
5.585174643e+05|1.677076814e+11|1.688044561e+11|1.698545461e+11|0.000000|0.000000|0.000000
5.964607745e+05|1.670718412e+11|1.681622893e+11|1.692086792e+11|0.000000|0.000000|0.000000
6.269957965e+05|1.665350146e+11|1.676201461e+11|1.686633955e+11|0.000000|0.000000|0.000000
6.631867831e+05|1.658695818e+11|1.669480856e+11|1.679873670e+11|0.000000|0.000000|0.000000
6.904523181e+05|1.653472726e+11|1.664205131e+11|1.674565977e+11|0.000000|0.000000|0.000000
7.145911640e+05|1.648697554e+11|1.659381220e+11|1.669712105e+11|0.000000|0.000000|0.000000
7.372506135e+05|1.644085599e+11|1.654721564e+11|1.665022803e+11|0.000000|0.000000|0.000000
7.635549397e+05|1.638574185e+11|1.649152288e+11|1.659417170e+11|0.000000|0.000000|0.000000
7.871546089e+05|1.633485015e+11|1.644008853e+11|1.654239276e+11|0.000000|0.000000|0.000000
8.060543510e+05|1.629310652e+11|1.639789388e+11|1.649990930e+11|0.000000|0.000000|0.000000
8.241793219e+05|1.625224806e+11|1.635658900e+11|1.645831662e+11|0.000000|0.000000|0.000000
8.464624871e+05|1.620090596e+11|1.630467933e+11|1.640603857e+11|0.000000|0.000000|0.000000
8.664880617e+05|1.615371968e+11|1.625696541e+11|1.635797998e+11|0.000000|0.000000|0.000000
8.885712956e+05|1.610053563e+11|1.620318039e+11|1.630380020e+11|0.000000|0.000000|0.000000
9.071059411e+05|1.605496635e+11|1.615709150e+11|1.625736837e+11|0.000000|0.000000|0.000000
9.232525552e+05|1.601457482e+11|1.611623626e+11|1.621620601e+11|0.000000|0.000000|0.000000
9.414938395e+05|1.596816603e+11|1.606929157e+11|1.616890532e+11|0.000000|0.000000|0.000000
9.619288308e+05|1.591519607e+11|1.601570662e+11|1.611491074e+11|0.000000|0.000000|0.000000
9.800815639e+05|1.586727294e+11|1.596722482e+11|1.606605603e+11|0.000000|0.000000|0.000000
9.977187000e+05|1.581992753e+11|1.591932604e+11|1.601778739e+11|0.000000|0.000000|0.000000
1.013955517e+06|1.577565831e+11|1.587453874e+11|1.597265356e+11|0.000000|0.000000|0.000000
1.028578339e+06|1.573522927e+11|1.583363649e+11|1.593143469e+11|0.000000|0.000000|0.000000
1.045654540e+06|1.568734494e+11|1.578519221e+11|1.588261583e+11|0.000000|0.000000|0.000000
1.064197785e+06|1.563452657e+11|1.573175762e+11|1.582876938e+11|0.000000|0.000000|0.000000
1.080525560e+06|1.558731173e+11|1.568399398e+11|1.578063942e+11|0.000000|0.000000|0.000000
1.096852352e+06|1.553943786e+11|1.563556630e+11|1.573184278e+11|0.000000|0.000000|0.000000
1.111314194e+06|1.549647980e+11|1.559211416e+11|1.568806222e+11|0.000000|0.000000|0.000000
1.125694070e+06|1.545325063e+11|1.554839102e+11|1.564401161e+11|0.000000|0.000000|0.000000
1.141979030e+06|1.540367500e+11|1.549825354e+11|1.559350291e+11|0.000000|0.000000|0.000000
1.155900052e+06|1.536077453e+11|1.545487140e+11|1.554980377e+11|0.000000|0.000000|0.000000
1.171892298e+06|1.531089846e+11|1.540444128e+11|1.549901067e+11|0.000000|0.000000|0.000000
1.187066174e+06|1.526298913e+11|1.535600642e+11|1.545023338e+11|0.000000|0.000000|0.000000
1.202149592e+06|1.521480072e+11|1.530729664e+11|1.540118595e+11|0.000000|0.000000|0.000000
1.215897315e+06|1.517038953e+11|1.526241192e+11|1.535599657e+11|0.000000|0.000000|0.000000
1.229658182e+06|1.512546823e+11|1.521701896e+11|1.531030229e+11|0.000000|0.000000|0.000000
1.242887070e+06|1.508184280e+11|1.517294300e+11|1.526594074e+11|0.000000|0.000000|0.000000
1.256092925e+06|1.503786279e+11|1.512851674e+11|1.522123401e+11|0.000000|0.000000|0.000000
1.270954130e+06|1.498785597e+11|1.507801281e+11|1.517042078e+11|0.000000|0.000000|0.000000
1.285983151e+06|1.493673157e+11|1.502639214e+11|1.511849509e+11|0.000000|0.000000|0.000000
1.300122146e+06|1.488812778e+11|1.497732839e+11|1.506915242e+11|0.000000|0.000000|0.000000
1.313089203e+06|1.484312102e+11|1.493190651e+11|1.502348236e+11|0.000000|0.000000|0.000000
1.325855831e+06|1.479840698e+11|1.488679081e+11|1.497813014e+11|0.000000|0.000000|0.000000
1.337067922e+06|1.475880823e+11|1.484684564e+11|1.493798418e+11|0.000000|0.000000|0.000000
1.350261757e+06|1.471181636e+11|1.479945444e+11|1.489036570e+11|0.000000|0.000000|0.000000
1.362772167e+06|1.466686565e+11|1.475413412e+11|1.484483953e+11|0.000000|0.000000|0.000000
1.376819054e+06|1.461593903e+11|1.470280394e+11|1.479329028e+11|0.000000|0.000000|0.000000
1.390002277e+06|1.456770617e+11|1.465420425e+11|1.474449747e+11|0.000000|0.000000|0.000000
1.403332784e+06|1.451850443e+11|1.460464428e+11|1.469475540e+11|0.000000|0.000000|0.000000
1.414160852e+06|1.447822118e+11|1.456408012e+11|1.465405368e+11|0.000000|0.000000|0.000000
1.426924752e+06|1.443037088e+11|1.451591104e+11|1.460573509e+11|0.000000|0.000000|0.000000
1.438332146e+06|1.438727199e+11|1.447253925e+11|1.456224191e+11|0.000000|0.000000|0.000000
1.449934235e+06|1.434311468e+11|1.442811671e+11|1.451770836e+11|0.000000|0.000000|0.000000
1.462292375e+06|1.429572237e+11|1.438045632e+11|1.446994428e+11|0.000000|0.000000|0.000000
1.474344270e+06|1.424914991e+11|1.433363756e+11|1.442303958e+11|0.000000|0.000000|0.000000
