#RRR|U50|U25|U75|Umean|T50|T25|T75|Tmean|P50|P25|P75|Pmean|rho50|rho25|rho75|Pmean|S
2.507639718e+05|4.789379263e+06|4.800362070e+06|4.809696748e+06|4.800764853e+06|4.929214003e+03|4.934029679e+03|4.938116168e+03|4.934197275e+03|1.758304521e+11|1.763660729e+11|1.768214610e+11|1.763858661e+11|1.051706958e+04|1.052397754e+04|1.052983130e+04|1.052421582e+04|1.858466276e+03
3.817812304e+05|4.768211219e+06|4.776664009e+06|4.789989202e+06|4.778958799e+06|4.919914458e+03|4.923630771e+03|4.929481611e+03|4.924627603e+03|1.747979173e+11|1.752102541e+11|1.758602058e+11|1.753222193e+11|1.050373877e+04|1.050906689e+04|1.051745410e+04|1.051049512e+04|1.858466276e+03
4.553519259e+05|4.752935374e+06|4.761802186e+06|4.772725718e+06|4.762215053e+06|4.913180315e+03|4.917094171e+03|4.921899752e+03|4.917255524e+03|1.740530507e+11|1.744852764e+11|1.750181607e+11|1.745056596e+11|1.049408081e+04|1.049968994e+04|1.050658325e+04|1.049992773e+04|1.858466276e+03
5.070837075e+05|4.735808629e+06|4.747228794e+06|4.759824903e+06|4.748318125e+06|4.905602999e+03|4.910657317e+03|4.916223629e+03|4.911116669e+03|1.732182389e+11|1.737748660e+11|1.743888445e+11|1.738281479e+11|1.048323438e+04|1.049046924e+04|1.049844189e+04|1.049113281e+04|1.858466276e+03
5.544170320e+05|4.721575034e+06|4.730630307e+06|4.742483876e+06|4.734289857e+06|4.899293731e+03|4.903308887e+03|4.908558150e+03|4.904894651e+03|1.725243853e+11|1.729657840e+11|1.735435771e+11|1.731443999e+11|1.047419165e+04|1.047994824e+04|1.048746460e+04|1.048222168e+04|1.858466276e+03
5.939613039e+05|4.703545085e+06|4.716294538e+06|4.737223348e+06|4.719056642e+06|4.891275266e+03|4.896950307e+03|4.906229493e+03|4.898133500e+03|1.716456667e+11|1.722669888e+11|1.732871981e+11|1.724018934e+11|1.046271436e+04|1.047083301e+04|1.048412915e+04|1.047253906e+04|1.858466276e+03
6.303841151e+05|4.689675651e+06|4.704362437e+06|4.717102893e+06|4.705962808e+06|4.885083518e+03|4.891639832e+03|4.897309149e+03|4.892307412e+03|1.709699192e+11|1.716854788e+11|1.723063964e+11|1.717637937e+11|1.045385376e+04|1.046323291e+04|1.047135107e+04|1.046419922e+04|1.858466276e+03
6.686438740e+05|4.684637048e+06|4.691941465e+06|4.701989024e+06|4.694145082e+06|4.882831541e+03|4.886095763e+03|4.890581101e+03|4.887039882e+03|1.707244362e+11|1.710803170e+11|1.715698681e+11|1.711879529e+11|1.045063135e+04|1.045530713e+04|1.046171753e+04|1.045666113e+04|1.858466276e+03
6.998071913e+05|4.667201702e+06|4.678137359e+06|4.696062525e+06|4.681146292e+06|4.875028207e+03|4.879924493e+03|4.887936115e+03|4.881239629e+03|1.698748977e+11|1.704077616e+11|1.712811256e+11|1.705545713e+11|1.043946582e+04|1.044647314e+04|1.045793286e+04|1.044836035e+04|1.858466276e+03
7.329052080e+05|4.656613782e+06|4.667539304e+06|4.684481283e+06|4.670789395e+06|4.870273925e+03|4.875179459e+03|4.882761895e+03|4.876604884e+03|1.693592997e+11|1.698913450e+11|1.707168480e+11|1.700500005e+11|1.043267017e+04|1.043968311e+04|1.045053394e+04|1.044172754e+04|1.858466276e+03
7.667524342e+05|4.639049819e+06|4.649794364e+06|4.664467171e+06|4.652456395e+06|4.862365363e+03|4.867205353e+03|4.873802776e+03|4.868370080e+03|1.685042857e+11|1.690273096e+11|1.697416723e+11|1.691572253e+11|1.042136670e+04|1.042828223e+04|1.043771069e+04|1.042995312e+04|1.858466276e+03
7.935374597e+05|4.624684211e+06|4.636301079e+06|4.648808908e+06|4.639553153e+06|4.855884233e+03|4.861126140e+03|4.866761690e+03|4.862554618e+03|1.678049537e+11|1.683704519e+11|1.689793505e+11|1.685290194e+11|1.041210132e+04|1.041959131e+04|1.042764941e+04|1.042163965e+04|1.858466276e+03
8.214594766e+05|4.616368927e+06|4.627999237e+06|4.638764548e+06|4.627490255e+06|4.852127188e+03|4.857380846e+03|4.862236750e+03|4.857109942e+03|1.674000618e+11|1.679663288e+11|1.684903944e+11|1.679417263e+11|1.040672290e+04|1.041423730e+04|1.042117920e+04|1.041385840e+04|1.858466276e+03
8.507685019e+05|4.599191851e+06|4.609093751e+06|4.626445263e+06|4.609975526e+06|4.844328268e+03|4.848827306e+03|4.856679359e+03|4.849186250e+03|1.665641064e+11|1.670460399e+11|1.678906849e+11|1.670891290e+11|1.039559155e+04|1.040201514e+04|1.041323511e+04|1.040253711e+04|1.858466276e+03
8.781537609e+05|4.588358644e+06|4.599390444e+06|4.616783102e+06|4.603256309e+06|4.839399764e+03|4.844418555e+03|4.852314708e+03|4.846144942e+03|1.660368747e+11|1.665737723e+11|1.674202198e+11|1.667620197e+11|1.038855591e+04|1.039572656e+04|1.040699341e+04|1.039819336e+04|1.858466276e+03
9.029526942e+05|4.568536142e+06|4.582921148e+06|4.599711267e+06|4.581849806e+06|4.830364490e+03|4.836923520e+03|4.844564407e+03|4.836398427e+03|1.650720672e+11|1.657721898e+11|1.665893873e+11|1.657203232e+11|1.037565234e+04|1.038502197e+04|1.039593018e+04|1.038427734e+04|1.858466276e+03
9.277025178e+05|4.560029673e+06|4.572726141e+06|4.582247623e+06|4.571344397e+06|4.826470313e+03|4.832276186e+03|4.836616679e+03|4.831615659e+03|1.646583041e+11|1.652760008e+11|1.657393990e+11|1.652090503e+11|1.037010034e+04|1.037838037e+04|1.038458521e+04|1.037744727e+04|1.858466276e+03
