#R_planet
5.431648207e+06
#RRR|RRR50|RR|RR50|U25|U50|U75|Umean|U25mean|U75mean|deltaU25|deltaU50|deltaU75|deltaUmean|deltaU25mean|deltaU75mean|S25|S50|S75|Smean|S25mean|S75mean|deltaS25|deltaS50|delatS75|deltaSmean|deltaS25mean|deltaS75mean|T25|T50|T75|Tmean|T25mean|T75mean|deltaT25|deltaT50|deltaT75|deltaTmean|deltaT25|deltaT75|P25|P50|P75|Pmean|P25mean|P75mean|deltaP25|deltaP50|deltaP75|deltaPmean|deltaP25mean|deltaP75mean|rho25|rho50|rho75|rhomean|rho25mean|rho75mean
2.900156841e+06|2.901666403e+06|2.885560814e+06|2.887094610e+06|6.574270500e+06|6.668944500e+06|6.753495375e+06|6.672704500e+06|6.573223000e+06|6.772186000e+06|2.855403750e+05|4.439212500e+05|1.572773875e+06|7.389126250e+05|2.766065312e+05|1.201218625e+06|2.914364135e+03|2.950463497e+03|2.975633339e+03|2.947393435e+03|2.918480407e+03|2.976306463e+03|9.448343989e+01|1.304475576e+02|1.557425779e+02|1.274276010e+02|9.852108323e+01|1.563341188e+02|3.274884557e+03|3.346365258e+03|3.398695821e+03|3.341785809e+03|3.281225422e+03|3.402346196e+03|2.186230559e+02|2.992362168e+02|3.887241385e+02|3.073323293e+02|2.114965342e+02|4.031681244e+02|8.865825178e+10|8.943981363e+10|9.026648678e+10|8.961804698e+10|8.849804493e+10|9.073806541e+10|-7.645450240e+08|1.297641472e+09|2.781304730e+10|8.728393728e+09|-9.040058880e+08|1.836079309e+10|4.810653198e+03|4.821779541e+03|4.830122559e+03|4.822248535e+03|4.808937012e+03|4.835560059e+03
2.908865238e+06|2.909126153e+06|2.888694414e+06|2.891440534e+06|6.499741000e+06|6.592227750e+06|6.688687625e+06|6.609008500e+06|6.498395000e+06|6.719625000e+06|1.931181250e+05|3.295557500e+05|1.523377375e+06|6.750797500e+05|1.743165156e+05|1.175843000e+06|2.901065132e+03|2.936267582e+03|2.961823667e+03|2.940809059e+03|2.906335962e+03|2.975282156e+03|8.098503789e+01|1.161283544e+02|1.418898466e+02|1.208388478e+02|8.636774400e+01|1.553099516e+02|3.243584704e+03|3.311638296e+03|3.365503855e+03|3.322956557e+03|3.250455109e+03|3.395458005e+03|1.645537079e+02|2.723712216e+02|3.854442863e+02|2.885351793e+02|1.750232502e+02|4.020471084e+02|8.789979136e+10|8.856730829e+10|8.925247078e+10|8.860140339e+10|8.772364698e+10|8.947915162e+10|-2.208616448e+09|-4.341760000e+07|2.732703744e+10|7.708324864e+09|-2.226169600e+09|1.764281754e+10|4.802815552e+03|4.811086914e+03|4.820348633e+03|4.811107422e+03|4.800578125e+03|4.821637207e+03
2.913023487e+06|2.912893788e+06|2.894944670e+06|2.900442169e+06|6.466827750e+06|6.590833250e+06|6.686617625e+06|6.594957500e+06|6.471924000e+06|6.717988500e+06|1.588648750e+05|3.833887500e+05|1.664587000e+06|8.654265000e+05|1.791238438e+05|1.551729125e+06|2.911028250e+03|2.940976472e+03|2.971626969e+03|2.943543462e+03|2.911716352e+03|2.975370572e+03|9.093853865e+01|1.210503496e+02|1.515816032e+02|1.235684633e+02|9.174938582e+01|1.553875407e+02|3.255784901e+03|3.320505282e+03|3.385533526e+03|3.325490302e+03|3.256455377e+03|3.394525228e+03|1.783348746e+02|2.771782521e+02|4.537065970e+02|3.183341573e+02|1.823101106e+02|4.543582040e+02|8.728941773e+10|8.815051571e+10|8.897797530e+10|8.813554074e+10|8.711944602e+10|8.915162726e+10|-1.798477824e+09|1.283977216e+09|2.821244314e+10|1.178922496e+10|-1.964776320e+09|2.554322534e+10|4.796393433e+03|4.805442627e+03|4.813335205e+03|4.805220215e+03|4.794173340e+03|4.816267090e+03
2.917301918e+06|2.917257860e+06|2.897731765e+06|2.901237835e+06|6.494899000e+06|6.591815500e+06|6.690432875e+06|6.606013500e+06|6.484667500e+06|6.727360500e+06|1.725306250e+05|3.125937500e+05|1.475598875e+06|6.469777500e+05|1.567118125e+05|1.137243625e+06|2.917926519e+03|2.944025560e+03|2.972313386e+03|2.950809529e+03|2.916697354e+03|2.984921704e+03|9.797019664e+01|1.240976835e+02|1.523537039e+02|1.308189194e+02|9.671473655e+01|1.649231022e+02|3.269026489e+03|3.323004203e+03|3.383372867e+03|3.339533550e+03|3.267461844e+03|3.411605257e+03|1.959467244e+02|2.690859047e+02|3.956996880e+02|3.018862184e+02|1.910947758e+02|4.126776609e+02|8.675510272e+10|8.785856922e+10|8.882390426e+10|8.791701914e+10|8.670729830e+10|8.912673997e+10|-2.898001920e+09|-8.613519360e+08|2.492900250e+10|6.466132480e+09|-3.087713280e+09|1.601997926e+10|4.790014771e+03|4.801149902e+03|4.811142456e+03|4.801569336e+03|4.787426758e+03|4.815710938e+03
2.921099487e+06|2.920960957e+06|2.903796259e+06|2.905845219e+06|6.491017000e+06|6.572314000e+06|6.659232125e+06|6.611033500e+06|6.477178000e+06|6.744889500e+06|1.526601250e+05|3.470562500e+05|1.602311000e+06|7.650320625e+05|1.488922344e+05|1.381171875e+06|2.920108081e+03|2.944063584e+03|2.971235733e+03|2.959353782e+03|2.919395227e+03|2.999312336e+03|1.001297292e+02|1.241932694e+02|1.512304302e+02|1.393843050e+02|9.942776288e+01|1.793408472e+02|3.279364695e+03|3.321217086e+03|3.380578213e+03|3.355388094e+03|3.270651924e+03|3.440124264e+03|1.920175237e+02|2.612860375e+02|4.566133537e+02|3.327009811e+02|1.885976165e+02|4.768043456e+02|8.657610547e+10|8.775032422e+10|8.826626662e+10|8.746936730e+10|8.636018688e+10|8.857853952e+10|-2.869219328e+09|-3.753000960e+08|2.676182733e+10|8.532051968e+09|-3.243363328e+09|2.030746829e+10|4.783490356e+03|4.797435303e+03|4.806695435e+03|4.795009766e+03|4.780455078e+03|4.809564453e+03
2.925170065e+06|2.924883965e+06|2.910765923e+06|2.917555112e+06|6.493877125e+06|6.579235500e+06|6.676441750e+06|6.593800500e+06|6.469831500e+06|6.717767500e+06|2.281000000e+05|4.042217500e+05|1.450394250e+06|7.222536875e+05|2.115818594e+05|1.232925375e+06|2.935719294e+03|2.950718578e+03|2.972719193e+03|2.958558390e+03|2.929196473e+03|2.987920307e+03|1.158032774e+02|1.306720373e+02|1.527145198e+02|1.385744498e+02|1.092216600e+02|1.679272396e+02|3.296508527e+03|3.333329786e+03|3.381894393e+03|3.350794739e+03|3.286000273e+03|3.415589206e+03|2.278576132e+02|2.924277194e+02|4.265904795e+02|3.244764711e+02|2.190245027e+02|4.299284395e+02|8.614730752e+10|8.759291085e+10|8.840380211e+10|8.717828096e+10|8.569555354e+10|8.866102477e+10|-2.721220608e+09|-7.084032000e+07|2.505510912e+10|7.672977920e+09|-2.922589952e+09|1.826854707e+10|4.777357178e+03|4.794798828e+03|4.806440430e+03|4.791654785e+03|4.774252441e+03|4.809057129e+03
2.929024322e+06|2.928912472e+06|2.914792248e+06|2.919628254e+06|6.493444250e+06|6.566286500e+06|6.669324375e+06|6.600888500e+06|6.480825500e+06|6.720950500e+06|1.875633750e+05|3.678457500e+05|1.538296250e+06|7.285462500e+05|1.777309531e+05|1.279361500e+06|2.923123524e+03|2.947448222e+03|2.983062443e+03|2.961873068e+03|2.921807896e+03|3.001938241e+03|1.031354816e+02|1.274997429e+02|1.630208914e+02|1.418954900e+02|1.018286040e+02|1.819623759e+02|3.271864938e+03|3.327243041e+03|3.399068540e+03|3.358022762e+03|3.274429438e+03|3.441616086e+03|2.038933862e+02|2.966425545e+02|4.410950596e+02|3.318023655e+02|2.001543804e+02|4.634503506e+02|8.625173299e+10|8.742633882e+10|8.801655194e+10|8.710058803e+10|8.596351386e+10|8.823766221e+10|-3.074691072e+09|-1.035116544e+09|2.576117146e+10|7.577729024e+09|-3.176616960e+09|1.833207808e+10|4.777110107e+03|4.795553467e+03|4.804980347e+03|4.790244629e+03|4.773578125e+03|4.806911621e+03
2.933811570e+06|2.933760970e+06|2.919244849e+06|2.925692728e+06|6.431126375e+06|6.518348000e+06|6.622968375e+06|6.549287000e+06|6.415319000e+06|6.683254500e+06|1.143515000e+05|2.986810000e+05|1.462234000e+06|6.475747500e+05|9.655403906e+04|1.198595500e+06|2.922578434e+03|2.950275993e+03|2.979223228e+03|2.960530878e+03|2.923177317e+03|2.997884438e+03|1.025839181e+02|1.303067494e+02|1.592847013e+02|1.405492407e+02|1.031959024e+02|1.779025789e+02|3.269065660e+03|3.327675033e+03|3.391833178e+03|3.348854528e+03|3.268017536e+03|3.429691521e+03|1.837804746e+02|2.816907107e+02|4.238722904e+02|3.187289692e+02|1.898813862e+02|4.475765522e+02|8.516589363e+10|8.610839347e+10|8.707375923e+10|8.605184000e+10|8.473392742e+10|8.736976896e+10|-4.378486784e+09|-1.965658112e+09|2.498191770e+10|5.875561472e+09|-4.945746432e+09|1.669686989e+10|4.767399414e+03|4.780572266e+03|4.791918701e+03|4.777800293e+03|4.761319824e+03|4.794279785e+03
2.968289781e+06|2.943309211e+06|2.953384528e+06|2.936175200e+06|5.488275625e+06|6.512647500e+06|6.606143000e+06|6.260900500e+06|5.882640000e+06|6.639160500e+06|2.234028750e+05|3.864360000e+05|5.756951250e+05|5.246043750e+05|7.361521875e+04|9.755936250e+05|2.960784248e+03|2.981092437e+03|2.996050317e+03|2.981525751e+03|2.953835018e+03|3.009216485e+03|1.408085227e+02|1.611123576e+02|1.760732491e+02|1.615519274e+02|1.338537168e+02|1.892501379e+02|3.236559306e+03|3.351926735e+03|3.417038963e+03|3.340578172e+03|3.247302409e+03|3.433853936e+03|2.609480333e+02|3.157419355e+02|4.055119252e+02|3.329423483e+02|2.437103097e+02|4.221743869e+02|6.169127117e+10|8.438697984e+10|8.582204416e+10|7.844555981e+10|7.093732147e+10|8.595381453e+10|-5.313961984e+09|-1.377873920e+09|5.058228224e+09|1.950972288e+09|-8.350074368e+09|1.225201664e+10|4.457514282e+03|4.754089355e+03|4.772505127e+03|4.674699219e+03|4.574898926e+03|4.774499512e+03
3.057159213e+06|3.057934084e+06|3.039173266e+06|3.041368755e+06|5.222012875e+06|5.331835250e+06|5.402635500e+06|5.328366500e+06|5.224094000e+06|5.432639500e+06|1.969595000e+05|3.499787500e+05|4.791408750e+05|1.964630625e+05|-1.116184922e+05|5.045445938e+05|2.910994155e+03|2.950466167e+03|2.978648429e+03|2.949517530e+03|2.913141994e+03|2.985893066e+03|9.094296014e+01|1.304216718e+02|1.587458263e+02|1.295164972e+02|9.314844899e+01|1.658845453e+02|3.076138572e+03|3.154278307e+03|3.202908445e+03|3.150627644e+03|3.079346337e+03|3.221908951e+03|1.411536811e+02|2.146741942e+02|2.961737308e+02|2.253171540e+02|1.430719023e+02|3.075624057e+02|5.955477299e+10|5.998557184e+10|6.036874445e+10|5.991156941e+10|5.940235878e+10|6.042078003e+10|-8.490362880e+08|4.185210880e+08|2.552899584e+09|-3.131703296e+09|-9.257829376e+09|2.994422528e+09|4.425416870e+03|4.430010742e+03|4.437875854e+03|4.430732422e+03|4.422258301e+03|4.439206055e+03
