#RRR|U50|U25|U75|Umean|T50|T25|T75|Tmean|P50|P25|P75|Pmean|rho50|rho25|rho75|Pmean|S
2.523084891e+05|6.655128059e+06|6.667065575e+06|6.674722373e+06|6.665638325e+06|8.431187473e+03|8.439003304e+03|8.444012895e+03|8.438062603e+03|1.957808470e+11|1.962964153e+11|1.966271186e+11|1.962348326e+11|1.034762769e+04|1.035412549e+04|1.035829102e+04|1.035334473e+04|2.187195211e+03
3.837235207e+05|6.627343530e+06|6.637125480e+06|6.643895637e+06|6.635974893e+06|8.412917265e+03|8.419358574e+03|8.423813976e+03|8.418596274e+03|1.945821530e+11|1.950040540e+11|1.952960610e+11|1.949544729e+11|1.033245825e+04|1.033780322e+04|1.034150391e+04|1.033717090e+04|2.187195211e+03
4.566522940e+05|6.603943629e+06|6.613565145e+06|6.621679311e+06|6.611838169e+06|8.397490082e+03|8.403836577e+03|8.409185344e+03|8.402689975e+03|1.935730207e+11|1.939879325e+11|1.943378794e+11|1.939135386e+11|1.031964355e+04|1.032492041e+04|1.032936011e+04|1.032396387e+04|2.187195211e+03
5.104148942e+05|6.585363981e+06|6.596918238e+06|6.606866318e+06|6.596470159e+06|8.385203073e+03|8.392853230e+03|8.399418406e+03|8.392541056e+03|1.927722516e+11|1.932700407e+11|1.936990529e+11|1.932509950e+11|1.030944897e+04|1.031579150e+04|1.032124585e+04|1.031553809e+04|2.187195211e+03
5.560782759e+05|6.564578885e+06|6.577405559e+06|6.589760643e+06|6.577129119e+06|8.371408622e+03|8.379923774e+03|8.388118334e+03|8.379727307e+03|1.918771439e+11|1.924295043e+11|1.929615933e+11|1.924177406e+11|1.029800684e+04|1.030507031e+04|1.031186084e+04|1.030490723e+04|2.187195211e+03
5.948023271e+05|6.551327947e+06|6.562613600e+06|6.573789250e+06|6.559685875e+06|8.362603441e+03|8.370103238e+03|8.377523847e+03|8.368138587e+03|1.913065438e+11|1.917925074e+11|1.922737571e+11|1.916666542e+11|1.029070776e+04|1.029693018e+04|1.030307666e+04|1.029529785e+04|2.187195211e+03
6.282483775e+05|6.536972312e+06|6.548601833e+06|6.558417610e+06|6.547975891e+06|8.353053573e+03|8.360790892e+03|8.367315546e+03|8.360361667e+03|1.906884193e+11|1.911891650e+11|1.916118205e+11|1.911623647e+11|1.028277930e+04|1.028920068e+04|1.029461572e+04|1.028884668e+04|2.187195211e+03
6.610852573e+05|6.517577834e+06|6.530476005e+06|6.543059752e+06|6.530114709e+06|8.340089017e+03|8.348713051e+03|8.357104926e+03|8.348450329e+03|1.898544268e+11|1.904090860e+11|1.909505180e+11|1.903938290e+11|1.027204492e+04|1.027918311e+04|1.028614307e+04|1.027897266e+04|2.187195211e+03
6.919732574e+05|6.508301647e+06|6.519094215e+06|6.528779850e+06|6.519051348e+06|8.333881689e+03|8.341103324e+03|8.347579429e+03|8.341060261e+03|1.894555795e+11|1.899196373e+11|1.903361469e+11|1.899179530e+11|1.026690088e+04|1.027288379e+04|1.027824561e+04|1.027284961e+04|2.187195211e+03
7.207185124e+05|6.493782322e+06|6.503258415e+06|6.512721665e+06|6.501664446e+06|8.324157323e+03|8.330505110e+03|8.336839944e+03|8.329416006e+03|1.888313131e+11|1.892387313e+11|1.896456364e+11|1.891704394e+11|1.025884717e+04|1.026410693e+04|1.026935156e+04|1.026320508e+04|2.187195211e+03
7.482557517e+05|6.472226218e+06|6.487064902e+06|6.501406086e+06|6.489210042e+06|8.309676482e+03|8.319654814e+03|8.329264662e+03|8.321063757e+03|1.879050812e+11|1.885424890e+11|1.891590922e+11|1.886351103e+11|1.024685254e+04|1.025511719e+04|1.026307983e+04|1.025628711e+04|2.187195211e+03
7.785095980e+05|6.455821918e+06|6.472256909e+06|6.483990236e+06|6.469354777e+06|8.298618285e+03|8.309697159e+03|8.317593205e+03|8.307707401e+03|1.872007527e+11|1.879063990e+11|1.884102790e+11|1.877821883e+11|1.023770532e+04|1.024687109e+04|1.025340332e+04|1.024523047e+04|2.187195211e+03
8.033669081e+05|6.447810167e+06|6.457908461e+06|6.473432160e+06|6.459242414e+06|8.293212656e+03|8.300025571e+03|8.310488875e+03|8.300888380e+03|1.868567797e+11|1.872903352e+11|1.879568621e+11|1.873480201e+11|1.023323730e+04|1.023887012e+04|1.024752637e+04|1.023958887e+04|2.187195211e+03
8.286424289e+05|6.434566326e+06|6.444037105e+06|6.458144726e+06|6.444602752e+06|8.284269930e+03|8.290665852e+03|8.300184905e+03|8.291020938e+03|1.862882188e+11|1.866948017e+11|1.873004785e+11|1.867193765e+11|1.022583130e+04|1.023112842e+04|1.023900171e+04|1.023142285e+04|2.187195211e+03
