#R_planet
6.142111985e+06
#RRR|RRR50|RR|RR50|U25|U50|U75|Umean|U25mean|U75mean|deltaU25|deltaU50|deltaU75|deltaUmean|deltaU25mean|deltaU75mean|S25|S50|S75|Smean|S25mean|S75mean|deltaS25|deltaS50|delatS75|deltaSmean|deltaS25mean|deltaS75mean|T25|T50|T75|Tmean|T25mean|T75mean|deltaT25|deltaT50|deltaT75|deltaTmean|deltaT25|deltaT75|P25|P50|P75|Pmean|P25mean|P75mean|deltaP25|deltaP50|deltaP75|deltaPmean|deltaP25mean|deltaP75mean|rho25|rho50|rho75|rhomean|rho25mean|rho75mean
3.134836352e+06|3.137320759e+06|3.134836352e+06|3.137320759e+06|7.354652375e+06|7.602841000e+06|7.906742375e+06|7.699277500e+06|7.377148000e+06|8.021407500e+06|2.675852000e+06|3.011677500e+06|3.412602875e+06|3.010820500e+06|2.514900250e+06|3.506739750e+06|3.312053871e+03|3.363224454e+03|3.446040358e+03|3.397000233e+03|3.312805321e+03|3.481195144e+03|4.919651882e+02|5.431136682e+02|6.259336190e+02|5.768996780e+02|4.927007256e+02|6.610986305e+02|3.878766669e+03|3.905201859e+03|3.924383194e+03|3.910721009e+03|3.877769433e+03|3.943672585e+03|1.007432421e+03|1.064939962e+03|1.119881580e+03|1.065787469e+03|9.714938861e+02|1.160081053e+03|7.975223501e+10|8.221177856e+10|8.403783475e+10|8.219038515e+10|7.969226752e+10|8.468849459e+10|2.442411213e+10|3.207677747e+10|3.748768154e+10|2.923783987e+10|1.706067866e+10|4.141500416e+10|4.627487061e+03|4.644955078e+03|4.674237305e+03|4.650987305e+03|4.619880371e+03|4.682094238e+03
3.152555359e+06|3.152781982e+06|3.152555359e+06|3.152781982e+06|7.418489875e+06|7.590618250e+06|7.867037500e+06|7.650869000e+06|7.368722500e+06|7.933015000e+06|2.669893500e+06|2.997338750e+06|3.379409688e+06|2.985129000e+06|2.497517000e+06|3.472741000e+06|3.347202198e+03|3.407713896e+03|3.486967734e+03|3.425474813e+03|3.347742454e+03|3.503207171e+03|5.270998514e+02|5.876108009e+02|6.668461898e+02|6.053768972e+02|5.276431344e+02|6.831106600e+02|3.855088867e+03|3.871519586e+03|3.893761969e+03|3.875955933e+03|3.852644084e+03|3.899267782e+03|9.793464065e+02|1.029720845e+03|1.091787814e+03|1.031218692e+03|9.478588010e+02|1.114578582e+03|7.759412019e+10|7.909001216e+10|8.109768909e+10|7.944528691e+10|7.737479168e+10|8.151579853e+10|2.200709120e+10|2.855885414e+10|3.554610995e+10|2.694909952e+10|1.602076262e+10|3.787743642e+10|4.584327271e+03|4.606868408e+03|4.633972656e+03|4.608979492e+03|4.580234863e+03|4.637724121e+03
3.165092408e+06|3.165375870e+06|3.165092408e+06|3.165375870e+06|7.222810750e+06|7.398780250e+06|7.820188625e+06|7.522003000e+06|7.188080500e+06|7.855925000e+06|2.681359750e+06|2.953902000e+06|3.467208625e+06|3.032732250e+06|2.505952750e+06|3.559511250e+06|3.334033874e+03|3.384544100e+03|3.500367049e+03|3.418571715e+03|3.333076380e+03|3.504067050e+03|5.139461815e+02|5.644370392e+02|6.802948066e+02|5.984688354e+02|5.129731155e+02|6.839645553e+02|3.833807434e+03|3.847540174e+03|3.867581828e+03|3.854523740e+03|3.827231489e+03|3.881815992e+03|9.794722281e+02|1.016646475e+03|1.098004100e+03|1.044179025e+03|9.504099609e+02|1.137948090e+03|7.570329600e+10|7.691633050e+10|7.859492659e+10|7.720295629e+10|7.513959629e+10|7.926632448e+10|2.201922355e+10|2.774815334e+10|3.712931635e+10|2.879393587e+10|1.781428429e+10|3.977359360e+10|4.560156250e+03|4.577833740e+03|4.597848389e+03|4.581181641e+03|4.558734863e+03|4.603628418e+03
3.176392236e+06|3.175960584e+06|3.176392236e+06|3.175960584e+06|7.198057875e+06|7.414795000e+06|7.725186125e+06|7.496612000e+06|7.189028000e+06|7.804197000e+06|2.559858125e+06|2.903177500e+06|3.278135312e+06|2.842651750e+06|2.288168250e+06|3.397135000e+06|3.352397403e+03|3.413623303e+03|3.505477333e+03|3.439303965e+03|3.355768233e+03|3.522839696e+03|5.322815840e+02|5.935197149e+02|6.853772960e+02|6.192006386e+02|5.356637417e+02|7.027375354e+02|3.809928407e+03|3.829471586e+03|3.849644261e+03|3.836068677e+03|3.808493567e+03|3.863643788e+03|9.421141205e+02|1.004555313e+03|1.060639743e+03|9.966392064e+02|9.056392370e+02|1.087639176e+03|7.360794010e+10|7.531245158e+10|7.697290035e+10|7.542928998e+10|7.348500890e+10|7.737355469e+10|1.805747507e+10|2.681412813e+10|3.273573683e+10|2.324660429e+10|1.135148646e+10|3.514171392e+10|4.531375854e+03|4.554027588e+03|4.576648071e+03|4.552637695e+03|4.526938965e+03|4.578336914e+03
3.188434444e+06|3.187971553e+06|3.188434444e+06|3.187971553e+06|7.172074250e+06|7.396770750e+06|7.659322375e+06|7.424422000e+06|7.131091000e+06|7.717753000e+06|2.317210750e+06|2.912718375e+06|3.332099312e+06|2.782334500e+06|2.116843750e+06|3.447825000e+06|3.371020176e+03|3.425807437e+03|3.499431603e+03|3.439175897e+03|3.362138411e+03|3.516213382e+03|5.509274795e+02|6.057214294e+02|6.793588830e+02|6.190760261e+02|5.420359760e+02|6.961160761e+02|3.793790753e+03|3.812306664e+03|3.831360800e+03|3.818758417e+03|3.789410567e+03|3.848106268e+03|9.119765857e+02|9.994971439e+02|1.080904578e+03|9.879732709e+02|8.661532498e+02|1.109793292e+03|7.222061261e+10|7.379461734e+10|7.547880448e+10|7.396599398e+10|7.185219584e+10|7.607978394e+10|1.546255872e+10|2.601607373e+10|3.538024448e+10|2.216492032e+10|6.921784320e+09|3.740805530e+10|4.510461426e+03|4.531245850e+03|4.555653198e+03|4.532666016e+03|4.505984863e+03|4.559346680e+03
3.203608963e+06|3.203657745e+06|3.203608963e+06|3.203657745e+06|7.089527500e+06|7.363993500e+06|7.621002375e+06|7.365278500e+06|7.035153500e+06|7.695405000e+06|2.240934625e+06|2.842276375e+06|3.414757688e+06|2.783855750e+06|2.104358750e+06|3.463352750e+06|3.371020323e+03|3.432346277e+03|3.516891307e+03|3.449936967e+03|3.360076653e+03|3.539797280e+03|5.509491646e+02|6.122398185e+02|6.967971708e+02|6.298373509e+02|5.399725178e+02|7.197021839e+02|3.766754899e+03|3.799027896e+03|3.815813830e+03|3.794979361e+03|3.763710577e+03|3.826248144e+03|8.841678518e+02|9.619877919e+02|1.063312904e+03|9.803495655e+02|8.476516296e+02|1.113047501e+03|7.009983078e+10|7.266917581e+10|7.408468787e+10|7.212738970e+10|6.975596134e+10|7.449881805e+10|1.258117325e+10|2.241526579e+10|3.424447181e+10|2.185427149e+10|5.917795840e+09|3.779074867e+10|4.475095947e+03|4.502944336e+03|4.529540405e+03|4.504708984e+03|4.472394043e+03|4.537023926e+03
3.219053158e+06|3.219177249e+06|3.219053158e+06|3.219177249e+06|6.920683625e+06|7.196250000e+06|7.600860375e+06|7.332699500e+06|6.902626500e+06|7.762774000e+06|2.348715875e+06|2.800400375e+06|3.306184562e+06|2.854269000e+06|2.161665000e+06|3.546872750e+06|3.358952803e+03|3.437986203e+03|3.546713094e+03|3.466396268e+03|3.354515430e+03|3.578277107e+03|5.388560100e+02|6.178872223e+02|7.266199304e+02|6.462956298e+02|5.344129777e+02|7.581782820e+02|3.743679026e+03|3.765798596e+03|3.791229278e+03|3.806334850e+03|3.739931125e+03|3.872738575e+03|8.865799853e+02|9.687014126e+02|1.102231561e+03|1.020252657e+03|8.519731890e+02|1.188532124e+03|6.804319232e+10|6.986591027e+10|7.214451507e+10|7.031957094e+10|6.776041882e+10|7.287872717e+10|1.259416371e+10|2.275904922e+10|3.708663808e+10|2.265018368e+10|5.683831808e+09|3.961654067e+10|4.454701172e+03|4.470931885e+03|4.498710815e+03|4.476017578e+03|4.448992676e+03|4.503041992e+03
3.238519968e+06|3.238287005e+06|3.238519968e+06|3.238287005e+06|6.924425125e+06|7.231854750e+06|7.515002875e+06|7.251970000e+06|6.895303500e+06|7.608635500e+06|2.377490500e+06|2.833694375e+06|3.623534562e+06|2.911879750e+06|2.120814750e+06|3.702944750e+06|3.388951814e+03|3.458580526e+03|3.527129813e+03|3.472836475e+03|3.380330511e+03|3.565342440e+03|5.688462102e+02|6.384538503e+02|7.070417923e+02|6.527318695e+02|5.602235758e+02|7.452401632e+02|3.714067256e+03|3.744896914e+03|3.775137423e+03|3.765056118e+03|3.713940617e+03|3.816171619e+03|8.632473705e+02|9.483932297e+02|1.080190839e+03|9.994845357e+02|8.386465598e+02|1.160322512e+03|6.566276506e+10|6.814336819e+10|7.064301568e+10|6.841481216e+10|6.565942886e+10|7.117020365e+10|1.334520320e+10|2.265645670e+10|3.618196582e+10|2.377656115e+10|7.333795840e+09|4.021932442e+10|4.421495850e+03|4.446236572e+03|4.470204712e+03|4.446914551e+03|4.414721680e+03|4.479106934e+03
3.263261179e+06|3.264778449e+06|3.263261179e+06|3.264778449e+06|6.813283750e+06|7.125464500e+06|7.382047125e+06|7.113438500e+06|6.759505500e+06|7.467371500e+06|2.129800625e+06|2.733422500e+06|3.374299688e+06|2.724049500e+06|1.859766125e+06|3.588332500e+06|3.415263139e+03|3.484018019e+03|3.578752889e+03|3.480816715e+03|3.381548911e+03|3.580084518e+03|5.951614829e+02|6.638988189e+02|7.586320020e+02|6.607119675e+02|5.614405468e+02|7.599833881e+02|3.680103813e+03|3.703973600e+03|3.735015704e+03|3.715605815e+03|3.676912258e+03|3.754299371e+03|7.896682866e+02|9.230766435e+02|1.117965225e+03|9.599074900e+02|7.680322431e+02|1.151782737e+03|6.292794778e+10|6.474664346e+10|6.728168346e+10|6.522127155e+10|6.272321126e+10|6.771933594e+10|4.835482624e+09|2.104964915e+10|4.087243776e+10|1.988777165e+10|-1.614427776e+09|4.138997350e+10|4.360829346e+03|4.394487305e+03|4.432507812e+03|4.398281738e+03|4.362187988e+03|4.434376465e+03
3.284575764e+06|3.284662837e+06|3.284575764e+06|3.284662837e+06|6.433850625e+06|6.836244250e+06|7.192084125e+06|6.875089500e+06|6.467726500e+06|7.282453000e+06|1.821901125e+06|2.274378000e+06|3.027829312e+06|2.428549250e+06|1.686246250e+06|3.170852500e+06|3.360986566e+03|3.435892959e+03|3.528739399e+03|3.452788546e+03|3.351238403e+03|3.554338689e+03|5.408783906e+02|6.157868019e+02|7.086763858e+02|6.326857629e+02|5.311333092e+02|7.342382167e+02|3.631236808e+03|3.658677161e+03|3.695104869e+03|3.676145921e+03|3.632034016e+03|3.720257826e+03|7.869553502e+02|8.421600646e+02|9.666214121e+02|8.863352732e+02|7.479846946e+02|1.024685852e+03|5.932873421e+10|6.137581158e+10|6.411801190e+10|6.201940787e+10|5.940079411e+10|6.463800934e+10|5.386214400e+09|1.380937318e+10|2.606153421e+10|1.482536960e+10|-6.161053440e+08|3.026684518e+10|4.332946167e+03|4.344930664e+03|4.375927490e+03|4.357157227e+03|4.329580078e+03|4.384733398e+03
