#RRR|Lz25|Lz50|Lz75|Lzmean|
2.518332902e+05|1.046228016e+26|2.226548742e+26|3.695257120e+26|2.474890908e+26|2.474890908e+28
3.822677680e+05|3.512364650e+26|5.873209812e+26|7.387337445e+26|5.419259065e+26|5.419259065e+28
4.563246715e+05|5.125718439e+26|7.981958682e+26|1.054144477e+27|7.534237111e+26|7.534237111e+28
5.087510087e+05|6.456468188e+26|1.026241962e+27|1.305847476e+27|9.627844931e+26|9.627844931e+28
5.559421104e+05|6.970910043e+26|1.289611264e+27|1.561114654e+27|1.127235036e+27|1.127235036e+29
5.915831397e+05|7.558665052e+26|1.484865177e+27|1.779424474e+27|1.248888090e+27|1.248888090e+29
6.261337763e+05|1.027605665e+27|1.578934943e+27|1.976814531e+27|1.462921087e+27|1.462921087e+29
6.600036830e+05|1.037139351e+27|1.861641806e+27|2.222147739e+27|1.590194490e+27|1.590194490e+29
6.845996284e+05|1.020260775e+27|1.829630111e+27|2.444816661e+27|1.699664539e+27|1.699664539e+29
7.103415131e+05|1.198422683e+27|2.008850838e+27|2.431277761e+27|1.778092406e+27|1.778092406e+29
7.361558385e+05|1.464119662e+27|2.369598920e+27|2.780776214e+27|2.063891717e+27|2.063891717e+29
7.594474561e+05|1.096695572e+27|2.278788925e+27|2.856988520e+27|1.977604524e+27|1.977604524e+29
7.809364419e+05|1.552456908e+27|2.655124776e+27|3.144056910e+27|2.298600607e+27|2.298600607e+29
8.000250154e+05|1.499399099e+27|2.520084844e+27|3.249090526e+27|2.298546250e+27|2.298546250e+29
8.182940334e+05|1.650364535e+27|2.798870694e+27|3.502632065e+27|2.504557497e+27|2.504557497e+29
8.366484846e+05|1.561244842e+27|3.139824311e+27|3.619034155e+27|2.580480474e+27|2.580480474e+29
8.574794554e+05|1.779628699e+27|3.059423954e+27|3.594627851e+27|2.644248408e+27|2.644248408e+29
8.750602428e+05|1.852421298e+27|2.698641053e+27|3.859102843e+27|2.671695291e+27|2.671695291e+29
8.899301653e+05|1.800331454e+27|3.206994418e+27|4.095020104e+27|2.899205516e+27|2.899205516e+29
9.039911815e+05|2.090299706e+27|3.350454891e+27|4.032766867e+27|2.960820063e+27|2.960820063e+29
9.185237296e+05|2.204083333e+27|3.670375147e+27|4.444087074e+27|3.241150253e+27|3.241150253e+29
9.347542661e+05|2.224464180e+27|3.434980768e+27|4.441686114e+27|3.155019672e+27|3.155019672e+29
9.500162835e+05|2.151780105e+27|3.805531716e+27|4.690325681e+27|3.273810312e+27|3.273810312e+29
9.646411114e+05|2.272791382e+27|3.675472679e+27|4.649918618e+27|3.294368659e+27|3.294368659e+29
9.782549000e+05|2.310233710e+27|4.351253984e+27|4.906152841e+27|3.627440444e+27|3.627440444e+29
9.901071333e+05|2.191108562e+27|3.528371959e+27|4.867616195e+27|3.416105495e+27|3.416105495e+29
1.002996679e+06|2.265610019e+27|4.072928132e+27|5.136737458e+27|3.620754245e+27|3.620754245e+29
1.015346567e+06|2.568191363e+27|4.306481368e+27|5.360209070e+27|3.856148391e+27|3.856148391e+29
1.027527925e+06|2.592905077e+27|4.173140441e+27|5.190665446e+27|3.698008660e+27|3.698008660e+29
1.038824139e+06|3.233645148e+27|4.737719630e+27|5.662006755e+27|4.200118833e+27|4.200118833e+29
1.050953855e+06|2.370389497e+27|4.426978519e+27|5.454481862e+27|3.871961129e+27|3.871961129e+29
1.063901066e+06|3.149316260e+27|5.117285186e+27|5.820436816e+27|4.359242896e+27|4.359242896e+29
1.075048168e+06|2.017420527e+27|4.679577562e+27|6.018548239e+27|4.006896915e+27|4.006896915e+29
1.086678890e+06|2.980909847e+27|4.241102738e+27|5.637004031e+27|4.137608218e+27|4.137608218e+29
1.096893101e+06|3.073460860e+27|4.719584820e+27|6.179619207e+27|4.386021479e+27|4.386021479e+29
1.105476083e+06|2.981755732e+27|4.884186596e+27|6.433703053e+27|4.461006025e+27|4.461006025e+29
1.116595204e+06|3.132924970e+27|4.924344970e+27|6.259284082e+27|4.496502887e+27|4.496502887e+29
1.126262172e+06|3.571792619e+27|5.493334034e+27|6.690065667e+27|4.927471610e+27|4.927471610e+29
1.135383873e+06|2.471289822e+27|4.844762861e+27|6.473076043e+27|4.413277882e+27|4.413277882e+29
1.146804777e+06|3.051824801e+27|5.511515842e+27|6.764699550e+27|4.740159487e+27|4.740159487e+29
1.157014822e+06|3.830550641e+27|5.646406612e+27|6.911658131e+27|5.142840453e+27|5.142840453e+29
1.167326717e+06|4.065645949e+27|6.042343190e+27|6.949334355e+27|5.319961971e+27|5.319961971e+29
1.177401202e+06|2.792621450e+27|4.744845455e+27|6.597926310e+27|4.564208835e+27|4.564208835e+29
1.185166331e+06|3.430019042e+27|6.106698047e+27|7.150666875e+27|5.170724416e+27|5.170724416e+29
1.193723356e+06|3.488358512e+27|5.349697165e+27|7.322397679e+27|5.011364340e+27|5.011364340e+29
1.203130060e+06|2.889128455e+27|6.067964873e+27|7.555407212e+27|5.169939742e+27|5.169939742e+29
1.211858720e+06|4.034393697e+27|6.361941861e+27|7.386301210e+27|5.564089623e+27|5.564089623e+29
1.220272565e+06|3.957923143e+27|6.094800288e+27|7.693231692e+27|5.487871286e+27|5.487871286e+29
1.228043176e+06|4.063401489e+27|6.186587666e+27|7.646392578e+27|5.543133673e+27|5.543133673e+29
1.236198087e+06|3.589518114e+27|5.683934320e+27|7.600825785e+27|5.341950055e+27|5.341950055e+29
1.244907702e+06|3.996310927e+27|6.467283226e+27|8.058200181e+27|5.698652372e+27|5.698652372e+29
1.254369468e+06|3.241551651e+27|6.349322850e+27|7.819843658e+27|5.535405300e+27|5.535405300e+29
1.262644088e+06|4.265478494e+27|7.189176598e+27|8.420742845e+27|6.237981112e+27|6.237981112e+29
1.270228347e+06|3.532682050e+27|6.711456032e+27|8.121985108e+27|5.719826895e+27|5.719826895e+29
1.278622398e+06|4.444292659e+27|7.280698671e+27|8.398957300e+27|6.210254816e+27|6.210254816e+29
1.287107568e+06|4.221973284e+27|7.020070362e+27|8.264811273e+27|6.110992170e+27|6.110992170e+29
