#RRR|Lz25|Lz50|Lz75|Lzmean|Lzsum|Isum
5.844990714e+04|8.587484756e+24|1.554483282e+25|2.373419518e+25|1.560695085e+25|1.560695085e+27|6.209420440e+30
9.864344146e+04|3.047870626e+25|4.088344801e+25|4.996764041e+25|4.108723385e+25|4.108723385e+27|1.637816003e+31
1.318478186e+05|6.452587342e+25|7.848190155e+25|8.798198000e+25|7.758768613e+25|7.758768613e+27|2.907903670e+31
1.578268216e+05|9.779028475e+25|1.081549465e+26|1.192210987e+26|1.085984938e+26|1.085984938e+28|4.153662928e+31
1.780695396e+05|1.282020231e+26|1.411138008e+26|1.496051428e+26|1.386911432e+26|1.386911432e+28|5.287409538e+31
1.963744705e+05|1.504797193e+26|1.688222922e+26|1.806196027e+26|1.636446399e+26|1.636446399e+28|6.427135322e+31
2.125920011e+05|1.811706494e+26|1.970407767e+26|2.122026052e+26|1.948759013e+26|1.948759013e+28|7.528651250e+31
2.282420854e+05|2.104153063e+26|2.229643419e+26|2.387276623e+26|2.229675299e+26|2.229675299e+28|8.676478451e+31
2.431153498e+05|2.412274702e+26|2.575637757e+26|2.721290648e+26|2.527459092e+26|2.527459092e+28|9.841589637e+31
2.587935521e+05|2.698078286e+26|2.896349200e+26|3.028358605e+26|2.866508163e+26|2.866508163e+28|1.114638751e+32
2.728657617e+05|3.075810732e+26|3.239872745e+26|3.388745715e+26|3.250667978e+26|3.250667978e+28|1.240104273e+32
2.834223431e+05|3.407493435e+26|3.533295600e+26|3.715816480e+26|3.546086533e+26|3.546086533e+28|1.337147947e+32
2.949634799e+05|3.605733946e+26|3.843501234e+26|4.032256401e+26|3.809286426e+26|3.809286426e+28|1.448516117e+32
3.065247783e+05|3.870000650e+26|4.091393896e+26|4.262698055e+26|4.097956357e+26|4.097956357e+28|1.564817396e+32
3.181905342e+05|4.204012966e+26|4.401592258e+26|4.650860749e+26|4.431124311e+26|4.431124311e+28|1.683698234e+32
3.293367611e+05|4.433953135e+26|4.673697777e+26|4.887288051e+26|4.686836865e+26|4.686836865e+28|1.805231464e+32
3.400473599e+05|4.793455027e+26|4.981976474e+26|5.210308254e+26|5.009349179e+26|5.009349179e+28|1.925687883e+32
3.508179977e+05|5.095937376e+26|5.280783295e+26|5.495736136e+26|5.256419772e+26|5.256419772e+28|2.048492147e+32
3.610447918e+05|5.437016474e+26|5.670278343e+26|5.861500907e+26|5.676797672e+26|5.676797672e+28|2.171077295e+32
3.707129593e+05|5.779418998e+26|5.978129572e+26|6.206697676e+26|6.028441843e+26|6.028441843e+28|2.286244530e+32
3.807985130e+05|6.078116462e+26|6.302376810e+26|6.579691416e+26|6.324488643e+26|6.324488643e+28|2.412426265e+32
3.889478354e+05|6.331967756e+26|6.618385713e+26|6.835518145e+26|6.588741711e+26|6.588741711e+28|2.519188745e+32
3.968357953e+05|6.674379445e+26|6.923662847e+26|7.134662329e+26|6.907330935e+26|6.907330935e+28|2.622275399e+32
4.047058438e+05|6.919491706e+26|7.273683195e+26|7.473397702e+26|7.227751751e+26|7.227751751e+28|2.726031695e+32
4.128185076e+05|7.113869489e+26|7.402802707e+26|7.713266480e+26|7.405037526e+26|7.405037526e+28|2.836576344e+32
4.219621573e+05|7.433051417e+26|7.751262808e+26|8.103260039e+26|7.751758414e+26|7.751758414e+28|2.960624320e+32
4.300140313e+05|7.707392715e+26|8.005562324e+26|8.367193740e+26|8.006273047e+26|8.006273047e+28|3.077560870e+32
4.393372844e+05|8.049211615e+26|8.400428122e+26|8.649498113e+26|8.383822746e+26|8.383822746e+28|3.210755256e+32
4.472421988e+05|8.408801768e+26|8.724578780e+26|9.025120912e+26|8.742340301e+26|8.742340301e+28|3.332250802e+32
4.558539826e+05|8.790128741e+26|9.066233108e+26|9.309466652e+26|9.092183435e+26|9.092183435e+28|3.454857115e+32
4.632162602e+05|9.056136476e+26|9.341746390e+26|9.615499469e+26|9.330036028e+26|9.330036028e+28|3.567572677e+32
4.714206956e+05|9.411987539e+26|9.696114335e+26|1.007899251e+27|9.753087773e+26|9.753087773e+28|3.702180344e+32
4.795295504e+05|9.699538231e+26|9.949026157e+26|1.029393087e+27|1.002669385e+27|1.002669385e+29|3.825255942e+32
4.862582660e+05|1.000723208e+27|1.033792012e+27|1.070399908e+27|1.038858824e+27|1.038858824e+29|3.937014628e+32
4.925005571e+05|1.033193873e+27|1.067254334e+27|1.098899682e+27|1.068891259e+27|1.068891259e+29|4.036982382e+32
4.988162355e+05|1.062634105e+27|1.093611587e+27|1.121881814e+27|1.094936796e+27|1.094936796e+29|4.143047704e+32
5.057950404e+05|1.094202418e+27|1.119797352e+27|1.145299996e+27|1.121248006e+27|1.121248006e+29|4.259419173e+32
5.125835243e+05|1.115199556e+27|1.151256487e+27|1.178118196e+27|1.145053248e+27|1.145053248e+29|4.375216743e+32
5.196306687e+05|1.143306442e+27|1.182659242e+27|1.212297294e+27|1.180043787e+27|1.180043787e+29|4.495920841e+32
5.263903433e+05|1.164575458e+27|1.202823710e+27|1.253559166e+27|1.205049853e+27|1.205049853e+29|4.613399014e+32
5.330204029e+05|1.188048144e+27|1.227236883e+27|1.260899946e+27|1.223792284e+27|1.223792284e+29|4.725936524e+32
5.396642546e+05|1.231265543e+27|1.267488936e+27|1.308095900e+27|1.268940926e+27|1.268940926e+29|4.846849995e+32
5.466795432e+05|1.261608095e+27|1.297103751e+27|1.349592766e+27|1.303327191e+27|1.303327191e+29|4.964709069e+32
5.529258133e+05|1.296782706e+27|1.337541709e+27|1.370071033e+27|1.333229291e+27|1.333229291e+29|5.087778227e+32
5.589171793e+05|1.314614895e+27|1.357210067e+27|1.385581285e+27|1.347982121e+27|1.347982121e+29|5.198694122e+32
5.658909647e+05|1.368725115e+27|1.408727661e+27|1.433965585e+27|1.396997461e+27|1.396997461e+29|5.319529219e+32
5.726467057e+05|1.387225164e+27|1.419369014e+27|1.457784561e+27|1.418930420e+27|1.418930420e+29|5.457072659e+32
5.792788986e+05|1.421481608e+27|1.450768299e+27|1.496910414e+27|1.449024520e+27|1.449024520e+29|5.584378216e+32
5.862390209e+05|1.449713743e+27|1.502106609e+27|1.532761004e+27|1.492561992e+27|1.492561992e+29|5.717086481e+32
5.917150645e+05|1.483423479e+27|1.528981617e+27|1.572769387e+27|1.520159642e+27|1.520159642e+29|5.829269845e+32
5.969125967e+05|1.526874147e+27|1.570919263e+27|1.618724118e+27|1.569640020e+27|1.569640020e+29|5.929164735e+32
6.024165226e+05|1.551385152e+27|1.585969566e+27|1.624438121e+27|1.580069427e+27|1.580069427e+29|6.039253039e+32
6.079881147e+05|1.582653995e+27|1.620785841e+27|1.648370315e+27|1.612624483e+27|1.612624483e+29|6.154394324e+32
6.135890136e+05|1.601119967e+27|1.644060181e+27|1.678703008e+27|1.637700694e+27|1.637700694e+29|6.265457000e+32
6.193699614e+05|1.640641062e+27|1.684658740e+27|1.723349314e+27|1.676248544e+27|1.676248544e+29|6.384336956e+32
6.252571190e+05|1.659404746e+27|1.707249887e+27|1.750421187e+27|1.707017942e+27|1.707017942e+29|6.508934197e+32
6.307824398e+05|1.696696290e+27|1.742147348e+27|1.781766968e+27|1.742634097e+27|1.742634097e+29|6.627404403e+32
6.367042210e+05|1.728324869e+27|1.768666446e+27|1.805421186e+27|1.752571922e+27|1.752571922e+29|6.746271071e+32
6.423868498e+05|1.741651451e+27|1.792011876e+27|1.837704180e+27|1.781988824e+27|1.781988824e+29|6.870404736e+32
6.476029635e+05|1.779035751e+27|1.822050822e+27|1.865373240e+27|1.810923130e+27|1.810923130e+29|6.969667906e+32
6.525926804e+05|1.814555158e+27|1.854510834e+27|1.890206937e+27|1.846022564e+27|1.846022564e+29|7.093696640e+32
6.577666471e+05|1.849435196e+27|1.899452908e+27|1.932821042e+27|1.893838267e+27|1.893838267e+29|7.203143023e+32
6.632379123e+05|1.856773035e+27|1.909036842e+27|1.944550147e+27|1.899910845e+27|1.899910845e+29|7.326872840e+32
6.686517595e+05|1.897208811e+27|1.942994896e+27|1.983314125e+27|1.933363880e+27|1.933363880e+29|7.443585019e+32
6.744841444e+05|1.944397757e+27|1.991897828e+27|2.031890135e+27|1.980151418e+27|1.980151418e+29|7.574344733e+32
6.806877343e+05|1.971388906e+27|2.033933854e+27|2.060655836e+27|2.019836019e+27|2.019836019e+29|7.706929007e+32
6.857334744e+05|1.991235717e+27|2.048566747e+27|2.102284420e+27|2.038659762e+27|2.038659762e+29|7.828530113e+32
6.914560206e+05|2.031070116e+27|2.090313858e+27|2.138368561e+27|2.076752427e+27|2.076752427e+29|7.952416355e+32
6.966505329e+05|2.069652521e+27|2.109176117e+27|2.158505303e+27|2.101535183e+27|2.101535183e+29|8.079793424e+32
7.013910919e+05|2.111325977e+27|2.157516693e+27|2.194350674e+27|2.150960583e+27|2.150960583e+29|8.193617863e+32
7.060802951e+05|2.132257821e+27|2.182586971e+27|2.224055163e+27|2.184179330e+27|2.184179330e+29|8.299991520e+32
7.108818783e+05|2.156897451e+27|2.224255365e+27|2.271773150e+27|2.205942064e+27|2.205942064e+29|8.401799741e+32
7.159798540e+05|2.192471029e+27|2.233729521e+27|2.286138144e+27|2.233382715e+27|2.233382715e+29|8.534863934e+32
7.203823537e+05|2.214763897e+27|2.266699848e+27|2.312849503e+27|2.258247812e+27|2.258247812e+29|8.631733382e+32
7.245991104e+05|2.223517454e+27|2.283421414e+27|2.343337881e+27|2.275776973e+27|2.275776973e+29|8.745263101e+32
7.296146747e+05|2.264658227e+27|2.332620201e+27|2.385698402e+27|2.316555855e+27|2.316555855e+29|8.858516638e+32
7.346405027e+05|2.287169942e+27|2.336896575e+27|2.414877379e+27|2.340217626e+27|2.340217626e+29|8.976678991e+32
7.400472774e+05|2.341280614e+27|2.385725122e+27|2.444749552e+27|2.379544464e+27|2.379544464e+29|9.109461930e+32
7.453159843e+05|2.361290945e+27|2.425136972e+27|2.475649995e+27|2.411345739e+27|2.411345739e+29|9.243854258e+32
7.500714646e+05|2.375826032e+27|2.449291251e+27|2.511383884e+27|2.437993242e+27|2.437993242e+29|9.366708007e+32
7.548789043e+05|2.423360163e+27|2.473398411e+27|2.528259395e+27|2.475399183e+27|2.475399183e+29|9.486922208e+32
7.594681033e+05|2.482076062e+27|2.522287830e+27|2.580999900e+27|2.519428066e+27|2.519428066e+29|9.598284392e+32
7.644233009e+05|2.483115058e+27|2.558049996e+27|2.590531587e+27|2.543049996e+27|2.543049996e+29|9.724060756e+32
7.692880879e+05|2.504205766e+27|2.572783373e+27|2.614682136e+27|2.551002845e+27|2.551002845e+29|9.843835412e+32
7.733941402e+05|2.538831801e+27|2.625115873e+27|2.676750376e+27|2.606560515e+27|2.606560515e+29|9.953808199e+32
7.779649490e+05|2.567325613e+27|2.636072583e+27|2.682174796e+27|2.621511342e+27|2.621511342e+29|1.007605290e+33
7.831288924e+05|2.621886351e+27|2.685313041e+27|2.748967394e+27|2.672719541e+27|2.672719541e+29|1.019616606e+33
7.876045354e+05|2.648991031e+27|2.693059948e+27|2.766639515e+27|2.699355805e+27|2.699355805e+29|1.032753917e+33
7.920547342e+05|2.665446304e+27|2.728933313e+27|2.790542379e+27|2.725502453e+27|2.725502453e+29|1.042991879e+33
7.969584824e+05|2.707805779e+27|2.774041390e+27|2.824430992e+27|2.752062268e+27|2.752062268e+29|1.057431528e+33
8.018644209e+05|2.758276158e+27|2.818354276e+27|2.871036578e+27|2.806642998e+27|2.806642998e+29|1.069436040e+33
8.060590267e+05|2.786170489e+27|2.842913256e+27|2.891771981e+27|2.826711550e+27|2.826711550e+29|1.081215544e+33
8.098980208e+05|2.789421085e+27|2.881892758e+27|2.919713150e+27|2.841749653e+27|2.841749653e+29|1.091530003e+33
8.140657475e+05|2.840557052e+27|2.895378878e+27|2.951611719e+27|2.876686793e+27|2.876686793e+29|1.102788731e+33
8.183873486e+05|2.872070271e+27|2.924021652e+27|2.981222836e+27|2.919723201e+27|2.919723201e+29|1.114979930e+33
8.228028416e+05|2.873836996e+27|2.944807015e+27|3.011550847e+27|2.922416316e+27|2.922416316e+29|1.127119979e+33
8.270335472e+05|2.917873806e+27|2.997661419e+27|3.041436528e+27|2.976481127e+27|2.976481127e+29|1.139288582e+33
8.316446073e+05|2.957237719e+27|3.020565932e+27|3.074073834e+27|3.014879432e+27|3.014879432e+29|1.151987181e+33
8.356656290e+05|2.999564513e+27|3.050317215e+27|3.093282966e+27|3.041621807e+27|3.041621807e+29|1.162608380e+33
8.401426317e+05|3.020490618e+27|3.082828421e+27|3.144065786e+27|3.081459175e+27|3.081459175e+29|1.175142325e+33
8.443877036e+05|3.050711987e+27|3.124225743e+27|3.191045388e+27|3.107903164e+27|3.107903164e+29|1.184806235e+33
8.485033239e+05|3.069007137e+27|3.141605921e+27|3.207084977e+27|3.130341743e+27|3.130341743e+29|1.198649733e+33
8.524565030e+05|3.089862468e+27|3.144429247e+27|3.257868287e+27|3.162296519e+27|3.162296519e+29|1.210354349e+33
8.569520345e+05|3.128569943e+27|3.228432033e+27|3.278939220e+27|3.185471624e+27|3.185471624e+29|1.222597401e+33
8.614838227e+05|3.144834194e+27|3.211442891e+27|3.297856884e+27|3.210946821e+27|3.210946821e+29|1.235005078e+33
8.660210839e+05|3.191710063e+27|3.260752340e+27|3.326852239e+27|3.256131869e+27|3.256131869e+29|1.246302594e+33
8.698189308e+05|3.226530427e+27|3.309314558e+27|3.370124252e+27|3.295919174e+27|3.295919174e+29|1.258439290e+33
8.741897695e+05|3.268843122e+27|3.335164065e+27|3.398953420e+27|3.327630792e+27|3.327630792e+29|1.272912758e+33
8.786493045e+05|3.265322385e+27|3.347823533e+27|3.420406586e+27|3.342629198e+27|3.342629198e+29|1.284755274e+33
8.825659052e+05|3.335343339e+27|3.401250797e+27|3.480019015e+27|3.393565687e+27|3.393565687e+29|1.296803385e+33
8.867306088e+05|3.369544425e+27|3.439449647e+27|3.498806530e+27|3.429592105e+27|3.429592105e+29|1.307854597e+33
