#RRR|P25fit|P50fit|P75fit|P25model|P50model|P75model
2.507758300e+05|1.790012858e+11|1.801877853e+11|1.814938341e+11|0.000000|0.000000|0.000000
3.824880609e+05|1.776721711e+11|1.786277581e+11|1.797011987e+11|0.000000|0.000000|0.000000
4.560034119e+05|1.767121935e+11|1.775609114e+11|1.785222994e+11|0.000000|0.000000|0.000000
5.080018020e+05|1.759392758e+11|1.767210095e+11|1.776103459e+11|0.000000|0.000000|0.000000
5.536446736e+05|1.751969495e+11|1.759253680e+11|1.767561634e+11|0.000000|0.000000|0.000000
5.928268298e+05|1.745122282e+11|1.751987405e+11|1.759826631e+11|0.000000|0.000000|0.000000
6.242347439e+05|1.739318022e+11|1.745871754e+11|1.753357108e+11|0.000000|0.000000|0.000000
6.602847986e+05|1.732310813e+11|1.738532821e+11|1.745635270e+11|0.000000|0.000000|0.000000
6.900812000e+05|1.726241639e+11|1.732209332e+11|1.739013560e+11|0.000000|0.000000|0.000000
7.192555355e+05|1.720056623e+11|1.725792007e+11|1.732319822e+11|0.000000|0.000000|0.000000
7.480851604e+05|1.713709684e+11|1.719231105e+11|1.725500533e+11|0.000000|0.000000|0.000000
7.776885537e+05|1.706950117e+11|1.712267337e+11|1.718286319e+11|0.000000|0.000000|0.000000
8.025098220e+05|1.701093910e+11|1.706251566e+11|1.712071888e+11|0.000000|0.000000|0.000000
8.264246093e+05|1.695289403e+11|1.700303015e+11|1.705941472e+11|0.000000|0.000000|0.000000
8.531551159e+05|1.688613725e+11|1.693477194e+11|1.698923201e+11|0.000000|0.000000|0.000000
8.783044667e+05|1.682152591e+11|1.686884895e+11|1.692160021e+11|0.000000|0.000000|0.000000
9.010379000e+05|1.676162202e+11|1.680784067e+11|1.685913025e+11|0.000000|0.000000|0.000000
9.214214928e+05|1.670670354e+11|1.675199541e+11|1.680203992e+11|0.000000|0.000000|0.000000
9.446218811e+05|1.664281231e+11|1.668712001e+11|1.673582115e+11|0.000000|0.000000|0.000000
9.688261703e+05|1.657459189e+11|1.661795037e+11|1.666533184e+11|0.000000|0.000000|0.000000
9.894121369e+05|1.651531700e+11|1.655792842e+11|1.660425173e+11|0.000000|0.000000|0.000000
1.009671802e+06|1.645586126e+11|1.649778978e+11|1.654312808e+11|0.000000|0.000000|0.000000
1.029047169e+06|1.639796439e+11|1.643928692e+11|1.648373445e+11|0.000000|0.000000|0.000000
1.049300306e+06|1.633636525e+11|1.637710209e+11|1.642067092e+11|0.000000|0.000000|0.000000
1.070400271e+06|1.627102125e+11|1.631119825e+11|1.635390741e+11|0.000000|0.000000|0.000000
1.091170493e+06|1.620553738e+11|1.624521187e+11|1.628712913e+11|0.000000|0.000000|0.000000
1.108990606e+06|1.614843980e+11|1.618772042e+11|1.622900029e+11|0.000000|0.000000|0.000000
1.126109320e+06|1.609279674e+11|1.613173047e+11|1.617243385e+11|0.000000|0.000000|0.000000
1.144939691e+06|1.603069584e+11|1.606928267e+11|1.610939161e+11|0.000000|0.000000|0.000000
1.164962311e+06|1.596363910e+11|1.600189575e+11|1.604141728e+11|0.000000|0.000000|0.000000
1.182376773e+06|1.590446236e+11|1.594246332e+11|1.598151057e+11|0.000000|0.000000|0.000000
1.201389243e+06|1.583895073e+11|1.587670503e+11|1.591527251e+11|0.000000|0.000000|0.000000
1.218881353e+06|1.577784690e+11|1.581540337e+11|1.585356378e+11|0.000000|0.000000|0.000000
1.235094635e+06|1.572050182e+11|1.575789919e+11|1.579571102e+11|0.000000|0.000000|0.000000
1.251645965e+06|1.566126058e+11|1.569851897e+11|1.573600291e+11|0.000000|0.000000|0.000000
1.268871532e+06|1.559885727e+11|1.563599554e+11|1.567316758e+11|0.000000|0.000000|0.000000
1.287057072e+06|1.553215068e+11|1.556918855e+11|1.560606310e+11|0.000000|0.000000|0.000000
1.303180171e+06|1.547230299e+11|1.550927395e+11|1.554591145e+11|0.000000|0.000000|0.000000
1.319779309e+06|1.540999742e+11|1.544692064e+11|1.548333974e+11|0.000000|0.000000|0.000000
1.335196986e+06|1.535150105e+11|1.538839869e+11|1.542463774e+11|0.000000|0.000000|0.000000
1.349124932e+06|1.529814090e+11|1.533503061e+11|1.537112552e+11|0.000000|0.000000|0.000000
1.365505901e+06|1.523475840e+11|1.527165680e+11|1.530760419e+11|0.000000|0.000000|0.000000
1.381188228e+06|1.517344914e+11|1.521037372e+11|1.524620170e+11|0.000000|0.000000|0.000000
1.398236582e+06|1.510610322e+11|1.514307559e+11|1.517879743e+11|0.000000|0.000000|0.000000
1.413611223e+06|1.504474952e+11|1.508178187e+11|1.511742865e+11|0.000000|0.000000|0.000000
1.427374111e+06|1.498933134e+11|1.502643067e+11|1.506202652e+11|0.000000|0.000000|0.000000
1.441408044e+06|1.493234081e+11|1.496952111e+11|1.500508050e+11|0.000000|0.000000|0.000000
1.456830481e+06|1.486915376e+11|1.490643752e+11|1.494197448e+11|0.000000|0.000000|0.000000
1.471020934e+06|1.481050022e+11|1.484789230e+11|1.488342459e+11|0.000000|0.000000|0.000000
1.486562475e+06|1.474569933e+11|1.478322418e+11|1.481876850e+11|0.000000|0.000000|0.000000
1.501361413e+06|1.468345004e+11|1.472111483e+11|1.475668687e+11|0.000000|0.000000|0.000000
1.515060633e+06|1.462535493e+11|1.466316076e+11|1.469877230e+11|0.000000|0.000000|0.000000
1.529259154e+06|1.456466586e+11|1.460262937e+11|1.463829555e+11|0.000000|0.000000|0.000000
1.542125937e+06|1.450925178e+11|1.454736811e+11|1.458309559e+11|0.000000|0.000000|0.000000
1.556518891e+06|1.444679665e+11|1.448509496e+11|1.452090398e+11|0.000000|0.000000|0.000000
1.570963424e+06|1.438362270e+11|1.442211516e+11|1.445801946e+11|0.000000|0.000000|0.000000
1.583941784e+06|1.432643998e+11|1.436511661e+11|1.440111773e+11|0.000000|0.000000|0.000000
1.598117911e+06|1.426352635e+11|1.430241447e+11|1.433853319e+11|0.000000|0.000000|0.000000
1.612002314e+06|1.420145032e+11|1.424055592e+11|1.427680150e+11|0.000000|0.000000|0.000000
1.625719712e+06|1.413967871e+11|1.417900910e+11|1.421539110e+11|0.000000|0.000000|0.000000
1.637823828e+06|1.408480848e+11|1.412434530e+11|1.416085660e+11|0.000000|0.000000|0.000000
1.650823569e+06|1.402550026e+11|1.406526715e+11|1.410192640e+11|0.000000|0.000000|0.000000
