#RRR|Lz25|Lz50|Lz75|Lzmean|Lzsum|Isum
5.609751379e+04|4.506520647e+24|1.313337471e+25|1.892565767e+25|1.332173711e+25|1.332173711e+27|5.811620100e+30
1.011501330e+05|2.787055090e+25|3.389298155e+25|4.340125488e+25|3.540840388e+25|3.540840388e+27|1.721868034e+31
1.328513050e+05|5.465852884e+25|6.416942088e+25|7.084684526e+25|6.408986983e+25|6.408986983e+27|2.948854566e+31
1.566365854e+05|7.608712652e+25|9.234074951e+25|1.022339151e+26|8.881692829e+25|8.881692829e+27|4.086795482e+31
1.761383428e+05|1.005049113e+26|1.122042103e+26|1.231900111e+26|1.104043247e+26|1.104043247e+28|5.164345211e+31
1.941228939e+05|1.265874795e+26|1.360823735e+26|1.488613989e+26|1.387371667e+26|1.387371667e+28|6.281221718e+31
2.104948491e+05|1.432633913e+26|1.617779618e+26|1.744040817e+26|1.593190554e+26|1.593190554e+28|7.382349482e+31
2.294641707e+05|1.769805412e+26|1.898004802e+26|2.070289362e+26|1.913760970e+26|1.913760970e+28|8.774077784e+31
2.440912535e+05|2.039361112e+26|2.172327467e+26|2.297272339e+26|2.174460980e+26|2.174460980e+28|9.925361114e+31
2.572704625e+05|2.237698497e+26|2.386548211e+26|2.497490836e+26|2.343819783e+26|2.343819783e+28|1.102883357e+32
2.702298722e+05|2.415341080e+26|2.613398942e+26|2.794263490e+26|2.609945957e+26|2.609945957e+28|1.215007436e+32
2.825922924e+05|2.721320410e+26|2.888707596e+26|3.071099303e+26|2.904283093e+26|2.904283093e+28|1.329521216e+32
2.940859827e+05|2.968437242e+26|3.101144442e+26|3.282636919e+26|3.096756563e+26|3.096756563e+28|1.440312401e+32
3.061259327e+05|3.217342344e+26|3.441981105e+26|3.682144108e+26|3.466080885e+26|3.466080885e+28|1.560610164e+32
3.162322976e+05|3.394236618e+26|3.627570277e+26|3.831605622e+26|3.599733156e+26|3.599733156e+28|1.665362558e+32
3.282153755e+05|3.663845439e+26|3.896801455e+26|4.067724618e+26|3.846680871e+26|3.846680871e+28|1.793876217e+32
3.396586127e+05|3.980803423e+26|4.168052948e+26|4.410544849e+26|4.191550822e+26|4.191550822e+28|1.920180921e+32
3.496821306e+05|4.289873577e+26|4.460900284e+26|4.629757881e+26|4.406338265e+26|4.406338265e+28|2.037332496e+32
3.591614472e+05|4.545590659e+26|4.690607721e+26|4.965351509e+26|4.774464328e+26|4.774464328e+28|2.149293773e+32
3.688744199e+05|4.716501929e+26|4.943387750e+26|5.162394717e+26|4.928274563e+26|4.928274563e+28|2.265751089e+32
3.777602776e+05|4.878377397e+26|5.150385978e+26|5.414882871e+26|5.050323394e+26|5.050323394e+28|2.374198007e+32
3.874617770e+05|5.018157716e+26|5.345558434e+26|5.656406475e+26|5.288594641e+26|5.288594641e+28|2.498623904e+32
3.955777066e+05|5.429712832e+26|5.631867130e+26|5.815413598e+26|5.650268871e+26|5.650268871e+28|2.606964890e+32
4.043024147e+05|5.626460288e+26|5.907055661e+26|6.221626507e+26|5.946312929e+26|5.946312929e+28|2.721644921e+32
4.129723558e+05|5.953868771e+26|6.195448426e+26|6.520428096e+26|6.206579997e+26|6.206579997e+28|2.841105598e+32
4.209680335e+05|6.178996523e+26|6.428914195e+26|6.718310607e+26|6.430944063e+26|6.430944063e+28|2.951048294e+32
4.295405655e+05|6.379808011e+26|6.610419109e+26|6.871223518e+26|6.627035622e+26|6.627035622e+28|3.070807519e+32
4.391459547e+05|6.743077292e+26|6.960591240e+26|7.366877291e+26|7.012578178e+26|7.012578178e+28|3.207986143e+32
4.467632574e+05|6.969203715e+26|7.237017705e+26|7.533960963e+26|7.234846089e+26|7.234846089e+28|3.321909990e+32
4.548204416e+05|7.270927927e+26|7.582129703e+26|7.846686201e+26|7.495713564e+26|7.495713564e+28|3.446172571e+32
4.628557870e+05|7.298206186e+26|7.736650012e+26|8.112329270e+26|7.735847829e+26|7.735847829e+28|3.565494465e+32
4.693945983e+05|7.563697026e+26|7.907576349e+26|8.141339797e+26|7.856182050e+26|7.856182050e+28|3.667251199e+32
4.758009797e+05|7.898698826e+26|8.244134614e+26|8.507809534e+26|8.218565370e+26|8.218565370e+28|3.765807554e+32
4.828873272e+05|8.105937610e+26|8.433170170e+26|8.699358405e+26|8.358394496e+26|8.358394496e+28|3.880759730e+32
4.900726144e+05|8.338446605e+26|8.674792123e+26|8.947250832e+26|8.584858531e+26|8.584858531e+28|4.000903124e+32
4.973289932e+05|8.536437330e+26|8.948585550e+26|9.263855066e+26|8.898174329e+26|8.898174329e+28|4.116402348e+32
5.040643368e+05|8.857726627e+26|9.136822404e+26|9.497360307e+26|9.196009492e+26|9.196009492e+28|4.230450882e+32
5.106316372e+05|9.086786104e+26|9.422053198e+26|9.859244032e+26|9.429889830e+26|9.429889830e+28|4.339490898e+32
5.179080404e+05|9.343462386e+26|9.763324417e+26|1.011332454e+27|9.719916001e+26|9.719916001e+28|4.463840698e+32
5.254774189e+05|9.611563311e+26|1.000282119e+27|1.032289537e+27|9.934543202e+26|9.934543202e+28|4.595437356e+32
5.326339860e+05|9.955628316e+26|1.021847332e+27|1.055807452e+27|1.028798593e+27|1.028798593e+29|4.723441616e+32
5.393238961e+05|1.009029288e+27|1.050916987e+27|1.089334092e+27|1.047850188e+27|1.047850188e+29|4.840536774e+32
5.452120783e+05|1.035804364e+27|1.068747035e+27|1.097819850e+27|1.069786030e+27|1.069786030e+29|4.947398109e+32
5.518803554e+05|1.054001017e+27|1.093084031e+27|1.132663310e+27|1.086580398e+27|1.086580398e+29|5.066574796e+32
5.584760550e+05|1.101552699e+27|1.136552436e+27|1.167156597e+27|1.130143501e+27|1.130143501e+29|5.192600146e+32
5.645402650e+05|1.117448300e+27|1.155917739e+27|1.199085140e+27|1.153644106e+27|1.153644106e+29|5.306363811e+32
5.700675398e+05|1.142415265e+27|1.173782696e+27|1.235692717e+27|1.186972873e+27|1.186972873e+29|5.410585820e+32
5.766777563e+05|1.173801427e+27|1.203720945e+27|1.254222456e+27|1.211530752e+27|1.211530752e+29|5.535068988e+32
5.831855932e+05|1.198237232e+27|1.226315381e+27|1.268530292e+27|1.235371723e+27|1.235371723e+29|5.654425519e+32
5.890961539e+05|1.216488836e+27|1.253365463e+27|1.292122701e+27|1.249897265e+27|1.249897265e+29|5.772201325e+32
5.941971424e+05|1.241346718e+27|1.288515436e+27|1.323054956e+27|1.277335564e+27|1.277335564e+29|5.875564489e+32
6.000596953e+05|1.265554906e+27|1.295287193e+27|1.346770109e+27|1.303947748e+27|1.303947748e+29|5.992141715e+32
6.054099679e+05|1.285892965e+27|1.319417561e+27|1.368603532e+27|1.325154941e+27|1.325154941e+29|6.105511363e+32
6.111530752e+05|1.305598195e+27|1.343585067e+27|1.386004983e+27|1.338967242e+27|1.338967242e+29|6.218513105e+32
6.170736158e+05|1.333521951e+27|1.379087093e+27|1.435842288e+27|1.384637091e+27|1.384637091e+29|6.342421323e+32
6.224706421e+05|1.364461834e+27|1.413468127e+27|1.454814654e+27|1.403165187e+27|1.403165187e+29|6.454041275e+32
6.286281212e+05|1.391059544e+27|1.431756192e+27|1.472152408e+27|1.428200980e+27|1.428200980e+29|6.576364553e+32
6.347032060e+05|1.415623647e+27|1.458432708e+27|1.496067442e+27|1.455248002e+27|1.455248002e+29|6.707171534e+32
6.412571877e+05|1.441180731e+27|1.481942207e+27|1.513816194e+27|1.481049371e+27|1.481049371e+29|6.846240977e+32
6.471322023e+05|1.482655201e+27|1.509020221e+27|1.566444250e+27|1.524631321e+27|1.524631321e+29|6.968838807e+32
6.527530778e+05|1.507767728e+27|1.539545435e+27|1.576956212e+27|1.543765089e+27|1.543765089e+29|7.090131669e+32
6.576523351e+05|1.527892440e+27|1.562875542e+27|1.606391996e+27|1.563499482e+27|1.563499482e+29|7.197856623e+32
6.627937264e+05|1.555886768e+27|1.590072509e+27|1.635422871e+27|1.587615470e+27|1.587615470e+29|7.307054598e+32
6.682205183e+05|1.573773342e+27|1.621009640e+27|1.661489904e+27|1.614532881e+27|1.614532881e+29|7.423534753e+32
6.729843903e+05|1.600254753e+27|1.630708329e+27|1.699148562e+27|1.645618507e+27|1.645618507e+29|7.540025405e+32
6.779070148e+05|1.612472256e+27|1.649978205e+27|1.694758230e+27|1.649689804e+27|1.649689804e+29|7.647472475e+32
6.829794986e+05|1.640100490e+27|1.688655480e+27|1.743050153e+27|1.689453749e+27|1.689453749e+29|7.769600856e+32
6.877913083e+05|1.696304404e+27|1.727133958e+27|1.773044307e+27|1.732727528e+27|1.732727528e+29|7.872127276e+32
6.929779281e+05|1.699083026e+27|1.728606978e+27|1.769058247e+27|1.729849975e+27|1.729849975e+29|7.994672993e+32
6.982897633e+05|1.700863479e+27|1.745191420e+27|1.806095370e+27|1.749731201e+27|1.749731201e+29|8.114551143e+32
7.037746149e+05|1.741630587e+27|1.780964305e+27|1.826948280e+27|1.784466474e+27|1.784466474e+29|8.250131515e+32
7.087980351e+05|1.780478732e+27|1.825109277e+27|1.854994941e+27|1.821256864e+27|1.821256864e+29|8.356198225e+32
7.134520596e+05|1.807939337e+27|1.834558675e+27|1.862712921e+27|1.834837637e+27|1.834837637e+29|8.478064285e+32
7.181021500e+05|1.808556729e+27|1.852695320e+27|1.901701441e+27|1.845630514e+27|1.845630514e+29|8.589337206e+32
7.223598657e+05|1.847211178e+27|1.885026928e+27|1.947499941e+27|1.895940281e+27|1.895940281e+29|8.683231607e+32
7.273297817e+05|1.879255394e+27|1.911602516e+27|1.968704516e+27|1.916077365e+27|1.916077365e+29|8.803018786e+32
7.325363172e+05|1.899883975e+27|1.943426163e+27|1.979328852e+27|1.934443715e+27|1.934443715e+29|8.925351956e+32
7.376479614e+05|1.912488342e+27|1.950091578e+27|2.008083657e+27|1.956650375e+27|1.956650375e+29|9.045998923e+32
7.428726709e+05|1.945152824e+27|1.994338480e+27|2.040151788e+27|1.985492519e+27|1.985492519e+29|9.187875642e+32
7.480409544e+05|1.981238754e+27|2.021084020e+27|2.074095562e+27|2.022857327e+27|2.022857327e+29|9.311757818e+32
7.530219541e+05|1.987065619e+27|2.047512019e+27|2.089370207e+27|2.036899621e+27|2.036899621e+29|9.440149647e+32
7.577529613e+05|2.027782922e+27|2.070084786e+27|2.115867076e+27|2.067727715e+27|2.067727715e+29|9.555593762e+32
7.632975922e+05|2.041721256e+27|2.101036490e+27|2.150018281e+27|2.110243041e+27|2.110243041e+29|9.681756833e+32
7.681307324e+05|2.089899533e+27|2.133102669e+27|2.169130517e+27|2.132571680e+27|2.132571680e+29|9.827479804e+32
7.728531723e+05|2.113183604e+27|2.161457115e+27|2.203611870e+27|2.153752627e+27|2.153752627e+29|9.948625861e+32
7.769464905e+05|2.134887550e+27|2.176425137e+27|2.225157119e+27|2.171490879e+27|2.171490879e+29|1.005417977e+33
7.812981616e+05|2.164988630e+27|2.200436823e+27|2.253056649e+27|2.212024661e+27|2.212024661e+29|1.016758396e+33
7.853975250e+05|2.174215424e+27|2.229792801e+27|2.282299977e+27|2.225705861e+27|2.225705861e+29|1.027427568e+33
7.896797684e+05|2.190138564e+27|2.246553550e+27|2.305078075e+27|2.263030968e+27|2.263030968e+29|1.037716087e+33
7.940618944e+05|2.221389051e+27|2.266072371e+27|2.324495794e+27|2.274602468e+27|2.274602468e+29|1.048739035e+33
7.982670561e+05|2.251668839e+27|2.290179102e+27|2.353182910e+27|2.304374235e+27|2.304374235e+29|1.060400330e+33
8.027756927e+05|2.283324806e+27|2.324349950e+27|2.397248781e+27|2.340487269e+27|2.340487269e+29|1.072916120e+33
8.071547776e+05|2.278134029e+27|2.358654386e+27|2.401524812e+27|2.347228686e+27|2.347228686e+29|1.084637287e+33
8.118861309e+05|2.333997426e+27|2.388618330e+27|2.445125337e+27|2.382703014e+27|2.382703014e+29|1.097423785e+33
8.162521656e+05|2.324284637e+27|2.393052105e+27|2.447942093e+27|2.388326860e+27|2.388326860e+29|1.109779882e+33
8.202626498e+05|2.373553445e+27|2.424639166e+27|2.490734388e+27|2.429359603e+27|2.429359603e+29|1.120186835e+33
8.241231214e+05|2.400278798e+27|2.448951294e+27|2.509159632e+27|2.461109468e+27|2.461109468e+29|1.130752606e+33
8.283193122e+05|2.410849890e+27|2.476948319e+27|2.536211253e+27|2.475176029e+27|2.475176029e+29|1.142279322e+33
8.322040555e+05|2.446649466e+27|2.511693416e+27|2.572617856e+27|2.513009916e+27|2.513009916e+29|1.153555543e+33
8.366297556e+05|2.473968976e+27|2.515665234e+27|2.562393042e+27|2.517166218e+27|2.517166218e+29|1.165853287e+33
8.414685433e+05|2.508292491e+27|2.552186726e+27|2.596702926e+27|2.558201795e+27|2.558201795e+29|1.179372814e+33
8.463259874e+05|2.544572148e+27|2.587376230e+27|2.650739107e+27|2.605934975e+27|2.605934975e+29|1.191935849e+33
8.505916059e+05|2.553699034e+27|2.610931719e+27|2.684651673e+27|2.620545341e+27|2.620545341e+29|1.204517645e+33
8.554319417e+05|2.585883898e+27|2.637277650e+27|2.688801192e+27|2.632591902e+27|2.632591902e+29|1.218308224e+33
8.595766237e+05|2.605683144e+27|2.659023812e+27|2.737321724e+27|2.663996525e+27|2.663996525e+29|1.229521663e+33
8.636368144e+05|2.627480421e+27|2.696429492e+27|2.743870421e+27|2.683887585e+27|2.683887585e+29|1.240609136e+33
8.679150271e+05|2.654713165e+27|2.714422635e+27|2.771314780e+27|2.707839626e+27|2.707839626e+29|1.253528970e+33
8.719598484e+05|2.690707217e+27|2.750570251e+27|2.823822055e+27|2.756139849e+27|2.756139849e+29|1.265796753e+33
8.763027806e+05|2.698979847e+27|2.761874538e+27|2.824574521e+27|2.767537492e+27|2.767537492e+29|1.278472907e+33
8.810976230e+05|2.727189704e+27|2.795422215e+27|2.870686300e+27|2.794662849e+27|2.794662849e+29|1.291273204e+33
8.848581650e+05|2.769386912e+27|2.826479325e+27|2.894305853e+27|2.827681474e+27|2.827681474e+29|1.303594388e+33
8.886157106e+05|2.802813625e+27|2.856948353e+27|2.919388560e+27|2.855524885e+27|2.855524885e+29|1.315232217e+33
8.925056155e+05|2.802441531e+27|2.870895347e+27|2.927345746e+27|2.859054496e+27|2.859054496e+29|1.326117457e+33
8.965775762e+05|2.845396111e+27|2.895421224e+27|2.953249468e+27|2.903448752e+27|2.903448752e+29|1.337684640e+33
9.003097510e+05|2.875768187e+27|2.920083785e+27|2.964721337e+27|2.912484898e+27|2.912484898e+29|1.348813254e+33
9.041508312e+05|2.885115298e+27|2.958747751e+27|3.019859861e+27|2.948514441e+27|2.948514441e+29|1.361026138e+33
9.084089553e+05|2.883317350e+27|2.949119797e+27|3.004275761e+27|2.947934845e+27|2.947934845e+29|1.372604175e+33
9.126548897e+05|2.942373785e+27|3.011184205e+27|3.069001674e+27|3.006408003e+27|3.006408003e+29|1.386136823e+33
9.162699792e+05|2.944220442e+27|3.032416204e+27|3.084576778e+27|3.007363209e+27|3.007363209e+29|1.396482721e+33
