#RRR|U50|U25|U75|Umean|T50|T25|T75|Tmean|P50|P25|P75|Pmean|rho50|rho25|rho75|Pmean|S
2.508073567e+05|5.785964849e+06|5.799994547e+06|5.812824853e+06|5.799172214e+06|6.604561027e+03|6.612020521e+03|6.618833876e+03|6.611569512e+03|1.920281991e+11|1.926775093e+11|1.932713218e+11|1.926395766e+11|1.053014722e+04|1.053823291e+04|1.054562134e+04|1.053774902e+04|2.028493547e+03
3.820046866e+05|5.749830947e+06|5.763968056e+06|5.774319170e+06|5.763853541e+06|6.585241817e+03|6.592809413e+03|6.598344100e+03|6.592735222e+03|1.903573934e+11|1.910110436e+11|1.914896930e+11|1.910058637e+11|1.050925244e+04|1.051743555e+04|1.052342725e+04|1.051735742e+04|2.028493547e+03
4.545390682e+05|5.728478863e+06|5.739282151e+06|5.750323666e+06|5.739507161e+06|6.573789087e+03|6.579588591e+03|6.585505737e+03|6.579690349e+03|1.893702538e+11|1.898696788e+11|1.903801795e+11|1.898802969e+11|1.049685278e+04|1.050312646e+04|1.050953467e+04|1.050324219e+04|2.028493547e+03
5.069472376e+05|5.706752618e+06|5.718097120e+06|5.730643560e+06|5.716782902e+06|6.562078911e+03|6.568196418e+03|6.574954536e+03|6.567473322e+03|1.883667846e+11|1.888907865e+11|1.894702564e+11|1.888302079e+11|1.048420190e+04|1.049081152e+04|1.049811328e+04|1.049003027e+04|2.028493547e+03
5.540386964e+05|5.684011159e+06|5.698939352e+06|5.712752370e+06|5.697426706e+06|6.549796255e+03|6.557861929e+03|6.565315093e+03|6.557021406e+03|1.873164542e+11|1.880059414e+11|1.886439054e+11|1.879362862e+11|1.047091699e+04|1.047964111e+04|1.048769385e+04|1.047873438e+04|2.028493547e+03
5.914377838e+05|5.675370014e+06|5.686752753e+06|5.700305018e+06|5.687454691e+06|6.545117440e+03|6.551278375e+03|6.558599237e+03|6.551630595e+03|1.869174943e+11|1.874430639e+11|1.880690151e+11|1.874758108e+11|1.046586353e+04|1.047252246e+04|1.048043652e+04|1.047290723e+04|2.028493547e+03
6.262677444e+05|5.654696542e+06|5.669741328e+06|5.682252453e+06|5.666855215e+06|6.533883841e+03|6.542061062e+03|6.548845289e+03|6.540465052e+03|1.859636715e+11|1.866577633e+11|1.872352366e+11|1.865249550e+11|1.045373804e+04|1.046256201e+04|1.046988989e+04|1.046084668e+04|2.028493547e+03
6.608664786e+05|5.644006774e+06|5.661219535e+06|5.673896305e+06|5.656530927e+06|6.528066687e+03|6.537430666e+03|6.544317372e+03|6.534847391e+03|1.854705154e+11|1.862646455e+11|1.868494928e+11|1.860486522e+11|1.044745605e+04|1.045756885e+04|1.046499805e+04|1.045478223e+04|2.028493547e+03
6.920453880e+05|5.624132654e+06|5.646324490e+06|5.661466150e+06|5.639975167e+06|6.517233058e+03|6.529328437e+03|6.537564673e+03|6.525826702e+03|1.845537170e+11|1.855774324e+11|1.862760220e+11|1.852849813e+11|1.043575903e+04|1.044881689e+04|1.045771460e+04|1.044504297e+04|2.028493547e+03
7.202804702e+05|5.607037065e+06|5.634106838e+06|5.647587559e+06|5.626353615e+06|6.507869901e+03|6.522674133e+03|6.530015928e+03|6.518380312e+03|1.837658370e+11|1.850137356e+11|1.856356948e+11|1.846569379e+11|1.042566260e+04|1.044163281e+04|1.044956055e+04|1.043700977e+04|2.028493547e+03
7.513315602e+05|5.593919219e+06|5.619583047e+06|5.633548637e+06|5.610032417e+06|6.500675070e+03|6.514742739e+03|6.522369934e+03|6.509460354e+03|1.831612832e+11|1.843440297e+11|1.849879780e+11|1.839043898e+11|1.041789917e+04|1.043307324e+04|1.044130200e+04|1.042738281e+04|2.028493547e+03
7.809032810e+05|5.587369489e+06|5.606246497e+06|5.623221587e+06|5.602400125e+06|6.497079429e+03|6.507436551e+03|6.516734454e+03|6.505278530e+03|1.828594626e+11|1.837294059e+11|1.845117293e+11|1.835525930e+11|1.041401929e+04|1.042519824e+04|1.043521899e+04|1.042287207e+04|2.028493547e+03
8.055674385e+05|5.567359163e+06|5.598792188e+06|5.615411975e+06|5.589796053e+06|6.486068077e+03|6.503348849e+03|6.512458676e+03|6.498350788e+03|1.819376050e+11|1.833858456e+11|1.841517820e+11|1.829718826e+11|1.040215112e+04|1.042078857e+04|1.043061035e+04|1.041540234e+04|2.028493547e+03
8.317847433e+05|5.556443889e+06|5.581501625e+06|5.594812785e+06|5.573648320e+06|6.480038815e+03|6.493856156e+03|6.501165494e+03|6.489486332e+03|1.814350483e+11|1.825890351e+11|1.832024620e+11|1.822277701e+11|1.039565625e+04|1.041054346e+04|1.041843042e+04|1.040584277e+04|2.028493547e+03
8.582205865e+05|5.540876577e+06|5.560863101e+06|5.584055703e+06|5.558141069e+06|6.471429265e+03|6.482480649e+03|6.495259370e+03|6.480916788e+03|1.807183587e+11|1.816385143e+11|1.827067498e+11|1.815137703e+11|1.038638306e+04|1.039828369e+04|1.041206421e+04|1.039661035e+04|2.028493547e+03
8.827131133e+05|5.535676486e+06|5.553068002e+06|5.571357219e+06|5.549695482e+06|6.468550488e+03|6.478172877e+03|6.488274917e+03|6.476273318e+03|1.804789794e+11|1.812796374e+11|1.821216614e+11|1.811246619e+11|1.038327661e+04|1.039364746e+04|1.040452686e+04|1.039160254e+04|2.028493547e+03
9.066695843e+05|5.522190759e+06|5.545192213e+06|5.560596415e+06|5.536781672e+06|6.461078033e+03|6.473817338e+03|6.482333326e+03|6.469103914e+03|1.798581181e+11|1.809170585e+11|1.816262357e+11|1.805304040e+11|1.037522070e+04|1.038895605e+04|1.039812500e+04|1.038388281e+04|2.028493547e+03
9.298311499e+05|5.484869764e+06|5.525299613e+06|5.541997724e+06|5.513189456e+06|6.440274026e+03|6.462801467e+03|6.472049754e+03|6.455997388e+03|1.781415621e+11|1.800012630e+11|1.807699675e+11|1.794448191e+11|1.035284106e+04|1.037708252e+04|1.038704785e+04|1.036977051e+04|2.028493547e+03
9.528880563e+05|5.495444249e+06|5.519954852e+06|5.528798989e+06|5.507693943e+06|6.446176114e+03|6.459833741e+03|6.464740900e+03|6.452951946e+03|1.786279477e+11|1.797552691e+11|1.801623796e+11|1.791918606e+11|1.035918921e+04|1.037388672e+04|1.037917090e+04|1.036648926e+04|2.028493547e+03
9.760431633e+05|5.467913099e+06|5.498048927e+06|5.520438363e+06|5.488982764e+06|6.430791309e+03|6.447628968e+03|6.460102829e+03|6.442487236e+03|1.773618347e+11|1.787477316e+11|1.797775075e+11|1.783315837e+11|1.034263696e+04|1.036075928e+04|1.037417407e+04|1.035523145e+04|2.028493547e+03
9.973765659e+05|5.453402122e+06|5.488007523e+06|5.507296293e+06|5.479615400e+06|6.422641402e+03|6.442025968e+03|6.452784214e+03|6.437276740e+03|1.766951382e+11|1.782858861e+11|1.791730699e+11|1.779005988e+11|1.033387354e+04|1.035472607e+04|1.036630029e+04|1.034962109e+04|2.028493547e+03
1.018103815e+06|5.459253939e+06|5.478164948e+06|5.493256133e+06|5.471398975e+06|6.425929425e+03|6.436528676e+03|6.444955329e+03|6.432690447e+03|1.769640036e+11|1.778332189e+11|1.785273121e+11|1.775227284e+11|1.033741113e+04|1.034880615e+04|1.035788208e+04|1.034468555e+04|2.028493547e+03
1.038363691e+06|5.425517630e+06|5.458853775e+06|5.480342913e+06|5.449924544e+06|6.406948676e+03|6.425704654e+03|6.437745562e+03|6.420624553e+03|1.754140202e+11|1.769456197e+11|1.779333824e+11|1.765359598e+11|1.031700610e+04|1.033716650e+04|1.035011621e+04|1.033171484e+04|2.028493547e+03
1.062690466e+06|5.411329285e+06|5.450302865e+06|5.462235406e+06|5.435160519e+06|6.398930373e+03|6.420899365e+03|6.427603917e+03|6.412314550e+03|1.747625585e+11|1.765527351e+11|1.771009692e+11|1.758576920e+11|1.030839111e+04|1.033200049e+04|1.033921143e+04|1.032278027e+04|2.028493547e+03
1.081806860e+06|5.403837643e+06|5.431420987e+06|5.447796432e+06|5.424814889e+06|6.394686603e+03|6.410274483e+03|6.419490098e+03|6.406497831e+03|1.744187477e+11|1.756852051e+11|1.764375783e+11|1.753823600e+11|1.030383496e+04|1.032058008e+04|1.033048682e+04|1.031652734e+04|2.028493547e+03
1.100397135e+06|5.383439588e+06|5.420123328e+06|5.436676096e+06|5.407877763e+06|6.383116306e+03|6.403907894e+03|6.413233484e+03|6.396908998e+03|1.734825920e+11|1.751662199e+11|1.759266785e+11|1.746048500e+11|1.029140942e+04|1.031373096e+04|1.032376343e+04|1.030622852e+04|2.028493547e+03
1.119894163e+06|5.376078829e+06|5.411179671e+06|5.425805707e+06|5.395660629e+06|6.378935490e+03|6.398845653e+03|6.407111028e+03|6.389968161e+03|1.731447428e+11|1.747556906e+11|1.754272535e+11|1.740442378e+11|1.028691968e+04|1.030829736e+04|1.031717944e+04|1.029877734e+04|2.028493547e+03
1.138889463e+06|5.367482589e+06|5.390258500e+06|5.407614438e+06|5.383552240e+06|6.374044816e+03|6.386986725e+03|6.396826433e+03|6.383129960e+03|1.727503879e+11|1.737955253e+11|1.745920637e+11|1.734882377e+11|1.028166772e+04|1.029556738e+04|1.030613184e+04|1.029142969e+04|2.028493547e+03
1.159636552e+06|5.344419074e+06|5.384155639e+06|5.396803776e+06|5.369091754e+06|6.360868661e+03|6.383522873e+03|6.390699419e+03|6.374892018e+03|1.716929799e+11|1.735154542e+11|1.740959089e+11|1.728249566e+11|1.026753613e+04|1.029184473e+04|1.029955127e+04|1.028258887e+04|2.028493547e+03
1.178745613e+06|5.341252028e+06|5.359950445e+06|5.379193084e+06|5.354987276e+06|6.359057023e+03|6.369744951e+03|6.380704733e+03|6.366858186e+03|1.715477748e+11|1.724050434e+11|1.732876906e+11|1.721779616e+11|1.026559448e+04|1.027705420e+04|1.028881616e+04|1.027396484e+04|2.028493547e+03
1.195868004e+06|5.323608425e+06|5.349612524e+06|5.364369954e+06|5.342525398e+06|6.348954169e+03|6.363838234e+03|6.372268287e+03|6.359733958e+03|1.707389164e+11|1.719310849e+11|1.726076784e+11|1.716065815e+11|1.025474878e+04|1.027072119e+04|1.027975586e+04|1.026632129e+04|2.028493547e+03
1.211897961e+06|5.313248827e+06|5.342029652e+06|5.353308031e+06|5.327793616e+06|6.343000382e+03|6.359501898e+03|6.365950402e+03|6.351273040e+03|1.702642670e+11|1.715834221e+11|1.721004864e+11|1.709314974e+11|1.024836841e+04|1.026606787e+04|1.027298438e+04|1.025725098e+04|2.028493547e+03
