#R_planet
5.938628083e+06
#RRR|RRR50|RR|RR50|U25|U50|U75|Umean|U25mean|U75mean|deltaU25|deltaU50|deltaU75|deltaUmean|deltaU25mean|deltaU75mean|S25|S50|S75|Smean|S25mean|S75mean|deltaS25|deltaS50|delatS75|deltaSmean|deltaS25mean|deltaS75mean|T25|T50|T75|Tmean|T25mean|T75mean|deltaT25|deltaT50|deltaT75|deltaTmean|deltaT25|deltaT75|P25|P50|P75|Pmean|P25mean|P75mean|deltaP25|deltaP50|deltaP75|deltaPmean|deltaP25mean|deltaP75mean|rho25|rho50|rho75|rhomean|rho25mean|rho75mean
2.953263403e+06|2.955190335e+06|2.929700636e+06|2.933378294e+06|7.000881625e+06|7.076667000e+06|7.177044875e+06|7.102115000e+06|6.997347000e+06|7.206883000e+06|7.409801250e+05|8.933937500e+05|2.091261750e+06|1.321553500e+06|7.253241875e+05|1.917782750e+06|3.019293865e+03|3.040730484e+03|3.079022724e+03|3.048801376e+03|3.017920741e+03|3.079682011e+03|1.992452534e+02|2.206956117e+02|2.591037480e+02|2.288119325e+02|1.979345405e+02|2.596893244e+02|3.512049587e+03|3.554569734e+03|3.626908482e+03|3.575767821e+03|3.508169678e+03|3.643365964e+03|4.370282636e+02|5.562090309e+02|6.665852763e+02|5.622398569e+02|4.514709545e+02|6.730087593e+02|9.132600934e+10|9.281808384e+10|9.381589402e+10|9.255131546e+10|9.114262733e+10|9.395998720e+10|2.839427072e+09|5.998579712e+09|3.293207450e+10|1.507287245e+10|2.560942336e+09|2.758480282e+10|4.828037109e+03|4.844740723e+03|4.858006836e+03|4.842348145e+03|4.824765625e+03|4.859930664e+03
2.981369055e+06|2.982480636e+06|2.960846536e+06|2.962564160e+06|6.838973625e+06|6.923823250e+06|7.030665375e+06|6.955593500e+06|6.825145000e+06|7.086041500e+06|6.203718750e+05|1.812632000e+06|2.018642750e+06|1.426368625e+06|7.584721875e+05|2.094265500e+06|3.019847418e+03|3.045456384e+03|3.070008541e+03|3.053987700e+03|3.020228923e+03|3.087746478e+03|1.998725371e+02|2.254282665e+02|2.500719143e+02|2.340049097e+02|2.002456729e+02|2.677641464e+02|3.495105026e+03|3.541882867e+03|3.598954717e+03|3.565186033e+03|3.492335033e+03|3.638037032e+03|4.628199870e+02|5.832588549e+02|6.727998499e+02|5.874745995e+02|4.672014676e+02|7.077477314e+02|8.780420096e+10|8.926149837e+10|9.059328819e+10|8.899655270e+10|8.693872230e+10|9.105438310e+10|2.628874240e+08|2.690413568e+10|3.027038925e+10|1.713210675e+10|2.445518336e+09|3.181869261e+10|4.785566528e+03|4.802821045e+03|4.820952881e+03|4.799678223e+03|4.774556152e+03|4.824798828e+03
3.004010730e+06|3.003662221e+06|2.982239929e+06|2.984949557e+06|6.660886375e+06|6.799277750e+06|6.968121750e+06|6.836903000e+06|6.646175500e+06|7.027631500e+06|5.087711250e+05|1.568205750e+06|1.932099000e+06|1.325716125e+06|5.351983125e+05|2.116234000e+06|3.044166002e+03|3.088071698e+03|3.151268721e+03|3.099828523e+03|3.041288850e+03|3.158368196e+03|2.241541799e+02|2.681290256e+02|3.311954654e+02|2.798212365e+02|2.212772230e+02|3.383652500e+02|3.500792767e+03|3.598158581e+03|3.729492688e+03|3.625162112e+03|3.503872901e+03|3.746451323e+03|4.551521451e+02|6.468186649e+02|7.738547791e+02|6.532782864e+02|4.719933086e+02|8.345632643e+02|8.078987059e+10|8.365271040e+10|8.555475968e+10|8.334966784e+10|8.058624410e+10|8.611309978e+10|-4.168755200e+09|1.775702630e+10|2.467047219e+10|1.192872550e+10|-4.268021504e+09|2.812547686e+10|4.688189331e+03|4.726465576e+03|4.758366211e+03|4.724088379e+03|4.686328613e+03|4.761848633e+03
3.016955973e+06|3.017171112e+06|2.998957770e+06|3.001067871e+06|6.557269500e+06|6.701796500e+06|6.988961250e+06|6.761021500e+06|6.531890000e+06|6.990153000e+06|5.516746250e+05|1.689353250e+06|2.008980625e+06|1.483750875e+06|6.578330625e+05|2.309668500e+06|3.061950913e+03|3.104084332e+03|3.185079088e+03|3.125446773e+03|3.059039957e+03|3.191853589e+03|2.418531514e+02|2.840511392e+02|3.651438909e+02|3.054441580e+02|2.390383682e+02|3.718499478e+02|3.513996090e+03|3.603088718e+03|3.791464735e+03|3.649903833e+03|3.515164534e+03|3.784643131e+03|5.681526034e+02|7.119808289e+02|8.506633157e+02|7.203474580e+02|5.374380077e+02|9.032569082e+02|7.771076198e+10|8.025190400e+10|8.251541914e+10|8.000262144e+10|7.750022758e+10|8.250500710e+10|-8.622012416e+09|1.972173619e+10|2.557536256e+10|1.396067021e+10|-4.217781504e+09|3.213912269e+10|4.644721558e+03|4.675704834e+03|4.712215820e+03|4.678052734e+03|4.643646484e+03|4.712459473e+03
3.029095460e+06|3.028940944e+06|3.008542788e+06|3.013746312e+06|6.435107250e+06|6.600933500e+06|6.750852250e+06|6.609136500e+06|6.412982000e+06|6.805291500e+06|6.666125000e+05|1.724699000e+06|2.024822625e+06|1.568805750e+06|8.388590625e+05|2.298752750e+06|3.074792123e+03|3.122205559e+03|3.168601698e+03|3.126265934e+03|3.073680274e+03|3.178851594e+03|2.546932858e+02|3.022525933e+02|3.485768845e+02|3.062765530e+02|2.536926015e+02|3.588605045e+02|3.528895787e+03|3.622382278e+03|3.742383540e+03|3.632369903e+03|3.523017463e+03|3.741722342e+03|6.129544863e+02|7.349251307e+02|8.704785051e+02|7.359228516e+02|5.768574452e+02|8.949882580e+02|7.466872422e+10|7.670684877e+10|7.858611405e+10|7.668888371e+10|7.453708288e+10|7.884067635e+10|-8.401629184e+09|1.799115162e+10|2.675889050e+10|1.589940224e+10|8.714731200e+07|3.171166003e+10|4.610091675e+03|4.631371338e+03|4.664396362e+03|4.635777344e+03|4.606919922e+03|4.664634277e+03
3.040519995e+06|3.040398971e+06|3.021801753e+06|3.027090507e+06|6.378228500e+06|6.599510000e+06|6.772684375e+06|6.634843500e+06|6.380594500e+06|6.889092000e+06|3.885232500e+05|1.593423750e+06|2.086550500e+06|1.535458250e+06|5.902477500e+05|2.480668500e+06|3.105465311e+03|3.153096039e+03|3.194046893e+03|3.158830787e+03|3.099951049e+03|3.217710525e+03|2.854193226e+02|3.330446859e+02|3.741403852e+02|3.388294808e+02|2.799607381e+02|3.976982234e+02|3.566384762e+03|3.681138574e+03|3.788189846e+03|3.674184525e+03|3.561811730e+03|3.786557321e+03|6.039093374e+02|7.548430529e+02|9.224222360e+02|7.763405168e+02|5.774264514e+02|9.752545821e+02|7.308313805e+10|7.477337293e+10|7.656996250e+10|7.508310426e+10|7.267476275e+10|7.749143757e+10|-1.241345024e+10|1.512932147e+10|2.666476134e+10|1.311613338e+10|-6.364436480e+09|3.259670118e+10|4.584298706e+03|4.603875488e+03|4.628091797e+03|4.608890625e+03|4.580377441e+03|4.637403809e+03
3.054209520e+06|3.053522531e+06|3.034796991e+06|3.042448880e+06|6.309055625e+06|6.528227750e+06|6.766750750e+06|6.588444000e+06|6.307584500e+06|6.869300500e+06|6.531183750e+05|1.698703750e+06|2.378880125e+06|1.629731375e+06|7.118548750e+05|2.547607250e+06|3.109547531e+03|3.161062509e+03|3.227717532e+03|3.172921733e+03|3.104171225e+03|3.241672241e+03|2.895685444e+02|3.409817459e+02|4.077447919e+02|3.529274812e+02|2.841803567e+02|4.216746057e+02|3.559687708e+03|3.684433468e+03|3.794324494e+03|3.674741596e+03|3.557195215e+03|3.792287977e+03|6.482457153e+02|7.687392675e+02|9.058513677e+02|8.001719064e+02|6.129495026e+02|9.873943102e+02|7.110578586e+10|7.267593830e+10|7.445135565e+10|7.316501299e+10|7.092090470e+10|7.540912947e+10|-1.284209050e+10|1.504039322e+10|3.051016704e+10|1.438289101e+10|-4.885562880e+09|3.365134336e+10|4.559253052e+03|4.575197021e+03|4.599688599e+03|4.580616211e+03|4.553656738e+03|4.607576172e+03
3.077065222e+06|3.077557767e+06|3.056052602e+06|3.057736442e+06|6.133253000e+06|6.531515250e+06|6.735860125e+06|6.475614500e+06|6.130382000e+06|6.820847500e+06|8.549295000e+05|1.640800750e+06|2.392040625e+06|1.669821500e+06|6.962731875e+05|2.643369750e+06|3.111852153e+03|3.183308710e+03|3.235353903e+03|3.178470265e+03|3.106575993e+03|3.250364536e+03|2.919204018e+02|3.633010201e+02|4.153662632e+02|3.584645152e+02|2.865734500e+02|4.303555805e+02|3.533880652e+03|3.720021576e+03|3.790733496e+03|3.662840436e+03|3.533307939e+03|3.792372932e+03|6.014346096e+02|8.237154968e+02|9.722464799e+02|8.150881354e+02|5.877109439e+02|1.042465327e+03|6.775505613e+10|6.995118490e+10|7.317520384e+10|7.035716403e+10|6.697895117e+10|7.373538099e+10|5.638924288e+09|1.235361997e+10|3.090003354e+10|1.509604045e+10|-4.502261760e+09|3.469434880e+10|4.501638672e+03|4.537396240e+03|4.570660645e+03|4.541120117e+03|4.501721191e+03|4.580519531e+03
3.101668932e+06|3.102651659e+06|3.083170202e+06|3.085927279e+06|5.760106875e+06|5.861459250e+06|6.522358125e+06|6.121522000e+06|5.741223000e+06|6.501821500e+06|6.777348750e+05|9.138007500e+05|2.074423875e+06|1.181135375e+06|2.463058594e+05|2.115965000e+06|3.047405023e+03|3.074034510e+03|3.211306149e+03|3.123326147e+03|3.038736030e+03|3.207916265e+03|2.273227515e+02|2.539510547e+02|3.913481122e+02|3.033193782e+02|2.187408738e+02|3.878978826e+02|3.369735117e+03|3.440717071e+03|3.748710095e+03|3.521978434e+03|3.356731769e+03|3.687225100e+03|4.315867211e+02|5.080739648e+02|8.983838601e+02|6.405483141e+02|3.966606403e+02|8.844359879e+02|6.354623795e+10|6.431276851e+10|6.938396672e+10|6.629958861e+10|6.334365286e+10|6.925552026e+10|2.346169344e+09|6.551336960e+09|2.105202790e+10|7.760649216e+09|-8.815921152e+09|2.433722163e+10|4.467425049e+03|4.479935059e+03|4.520491089e+03|4.494064941e+03|4.464505859e+03|4.523623047e+03
3.120476033e+06|3.120449150e+06|3.104562511e+06|3.110712387e+06|5.700573625e+06|5.813963000e+06|6.341144125e+06|6.029769000e+06|5.697466000e+06|6.362070500e+06|-3.174865000e+05|7.857672500e+05|1.358356125e+06|8.963561875e+05|-6.492529785e+03|1.799204500e+06|3.028277016e+03|3.068046625e+03|3.179808174e+03|3.115623321e+03|3.032808912e+03|3.198437730e+03|2.082502756e+02|2.480444034e+02|3.598160324e+02|2.956193799e+02|2.128129306e+02|3.784258291e+02|3.331641895e+03|3.409999432e+03|3.663151878e+03|3.485308084e+03|3.339799280e+03|3.630816887e+03|3.723474982e+02|4.842177752e+02|7.743908400e+02|5.765742380e+02|3.573322312e+02|7.958162447e+02|6.276712653e+10|6.371632333e+10|6.591014912e+10|6.484116685e+10|6.269666918e+10|6.698566042e+10|-2.402761933e+10|4.059887616e+09|1.122826342e+10|2.028355584e+09|-1.503025869e+10|1.908697088e+10|4.456826416e+03|4.466998047e+03|4.486432861e+03|4.474535156e+03|4.452530273e+03|4.496539551e+03
