#RRR|P25fit|P50fit|P75fit|P25model|P50model|P75model
2.508073567e+05|1.779761717e+11|1.784954108e+11|1.788227097e+11|0.000000|0.000000|0.000000
3.820046866e+05|1.768647671e+11|1.773891873e+11|1.778349019e+11|0.000000|0.000000|0.000000
4.545390682e+05|1.760003162e+11|1.765272900e+11|1.770152772e+11|0.000000|0.000000|0.000000
5.069472376e+05|1.752677658e+11|1.757965448e+11|1.763065967e+11|0.000000|0.000000|0.000000
5.540386964e+05|1.745336043e+11|1.750640227e+11|1.755886426e+11|0.000000|0.000000|0.000000
5.913811786e+05|1.739010384e+11|1.744327929e+11|1.749658387e+11|0.000000|0.000000|0.000000
6.257120776e+05|1.732806299e+11|1.738136569e+11|1.743522770e+11|0.000000|0.000000|0.000000
6.601950613e+05|1.726204001e+11|1.731547620e+11|1.736971083e+11|0.000000|0.000000|0.000000
6.912558680e+05|1.719942062e+11|1.725298301e+11|1.730740986e+11|0.000000|0.000000|0.000000
7.192463952e+05|1.714045870e+11|1.719414050e+11|1.724863680e+11|0.000000|0.000000|0.000000
7.501041117e+05|1.707270020e+11|1.712652075e+11|1.718099254e+11|0.000000|0.000000|0.000000
7.796066336e+05|1.700523811e+11|1.705919910e+11|1.711356035e+11|0.000000|0.000000|0.000000
8.041295765e+05|1.694718627e+11|1.700127042e+11|1.705548326e+11|0.000000|0.000000|0.000000
8.301117610e+05|1.688373842e+11|1.693795992e+11|1.699196704e+11|0.000000|0.000000|0.000000
8.566339619e+05|1.681692746e+11|1.687129703e+11|1.692505008e+11|0.000000|0.000000|0.000000
8.809470643e+05|1.675388092e+11|1.680839368e+11|1.686188100e+11|0.000000|0.000000|0.000000
9.044694861e+05|1.669125794e+11|1.674591647e+11|1.679912220e+11|0.000000|0.000000|0.000000
9.276635111e+05|1.662795401e+11|1.668276361e+11|1.673567283e+11|0.000000|0.000000|0.000000
9.506502581e+05|1.656370290e+11|1.661866977e+11|1.667127112e+11|0.000000|0.000000|0.000000
9.732392824e+05|1.649910644e+11|1.655423556e+11|1.660652483e+11|0.000000|0.000000|0.000000
9.947984016e+05|1.643611727e+11|1.649140866e+11|1.654339482e+11|0.000000|0.000000|0.000000
1.015248995e+06|1.637516717e+11|1.643061945e+11|1.648231633e+11|0.000000|0.000000|0.000000
1.035301177e+06|1.631427749e+11|1.636989437e+11|1.642130851e+11|0.000000|0.000000|0.000000
