#R_planet
5.306759981e+06
#RRR|RRR50|RR|RR50|U25|U50|U75|Umean|U25mean|U75mean|deltaU25|deltaU50|deltaU75|deltaUmean|deltaU25mean|deltaU75mean|S25|S50|S75|Smean|S25mean|S75mean|deltaS25|deltaS50|delatS75|deltaSmean|deltaS25mean|deltaS75mean|T25|T50|T75|Tmean|T25mean|T75mean|deltaT25|deltaT50|deltaT75|deltaTmean|deltaT25|deltaT75|P25|P50|P75|Pmean|P25mean|P75mean|deltaP25|deltaP50|deltaP75|deltaPmean|deltaP25mean|deltaP75mean|rho25|rho50|rho75|rhomean|rho25mean|rho75mean
2.925085412e+06|2.925693560e+06|2.900994293e+06|2.899655964e+06|7.005796250e+06|7.069619750e+06|7.119956375e+06|7.069092000e+06|6.988018000e+06|7.150166000e+06|7.359543750e+05|1.456131000e+06|2.132846500e+06|1.436590750e+06|7.275536250e+05|2.145627750e+06|3.078901275e+03|3.102844121e+03|3.122383739e+03|3.102845647e+03|3.078098839e+03|3.127592455e+03|2.588225073e+02|2.829255339e+02|3.023834693e+02|2.828639550e+02|2.581047325e+02|3.076231776e+02|3.613808594e+03|3.668091677e+03|3.709408579e+03|3.668795857e+03|3.612949656e+03|3.724642057e+03|5.836066505e+02|6.836241167e+02|7.511455753e+02|6.761050121e+02|5.816377431e+02|7.705722812e+02|8.759516160e+10|8.816146022e+10|8.884033536e+10|8.824732877e+10|8.752610509e+10|8.896853606e+10|-1.819344896e+09|1.505830707e+10|2.916325478e+10|1.406631117e+10|-2.003781888e+09|3.013640806e+10|4.776096680e+03|4.781976074e+03|4.792512207e+03|4.783928223e+03|4.775018555e+03|4.792838867e+03
2.930589709e+06|2.930437848e+06|2.911776566e+06|2.915481600e+06|6.974692875e+06|7.037985000e+06|7.108676500e+06|7.050127500e+06|6.956750000e+06|7.143504500e+06|7.145035000e+05|1.961991500e+06|2.107695375e+06|1.510797500e+06|8.713746250e+05|2.150220250e+06|3.083587274e+03|3.100366776e+03|3.129404267e+03|3.106937575e+03|3.079106925e+03|3.134768226e+03|2.635681718e+02|2.803857955e+02|3.093609497e+02|2.869567291e+02|2.591310733e+02|3.147823849e+02|3.621938890e+03|3.666303800e+03|3.719591262e+03|3.673654588e+03|3.610874556e+03|3.736434619e+03|6.039229706e+02|7.048001849e+02|7.909116006e+02|6.934155650e+02|5.949362891e+02|7.918948409e+02|8.670403584e+10|8.741911347e+10|8.811803853e+10|8.755543245e+10|8.676335616e+10|8.834750874e+10|-2.572441600e+09|2.644493722e+10|2.863953818e+10|1.544673280e+10|1.225629312e+09|2.966783590e+10|4.765158081e+03|4.773972412e+03|4.782469482e+03|4.774992676e+03|4.764269531e+03|4.785717285e+03
2.934356980e+06|2.934363029e+06|2.918589199e+06|2.922690992e+06|6.971977000e+06|7.056841000e+06|7.142232375e+06|7.060749000e+06|6.968704000e+06|7.152792500e+06|7.892651250e+05|2.026284000e+06|2.159760375e+06|1.587494375e+06|9.911754375e+05|2.183813750e+06|3.087533848e+03|3.110000637e+03|3.134398655e+03|3.111817366e+03|3.085273188e+03|3.138361545e+03|2.674617776e+02|2.900203960e+02|3.144730890e+02|2.918342102e+02|2.652662353e+02|3.184021850e+02|3.624262353e+03|3.680169380e+03|3.735197257e+03|3.683902612e+03|3.623413446e+03|3.744391779e+03|6.337407542e+02|7.205179647e+02|7.781000748e+02|7.128876439e+02|6.281988282e+02|7.975764596e+02|8.686127104e+10|8.745545318e+10|8.809847808e+10|8.746314138e+10|8.664417894e+10|8.828208742e+10|-2.185097216e+09|2.685463142e+10|2.916822221e+10|1.682768282e+10|3.340712960e+09|3.031465165e+10|4.765020020e+03|4.773778809e+03|4.782400391e+03|4.773181641e+03|4.762333496e+03|4.784029785e+03
2.937883832e+06|2.937917067e+06|2.923134141e+06|2.927442840e+06|6.957848000e+06|7.039731500e+06|7.116714875e+06|7.045166000e+06|6.947946000e+06|7.142383500e+06|7.118526250e+05|1.027254750e+06|2.102909875e+06|1.401305625e+06|7.120651250e+05|2.090546250e+06|3.084887147e+03|3.112073255e+03|3.132209185e+03|3.113377927e+03|3.084830343e+03|3.141925510e+03|2.648487086e+02|2.919808804e+02|3.123055208e+02|2.934005541e+02|2.648434546e+02|3.219576535e+02|3.616468830e+03|3.685364181e+03|3.728515823e+03|3.684553999e+03|3.620257879e+03|3.748850119e+03|6.099217343e+02|6.924584089e+02|7.678446550e+02|6.907452236e+02|5.981239151e+02|7.833665322e+02|8.604096307e+10|8.703808307e+10|8.785970586e+10|8.701397402e+10|8.604340224e+10|8.798455398e+10|-3.334316032e+09|2.320560128e+09|2.791691674e+10|1.258395238e+10|-3.145374208e+09|2.831328051e+10|4.754803467e+03|4.768600586e+03|4.777822144e+03|4.767508789e+03|4.754527832e+03|4.780489258e+03
2.941474765e+06|2.941468301e+06|2.926765329e+06|2.932061710e+06|6.949991125e+06|7.019950000e+06|7.104973750e+06|7.029597500e+06|6.938624500e+06|7.120571000e+06|6.802591250e+05|1.920251500e+06|2.105127500e+06|1.423092375e+06|7.453720000e+05|2.100812500e+06|3.100206812e+03|3.117396453e+03|3.141223544e+03|3.120146398e+03|3.092724873e+03|3.147567922e+03|2.803071591e+02|2.973104320e+02|3.212660109e+02|3.001675835e+02|2.727316626e+02|3.276035045e+02|3.650045858e+03|3.682152195e+03|3.745249235e+03|3.694139695e+03|3.633094327e+03|3.755185062e+03|6.003869402e+02|7.082956881e+02|7.856204682e+02|7.047034527e+02|6.035684606e+02|8.058384448e+02|8.555107533e+10|8.631877632e+10|8.680856576e+10|8.622049690e+10|8.536455578e+10|8.707643802e+10|-4.011028480e+09|2.365474406e+10|2.747111424e+10|1.261647053e+10|-2.593356032e+09|2.782629478e+10|4.748711182e+03|4.757047607e+03|4.768321899e+03|4.756906738e+03|4.745125488e+03|4.768687012e+03
2.944658612e+06|2.944642876e+06|2.929465284e+06|2.934625593e+06|6.915512750e+06|6.978748250e+06|7.055998750e+06|6.988486000e+06|6.904855000e+06|7.072116000e+06|6.346193750e+05|1.891571750e+06|2.073079375e+06|1.430621750e+06|7.562035000e+05|2.105039750e+06|3.089413137e+03|3.111253791e+03|3.134210089e+03|3.112584719e+03|3.086713845e+03|3.138455593e+03|2.694404783e+02|2.913269303e+02|3.141798018e+02|2.926095186e+02|2.667362850e+02|3.184827521e+02|3.618612705e+03|3.670800492e+03|3.724594698e+03|3.674851604e+03|3.617551657e+03|3.732151551e+03|5.799631185e+02|6.946416860e+02|8.025323876e+02|6.920703983e+02|5.844007216e+02|7.997400750e+02|8.496222003e+10|8.576575078e+10|8.657607885e+10|8.584491008e+10|8.489302426e+10|8.679680410e+10|-3.492579328e+09|2.437086413e+10|2.709629645e+10|1.332410368e+10|-1.237662080e+09|2.788586701e+10|4.740594604e+03|4.753658936e+03|4.762891846e+03|4.753506348e+03|4.740493652e+03|4.766517578e+03
2.948648702e+06|2.948605804e+06|2.935203883e+06|2.941423691e+06|6.892189875e+06|6.953758500e+06|7.032128875e+06|6.972317500e+06|6.876719500e+06|7.067915500e+06|6.663555000e+05|1.825206750e+06|2.003177625e+06|1.386625000e+06|7.515588750e+05|2.021690500e+06|3.092640003e+03|3.111969615e+03|3.138600325e+03|3.118698293e+03|3.088038704e+03|3.149357882e+03|2.726566502e+02|2.920233468e+02|3.186430015e+02|2.987350335e+02|2.680652078e+02|3.294048593e+02|3.623474361e+03|3.665662186e+03|3.724413531e+03|3.681521967e+03|3.616617500e+03|3.746426434e+03|6.085583416e+02|7.057565538e+02|7.613311541e+02|6.946342424e+02|6.033768390e+02|7.858916459e+02|8.424845722e+10|8.491856282e+10|8.585840845e+10|8.507421491e+10|8.402450022e+10|8.612393779e+10|-4.870223872e+09|2.276745216e+10|2.574397747e+10|1.193190093e+10|-2.608131840e+09|2.647192986e+10|4.733587891e+03|4.741681396e+03|4.753551880e+03|4.743065918e+03|4.728031738e+03|4.758101074e+03
2.972059208e+06|2.955232881e+06|2.958872670e+06|2.951498311e+06|6.753447375e+06|6.840876250e+06|6.926550125e+06|6.732295000e+06|6.529586000e+06|6.935006000e+06|5.397558750e+05|9.399300000e+05|1.903850500e+06|1.186920250e+06|5.251096250e+05|1.848730750e+06|3.086091980e+03|3.101710610e+03|3.123253812e+03|3.104922594e+03|3.081760768e+03|3.128084421e+03|2.661395774e+02|2.818257559e+02|3.032339260e+02|2.849384053e+02|2.617725242e+02|3.081042863e+02|3.591461026e+03|3.626163339e+03|3.675432015e+03|3.621069152e+03|3.563944914e+03|3.678193390e+03|5.499689978e+02|6.401896873e+02|7.450266380e+02|6.398852032e+02|5.393892638e+02|7.403811426e+02|8.206021837e+10|8.324560077e+10|8.500880998e+10|8.081537434e+10|7.650011546e+10|8.513065779e+10|-5.400186880e+09|9.667174400e+08|2.456509850e+10|8.572587008e+09|-6.145477632e+09|2.329065472e+10|4.706493042e+03|4.722822754e+03|4.749316650e+03|4.689129883e+03|4.630531738e+03|4.747727051e+03
3.086981893e+06|3.087537802e+06|3.066494206e+06|3.066103951e+06|5.660535625e+06|5.754777000e+06|5.826717500e+06|5.756458000e+06|5.655298000e+06|5.857618500e+06|-4.599847500e+05|7.451727500e+05|9.084023750e+05|3.911874062e+05|-1.487414844e+05|9.311161875e+05|3.074437614e+03|3.101479274e+03|3.131230681e+03|3.105703613e+03|3.074804585e+03|3.136602642e+03|2.544521499e+02|2.815904670e+02|3.112736435e+02|2.857119640e+02|2.548038235e+02|3.166201044e+02|3.397731648e+03|3.456324582e+03|3.513633208e+03|3.462712403e+03|3.397478670e+03|3.527946137e+03|4.468151290e+02|5.179140414e+02|5.735048920e+02|5.071268948e+02|4.236350139e+02|5.906187757e+02|5.913653043e+10|5.963680154e+10|6.013633843e+10|5.963057152e+10|5.912591155e+10|6.013523149e+10|-2.953362227e+10|-3.500277760e+08|2.530089984e+09|-8.596731904e+09|-2.087877837e+10|3.685314816e+09|4.395423462e+03|4.404155518e+03|4.409747192e+03|4.402169922e+03|4.394335938e+03|4.410003906e+03
3.093555413e+06|3.093497626e+06|3.079070925e+06|3.081021307e+06|5.648899250e+06|5.745565750e+06|5.854735125e+06|5.763869000e+06|5.646914000e+06|5.880822500e+06|-5.033271250e+05|7.131155000e+05|9.462527500e+05|2.952568750e+05|-3.659784062e+05|9.564921875e+05|3.079209376e+03|3.110120870e+03|3.137750239e+03|3.113941306e+03|3.078552140e+03|3.149330471e+03|2.592822928e+02|2.900955343e+02|3.178170151e+02|2.939612168e+02|2.585555448e+02|3.293668889e+02|3.398900911e+03|3.471180951e+03|3.537190986e+03|3.472980673e+03|3.401973920e+03|3.543987426e+03|4.170758151e+02|5.205397766e+02|5.657169285e+02|5.042025779e+02|4.186095273e+02|5.897956286e+02|5.883261747e+10|5.926771098e+10|5.966159462e+10|5.926371328e+10|5.873047552e+10|5.979695514e+10|-3.029143654e+10|-1.523300352e+09|2.104388608e+09|-1.125644288e+10|-2.664436122e+10|4.131477504e+09|4.387040161e+03|4.394724365e+03|4.403000244e+03|4.395096680e+03|4.386320801e+03|4.403873047e+03
