#RRR|P25fit|P50fit|P75fit|P25model|P50model|P75model
2.703072564e+05|1.484792838e+11|1.496485613e+11|1.513512519e+11|0.000000|0.000000|0.000000
4.116240316e+05|1.472049240e+11|1.483462828e+11|1.498049944e+11|0.000000|0.000000|0.000000
4.887407653e+05|1.463233020e+11|1.474505403e+11|1.488135642e+11|0.000000|0.000000|0.000000
5.473326038e+05|1.455597754e+11|1.466795404e+11|1.479879162e+11|0.000000|0.000000|0.000000
5.949172075e+05|1.448781555e+11|1.459949220e+11|1.472704488e+11|0.000000|0.000000|0.000000
6.386367716e+05|1.442021865e+11|1.453192065e+11|1.465736604e+11|0.000000|0.000000|0.000000
6.725780332e+05|1.436440582e+11|1.447635537e+11|1.460076407e+11|0.000000|0.000000|0.000000
7.069355819e+05|1.430490459e+11|1.441732881e+11|1.454121853e+11|0.000000|0.000000|0.000000
7.379096242e+05|1.424864978e+11|1.436171001e+11|1.448558604e+11|0.000000|0.000000|0.000000
7.657442807e+05|1.419596827e+11|1.430977871e+11|1.443400674e+11|0.000000|0.000000|0.000000
7.907285374e+05|1.414695707e+11|1.426159179e+11|1.438642679e+11|0.000000|0.000000|0.000000
8.156899589e+05|1.409635535e+11|1.421196166e+11|1.433767537e+11|0.000000|0.000000|0.000000
8.393029098e+05|1.404697870e+11|1.416364473e+11|1.429043755e+11|0.000000|0.000000|0.000000
8.621749031e+05|1.399775051e+11|1.411557692e+11|1.424364223e+11|0.000000|0.000000|0.000000
8.818621199e+05|1.395427182e+11|1.407320497e+11|1.420254258e+11|0.000000|0.000000|0.000000
9.017541188e+05|1.390930193e+11|1.402945664e+11|1.416024421e+11|0.000000|0.000000|0.000000
9.199933431e+05|1.386715083e+11|1.398851828e+11|1.412077884e+11|0.000000|0.000000|0.000000
9.408412973e+05|1.381789641e+11|1.394076013e+11|1.407487039e+11|0.000000|0.000000|0.000000
9.583357809e+05|1.377568121e+11|1.389989217e+11|1.403568948e+11|0.000000|0.000000|0.000000
9.742315952e+05|1.373662562e+11|1.386213391e+11|1.399956940e+11|0.000000|0.000000|0.000000
9.916003518e+05|1.369319250e+11|1.382019862e+11|1.395953721e+11|0.000000|0.000000|0.000000
1.006382204e+06|1.365560563e+11|1.378395294e+11|1.392500298e+11|0.000000|0.000000|0.000000
1.022161333e+06|1.361485258e+11|1.374469930e+11|1.388766813e+11|0.000000|0.000000|0.000000
1.037355256e+06|1.357499740e+11|1.370635428e+11|1.385125914e+11|0.000000|0.000000|0.000000
1.052494959e+06|1.353468744e+11|1.366761402e+11|1.381453301e+11|0.000000|0.000000|0.000000
1.067921810e+06|1.349300192e+11|1.362759474e+11|1.377665202e+11|0.000000|0.000000|0.000000
1.081872855e+06|1.345477498e+11|1.359093272e+11|1.374199727e+11|0.000000|0.000000|0.000000
1.094001207e+06|1.342113532e+11|1.355869837e+11|1.371156383e+11|0.000000|0.000000|0.000000
1.107415886e+06|1.338348849e+11|1.352265439e+11|1.367757142e+11|0.000000|0.000000|0.000000
1.120646322e+06|1.334590837e+11|1.348670496e+11|1.364370580e+11|0.000000|0.000000|0.000000
1.132403556e+06|1.331213894e+11|1.345442609e+11|1.361332826e+11|0.000000|0.000000|0.000000
1.144684917e+06|1.327648996e+11|1.342037564e+11|1.358131292e+11|0.000000|0.000000|0.000000
1.157804711e+06|1.323798673e+11|1.338362681e+11|1.354679252e+11|0.000000|0.000000|0.000000
1.170862087e+06|1.319923735e+11|1.334667121e+11|1.351210957e+11|0.000000|0.000000|0.000000
1.182484480e+06|1.316438791e+11|1.331345828e+11|1.348096469e+11|0.000000|0.000000|0.000000
1.194591938e+06|1.312772665e+11|1.327854154e+11|1.344824670e+11|0.000000|0.000000|0.000000
1.204614582e+06|1.309710359e+11|1.324939310e+11|1.342095209e+11|0.000000|0.000000|0.000000
1.214396320e+06|1.306697788e+11|1.322073305e+11|1.339413022e+11|0.000000|0.000000|0.000000
1.224738592e+06|1.303487054e+11|1.319020364e+11|1.336557487e+11|0.000000|0.000000|0.000000
1.236510771e+06|1.299800634e+11|1.315517068e+11|1.333282640e+11|0.000000|0.000000|0.000000
1.246405605e+06|1.296676069e+11|1.312549296e+11|1.330509916e+11|0.000000|0.000000|0.000000
1.257776249e+06|1.293056279e+11|1.309112901e+11|1.327301007e+11|0.000000|0.000000|0.000000
1.268968053e+06|1.289463106e+11|1.305703566e+11|1.324119004e+11|0.000000|0.000000|0.000000
1.279288403e+06|1.286123220e+11|1.302536104e+11|1.321164117e+11|0.000000|0.000000|0.000000
1.288839650e+06|1.283009712e+11|1.299584626e+11|1.318411837e+11|0.000000|0.000000|0.000000
1.298102155e+06|1.279969767e+11|1.296704047e+11|1.315726649e+11|0.000000|0.000000|0.000000
1.307339355e+06|1.276918077e+11|1.293813459e+11|1.313033045e+11|0.000000|0.000000|0.000000
1.316441784e+06|1.273891436e+11|1.290947670e+11|1.310363400e+11|0.000000|0.000000|0.000000
1.325908518e+06|1.270723270e+11|1.287948982e+11|1.307570803e+11|0.000000|0.000000|0.000000
1.335112415e+06|1.267623255e+11|1.285015856e+11|1.304840048e+11|0.000000|0.000000|0.000000
1.344209228e+06|1.264540231e+11|1.282099808e+11|1.302125910e+11|0.000000|0.000000|0.000000
1.352622430e+06|1.261672115e+11|1.279387894e+11|1.299602370e+11|0.000000|0.000000|0.000000
1.361532846e+06|1.258617023e+11|1.276500074e+11|1.296915730e+11|0.000000|0.000000|0.000000
1.370867344e+06|1.255397376e+11|1.273457661e+11|1.294085874e+11|0.000000|0.000000|0.000000
1.379289657e+06|1.252475650e+11|1.270697585e+11|1.291519124e+11|0.000000|0.000000|0.000000
1.388873787e+06|1.249131738e+11|1.267539597e+11|1.288582859e+11|0.000000|0.000000|0.000000
1.398121310e+06|1.245886082e+11|1.264475301e+11|1.285734193e+11|0.000000|0.000000|0.000000
1.406554206e+06|1.242910032e+11|1.261666292e+11|1.283123226e+11|0.000000|0.000000|0.000000
1.414000824e+06|1.240269204e+11|1.259174263e+11|1.280807162e+11|0.000000|0.000000|0.000000
1.422004327e+06|1.237417541e+11|1.256483863e+11|1.278306987e+11|0.000000|0.000000|0.000000
1.430947751e+06|1.234214740e+11|1.253462876e+11|1.275499874e+11|0.000000|0.000000|0.000000
1.437515853e+06|1.231851741e+11|1.251234469e+11|1.273429392e+11|0.000000|0.000000|0.000000
1.444650668e+06|1.229274520e+11|1.248804462e+11|1.271171731e+11|0.000000|0.000000|0.000000
1.453382710e+06|1.226105804e+11|1.245817324e+11|1.268396613e+11|0.000000|0.000000|0.000000
1.460832611e+06|1.223389789e+11|1.243257429e+11|1.266018524e+11|0.000000|0.000000|0.000000
1.467831397e+06|1.220827771e+11|1.240843072e+11|1.263775707e+11|0.000000|0.000000|0.000000
1.475067835e+06|1.218168172e+11|1.238337141e+11|1.261447872e+11|0.000000|0.000000|0.000000
1.483470988e+06|1.215066365e+11|1.235415025e+11|1.258733464e+11|0.000000|0.000000|0.000000
1.491353854e+06|1.212143617e+11|1.232662034e+11|1.256176163e+11|0.000000|0.000000|0.000000
1.499812326e+06|1.208993580e+11|1.229695409e+11|1.253420382e+11|0.000000|0.000000|0.000000
1.507259176e+06|1.206208496e+11|1.227072856e+11|1.250984166e+11|0.000000|0.000000|0.000000
1.514672817e+06|1.203424961e+11|1.224452086e+11|1.248549529e+11|0.000000|0.000000|0.000000
