#RRR|U50|U25|U75|Umean|T50|T25|T75|Tmean|P50|P25|P75|Pmean|rho50|rho25|rho75|Pmean|S
2.637343481e+05|7.465830896e+06|7.489921490e+06|7.510902666e+06|7.490432085e+06|9.891011828e+03|9.908427408e+03|9.923574422e+03|9.908734490e+03|2.049924144e+11|2.059830539e+11|2.068459333e+11|2.060048547e+11|1.028987695e+04|1.030221533e+04|1.031294531e+04|1.030243848e+04|2.286500980e+03
4.010765738e+05|7.431530849e+06|7.455718485e+06|7.479095813e+06|7.453667207e+06|9.866115466e+03|9.883693759e+03|9.900604454e+03|9.882122139e+03|2.035834319e+11|2.045765903e+11|2.055378654e+11|2.044935645e+11|1.027225366e+04|1.028468896e+04|1.029667456e+04|1.028358789e+04|2.286500980e+03
4.769762928e+05|7.401182194e+06|7.430736368e+06|7.459737899e+06|7.430998777e+06|9.844011971e+03|9.865537351e+03|9.886603037e+03|9.865654184e+03|2.023376932e+11|2.035508199e+11|2.047418641e+11|2.035625713e+11|1.025660840e+04|1.027184082e+04|1.028674683e+04|1.027193164e+04|2.286500980e+03
5.340835673e+05|7.382160888e+06|7.407017208e+06|7.429813538e+06|7.407385430e+06|9.830108621e+03|9.848264902e+03|9.864865807e+03|9.848475522e+03|2.015576894e+11|2.025772059e+11|2.035129390e+11|2.025931030e+11|1.024677954e+04|1.025962109e+04|1.027136646e+04|1.025977441e+04|2.286500980e+03
5.806963023e+05|7.352751042e+06|7.384979814e+06|7.408620156e+06|7.382662346e+06|9.808544469e+03|9.832173527e+03|9.849432967e+03|9.830403987e+03|2.003526364e+11|2.016732127e+11|2.026430015e+11|2.015792476e+11|1.023154272e+04|1.024823633e+04|1.026044531e+04|1.024699512e+04|2.286500980e+03
6.215564995e+05|7.339150678e+06|7.366489738e+06|7.389803403e+06|7.367243323e+06|9.798559190e+03|9.818622856e+03|9.835706019e+03|9.819102473e+03|1.997954312e+11|2.009155524e+11|2.018708863e+11|2.009473799e+11|1.022447729e+04|1.023866113e+04|1.025073462e+04|1.023900781e+04|2.286500980e+03
6.579071923e+05|7.310353015e+06|7.346945930e+06|7.379654384e+06|7.346488718e+06|9.777324677e+03|9.804283468e+03|9.828272311e+03|9.803858171e+03|1.986171395e+11|2.001147768e+11|2.014549714e+11|2.000972910e+11|1.020949194e+04|1.022852783e+04|1.024548242e+04|1.022823828e+04|2.286500980e+03
6.879927930e+05|7.306221219e+06|7.335743899e+06|7.362495652e+06|7.334951481e+06|9.774272646e+03|9.796056678e+03|9.815693829e+03|9.795383946e+03|1.984481451e+11|1.996558650e+11|2.007518997e+11|1.996247242e+11|1.020733496e+04|1.022271436e+04|1.023658984e+04|1.022225000e+04|2.286500980e+03
7.199425240e+05|7.295965004e+06|7.318946273e+06|7.346532472e+06|7.319429657e+06|9.766693306e+03|9.783669763e+03|9.803979926e+03|9.783948694e+03|1.980286758e+11|1.989686182e+11|2.000978373e+11|1.989894402e+11|1.020198975e+04|1.021396875e+04|1.022831372e+04|1.021417383e+04|2.286500980e+03
7.469946294e+05|7.277233608e+06|7.310245602e+06|7.327661959e+06|7.302193535e+06|9.752838678e+03|9.777245345e+03|9.790101847e+03|9.771219356e+03|1.972626504e+11|1.986127463e+11|1.993251112e+11|1.982843939e+11|1.019220850e+04|1.020943457e+04|1.021850757e+04|1.020518945e+04|2.286500980e+03
