#RRR|P25fit|P50fit|P75fit|P25model|P50model|P75model
2.636029501e+05|1.744781470e+11|1.764898973e+11|1.787734919e+11|0.000000|0.000000|0.000000
3.986356984e+05|1.753941356e+11|1.767682839e+11|1.781908674e+11|0.000000|0.000000|0.000000
4.744884447e+05|1.752171930e+11|1.763698397e+11|1.774923580e+11|0.000000|0.000000|0.000000
5.328521835e+05|1.747898052e+11|1.758252103e+11|1.767887470e+11|0.000000|0.000000|0.000000
5.786626013e+05|1.742947759e+11|1.752654194e+11|1.761412200e+11|0.000000|0.000000|0.000000
6.175000124e+05|1.737744043e+11|1.747062836e+11|1.755297528e+11|0.000000|0.000000|0.000000
6.567852888e+05|1.731611284e+11|1.740668432e+11|1.748553021e+11|0.000000|0.000000|0.000000
6.865524976e+05|1.726421924e+11|1.735356987e+11|1.743081568e+11|0.000000|0.000000|0.000000
7.144774529e+05|1.721155325e+11|1.730028017e+11|1.737675051e+11|0.000000|0.000000|0.000000
7.451708308e+05|1.714947839e+11|1.723802888e+11|1.731436024e+11|0.000000|0.000000|0.000000
7.729735971e+05|1.708968672e+11|1.717847549e+11|1.725524367e+11|0.000000|0.000000|0.000000
7.970202198e+05|1.703539844e+11|1.712465492e+11|1.720217458e+11|0.000000|0.000000|0.000000
8.233613252e+05|1.697334175e+11|1.706334701e+11|1.714203189e+11|0.000000|0.000000|0.000000
8.467724216e+05|1.691603787e+11|1.700688276e+11|1.708685912e+11|0.000000|0.000000|0.000000
8.710962278e+05|1.685447380e+11|1.694633266e+11|1.702786342e+11|0.000000|0.000000|0.000000
8.957073444e+05|1.679019496e+11|1.688319572e+11|1.696647850e+11|0.000000|0.000000|0.000000
9.179530559e+05|1.673046715e+11|1.682457522e+11|1.690956324e+11|0.000000|0.000000|0.000000
9.401097629e+05|1.666952489e+11|1.676478481e+11|1.685155664e+11|0.000000|0.000000|0.000000
9.607202142e+05|1.661159999e+11|1.670795755e+11|1.679644156e+11|0.000000|0.000000|0.000000
9.832099632e+05|1.654710511e+11|1.664467058e+11|1.673505607e+11|0.000000|0.000000|0.000000
1.004635577e+06|1.648447626e+11|1.658318541e+11|1.667539181e+11|0.000000|0.000000|0.000000
1.024368161e+06|1.642582584e+11|1.652556845e+11|1.661944153e+11|0.000000|0.000000|0.000000
1.043030295e+06|1.636954292e+11|1.647023465e+11|1.656566031e+11|0.000000|0.000000|0.000000
1.062342008e+06|1.631050742e+11|1.641214227e+11|1.650913665e+11|0.000000|0.000000|0.000000
1.083603893e+06|1.624462264e+11|1.634723841e+11|1.644589974e+11|0.000000|0.000000|0.000000
1.103500328e+06|1.618216872e+11|1.628563741e+11|1.638578721e+11|0.000000|0.000000|0.000000
1.121220161e+06|1.612592756e+11|1.623009514e+11|1.633150179e+11|0.000000|0.000000|0.000000
1.138975475e+06|1.606901533e+11|1.617381933e+11|1.627641144e+11|0.000000|0.000000|0.000000
1.156724081e+06|1.601159052e+11|1.611696099e+11|1.622065614e+11|0.000000|0.000000|0.000000
1.172536812e+06|1.595999834e+11|1.606581035e+11|1.617041309e+11|0.000000|0.000000|0.000000
1.192271050e+06|1.589506666e+11|1.600134064e+11|1.610696890e+11|0.000000|0.000000|0.000000
1.211022814e+06|1.583283148e+11|1.593944739e+11|1.604593228e+11|0.000000|0.000000|0.000000
1.228716833e+06|1.577364890e+11|1.588049614e+11|1.598767762e+11|0.000000|0.000000|0.000000
1.246084188e+06|1.571514433e+11|1.582212871e+11|1.592988310e+11|0.000000|0.000000|0.000000
1.259801730e+06|1.566865495e+11|1.577568253e+11|1.588380875e+11|0.000000|0.000000|0.000000
1.275921351e+06|1.561372002e+11|1.572072284e+11|1.582919198e+11|0.000000|0.000000|0.000000
1.292073822e+06|1.555835334e+11|1.566524756e+11|1.577395551e+11|0.000000|0.000000|0.000000
1.309201480e+06|1.549930572e+11|1.560599117e+11|1.571483477e+11|0.000000|0.000000|0.000000
1.327234231e+06|1.543677363e+11|1.554313321e+11|1.565198583e+11|0.000000|0.000000|0.000000
1.342880707e+06|1.538222272e+11|1.548821013e+11|1.559695730e+11|0.000000|0.000000|0.000000
1.356198023e+06|1.533558283e+11|1.544118734e+11|1.554976071e+11|0.000000|0.000000|0.000000
1.370659361e+06|1.528472285e+11|1.538984220e+11|1.549813840e+11|0.000000|0.000000|0.000000
1.386000110e+06|1.523053169e+11|1.533505713e+11|1.544295792e+11|0.000000|0.000000|0.000000
1.401665393e+06|1.517494549e+11|1.527878008e+11|1.538616884e+11|0.000000|0.000000|0.000000
1.415111504e+06|1.512703641e+11|1.523021007e+11|1.533707186e+11|0.000000|0.000000|0.000000
1.430764002e+06|1.507103920e+11|1.517336467e+11|1.527951126e+11|0.000000|0.000000|0.000000
1.446088608e+06|1.501598112e+11|1.511739451e+11|1.522273511e+11|0.000000|0.000000|0.000000
1.460516379e+06|1.496393523e+11|1.506441671e+11|1.516890336e+11|0.000000|0.000000|0.000000
1.474519453e+06|1.491322749e+11|1.501273735e+11|1.511630761e+11|0.000000|0.000000|0.000000
1.488468485e+06|1.486252586e+11|1.496100295e+11|1.506357546e+11|0.000000|0.000000|0.000000
1.501902872e+06|1.481351580e+11|1.491093792e+11|1.501247036e+11|0.000000|0.000000|0.000000
1.515387527e+06|1.476414508e+11|1.486044984e+11|1.496086134e+11|0.000000|0.000000|0.000000
1.530403187e+06|1.470895871e+11|1.480395176e+11|1.490302589e+11|0.000000|0.000000|0.000000
1.545034090e+06|1.465497141e+11|1.474861967e+11|1.484630216e+11|0.000000|0.000000|0.000000
1.558484428e+06|1.460515101e+11|1.469750650e+11|1.479383438e+11|0.000000|0.000000|0.000000
1.572425151e+06|1.455332021e+11|1.464428044e+11|1.473913022e+11|0.000000|0.000000|0.000000
1.585130007e+06|1.450590973e+11|1.459555092e+11|1.468898979e+11|0.000000|0.000000|0.000000
1.596935559e+06|1.446170354e+11|1.455007988e+11|1.464215476e+11|0.000000|0.000000|0.000000
1.610214267e+06|1.441180346e+11|1.449871373e+11|1.458919546e+11|0.000000|0.000000|0.000000
1.623602910e+06|1.436129613e+11|1.444668364e+11|1.453549818e+11|0.000000|0.000000|0.000000
1.637348765e+06|1.430923394e+11|1.439301383e+11|1.448005582e+11|0.000000|0.000000|0.000000
1.649697161e+06|1.426228133e+11|1.434458088e+11|1.442998038e+11|0.000000|0.000000|0.000000
1.663497047e+06|1.420959932e+11|1.429020648e+11|1.437371721e+11|0.000000|0.000000|0.000000
1.677218299e+06|1.415699158e+11|1.423587887e+11|1.431745913e+11|0.000000|0.000000|0.000000
1.688890665e+06|1.411205722e+11|1.418945450e+11|1.426935399e+11|0.000000|0.000000|0.000000
1.701048493e+06|1.406507122e+11|1.414089232e+11|1.421900603e+11|0.000000|0.000000|0.000000
1.713573122e+06|1.401646739e+11|1.409064123e+11|1.416688060e+11|0.000000|0.000000|0.000000
1.725433084e+06|1.397025036e+11|1.404284459e+11|1.411727938e+11|0.000000|0.000000|0.000000
1.737306792e+06|1.392378687e+11|1.399478265e+11|1.406738458e+11|0.000000|0.000000|0.000000
1.750563234e+06|1.387167781e+11|1.394087175e+11|1.401139982e+11|0.000000|0.000000|0.000000
1.762979195e+06|1.382264116e+11|1.389013380e+11|1.395869663e+11|0.000000|0.000000|0.000000
1.777281332e+06|1.376586856e+11|1.383138881e+11|1.389766501e+11|0.000000|0.000000|0.000000
1.789733238e+06|1.371618253e+11|1.377997787e+11|1.384424744e+11|0.000000|0.000000|0.000000
1.799883884e+06|1.367549592e+11|1.373788205e+11|1.380050768e+11|0.000000|0.000000|0.000000
1.811306085e+06|1.362951018e+11|1.369030955e+11|1.375107934e+11|0.000000|0.000000|0.000000
1.822450234e+06|1.358443156e+11|1.364368406e+11|1.370263991e+11|0.000000|0.000000|0.000000
1.835582583e+06|1.353103318e+11|1.358846769e+11|1.364528585e+11|0.000000|0.000000|0.000000
1.847185648e+06|1.348359568e+11|1.353943130e+11|1.359436435e+11|0.000000|0.000000|0.000000
1.858535985e+06|1.343695045e+11|1.349123156e+11|1.354432736e+11|0.000000|0.000000|0.000000
1.870875279e+06|1.338596236e+11|1.343856745e+11|1.348967752e+11|0.000000|0.000000|0.000000
1.882942521e+06|1.333580900e+11|1.338679241e+11|1.343597636e+11|0.000000|0.000000|0.000000
1.894119336e+06|1.328909322e+11|1.333859296e+11|1.338601063e+11|0.000000|0.000000|0.000000
1.905607118e+06|1.324080602e+11|1.328880223e+11|1.333442596e+11|0.000000|0.000000|0.000000
1.916499607e+06|1.319475932e+11|1.324135276e+11|1.328529911e+11|0.000000|0.000000|0.000000
1.927488437e+06|1.314803979e+11|1.319324340e+11|1.323552427e+11|0.000000|0.000000|0.000000
1.938933005e+06|1.309909102e+11|1.314287725e+11|1.318345594e+11|0.000000|0.000000|0.000000
1.949116647e+06|1.305527808e+11|1.309783156e+11|1.313692662e+11|0.000000|0.000000|0.000000
1.960718112e+06|1.300506181e+11|1.304624666e+11|1.308369100e+11|0.000000|0.000000|0.000000
1.973031997e+06|1.295139807e+11|1.299117571e+11|1.302691870e+11|0.000000|0.000000|0.000000
1.984085995e+06|1.290289637e+11|1.294145418e+11|1.297571874e+11|0.000000|0.000000|0.000000
1.995189010e+06|1.285385769e+11|1.289123491e+11|1.292406518e+11|0.000000|0.000000|0.000000
2.006146931e+06|1.280513477e+11|1.284139393e+11|1.287286250e+11|0.000000|0.000000|0.000000
2.016572713e+06|1.275847010e+11|1.279371190e+11|1.282393824e+11|0.000000|0.000000|0.000000
2.027410203e+06|1.270963602e+11|1.274387135e+11|1.277286541e+11|0.000000|0.000000|0.000000
2.037492976e+06|1.266389606e+11|1.269724455e+11|1.272514966e+11|0.000000|0.000000|0.000000
2.047187160e+06|1.261963327e+11|1.265217664e+11|1.267909021e+11|0.000000|0.000000|0.000000
2.057709564e+06|1.257126419e+11|1.260298925e+11|1.262889159e+11|0.000000|0.000000|0.000000
2.069215282e+06|1.251797834e+11|1.254887841e+11|1.257375699e+11|0.000000|0.000000|0.000000
2.080092004e+06|1.246721449e+11|1.249740533e+11|1.252139935e+11|0.000000|0.000000|0.000000
2.090883085e+06|1.241646490e+11|1.244602352e+11|1.246922438e+11|0.000000|0.000000|0.000000
2.102045033e+06|1.236355683e+11|1.239254010e+11|1.241501371e+11|0.000000|0.000000|0.000000
2.112890786e+06|1.231173362e+11|1.234023810e+11|1.236210047e+11|0.000000|0.000000|0.000000
2.123226602e+06|1.226195785e+11|1.229008310e+11|1.231145474e+11|0.000000|0.000000|0.000000
2.132566926e+06|1.221664193e+11|1.224449187e+11|1.226550051e+11|0.000000|0.000000|0.000000
2.142507120e+06|1.216805918e+11|1.219568922e+11|1.221639901e+11|0.000000|0.000000|0.000000
2.152070850e+06|1.212096190e+11|1.214845421e+11|1.216896495e+11|0.000000|0.000000|0.000000
2.162272670e+06|1.207033053e+11|1.209775877e+11|1.211815668e+11|0.000000|0.000000|0.000000
2.173113695e+06|1.201607349e+11|1.204353099e+11|1.206392606e+11|0.000000|0.000000|0.000000
2.183762416e+06|1.196231351e+11|1.198990118e+11|1.201041563e+11|0.000000|0.000000|0.000000
2.193335941e+06|1.191357896e+11|1.194137264e+11|1.196210178e+11|0.000000|0.000000|0.000000
2.203186617e+06|1.186302689e+11|1.189112354e+11|1.191218357e+11|0.000000|0.000000|0.000000
2.214286701e+06|1.180555787e+11|1.183411042e+11|1.185568182e+11|0.000000|0.000000|0.000000
2.224780994e+06|1.175072190e+11|1.177982091e+11|1.180201567e+11|0.000000|0.000000|0.000000
2.234610215e+06|1.169890751e+11|1.172862363e+11|1.175152995e+11|0.000000|0.000000|0.000000
2.244136607e+06|1.164826196e+11|1.167867645e+11|1.170239419e+11|0.000000|0.000000|0.000000
2.253550426e+06|1.159779320e+11|1.162899767e+11|1.165363868e+11|0.000000|0.000000|0.000000
2.263597192e+06|1.154345940e+11|1.157561974e+11|1.160138337e+11|0.000000|0.000000|0.000000
