#RRR|Lz25|Lz50|Lz75|Lzmean|Lzsum|Isum
6.033615511e+04|1.513450121e+25|3.122399155e+25|4.911324591e+25|3.450339705e+25|3.450339705e+27|7.677797574e+30
1.112390564e+05|7.298927123e+25|9.386083195e+25|1.194393972e+26|9.723589671e+25|9.723589671e+27|2.369208056e+31
1.442929007e+05|1.328506604e+26|1.611750236e+26|1.834502183e+26|1.585665470e+26|1.585665470e+28|3.960467662e+31
1.693827636e+05|1.956892868e+26|2.215628430e+26|2.450077108e+26|2.240113631e+26|2.240113631e+28|5.450089345e+31
1.925543940e+05|2.704829967e+26|2.987172451e+26|3.228108156e+26|2.922663146e+26|2.922663146e+28|7.044757872e+31
2.144716253e+05|3.183802266e+26|3.558721156e+26|3.896689004e+26|3.504135442e+26|3.504135442e+28|8.722206557e+31
2.327082460e+05|3.918566104e+26|4.243502110e+26|4.517436466e+26|4.180366058e+26|4.180366058e+28|1.028591427e+32
2.505642606e+05|4.501116008e+26|4.868738559e+26|5.203942167e+26|4.860731618e+26|4.860731618e+28|1.193564890e+32
2.652306643e+05|5.000559252e+26|5.518400110e+26|5.784879423e+26|5.427864334e+26|5.427864334e+28|1.332750671e+32
2.796971199e+05|5.721991403e+26|6.074739262e+26|6.422662460e+26|6.074276131e+26|6.074276131e+28|1.487962783e+32
2.945278804e+05|6.365332435e+26|6.751499915e+26|7.144700203e+26|6.774958552e+26|6.774958552e+28|1.643443445e+32
3.085497652e+05|7.049584255e+26|7.512711496e+26|7.781406490e+26|7.346863494e+26|7.346863494e+28|1.806170338e+32
3.208416397e+05|7.665130600e+26|8.084393010e+26|8.445420259e+26|7.965686109e+26|7.965686109e+28|1.950053127e+32
3.344328795e+05|8.329156464e+26|8.739141370e+26|9.348203776e+26|8.808240196e+26|8.808240196e+28|2.128301987e+32
3.477470712e+05|9.088074752e+26|9.571834485e+26|1.005502913e+27|9.596427667e+26|9.596427667e+28|2.294033084e+32
3.594492074e+05|9.844572992e+26|1.017134127e+27|1.064301665e+27|1.026145939e+27|1.026145939e+29|2.450996057e+32
3.712035686e+05|1.033824116e+27|1.078232173e+27|1.129132998e+27|1.075601655e+27|1.075601655e+29|2.610081373e+32
3.816220253e+05|1.091667728e+27|1.144790185e+27|1.207511617e+27|1.144943533e+27|1.144943533e+29|2.761426424e+32
3.917589521e+05|1.119527899e+27|1.205282176e+27|1.250619339e+27|1.185776023e+27|1.185776023e+29|2.915709514e+32
4.020665691e+05|1.221875230e+27|1.273246870e+27|1.313971790e+27|1.264968908e+27|1.264968908e+29|3.065158497e+32
4.131911353e+05|1.288669445e+27|1.337608538e+27|1.388681152e+27|1.327722565e+27|1.327722565e+29|3.237246796e+32
4.244536592e+05|1.377967114e+27|1.430265387e+27|1.465941294e+27|1.430696736e+27|1.430696736e+29|3.419446753e+32
4.338303602e+05|1.452536899e+27|1.487348888e+27|1.545877501e+27|1.488033396e+27|1.488033396e+29|3.573810566e+32
4.413308631e+05|1.455563747e+27|1.520914248e+27|1.583908819e+27|1.517341392e+27|1.517341392e+29|3.687346066e+32
4.504152532e+05|1.510148183e+27|1.572088807e+27|1.635340168e+27|1.572439126e+27|1.572439126e+29|3.850391626e+32
4.595788480e+05|1.619993224e+27|1.671119799e+27|1.721110097e+27|1.667698859e+27|1.667698859e+29|4.002652919e+32
4.689766996e+05|1.689121689e+27|1.741018392e+27|1.791564283e+27|1.746359550e+27|1.746359550e+29|4.180323745e+32
4.781849317e+05|1.748087184e+27|1.809039872e+27|1.851652034e+27|1.799745217e+27|1.799745217e+29|4.335499473e+32
4.869387442e+05|1.802296889e+27|1.865332309e+27|1.929801433e+27|1.858946815e+27|1.858946815e+29|4.497868897e+32
4.948358392e+05|1.860966590e+27|1.928162321e+27|1.983800588e+27|1.934559031e+27|1.934559031e+29|4.640343948e+32
5.029061562e+05|1.935935922e+27|1.999757677e+27|2.054682510e+27|2.006527067e+27|2.006527067e+29|4.802401944e+32
5.119617724e+05|2.018609339e+27|2.075360869e+27|2.114854431e+27|2.084989005e+27|2.084989005e+29|4.976732420e+32
