#RRR|U50|U25|U75|Umean|T50|T25|T75|Tmean|P50|P25|P75|Pmean|rho50|rho25|rho75|Pmean|S
2.623354610e+05|6.791528256e+06|6.803540515e+06|6.818318030e+06|6.802593965e+06|8.559264834e+03|8.567072284e+03|8.576640787e+03|8.566424525e+03|2.006050335e+11|2.011238365e+11|2.017627745e+11|2.010834637e+11|1.040086914e+04|1.040731836e+04|1.041523999e+04|1.040679297e+04|2.191628151e+03
3.997640995e+05|6.756754664e+06|6.770059536e+06|6.780944321e+06|6.764647681e+06|8.536609322e+03|8.545284290e+03|8.552375192e+03|8.541732617e+03|1.991036961e+11|1.996780911e+11|2.001480510e+11|1.994447343e+11|1.038214868e+04|1.038931494e+04|1.039517480e+04|1.038638184e+04|2.191628151e+03
4.763387213e+05|6.734188742e+06|6.746463203e+06|6.757475290e+06|6.743253718e+06|8.521854097e+03|8.529893474e+03|8.537079391e+03|8.527761945e+03|1.981300711e+11|1.986593979e+11|1.991348078e+11|1.985214312e+11|1.036995581e+04|1.037659082e+04|1.038253101e+04|1.037483887e+04|2.191628151e+03
5.316448109e+05|6.710932064e+06|6.727497282e+06|6.738650356e+06|6.725056252e+06|8.506591256e+03|8.517465248e+03|8.524779251e+03|8.515843526e+03|1.971274631e+11|1.978415750e+11|1.983224342e+11|1.977365768e+11|1.035735840e+04|1.036633398e+04|1.037236865e+04|1.036499707e+04|2.191628151e+03
5.794021882e+05|6.697192957e+06|6.710708924e+06|6.722025752e+06|6.708194849e+06|8.497562610e+03|8.506444690e+03|8.513874969e+03|8.504768929e+03|1.965352099e+11|1.971178440e+11|1.976057122e+11|1.970097516e+11|1.034990479e+04|1.035724121e+04|1.036336914e+04|1.035585645e+04|2.191628151e+03
6.202275827e+05|6.677978726e+06|6.692872332e+06|6.708555275e+06|6.691527762e+06|8.484898818e+03|8.494721469e+03|8.505029989e+03|8.493799490e+03|1.957075196e+11|1.963489551e+11|1.970250046e+11|1.962915665e+11|1.033945581e+04|1.034755664e+04|1.035606836e+04|1.034680469e+04|2.191628151e+03
6.533966925e+05|6.659628810e+06|6.674706491e+06|6.688549971e+06|6.674803001e+06|8.472765561e+03|8.482736338e+03|8.491878297e+03|8.482773552e+03|1.949176248e+11|1.955666478e+11|1.961626664e+11|1.955711474e+11|1.032945361e+04|1.033767090e+04|1.034521167e+04|1.033770801e+04|2.191628151e+03
6.915087927e+05|6.643810477e+06|6.663051774e+06|6.675502914e+06|6.659628830e+06|8.462293345e+03|8.475030086e+03|8.483262703e+03|8.472731116e+03|1.942367798e+11|1.950649755e+11|1.956009346e+11|1.949180257e+11|1.032082031e+04|1.033132373e+04|1.033811133e+04|1.032942969e+04|2.191628151e+03
7.230264506e+05|6.633513650e+06|6.643468196e+06|6.661624549e+06|6.645861626e+06|8.455470098e+03|8.462066611e+03|8.474085954e+03|8.463630759e+03|1.937936027e+11|1.942220468e+11|1.950035372e+11|1.943253026e+11|1.031519458e+04|1.032063818e+04|1.033054150e+04|1.032192578e+04|2.191628151e+03
7.547192747e+05|6.614608065e+06|6.632236652e+06|6.652026084e+06|6.631366350e+06|8.442889273e+03|8.454623537e+03|8.467733818e+03|8.453988422e+03|1.929808382e+11|1.937386483e+11|1.945903864e+11|1.937020271e+11|1.030483545e+04|1.031449512e+04|1.032530737e+04|1.031398242e+04|2.191628151e+03
7.845493267e+05|6.590124704e+06|6.609414117e+06|6.627880129e+06|6.609269523e+06|8.426562784e+03|8.439428148e+03|8.451727556e+03|8.439297720e+03|1.919285964e+11|1.927576147e+11|1.935513229e+11|1.927517781e+11|1.029138721e+04|1.030198291e+04|1.031210791e+04|1.030187793e+04|2.191628151e+03
8.141381298e+05|6.582578071e+06|6.602659056e+06|6.619738862e+06|6.600944473e+06|8.421524540e+03|8.434924814e+03|8.446307037e+03|8.433748442e+03|1.916042466e+11|1.924672777e+11|1.932013706e+11|1.923939565e+11|1.028723608e+04|1.029827588e+04|1.030765137e+04|1.029730859e+04|2.191628151e+03
8.429088035e+05|6.565835179e+06|6.581713338e+06|6.599462898e+06|6.581297945e+06|8.410314374e+03|8.420947058e+03|8.432793287e+03|8.420614778e+03|1.908852729e+11|1.915670897e+11|1.923299165e+11|1.915499892e+11|1.027801001e+04|1.028676025e+04|1.029652344e+04|1.028649707e+04|2.191628151e+03
8.688338081e+05|6.545794856e+06|6.571358248e+06|6.586078236e+06|6.567926995e+06|8.396855548e+03|8.414020155e+03|8.423861647e+03|8.411662107e+03|1.900252366e+11|1.911223222e+11|1.917546865e+11|1.909757751e+11|1.026694312e+04|1.028106152e+04|1.028916113e+04|1.027912891e+04|2.191628151e+03
8.949283896e+05|6.535291493e+06|6.549338135e+06|6.565577577e+06|6.550684827e+06|8.389793772e+03|8.399236596e+03|8.410141496e+03|8.400096656e+03|1.895745217e+11|1.901772846e+11|1.908742165e+11|1.902355992e+11|1.026113306e+04|1.026890039e+04|1.027786987e+04|1.026961426e+04|2.191628151e+03
9.242965624e+05|6.517898177e+06|6.539191751e+06|6.562549322e+06|6.539545342e+06|8.378084375e+03|8.392416692e+03|8.408108975e+03|8.392593155e+03|1.888282704e+11|1.897418792e+11|1.907442405e+11|1.897577699e+11|1.025150269e+04|1.026329443e+04|1.027619751e+04|1.026344238e+04|2.191628151e+03
9.457900262e+05|6.504453136e+06|6.521504255e+06|6.541235719e+06|6.519845819e+06|8.368991375e+03|8.380515966e+03|8.393790946e+03|8.379324482e+03|1.882520904e+11|1.889829178e+11|1.898295920e+11|1.889127633e+11|1.024403589e+04|1.025350293e+04|1.026442383e+04|1.025253418e+04|2.191628151e+03
9.692702343e+05|6.483693628e+06|6.507776610e+06|6.526910562e+06|6.504552440e+06|8.354933983e+03|8.371239900e+03|8.384155133e+03|8.368994300e+03|1.873625781e+11|1.883945068e+11|1.892148670e+11|1.882571279e+11|1.023248438e+04|1.024587891e+04|1.025649780e+04|1.024404492e+04|2.191628151e+03
9.947982308e+05|6.462299044e+06|6.488439860e+06|6.510683853e+06|6.485904306e+06|8.340419915e+03|8.358149823e+03|8.373206371e+03|8.356357716e+03|1.864460439e+11|1.875659435e+11|1.885191007e+11|1.874581643e+11|1.022055981e+04|1.023512842e+04|1.024749927e+04|1.023366211e+04|2.191628151e+03
1.020841839e+06|6.448592310e+06|6.468452461e+06|6.485748517e+06|6.467444810e+06|8.331076629e+03|8.344599837e+03|8.356326446e+03|8.343850118e+03|1.858595455e+11|1.867095680e+11|1.874506242e+11|1.866672684e+11|1.021289380e+04|1.022399268e+04|1.023363184e+04|1.022338770e+04|2.191628151e+03
