#R_planet
6.243119056e+06
#RRR|RRR50|RR|RR50|U25|U50|U75|Umean|U25mean|U75mean|deltaU25|deltaU50|deltaU75|deltaUmean|deltaU25mean|deltaU75mean|S25|S50|S75|Smean|S25mean|S75mean|deltaS25|deltaS50|delatS75|deltaSmean|deltaS25mean|deltaS75mean|T25|T50|T75|Tmean|T25mean|T75mean|deltaT25|deltaT50|deltaT75|deltaTmean|deltaT25|deltaT75|P25|P50|P75|Pmean|P25mean|P75mean|deltaP25|deltaP50|deltaP75|deltaPmean|deltaP25mean|deltaP75mean|rho25|rho50|rho75|rhomean|rho25mean|rho75mean
3.174662601e+06|3.177605428e+06|3.146889949e+06|3.147775265e+06|6.986769750e+06|7.174505250e+06|7.438930125e+06|7.218571500e+06|6.954626500e+06|7.482518500e+06|2.381849875e+06|2.652349000e+06|2.898630875e+06|2.517492750e+06|2.066598500e+06|2.968387500e+06|3.239050471e+03|3.272680118e+03|3.351236621e+03|3.294038880e+03|3.234187331e+03|3.353890429e+03|4.190691262e+02|4.526019331e+02|5.312835510e+02|4.740273971e+02|4.141718700e+02|5.338829242e+02|3.833479420e+03|3.858827723e+03|3.886918618e+03|3.856828646e+03|3.822294719e+03|3.891362573e+03|9.691353982e+02|1.014839871e+03|1.075545521e+03|1.006693995e+03|9.294061204e+02|1.083981869e+03|7.683127296e+10|7.847351501e+10|8.076503859e+10|7.869204890e+10|7.602792038e+10|8.135617741e+10|2.052949197e+10|2.743392256e+10|3.588636774e+10|2.539472282e+10|1.416490906e+10|3.662453555e+10|4.598144409e+03|4.625293701e+03|4.654386963e+03|4.629266113e+03|4.596031738e+03|4.662500488e+03
3.223660556e+06|3.225477576e+06|3.200921458e+06|3.202414509e+06|6.821971875e+06|7.023024000e+06|7.210090625e+06|7.035666000e+06|6.812802500e+06|7.258529500e+06|2.056938250e+06|2.392656000e+06|2.664375188e+06|2.194847250e+06|1.649762375e+06|2.739932250e+06|3.259318673e+03|3.307293827e+03|3.352852347e+03|3.315490002e+03|3.254222995e+03|3.376757010e+03|4.392926604e+02|4.872394429e+02|5.328889728e+02|4.954875847e+02|4.342115465e+02|5.567636228e+02|3.774183407e+03|3.803528447e+03|3.834977136e+03|3.805733790e+03|3.772195195e+03|3.839272385e+03|8.793317780e+02|9.539747863e+02|1.008977717e+03|9.345126320e+02|8.406167736e+02|1.028408490e+03|7.091637453e+10|7.337787392e+10|7.589632819e+10|7.355731968e+10|7.061988147e+10|7.649477427e+10|1.232135885e+10|2.069514650e+10|2.803094323e+10|1.713142886e+10|4.070292736e+09|3.019256422e+10|4.515377319e+03|4.551330811e+03|4.591164551e+03|4.555897461e+03|4.512333496e+03|4.599460449e+03
3.264649250e+06|3.265697955e+06|3.241982614e+06|3.246146123e+06|6.816284250e+06|7.045098250e+06|7.316253250e+06|7.053533000e+06|6.751959500e+06|7.355104500e+06|1.965908875e+06|2.506931250e+06|2.841086625e+06|2.352769250e+06|1.771768000e+06|2.933770500e+06|3.259056137e+03|3.315851524e+03|3.391011356e+03|3.331337815e+03|3.249762081e+03|3.412913549e+03|4.390080413e+02|4.958698962e+02|5.709278906e+02|5.113366167e+02|4.297618243e+02|5.929114091e+02|3.763558166e+03|3.805276689e+03|3.829962400e+03|3.793435757e+03|3.752965489e+03|3.833906026e+03|8.754005477e+02|9.605538999e+02|1.035332789e+03|9.485972929e+02|8.400505743e+02|1.057144012e+03|7.050992230e+10|7.367249920e+10|7.554032435e+10|7.295316787e+10|6.999934566e+10|7.590699008e+10|1.321112371e+10|2.268449382e+10|3.139284173e+10|1.975599718e+10|5.441353216e+09|3.407064678e+10|4.503335449e+03|4.555574463e+03|4.584594116e+03|4.543734375e+03|4.499281738e+03|4.588187012e+03
3.289653887e+06|3.289552340e+06|3.269481714e+06|3.273454425e+06|6.680726875e+06|6.896713500e+06|7.107574250e+06|6.920718500e+06|6.610989000e+06|7.230449500e+06|1.874377000e+06|2.397368750e+06|2.860920500e+06|2.338579750e+06|1.645143000e+06|3.032016250e+06|3.251018282e+03|3.310160296e+03|3.366094095e+03|3.325761109e+03|3.248142683e+03|3.403379536e+03|4.310514066e+02|4.901696140e+02|5.460799882e+02|5.057432438e+02|4.281211306e+02|5.833653571e+02|3.740544420e+03|3.780697531e+03|3.801850515e+03|3.769918230e+03|3.726044175e+03|3.813792285e+03|8.540279610e+02|9.521629977e+02|1.024413577e+03|9.517080030e+02|8.240237152e+02|1.079392291e+03|6.851556352e+10|7.143403110e+10|7.296875110e+10|7.051468800e+10|6.742189670e+10|7.360747930e+10|1.136535654e+10|2.295792230e+10|3.150934784e+10|2.015930778e+10|5.014087168e+09|3.530452992e+10|4.481870361e+03|4.523785400e+03|4.550724365e+03|4.511439453e+03|4.467671387e+03|4.555208496e+03
3.310140970e+06|3.310487617e+06|3.289328447e+06|3.293169943e+06|6.538176500e+06|6.841871750e+06|7.124801625e+06|6.849751000e+06|6.484434000e+06|7.215066000e+06|1.826170125e+06|2.320974750e+06|2.827138125e+06|2.224326000e+06|1.478109000e+06|2.970543000e+06|3.258553685e+03|3.316836418e+03|3.391421760e+03|3.333740958e+03|3.250998002e+03|3.416483914e+03|4.385586730e+02|4.968489656e+02|5.714394541e+02|5.137273548e+02|4.309873532e+02|5.964673565e+02|3.701601539e+03|3.758175778e+03|3.791325879e+03|3.741916435e+03|3.692833977e+03|3.790998894e+03|8.214901208e+02|9.155784375e+02|9.990942322e+02|9.142627484e+02|7.904299435e+02|1.038095553e+03|6.588185907e+10|6.929538253e+10|7.201844224e+10|6.855414579e+10|6.502707200e+10|7.208123597e+10|1.088867021e+10|1.971146752e+10|2.931345971e+10|1.714342810e+10|1.897070592e+09|3.238978560e+10|4.449259399e+03|4.498443848e+03|4.522827393e+03|4.481732910e+03|4.436790527e+03|4.526675293e+03
3.330083955e+06|3.330052413e+06|3.309090064e+06|3.314197704e+06|6.270949125e+06|6.632890000e+06|6.973158250e+06|6.648673500e+06|6.265149500e+06|7.032197000e+06|1.822995000e+06|2.172085250e+06|2.673480812e+06|2.184430000e+06|1.620276375e+06|2.748583250e+06|3.236973799e+03|3.287368368e+03|3.370666928e+03|3.314426474e+03|3.221741358e+03|3.407111590e+03|4.169472708e+02|4.673656726e+02|5.505568138e+02|4.943975404e+02|4.017013995e+02|5.870936813e+02|3.661688243e+03|3.712950905e+03|3.750611824e+03|3.706912464e+03|3.652563587e+03|3.761261340e+03|8.224386643e+02|8.965087327e+02|1.005105223e+03|9.079811865e+02|7.963764799e+02|1.019585893e+03|6.198166323e+10|6.582307226e+10|6.869690163e+10|6.554338918e+10|6.214486835e+10|6.894189773e+10|8.402142208e+09|1.768533402e+10|3.004118528e+10|1.781045862e+10|3.723576576e+09|3.189734195e+10|4.394632568e+03|4.448999756e+03|4.485369019e+03|4.443438477e+03|4.398631348e+03|4.488246094e+03
3.350332320e+06|3.350232969e+06|3.328096123e+06|3.330806589e+06|6.261987750e+06|6.562940250e+06|6.841084625e+06|6.598528000e+06|6.293370000e+06|6.903683000e+06|1.571525625e+06|2.055117000e+06|2.476984875e+06|1.905210250e+06|1.214543250e+06|2.595877250e+06|3.255061630e+03|3.310344539e+03|3.382963932e+03|3.321365605e+03|3.245504002e+03|3.397227209e+03|4.349803698e+02|4.904128470e+02|5.629835906e+02|5.013572010e+02|4.254915480e+02|5.772228540e+02|3.646180077e+03|3.688761496e+03|3.727701158e+03|3.688552040e+03|3.643474375e+03|3.733629704e+03|7.855859615e+02|8.467911613e+02|9.512559340e+02|8.505049094e+02|7.259690237e+02|9.750407951e+02|6.075552051e+10|6.393006285e+10|6.710172979e+10|6.412015616e+10|6.084340122e+10|6.739691930e+10|5.903311872e+09|1.229029786e+10|2.436545024e+10|1.118361907e+10|-4.555178496e+09|2.692242022e+10|4.373081787e+03|4.419849365e+03|4.462143555e+03|4.420815918e+03|4.376297852e+03|4.465334473e+03
3.371240982e+06|3.370986978e+06|3.353271064e+06|3.359467318e+06|6.286257500e+06|6.640646500e+06|6.956322000e+06|6.661954000e+06|6.267545500e+06|7.056361500e+06|1.253657750e+06|2.017503125e+06|2.423547312e+06|1.858334750e+06|1.115145250e+06|2.601524250e+06|3.269364031e+03|3.348683272e+03|3.426829439e+03|3.353504193e+03|3.258743210e+03|3.448265176e+03|4.493005816e+02|5.286461177e+02|6.068777765e+02|5.334912983e+02|4.387211588e+02|6.282614377e+02|3.636997105e+03|3.671739511e+03|3.719056494e+03|3.681284287e+03|3.632440281e+03|3.730128293e+03|7.277738440e+02|8.398170115e+02|9.426661633e+02|8.234846243e+02|6.970163857e+02|9.499528629e+02|5.998586880e+10|6.237321830e+10|6.611109069e+10|6.349957120e+10|5.998509670e+10|6.701404979e+10|-3.875225600e+08|1.288882586e+10|2.371323290e+10|8.014407680e+09|-9.006505984e+09|2.503532134e+10|4.363798584e+03|4.396949707e+03|4.449907837e+03|4.403566895e+03|4.361514648e+03|4.445619141e+03
3.393814750e+06|3.393664904e+06|3.376731984e+06|3.380715360e+06|6.244646375e+06|6.476484000e+06|6.959357500e+06|6.605804000e+06|6.211086500e+06|7.000522000e+06|1.574745375e+06|1.989647500e+06|2.436931750e+06|2.017465500e+06|1.416453125e+06|2.618478000e+06|3.276625515e+03|3.343179648e+03|3.434343919e+03|3.360058004e+03|3.265642947e+03|3.454473062e+03|4.564944894e+02|5.231917239e+02|6.143509128e+02|5.400500873e+02|4.456232424e+02|6.344769323e+02|3.626168693e+03|3.647000534e+03|3.698810847e+03|3.662250720e+03|3.621469508e+03|3.703031931e+03|7.496233348e+02|8.222357305e+02|9.181929798e+02|8.367859395e+02|7.262708517e+02|9.473010273e+02|5.929163981e+10|6.052842291e+10|6.446055834e+10|6.195567002e+10|5.904698573e+10|6.486435021e+10|1.893312512e+09|1.167688499e+10|2.295513088e+10|1.131846042e+10|-2.369093888e+09|2.500601651e+10|4.346983643e+03|4.371193848e+03|4.401079468e+03|4.378997070e+03|4.345484863e+03|4.412509277e+03
3.416977525e+06|3.417787540e+06|3.396861109e+06|3.399804690e+06|6.081619250e+06|6.331928000e+06|6.794388250e+06|6.447644000e+06|6.090715500e+06|6.804573000e+06|1.483070500e+06|1.967328250e+06|2.526406625e+06|1.963806125e+06|1.234469625e+06|2.693142750e+06|3.230335564e+03|3.305316317e+03|3.401565987e+03|3.325264617e+03|3.231861458e+03|3.418667776e+03|4.102777833e+02|4.853312228e+02|5.814939871e+02|5.052510510e+02|4.118396164e+02|5.986624855e+02|3.610695674e+03|3.632657559e+03|3.664322305e+03|3.646036893e+03|3.604825760e+03|3.687248027e+03|7.544221762e+02|8.295557994e+02|9.499116968e+02|8.465741086e+02|7.096222702e+02|9.835259470e+02|5.810567373e+10|5.983208448e+10|6.180922573e+10|6.075567309e+10|5.805869875e+10|6.345265152e+10|3.170501632e+09|1.307249254e+10|2.688950221e+10|1.264538624e+10|-3.382033664e+09|2.867281101e+10|4.336458984e+03|4.358846191e+03|4.386909668e+03|4.369526855e+03|4.335575195e+03|4.403479492e+03
