#RRR|P25fit|P50fit|P75fit|P25model|P50model|P75model
2.623354610e+05|1.763962867e+11|1.769734718e+11|1.772222736e+11|0.000000|0.000000|0.000000
3.997640995e+05|1.750447770e+11|1.755379892e+11|1.760670222e+11|0.000000|0.000000|0.000000
4.763387213e+05|1.740392067e+11|1.745220613e+11|1.751578778e+11|0.000000|0.000000|0.000000
5.316448109e+05|1.732019836e+11|1.736917433e+11|1.743871787e+11|0.000000|0.000000|0.000000
5.794021882e+05|1.724048395e+11|1.729095072e+11|1.736464733e+11|0.000000|0.000000|0.000000
6.202275827e+05|1.716692981e+11|1.721928585e+11|1.729590524e+11|0.000000|0.000000|0.000000
6.528070275e+05|1.710467784e+11|1.715892565e+11|1.723751753e+11|0.000000|0.000000|0.000000
6.884960492e+05|1.703288483e+11|1.708957657e+11|1.717001080e+11|0.000000|0.000000|0.000000
7.175214934e+05|1.697173683e+11|1.703068965e+11|1.711240865e+11|0.000000|0.000000|0.000000
7.428385882e+05|1.691639045e+11|1.697750726e+11|1.706021127e+11|0.000000|0.000000|0.000000
7.678015092e+05|1.685999247e+11|1.692341141e+11|1.700697902e+11|0.000000|0.000000|0.000000
7.934318104e+05|1.680020891e+11|1.686615922e+11|1.695051776e+11|0.000000|0.000000|0.000000
8.161924492e+05|1.674553107e+11|1.681386680e+11|1.689885860e+11|0.000000|0.000000|0.000000
8.373422063e+05|1.669338993e+11|1.676405431e+11|1.684958572e+11|0.000000|0.000000|0.000000
8.562706750e+05|1.664564030e+11|1.671847754e+11|1.680445877e+11|0.000000|0.000000|0.000000
8.749036320e+05|1.659763914e+11|1.667269494e+11|1.675909407e+11|0.000000|0.000000|0.000000
8.935748707e+05|1.654855075e+11|1.662590677e+11|1.671270509e+11|0.000000|0.000000|0.000000
9.151576711e+05|1.649057916e+11|1.657068759e+11|1.665792957e+11|0.000000|0.000000|0.000000
9.316764503e+05|1.644532296e+11|1.652760391e+11|1.661517706e+11|0.000000|0.000000|0.000000
9.460926149e+05|1.640520124e+11|1.648942372e+11|1.657728278e+11|0.000000|0.000000|0.000000
9.618031176e+05|1.636081491e+11|1.644720052e+11|1.653537049e+11|0.000000|0.000000|0.000000
9.754179401e+05|1.632179238e+11|1.641009164e+11|1.649853248e+11|0.000000|0.000000|0.000000
9.925810903e+05|1.627186503e+11|1.636262728e+11|1.645141423e+11|0.000000|0.000000|0.000000
1.008809385e+06|1.622390597e+11|1.631704782e+11|1.640616955e+11|0.000000|0.000000|0.000000
1.024333931e+06|1.617734567e+11|1.627280908e+11|1.636226046e+11|0.000000|0.000000|0.000000
1.036532324e+06|1.614029522e+11|1.623761317e+11|1.632733153e+11|0.000000|0.000000|0.000000
1.048617752e+06|1.610318484e+11|1.620236604e+11|1.629235696e+11|0.000000|0.000000|0.000000
1.061825760e+06|1.606216981e+11|1.616341632e+11|1.625371551e+11|0.000000|0.000000|0.000000
1.074236722e+06|1.602319556e+11|1.612640988e+11|1.621700974e+11|0.000000|0.000000|0.000000
1.087070612e+06|1.598245189e+11|1.608772825e+11|1.617865139e+11|0.000000|0.000000|0.000000
1.098386541e+06|1.594615604e+11|1.605327315e+11|1.614449262e+11|0.000000|0.000000|0.000000
1.112609200e+06|1.590004484e+11|1.600950505e+11|1.610111319e+11|0.000000|0.000000|0.000000
1.125149978e+06|1.585893310e+11|1.597048619e+11|1.606245310e+11|0.000000|0.000000|0.000000
1.137224290e+06|1.581895026e+11|1.593254181e+11|1.602486927e+11|0.000000|0.000000|0.000000
1.147686106e+06|1.578399036e+11|1.589936644e+11|1.599201896e+11|0.000000|0.000000|0.000000
1.158112206e+06|1.574885801e+11|1.586602924e+11|1.595901794e+11|0.000000|0.000000|0.000000
1.168320154e+06|1.571417922e+11|1.583312400e+11|1.592645415e+11|0.000000|0.000000|0.000000
1.177891862e+06|1.568140942e+11|1.580203139e+11|1.589569319e+11|0.000000|0.000000|0.000000
1.188217806e+06|1.564578406e+11|1.576823060e+11|1.586226306e+11|0.000000|0.000000|0.000000
1.199054001e+06|1.560809394e+11|1.573247202e+11|1.582690829e+11|0.000000|0.000000|0.000000
1.209342639e+06|1.557202056e+11|1.569824833e+11|1.579308253e+11|0.000000|0.000000|0.000000
1.220322106e+06|1.553321669e+11|1.566143507e+11|1.575670998e+11|0.000000|0.000000|0.000000
1.230586124e+06|1.549665415e+11|1.562674890e+11|1.572245121e+11|0.000000|0.000000|0.000000
1.241291158e+06|1.545822570e+11|1.559029320e+11|1.568645755e+11|0.000000|0.000000|0.000000
1.251834586e+06|1.542008378e+11|1.555410981e+11|1.565074587e+11|0.000000|0.000000|0.000000
1.260437996e+06|1.538874472e+11|1.552438025e+11|1.562141373e+11|0.000000|0.000000|0.000000
1.268429671e+06|1.535946099e+11|1.549660063e+11|1.559401354e+11|0.000000|0.000000|0.000000
1.276286679e+06|1.533050861e+11|1.546913547e+11|1.556693118e+11|0.000000|0.000000|0.000000
1.284703741e+06|1.529931453e+11|1.543954384e+11|1.553776055e+11|0.000000|0.000000|0.000000
1.293443825e+06|1.526672889e+11|1.540863218e+11|1.550729819e+11|0.000000|0.000000|0.000000
1.301706903e+06|1.523573990e+11|1.537923516e+11|1.547833746e+11|0.000000|0.000000|0.000000
1.311475508e+06|1.519887737e+11|1.534426628e+11|1.544389901e+11|0.000000|0.000000|0.000000
1.321835745e+06|1.515951374e+11|1.530692465e+11|1.540713752e+11|0.000000|0.000000|0.000000
1.329912002e+06|1.512863678e+11|1.527763364e+11|1.537831147e+11|0.000000|0.000000|0.000000
1.338249180e+06|1.509658689e+11|1.524722980e+11|1.534839944e+11|0.000000|0.000000|0.000000
1.346972529e+06|1.506286214e+11|1.521523692e+11|1.531693415e+11|0.000000|0.000000|0.000000
1.355626096e+06|1.502921528e+11|1.518331772e+11|1.528555157e+11|0.000000|0.000000|0.000000
1.363062187e+06|1.500014987e+11|1.515574454e+11|1.525845016e+11|0.000000|0.000000|0.000000
1.370906550e+06|1.496933634e+11|1.512651278e+11|1.522972682e+11|0.000000|0.000000|0.000000
1.378531605e+06|1.493923469e+11|1.509795614e+11|1.520167504e+11|0.000000|0.000000|0.000000
1.385865878e+06|1.491014211e+11|1.507035658e+11|1.517457107e+11|0.000000|0.000000|0.000000
1.392925754e+06|1.488200962e+11|1.504366762e+11|1.514836846e+11|0.000000|0.000000|0.000000
1.400453819e+06|1.485187302e+11|1.501507717e+11|1.512030671e+11|0.000000|0.000000|0.000000
1.407575958e+06|1.482323015e+11|1.498790361e+11|1.509364300e+11|0.000000|0.000000|0.000000
1.415026252e+06|1.479313122e+11|1.495934844e+11|1.506563126e+11|0.000000|0.000000|0.000000
1.422923572e+06|1.476107444e+11|1.492893558e+11|1.503580576e+11|0.000000|0.000000|0.000000
1.430059821e+06|1.473197281e+11|1.490132611e+11|1.500873710e+11|0.000000|0.000000|0.000000
1.437833545e+06|1.470012692e+11|1.487111283e+11|1.497912387e+11|0.000000|0.000000|0.000000
1.445653619e+06|1.466793926e+11|1.484057507e+11|1.494920125e+11|0.000000|0.000000|0.000000
1.453829147e+06|1.463412604e+11|1.480849480e+11|1.491777647e+11|0.000000|0.000000|0.000000
1.460910442e+06|1.460470449e+11|1.478058091e+11|1.489044062e+11|0.000000|0.000000|0.000000
