#R_planet
6.612417656e+06
#RRR|RRR50|RR|RR50|U25|U50|U75|Umean|U25mean|U75mean|deltaU25|deltaU50|deltaU75|deltaUmean|deltaU25mean|deltaU75mean|S25|S50|S75|Smean|S25mean|S75mean|deltaS25|deltaS50|delatS75|deltaSmean|deltaS25mean|deltaS75mean|T25|T50|T75|Tmean|T25mean|T75mean|deltaT25|deltaT50|deltaT75|deltaTmean|deltaT25|deltaT75|P25|P50|P75|Pmean|P25mean|P75mean|deltaP25|deltaP50|deltaP75|deltaPmean|deltaP25mean|deltaP75mean|rho25|rho50|rho75|rhomean|rho25mean|rho75mean
2.936620264e+06|2.937117584e+06|2.905364292e+06|2.904798145e+06|7.191431750e+06|7.315183750e+06|7.439216125e+06|7.327105500e+06|7.177506000e+06|7.476703500e+06|2.826401250e+06|3.138513250e+06|3.394776625e+06|3.045659250e+06|2.692329500e+06|3.398989000e+06|3.232545939e+03|3.270123199e+03|3.310948818e+03|3.274051593e+03|3.230134924e+03|3.317968261e+03|4.125437121e+02|4.501193757e+02|4.909452376e+02|4.540400454e+02|4.100969400e+02|4.979831509e+02|3.884574898e+03|3.896137056e+03|3.908819073e+03|3.890520082e+03|3.869819119e+03|3.911221046e+03|1.054608539e+03|1.129226189e+03|1.186968198e+03|1.117711224e+03|1.040919580e+03|1.194502869e+03|8.148792730e+10|8.203453645e+10|8.302835098e+10|8.225298842e+10|8.125493248e+10|8.325104435e+10|3.048455578e+10|4.022593536e+10|4.950650470e+10|3.855647949e+10|2.794656358e+10|4.916639744e+10|4.666126343e+03|4.679146484e+03|4.690535278e+03|4.679863770e+03|4.665613770e+03|4.694113281e+03
2.944832683e+06|2.944705216e+06|2.918830505e+06|2.927617918e+06|7.192874250e+06|7.336002000e+06|7.458494125e+06|7.330018000e+06|7.179334500e+06|7.480702000e+06|2.753381875e+06|2.970542000e+06|3.223090375e+06|2.893886000e+06|2.551715500e+06|3.236056750e+06|3.251563516e+03|3.294011832e+03|3.332021012e+03|3.289943654e+03|3.246218443e+03|3.333668865e+03|4.314473665e+02|4.740548072e+02|5.120254653e+02|4.699211803e+02|4.261825638e+02|5.136597968e+02|3.877250571e+03|3.887597276e+03|3.900823535e+03|3.884172923e+03|3.866044180e+03|3.902301665e+03|1.042891430e+03|1.090275142e+03|1.144809174e+03|1.080034312e+03|1.012706617e+03|1.147362006e+03|8.045365453e+10|8.118201958e+10|8.195617792e+10|8.129786675e+10|8.036183245e+10|8.223388467e+10|2.888218010e+10|3.588127539e+10|4.233303962e+10|3.402028646e+10|2.438969958e+10|4.365087949e+10|4.650277710e+03|4.665068115e+03|4.676784180e+03|4.664184570e+03|4.649500488e+03|4.678869141e+03
2.951966349e+06|2.951899416e+06|2.925261278e+06|2.932094406e+06|7.222750000e+06|7.332633250e+06|7.459547125e+06|7.329742000e+06|7.183533000e+06|7.475952500e+06|2.564766625e+06|2.827557000e+06|3.047385750e+06|2.686265250e+06|2.292035000e+06|3.080496250e+06|3.275139453e+03|3.309440049e+03|3.337772206e+03|3.302162731e+03|3.262352336e+03|3.341973127e+03|4.550276747e+02|4.894464892e+02|5.178009175e+02|4.821486326e+02|4.423323653e+02|5.219648999e+02|3.870277925e+03|3.882537507e+03|3.894385012e+03|3.879479917e+03|3.863072387e+03|3.895887447e+03|1.001347917e+03|1.055803798e+03|1.104639670e+03|1.038823413e+03|9.673128248e+02|1.110334002e+03|7.978290381e+10|8.044192154e+10|8.136544666e+10|8.051476890e+10|7.940798054e+10|8.162154906e+10|2.316905677e+10|3.105822515e+10|3.731931341e+10|2.852133274e+10|1.808611328e+10|3.895654400e+10|4.638410645e+03|4.653218750e+03|4.663853516e+03|4.651402344e+03|4.636358887e+03|4.666446777e+03
2.962308967e+06|2.961942347e+06|2.943099818e+06|2.951081788e+06|7.139118125e+06|7.282609250e+06|7.461522875e+06|7.298033500e+06|7.113085500e+06|7.482983500e+06|2.496730375e+06|2.793349500e+06|3.007913500e+06|2.662464250e+06|2.285507000e+06|3.039421750e+06|3.257331892e+03|3.297846330e+03|3.358677843e+03|3.302902863e+03|3.251470874e+03|3.354334852e+03|4.372943342e+02|4.778190484e+02|5.387018941e+02|4.828854484e+02|4.314350034e+02|5.343358934e+02|3.861980538e+03|3.876107016e+03|3.886091501e+03|3.871187214e+03|3.852500653e+03|3.889873776e+03|9.935907300e+02|1.045315752e+03|1.091693404e+03|1.032739046e+03|9.598040449e+02|1.105674047e+03|7.869895680e+10|7.978180198e+10|8.065601741e+10|7.980355584e+10|7.857949082e+10|8.102762086e+10|2.284203110e+10|3.020355379e+10|3.650974413e+10|2.800457318e+10|1.727729664e+10|3.873184563e+10|4.629879639e+03|4.642905273e+03|4.655982178e+03|4.642051758e+03|4.626426270e+03|4.657678223e+03
2.987098842e+06|2.988457991e+06|2.956300566e+06|2.961032660e+06|7.182170125e+06|7.386397250e+06|7.565553625e+06|7.384925000e+06|7.155970000e+06|7.613879500e+06|2.526596375e+06|2.720542500e+06|2.966406375e+06|2.605025000e+06|2.174050000e+06|3.035999750e+06|3.300506410e+03|3.342500233e+03|3.391315169e+03|3.348307624e+03|3.293602749e+03|3.403012499e+03|4.804609586e+02|5.225292375e+02|5.713501182e+02|5.283035806e+02|4.735934192e+02|5.830137420e+02|3.850332249e+03|3.868021449e+03|3.882505158e+03|3.866309221e+03|3.843889412e+03|3.888729029e+03|9.660724235e+02|1.021337929e+03|1.069940871e+03|1.004726113e+03|9.246247532e+02|1.084827472e+03|7.723510579e+10|7.878154650e+10|8.013299917e+10|7.875529114e+10|7.675538637e+10|8.075518771e+10|1.912272077e+10|2.820924211e+10|3.402037658e+10|2.369880269e+10|1.213388288e+10|3.526372557e+10|4.601831543e+03|4.614907227e+03|4.637246582e+03|4.617863770e+03|4.594474121e+03|4.641254395e+03
3.006266828e+06|3.007072272e+06|2.975418916e+06|2.976858422e+06|7.393353000e+06|7.509847000e+06|7.696944250e+06|7.539819500e+06|7.330860000e+06|7.748779000e+06|2.443667250e+06|2.734241250e+06|2.968109125e+06|2.548451750e+06|2.005137750e+06|3.091766000e+06|3.378715854e+03|3.410786988e+03|3.469995910e+03|3.420735218e+03|3.362891411e+03|3.478579025e+03|5.586348335e+02|5.907162056e+02|6.498989052e+02|6.007284705e+02|5.428901416e+02|6.585667995e+02|3.842085063e+03|3.855552275e+03|3.864526754e+03|3.853514822e+03|3.838584275e+03|3.868445369e+03|9.375915486e+02|9.726177853e+02|1.023599557e+03|9.565165531e+02|8.744808606e+02|1.038552246e+03|7.644090982e+10|7.764353843e+10|7.842361958e+10|7.747525018e+10|7.613992960e+10|7.881056256e+10|1.678594150e+10|2.101688934e+10|2.763735040e+10|1.764928717e+10|5.799787008e+09|2.949879194e+10|4.573962402e+03|4.580208008e+03|4.598044312e+03|4.584294922e+03|4.567387207e+03|4.601202637e+03
3.014643714e+06|3.015008793e+06|2.988339791e+06|2.991519209e+06|7.333655500e+06|7.486061500e+06|7.624245250e+06|7.484733500e+06|7.313111500e+06|7.656354500e+06|1.352702000e+06|2.655164750e+06|2.917244875e+06|2.375201500e+06|1.776852500e+06|2.973550750e+06|3.382559857e+03|3.420156627e+03|3.449454335e+03|3.419081898e+03|3.375730920e+03|3.462432877e+03|5.625393731e+02|6.000683222e+02|6.295144126e+02|5.990774132e+02|5.557230050e+02|6.424318214e+02|3.829619584e+03|3.841781045e+03|3.853924729e+03|3.842079021e+03|3.826686670e+03|3.857471371e+03|8.053006920e+02|9.568397799e+02|9.961582333e+02|9.278395637e+02|8.405042307e+02|1.015174897e+03|7.533321421e+10|7.640733696e+10|7.749509734e+10|7.645327360e+10|7.508294861e+10|7.782361498e+10|-9.124694016e+09|1.937640243e+10|2.461156557e+10|1.398965555e+10|1.016747200e+09|2.696256512e+10|4.555767578e+03|4.570117676e+03|4.584874634e+03|4.571039551e+03|4.553049805e+03|4.589029785e+03
3.022701436e+06|3.022628145e+06|3.000627727e+06|3.007793385e+06|7.332405750e+06|7.540302500e+06|7.706981375e+06|7.548252000e+06|7.331584000e+06|7.764922000e+06|2.313327500e+06|2.723318250e+06|3.110608875e+06|2.540503500e+06|1.925054375e+06|3.155952250e+06|3.408173489e+03|3.443210707e+03|3.489159986e+03|3.451655884e+03|3.395543485e+03|3.507768284e+03|5.881219072e+02|6.232222048e+02|6.691528982e+02|6.316645203e+02|5.755383475e+02|6.877906931e+02|3.819614220e+03|3.833134200e+03|3.846932488e+03|3.834390354e+03|3.817395047e+03|3.851385662e+03|8.936841691e+02|9.433704637e+02|1.013751071e+03|9.375310012e+02|8.419907456e+02|1.033071257e+03|7.448209408e+10|7.563899699e+10|7.681648435e+10|7.576238490e+10|7.427400499e+10|7.725076480e+10|1.330353459e+10|1.776926310e+10|2.744973517e+10|1.560592691e+10|1.984887680e+09|2.922696704e+10|4.540101196e+03|4.551163330e+03|4.567973267e+03|4.554161133e+03|4.536521973e+03|4.571799805e+03
3.033799810e+06|3.033014320e+06|3.018889209e+06|3.023693428e+06|7.276264500e+06|7.500553500e+06|7.736428125e+06|7.502343000e+06|7.250695500e+06|7.753992500e+06|1.473438000e+06|2.617808000e+06|2.976302750e+06|2.384723000e+06|1.744081625e+06|3.025364250e+06|3.416520797e+03|3.459702340e+03|3.513270674e+03|3.467201898e+03|3.406480716e+03|3.527923079e+03|5.966178994e+02|6.397790438e+02|6.932968032e+02|6.472072528e+02|5.864860134e+02|7.079284923e+02|3.796305869e+03|3.814301547e+03|3.834133130e+03|3.812920855e+03|3.789744840e+03|3.836096869e+03|7.640633225e+02|9.265549058e+02|9.650904997e+02|8.971329938e+02|8.087476910e+02|9.855182966e+02|7.244478874e+10|7.394540339e+10|7.573353472e+10|7.389136486e+10|7.190476390e+10|7.587797402e+10|-1.217146470e+10|1.618452685e+10|2.171097395e+10|1.123822899e+10|-1.792965888e+09|2.426942054e+10|4.501775513e+03|4.528572998e+03|4.546407104e+03|4.524973145e+03|4.500766602e+03|4.549179199e+03
3.069305586e+06|3.071883752e+06|3.043362726e+06|3.044020632e+06|5.937862875e+06|6.311806250e+06|7.460542625e+06|6.685447000e+06|5.977387000e+06|7.393507000e+06|1.788449375e+06|2.116152750e+06|2.511092438e+06|2.083625250e+06|1.597783875e+06|2.569466750e+06|3.227012896e+03|3.329916757e+03|3.499446009e+03|3.368236667e+03|3.232707359e+03|3.503765974e+03|4.069495933e+02|5.098755528e+02|6.794711886e+02|5.482274942e+02|4.126708558e+02|6.837841325e+02|3.585458217e+03|3.607011755e+03|3.769019249e+03|3.671338327e+03|3.579696040e+03|3.762980614e+03|7.734374057e+02|8.648295452e+02|9.065888794e+02|8.497254057e+02|7.665084640e+02|9.329423474e+02|5.634806477e+10|5.761242726e+10|7.013736858e+10|6.298294272e+10|5.632298189e+10|6.964290355e+10|7.262416896e+09|1.343466906e+10|2.222338458e+10|1.212388045e+10|-1.862722400e+08|2.443403264e+10|4.323479004e+03|4.346489746e+03|4.460881104e+03|4.390696777e+03|4.323470215e+03|4.457923340e+03
