#RRR|Lz25|Lz50|Lz75|Lzmean|
2.752259156e+05|3.002435724e+26|5.464809869e+26|9.799985558e+26|6.335918017e+26|6.335918017e+28
4.185285545e+05|8.508942244e+26|1.465763808e+27|1.894636687e+27|1.369983029e+27|1.369983029e+29
4.979728226e+05|1.197276792e+27|2.204303568e+27|2.640964111e+27|1.917838198e+27|1.917838198e+29
5.576198055e+05|1.641102036e+27|2.564649234e+27|3.257961801e+27|2.406600153e+27|2.406600153e+29
6.060363378e+05|1.929518614e+27|3.246900679e+27|3.940306348e+27|2.897497426e+27|2.897497426e+29
6.485915822e+05|2.402787870e+27|3.745587554e+27|4.623827295e+27|3.393142469e+27|3.393142469e+29
6.865139302e+05|2.417506764e+27|4.162211000e+27|5.119022585e+27|3.623412260e+27|3.623412260e+29
7.186977032e+05|2.685019141e+27|4.765851829e+27|5.663744901e+27|3.998377278e+27|3.998377278e+29
7.505512988e+05|2.702098259e+27|5.183942815e+27|6.262250119e+27|4.615096231e+27|4.615096231e+29
7.797794399e+05|3.220554241e+27|4.991097418e+27|6.679120766e+27|4.561190391e+27|4.561190391e+29
8.049122146e+05|3.208022328e+27|5.735633624e+27|6.812293019e+27|4.985882475e+27|4.985882475e+29
8.299182006e+05|4.153547664e+27|6.663949457e+27|7.657232785e+27|5.632832890e+27|5.632832890e+29
8.532372743e+05|3.723281387e+27|6.633139746e+27|7.821166702e+27|5.695706725e+27|5.695706725e+29
8.776203932e+05|3.799261281e+27|6.999623078e+27|8.522746113e+27|6.126578197e+27|6.126578197e+29
8.973309334e+05|3.894021680e+27|6.262998385e+27|8.763609226e+27|6.103862112e+27|6.103862112e+29
9.167121877e+05|4.463721148e+27|7.559145040e+27|9.169096147e+27|6.453518473e+27|6.453518473e+29
9.372733834e+05|4.606274104e+27|8.343751514e+27|9.815308441e+27|7.124471807e+27|7.124471807e+29
9.553090429e+05|5.108719607e+27|8.257918785e+27|9.893731458e+27|7.376008562e+27|7.376008562e+29
9.738970508e+05|4.784923825e+27|8.782585996e+27|1.078303914e+28|7.555496272e+27|7.555496272e+29
9.918424767e+05|4.582233319e+27|8.009383349e+27|1.028800181e+28|7.332807907e+27|7.332807907e+29
1.008516157e+06|4.946035812e+27|8.946463039e+27|1.128276864e+28|8.058716579e+27|8.058716579e+29
1.024330030e+06|6.435299843e+27|9.395628722e+27|1.144188966e+28|8.552654368e+27|8.552654368e+29
1.038913252e+06|4.986046351e+27|8.263913175e+27|1.196078586e+28|7.990547697e+27|7.990547697e+29
1.053531675e+06|5.065950470e+27|9.806994591e+27|1.180406258e+28|8.402025954e+27|8.402025954e+29
1.069805643e+06|6.170021403e+27|1.061086111e+28|1.276451543e+28|9.138299129e+27|9.138299129e+29
1.086672459e+06|6.619344774e+27|1.047008261e+28|1.299028507e+28|9.484206534e+27|9.484206534e+29
1.099118884e+06|7.048949251e+27|1.137293094e+28|1.324515385e+28|9.992916164e+27|9.992916164e+29
1.112516409e+06|5.194051792e+27|9.748400987e+27|1.353871409e+28|9.087144889e+27|9.087144889e+29
1.125648428e+06|6.025013454e+27|1.052107044e+28|1.388538866e+28|9.639651144e+27|9.639651144e+29
1.139635583e+06|6.774983634e+27|1.115969657e+28|1.405278590e+28|1.029367381e+28|1.029367381e+30
1.151254723e+06|6.362296784e+27|1.083357332e+28|1.410688401e+28|9.951128915e+27|9.951128915e+29
