#R_planet
7.268729667e+06
#RRR|RRR50|RR|RR50|U25|U50|U75|Umean|U25mean|U75mean|deltaU25|deltaU50|deltaU75|deltaUmean|deltaU25mean|deltaU75mean|S25|S50|S75|Smean|S25mean|S75mean|deltaS25|deltaS50|delatS75|deltaSmean|deltaS25mean|deltaS75mean|T25|T50|T75|Tmean|T25mean|T75mean|deltaT25|deltaT50|deltaT75|deltaTmean|deltaT25|deltaT75|P25|P50|P75|Pmean|P25mean|P75mean|deltaP25|deltaP50|deltaP75|deltaPmean|deltaP25mean|deltaP75mean|rho25|rho50|rho75|rhomean|rho25mean|rho75mean
2.758036485e+05|2.915714070e+05|2.200444637e+05|2.248362701e+05|5.354527750e+06|5.389708250e+06|5.430199750e+06|5.393668000e+06|5.354566000e+06|5.432770500e+06|8.115636250e+05|9.327947500e+05|1.026600375e+06|9.259680000e+05|8.044545625e+05|1.047481500e+06|2.037140028e+03|2.042237944e+03|2.047750342e+03|2.042494083e+03|2.036493796e+03|2.048494369e+03|2.165918100e+02|2.216855156e+02|2.272043297e+02|2.219430096e+02|2.159429666e+02|2.279430526e+02|6.434136522e+03|6.489611228e+03|6.547576260e+03|6.491033572e+03|6.426515277e+03|6.555551866e+03|1.843301893e+03|1.927703131e+03|2.007356144e+03|1.932711269e+03|1.846120290e+03|2.019302247e+03|1.705393193e+11|1.711072952e+11|1.717436908e+11|1.712031498e+11|1.702742753e+11|1.721320243e+11|-4.593090560e+08|5.775908864e+09|8.986333184e+09|5.134106112e+09|-3.251562240e+08|1.059336909e+10|1.023272998e+04|1.024049414e+04|1.025215747e+04|1.024220996e+04|1.023017578e+04|1.025424512e+04
4.181087428e+05|4.235198047e+05|3.254276983e+05|3.489910496e+05|5.319949625e+06|5.359071500e+06|5.395670125e+06|5.361186000e+06|5.313726500e+06|5.408646000e+06|8.066552500e+05|1.009593000e+06|1.116495250e+06|9.865825625e+05|8.288709375e+05|1.144294125e+06|2.037846369e+03|2.043000726e+03|2.047859422e+03|2.043481563e+03|2.037505512e+03|2.049457614e+03|2.172868764e+02|2.224561368e+02|2.273134290e+02|2.229298262e+02|2.169533583e+02|2.289062941e+02|6.426613574e+03|6.469450771e+03|6.534642253e+03|6.479167593e+03|6.410725101e+03|6.547610085e+03|1.882578344e+03|1.954520784e+03|2.034327119e+03|1.962146417e+03|1.874733080e+03|2.049559754e+03|1.688195645e+11|1.695370609e+11|1.705083535e+11|1.695292621e+11|1.682823414e+11|1.707761828e+11|-2.196398080e+08|9.276448768e+09|1.425116774e+10|8.036369920e+09|2.599806560e+08|1.581275955e+10|1.020814160e+04|1.021908350e+04|1.023048755e+04|1.021828223e+04|1.020331445e+04|1.023325098e+04
4.988090643e+05|5.004954320e+05|3.914961505e+05|4.340793564e+05|5.303502500e+06|5.342560750e+06|5.379594000e+06|5.347920500e+06|5.295329000e+06|5.400512000e+06|8.576640000e+05|1.010622250e+06|1.191855875e+06|1.061969250e+06|8.510360625e+05|1.272902250e+06|2.037510957e+03|2.043483128e+03|2.049510854e+03|2.043751153e+03|2.036804774e+03|2.050697531e+03|2.169647155e+02|2.229407641e+02|2.289631190e+02|2.232015150e+02|2.162548197e+02|2.301482103e+02|6.409194647e+03|6.467485858e+03|6.531433498e+03|6.473389379e+03|6.395564594e+03|6.551214163e+03|1.892164224e+03|1.962289832e+03|2.070700738e+03|1.997287409e+03|1.875169877e+03|2.119404942e+03|1.678425702e+11|1.687838392e+11|1.695768535e+11|1.688696914e+11|1.674676142e+11|1.702717522e+11|3.061608448e+09|8.390328320e+09|1.746303795e+10|1.172986266e+10|1.864904832e+09|2.159481651e+10|1.019683350e+04|1.020574512e+04|1.021913184e+04|1.020895508e+04|1.019235156e+04|1.022555664e+04
5.571620371e+05|5.576593619e+05|4.367389737e+05|4.807775449e+05|5.295487375e+06|5.328485500e+06|5.372945250e+06|5.331203000e+06|5.282900000e+06|5.379505500e+06|8.245098750e+05|1.030043750e+06|1.222480875e+06|1.058647625e+06|8.372805000e+05|1.280015000e+06|2.039685830e+03|2.043669139e+03|2.049850146e+03|2.044894158e+03|2.038174099e+03|2.051614218e+03|2.191358909e+02|2.231204545e+02|2.293080827e+02|2.243438648e+02|2.176245364e+02|2.310631933e+02|6.419723618e+03|6.462824973e+03|6.520690654e+03|6.471668069e+03|6.398533601e+03|6.544802538e+03|1.876842574e+03|1.985196316e+03|2.102616176e+03|2.001155757e+03|1.876554795e+03|2.125756719e+03|1.668866540e+11|1.678167654e+11|1.691984323e+11|1.678881096e+11|1.664783155e+11|1.692978872e+11|8.146903040e+08|1.050901709e+10|1.942881894e+10|1.140625203e+10|8.163091840e+08|2.199619994e+10|1.017973657e+04|1.019341309e+04|1.020980396e+04|1.019408105e+04|1.017535059e+04|1.021281152e+04
6.082980081e+05|6.082266918e+05|4.907414046e+05|5.315298025e+05|5.255060875e+06|5.293853000e+06|5.332641250e+06|5.291937000e+06|5.247449000e+06|5.336425000e+06|7.871301250e+05|1.004696750e+06|1.185629000e+06|1.030462375e+06|8.092931250e+05|1.251632000e+06|2.037088958e+03|2.042755361e+03|2.047758375e+03|2.042487018e+03|2.036324434e+03|2.048649603e+03|2.165301220e+02|2.222040162e+02|2.272135411e+02|2.219353107e+02|2.157733091e+02|2.280973122e+02|6.367585627e+03|6.438180302e+03|6.487184654e+03|6.431034754e+03|6.364246628e+03|6.497822880e+03|1.873655010e+03|1.945515558e+03|2.073910787e+03|1.966023890e+03|1.855823148e+03|2.076224632e+03|1.653893284e+11|1.668270981e+11|1.677266739e+11|1.665722122e+11|1.652669645e+11|1.678774436e+11|-1.374846976e+09|9.523044352e+09|1.860788224e+10|1.063323853e+10|-2.035171360e+08|2.146999706e+10|1.016564233e+04|1.018142529e+04|1.019355737e+04|1.017942676e+04|1.016320801e+04|1.019564453e+04
6.482413157e+05|6.460957014e+05|4.868123847e+05|5.350561382e+05|5.245845750e+06|5.273834750e+06|5.311682125e+06|5.277429000e+06|5.233619000e+06|5.321239500e+06|8.398133750e+05|1.077185625e+06|1.270394938e+06|1.079765875e+06|8.436936875e+05|1.315838125e+06|2.038669655e+03|2.042191021e+03|2.048232577e+03|2.043272956e+03|2.037486903e+03|2.049059010e+03|2.181245328e+02|2.216401847e+02|2.276707081e+02|2.227209011e+02|2.169337794e+02|2.285080227e+02|6.371751473e+03|6.417588601e+03|6.476962146e+03|6.427933606e+03|6.363457272e+03|6.492409940e+03|1.889864617e+03|2.004285816e+03|2.098129497e+03|1.992234657e+03|1.874794406e+03|2.109674907e+03|1.648040919e+11|1.658663076e+11|1.667934167e+11|1.657618268e+11|1.643720376e+11|1.671515996e+11|1.325043712e+09|1.179068006e+10|2.368824934e+10|1.295543194e+10|1.368372736e+09|2.454248653e+10|1.015147900e+04|1.016889453e+04|1.018173267e+04|1.016725000e+04|1.014859277e+04|1.018590820e+04
6.864711592e+05|6.856025538e+05|5.474700324e+05|6.082632380e+05|5.228417125e+06|5.272941250e+06|5.304833750e+06|5.270430000e+06|5.227518000e+06|5.313344000e+06|8.187022500e+05|9.723725000e+05|1.186124188e+06|1.018945125e+06|8.056854375e+05|1.232204750e+06|2.039115626e+03|2.043715310e+03|2.048029625e+03|2.043260321e+03|2.037986991e+03|2.048533650e+03|2.185556933e+02|2.231653968e+02|2.274790380e+02|2.227086599e+02|2.174354071e+02|2.279819127e+02|6.378769925e+03|6.428317469e+03|6.470107022e+03|6.423669632e+03|6.361617876e+03|6.485721388e+03|1.867103401e+03|1.950599499e+03|2.042019595e+03|1.962822227e+03|1.854213853e+03|2.071430600e+03|1.645457203e+11|1.656128553e+11|1.664031990e+11|1.654467133e+11|1.642785505e+11|1.666148925e+11|4.377395200e+08|7.441956864e+09|1.939378586e+10|9.999687680e+09|-5.435303680e+08|2.054290432e+10|1.015081128e+04|1.016536719e+04|1.017456299e+04|1.016298047e+04|1.014854883e+04|1.017741113e+04
7.213571828e+05|7.225835577e+05|5.795366604e+05|6.374194085e+05|5.228687125e+06|5.257373750e+06|5.296440375e+06|5.262237500e+06|5.216148000e+06|5.308327000e+06|8.266926250e+05|1.025279750e+06|1.295736000e+06|1.063701250e+06|8.099365000e+05|1.317465875e+06|2.039771033e+03|2.043638774e+03|2.049095401e+03|2.044006998e+03|2.038354117e+03|2.049659878e+03|2.192258320e+02|2.230797294e+02|2.285453720e+02|2.234561471e+02|2.178029262e+02|2.291093680e+02|6.379722600e+03|6.413094355e+03|6.483815611e+03|6.424063776e+03|6.360481395e+03|6.487646156e+03|1.882998194e+03|1.990086264e+03|2.104603233e+03|1.988785536e+03|1.867459338e+03|2.110111735e+03|1.639821558e+11|1.651708068e+11|1.659153039e+11|1.649298309e+11|1.635583918e+11|1.663013028e+11|-1.128079360e+08|1.110639411e+10|2.340669850e+10|1.207756288e+10|-3.644794560e+08|2.451960422e+10|1.014173047e+04|1.015765625e+04|1.016827295e+04|1.015481543e+04|1.013643945e+04|1.017319141e+04
7.512149550e+05|7.501542139e+05|5.882514423e+05|6.345216850e+05|5.203763000e+06|5.245190750e+06|5.282730625e+06|5.243588000e+06|5.197647500e+06|5.289528500e+06|8.406642500e+05|1.086826375e+06|1.303377062e+06|1.091053500e+06|8.590045000e+05|1.323102500e+06|2.038342721e+03|2.042732285e+03|2.048157480e+03|2.043323076e+03|2.037576966e+03|2.049069187e+03|2.177914660e+02|2.221809664e+02|2.276001940e+02|2.227728612e+02|2.170255193e+02|2.285202031e+02|6.349892898e+03|6.409432370e+03|6.460171344e+03|6.408022607e+03|6.343419367e+03|6.472625847e+03|1.899746474e+03|1.994026536e+03|2.065697982e+03|1.993623573e+03|1.885592931e+03|2.101654215e+03|1.629712015e+11|1.643188060e+11|1.651983032e+11|1.642149806e+11|1.627640955e+11|1.656658821e+11|1.068314624e+09|1.399201792e+10|2.322812928e+10|1.362331853e+10|1.959291776e+09|2.528734413e+10|1.012686694e+04|1.014725781e+04|1.016098608e+04|1.014590918e+04|1.012695703e+04|1.016486133e+04
7.807528026e+05|7.804570211e+05|6.536670918e+05|7.038102999e+05|5.200906125e+06|5.248428000e+06|5.280543625e+06|5.247317000e+06|5.200438000e+06|5.294197000e+06|8.607471250e+05|1.046366000e+06|1.246623125e+06|1.069070875e+06|8.295845000e+05|1.308557125e+06|2.041223265e+03|2.045833214e+03|2.050113909e+03|2.045697894e+03|2.039940610e+03|2.051455178e+03|2.206604721e+02|2.252796731e+02|2.295656521e+02|2.251468318e+02|2.193890450e+02|2.309046187e+02|6.366913957e+03|6.430064029e+03|6.477959806e+03|6.427143330e+03|6.360230992e+03|6.494055667e+03|1.903711279e+03|1.994144135e+03|2.118751605e+03|2.000966507e+03|1.881330505e+03|2.120602509e+03|1.630543995e+11|1.639324713e+11|1.649574912e+11|1.639249838e+11|1.626628915e+11|1.651870925e+11|1.734676480e+09|1.030683034e+10|2.143473254e+10|1.207035802e+10|3.051133440e+08|2.383560294e+10|1.012767212e+04|1.013893408e+04|1.015117896e+04|1.013867480e+04|1.012319629e+04|1.015415234e+04
