#RRR|P25fit|P50fit|P75fit|P25model|P50model|P75model
2.752259156e+05|1.729016477e+11|1.740280688e+11|1.749444523e+11|0.000000|0.000000|0.000000
4.185285545e+05|1.707350154e+11|1.719568354e+11|1.729738509e+11|0.000000|0.000000|0.000000
4.979728226e+05|1.695076259e+11|1.707679012e+11|1.718353833e+11|0.000000|0.000000|0.000000
5.576198055e+05|1.685613647e+11|1.698438250e+11|1.709455502e+11|0.000000|0.000000|0.000000
6.060363378e+05|1.677728322e+11|1.690691647e+11|1.701959995e+11|0.000000|0.000000|0.000000
6.485915822e+05|1.670619155e+11|1.683674490e+11|1.695141767e+11|0.000000|0.000000|0.000000
6.865139302e+05|1.664125748e+11|1.677240060e+11|1.688866391e+11|0.000000|0.000000|0.000000
7.186977032e+05|1.658487125e+11|1.671634906e+11|1.683382193e+11|0.000000|0.000000|0.000000
7.508152844e+05|1.652734419e+11|1.665900823e+11|1.677755601e+11|0.000000|0.000000|0.000000
7.818830884e+05|1.647042864e+11|1.660213633e+11|1.672159568e+11|0.000000|0.000000|0.000000
8.105610632e+05|1.641672366e+11|1.654835608e+11|1.666854339e+11|0.000000|0.000000|0.000000
8.374830157e+05|1.636523934e+11|1.649670336e+11|1.661747406e+11|0.000000|0.000000|0.000000
8.666392015e+05|1.630826670e+11|1.643944525e+11|1.656073810e+11|0.000000|0.000000|0.000000
8.906860613e+05|1.626029153e+11|1.639115684e+11|1.651279455e+11|0.000000|0.000000|0.000000
9.155844231e+05|1.620964641e+11|1.634011610e+11|1.646202947e+11|0.000000|0.000000|0.000000
9.415296334e+05|1.615578913e+11|1.628577247e+11|1.640788560e+11|0.000000|0.000000|0.000000
9.642853821e+05|1.610761772e+11|1.623711491e+11|1.635933051e+11|0.000000|0.000000|0.000000
9.885623233e+05|1.605523816e+11|1.618415816e+11|1.630640914e+11|0.000000|0.000000|0.000000
1.012499654e+06|1.600256926e+11|1.613086387e+11|1.625307624e+11|0.000000|0.000000|0.000000
1.033592791e+06|1.595529904e+11|1.608299868e+11|1.620511772e+11|0.000000|0.000000|0.000000
1.055315809e+06|1.590575927e+11|1.603280557e+11|1.615477168e+11|0.000000|0.000000|0.000000
1.079740682e+06|1.584899871e+11|1.597526422e+11|1.609699130e+11|0.000000|0.000000|0.000000
1.099344472e+06|1.580261680e+11|1.592822256e+11|1.604970791e+11|0.000000|0.000000|0.000000
1.119301306e+06|1.575463305e+11|1.587953909e+11|1.600073413e+11|0.000000|0.000000|0.000000
1.140359589e+06|1.570315056e+11|1.582728977e+11|1.594813174e+11|0.000000|0.000000|0.000000
1.160145814e+06|1.565397151e+11|1.577736578e+11|1.589783390e+11|0.000000|0.000000|0.000000
1.178254660e+06|1.560826843e+11|1.573096199e+11|1.585105365e+11|0.000000|0.000000|0.000000
1.199883455e+06|1.555280331e+11|1.567463868e+11|1.579423969e+11|0.000000|0.000000|0.000000
1.220416206e+06|1.549925423e+11|1.562025598e+11|1.573935199e+11|0.000000|0.000000|0.000000
1.238734089e+06|1.545073819e+11|1.557098281e+11|1.568959792e+11|0.000000|0.000000|0.000000
1.256073503e+06|1.540416193e+11|1.552367997e+11|1.564181503e+11|0.000000|0.000000|0.000000
1.274215392e+06|1.535474587e+11|1.547349517e+11|1.559110374e+11|0.000000|0.000000|0.000000
1.292983424e+06|1.530288206e+11|1.542082889e+11|1.553786861e+11|0.000000|0.000000|0.000000
1.311969274e+06|1.524964243e+11|1.536677217e+11|1.548321347e+11|0.000000|0.000000|0.000000
1.329408815e+06|1.520004815e+11|1.531642460e+11|1.543229774e+11|0.000000|0.000000|0.000000
1.346061141e+06|1.515207127e+11|1.526772765e+11|1.538304346e+11|0.000000|0.000000|0.000000
1.361576001e+06|1.510682232e+11|1.522180852e+11|1.533659349e+11|0.000000|0.000000|0.000000
1.379954839e+06|1.505253142e+11|1.516672648e+11|1.528087003e+11|0.000000|0.000000|0.000000
1.397513902e+06|1.499996048e+11|1.511340436e+11|1.522692438e+11|0.000000|0.000000|0.000000
1.414302927e+06|1.494905074e+11|1.506178247e+11|1.517469847e+11|0.000000|0.000000|0.000000
1.430704724e+06|1.489870444e+11|1.501074791e+11|1.512306823e+11|0.000000|0.000000|0.000000
1.446667435e+06|1.484912419e+11|1.496050645e+11|1.507224347e+11|0.000000|0.000000|0.000000
1.461585681e+06|1.480226757e+11|1.491304099e+11|1.502423122e+11|0.000000|0.000000|0.000000
1.478245994e+06|1.474934316e+11|1.485944859e+11|1.497002811e+11|0.000000|0.000000|0.000000
1.492660817e+06|1.470304306e+11|1.481258207e+11|1.492263463e+11|0.000000|0.000000|0.000000
1.508898227e+06|1.465032209e+11|1.475923741e+11|1.486869978e+11|0.000000|0.000000|0.000000
1.524789926e+06|1.459814102e+11|1.470646224e+11|1.481535230e+11|0.000000|0.000000|0.000000
1.540194633e+06|1.454700793e+11|1.465477023e+11|1.476311236e+11|0.000000|0.000000|0.000000
1.555826057e+06|1.449456695e+11|1.460178073e+11|1.470957561e+11|0.000000|0.000000|0.000000
1.570124936e+06|1.444610601e+11|1.455283580e+11|1.466013940e+11|0.000000|0.000000|0.000000
1.584450281e+06|1.439708507e+11|1.450334829e+11|1.461017018e+11|0.000000|0.000000|0.000000
1.598779932e+06|1.434757817e+11|1.445339428e+11|1.455974633e+11|0.000000|0.000000|0.000000
1.613353594e+06|1.429674470e+11|1.440212750e+11|1.450801564e+11|0.000000|0.000000|0.000000
1.630166565e+06|1.423749462e+11|1.434240612e+11|1.444777870e+11|0.000000|0.000000|0.000000
