#RRR|Lz25|Lz50|Lz75|Lzmean|Lzsum|Isum
6.641502049e+04|2.942054762e+25|5.072521460e+25|8.097600081e+25|5.431874496e+25|5.431874496e+27|1.046954723e+31
1.213956995e+05|1.317391404e+26|1.687743275e+26|2.038082753e+26|1.722183789e+26|1.722183789e+28|3.197313189e+31
1.595488453e+05|2.622650393e+26|2.970428630e+26|3.248396010e+26|2.943976419e+26|2.943976419e+28|5.473948287e+31
1.849502092e+05|3.714749621e+26|4.013291470e+26|4.343702999e+26|4.017724802e+26|4.017724802e+28|7.345173884e+31
2.089406003e+05|4.585384775e+26|4.958751277e+26|5.434985836e+26|5.039328526e+26|5.039328526e+28|9.376999194e+31
2.361769430e+05|5.990053498e+26|6.407098442e+26|6.875463034e+26|6.402304319e+26|6.402304319e+28|1.196970562e+32
2.562857840e+05|7.223389554e+26|7.725141694e+26|8.059392599e+26|7.608394344e+26|7.608394344e+28|1.408066355e+32
2.733339885e+05|8.140262417e+26|8.643800248e+26|9.017915900e+26|8.639771859e+26|8.639771859e+28|1.601017081e+32
2.894199932e+05|9.114746203e+26|9.556481719e+26|1.006697717e+27|9.609566663e+26|9.609566663e+28|1.795397979e+32
3.067762090e+05|1.037426924e+27|1.080331032e+27|1.134583294e+27|1.088894177e+27|1.088894177e+29|2.019020053e+32
3.248824290e+05|1.161284805e+27|1.220262652e+27|1.265413441e+27|1.214176418e+27|1.214176418e+29|2.261839752e+32
3.399224032e+05|1.273375850e+27|1.318637117e+27|1.375269866e+27|1.325312159e+27|1.325312159e+29|2.477174946e+32
3.536388323e+05|1.382071350e+27|1.432320402e+27|1.493837669e+27|1.438254334e+27|1.438254334e+29|2.680094741e+32
3.681604126e+05|1.512159008e+27|1.571251284e+27|1.615677743e+27|1.573883796e+27|1.573883796e+29|2.905751948e+32
3.809323163e+05|1.625127151e+27|1.682716070e+27|1.736457459e+27|1.684142698e+27|1.684142698e+29|3.110316195e+32
3.941089146e+05|1.732999162e+27|1.780426943e+27|1.849940873e+27|1.791545169e+27|1.791545169e+29|3.328118637e+32
