#RRR|U50|U25|U75|Umean|T50|T25|T75|Tmean|P50|P25|P75|Pmean|rho50|rho25|rho75|Pmean|S
2.749716839e+05|7.914436712e+06|7.945190897e+06|7.971602773e+06|7.942036456e+06|1.073942306e+04|1.076290560e+04|1.078301151e+04|1.076038091e+04|2.085282504e+11|2.097540047e+11|2.108075345e+11|2.096299198e+11|1.022907617e+04|1.024433350e+04|1.025740234e+04|1.024270605e+04|2.340594162e+03
4.196019756e+05|7.882329512e+06|7.905941488e+06|7.927848409e+06|7.905005383e+06|1.071481428e+04|1.073292945e+04|1.074966853e+04|1.073211970e+04|2.072498359e+11|2.081896925e+11|2.090627687e+11|2.081537355e+11|1.021309888e+04|1.022485498e+04|1.023573145e+04|1.022434277e+04|2.340594162e+03
4.988170395e+05|7.846513352e+06|7.871078259e+06|7.897584826e+06|7.870354271e+06|1.068726014e+04|1.070616432e+04|1.072653360e+04|1.070554456e+04|2.058250505e+11|2.068022304e+11|2.078567700e+11|2.067742414e+11|1.019522485e+04|1.020748877e+04|1.022070044e+04|1.020709180e+04|2.340594162e+03
5.564445771e+05|7.818840825e+06|7.845754760e+06|7.869790648e+06|7.842783623e+06|1.066587948e+04|1.068667597e+04|1.070517406e+04|1.068427577e+04|2.047256786e+11|2.057948725e+11|2.067510061e+11|2.056783706e+11|1.018136377e+04|1.019484033e+04|1.020684229e+04|1.019329980e+04|2.340594162e+03
6.073653878e+05|7.802531196e+06|7.832061405e+06|7.853027017e+06|7.830877776e+06|1.065324756e+04|1.067611056e+04|1.069227528e+04|1.067511803e+04|2.040781531e+11|2.052506110e+11|2.060841580e+11|2.052047647e+11|1.017317749e+04|1.018798926e+04|1.019847656e+04|1.018735840e+04|2.340594162e+03
6.506279722e+05|7.783951967e+06|7.811162885e+06|7.828459898e+06|7.806727144e+06|1.063884387e+04|1.065993429e+04|1.067332414e+04|1.065643615e+04|2.033405865e+11|2.044208422e+11|2.051076048e+11|2.042455634e+11|1.016384033e+04|1.017751025e+04|1.018618872e+04|1.017524902e+04|2.340594162e+03
6.843108526e+05|7.771707375e+06|7.791805660e+06|7.818298702e+06|7.792011952e+06|1.062932951e+04|1.064493433e+04|1.066545979e+04|1.064500438e+04|2.028548355e+11|2.036523467e+11|2.047041553e+11|2.036617937e+11|1.015767798e+04|1.016779102e+04|1.018108838e+04|1.016784570e+04|2.340594162e+03
7.200496064e+05|7.756472417e+06|7.781730861e+06|7.801835708e+06|7.774745440e+06|1.061745455e+04|1.063712093e+04|1.065270863e+04|1.063157957e+04|2.022511509e+11|2.032524195e+11|2.040505409e+11|2.029769767e+11|1.015000000e+04|1.016272412e+04|1.017282812e+04|1.015915234e+04|2.340594162e+03
7.537524128e+05|7.727898275e+06|7.755100774e+06|7.781504352e+06|7.754110212e+06|1.059515521e+04|1.061638489e+04|1.063694525e+04|1.061554597e+04|2.011190172e+11|2.021968021e+11|2.032434282e+11|2.021584243e+11|1.013556543e+04|1.014930566e+04|1.016260742e+04|1.014876953e+04|2.340594162e+03
7.781079132e+05|7.715797603e+06|7.744461102e+06|7.770159944e+06|7.743796251e+06|1.058570112e+04|1.060808520e+04|1.062812382e+04|1.060745878e+04|2.006396106e+11|2.017752248e+11|2.027935107e+11|2.017502942e+11|1.012944702e+04|1.014393652e+04|1.015689771e+04|1.014353906e+04|2.340594162e+03
8.046475518e+05|7.697637220e+06|7.729991772e+06|7.763934905e+06|7.729957553e+06|1.057144496e+04|1.059679019e+04|1.062327248e+04|1.059663294e+04|1.999213578e+11|2.012019560e+11|2.025468451e+11|2.012023508e+11|1.012023877e+04|1.013662598e+04|1.015376343e+04|1.013653711e+04|2.340594162e+03
8.308604713e+05|7.684360066e+06|7.703425729e+06|7.732980075e+06|7.706809607e+06|1.056101212e+04|1.057599095e+04|1.059912365e+04|1.057853431e+04|1.993962825e+11|2.001502877e+11|2.013203437e+11|2.002856667e+11|1.011349512e+04|1.012317236e+04|1.013813770e+04|1.012483105e+04|2.340594162e+03
8.567935873e+05|7.689364044e+06|7.708594690e+06|7.730173429e+06|7.708399693e+06|1.056494508e+04|1.058004918e+04|1.059693205e+04|1.057979852e+04|1.995941684e+11|2.003547158e+11|2.012091527e+11|2.003483476e+11|1.011603247e+04|1.012579395e+04|1.013671680e+04|1.012564453e+04|2.340594162e+03
8.773842156e+05|7.652264139e+06|7.685356571e+06|7.714648958e+06|7.683455349e+06|1.053575232e+04|1.056179550e+04|1.058480035e+04|1.056020974e+04|1.981273179e+11|1.994356898e+11|2.005941622e+11|1.993616789e+11|1.009716504e+04|1.011399902e+04|1.012886230e+04|1.011298340e+04|2.340594162e+03
8.966087010e+05|7.643219126e+06|7.669243384e+06|7.699539265e+06|7.670882892e+06|1.052860000e+04|1.054912463e+04|1.057293890e+04|1.055031393e+04|1.977702918e+11|1.987985110e+11|1.999965824e+11|1.988646782e+11|1.009255298e+04|1.010581250e+04|1.012119849e+04|1.010658789e+04|2.340594162e+03
9.180665622e+05|7.623627698e+06|7.651768430e+06|7.676247844e+06|7.648823126e+06|1.051309576e+04|1.053536043e+04|1.055463410e+04|1.053292472e+04|1.969970419e+11|1.981077514e+11|1.990754915e+11|1.979930051e+11|1.008254688e+04|1.009691309e+04|1.010937012e+04|1.009535645e+04|2.340594162e+03
9.375959715e+05|7.625956451e+06|7.649644418e+06|7.676461256e+06|7.651655659e+06|1.051493951e+04|1.053368114e+04|1.055480192e+04|1.053515049e+04|1.970889486e+11|1.980239128e+11|1.990839304e+11|1.981050078e+11|1.008373633e+04|1.009583057e+04|1.010948071e+04|1.009679395e+04|2.340594162e+03
9.570472404e+05|7.603823807e+06|7.641342635e+06|7.663030954e+06|7.637529060e+06|1.049740612e+04|1.052711570e+04|1.054423634e+04|1.052397884e+04|1.962154757e+11|1.976962211e+11|1.985528526e+11|1.975472970e+11|1.007241968e+04|1.009159619e+04|1.010264893e+04|1.008958203e+04|2.340594162e+03
9.761685648e+05|7.589581897e+06|7.623985170e+06|7.651707159e+06|7.619878161e+06|1.048609626e+04|1.051337881e+04|1.053531196e+04|1.051000838e+04|1.956538229e+11|1.970111500e+11|1.981053326e+11|1.968506313e+11|1.006512085e+04|1.008272949e+04|1.009688330e+04|1.008056543e+04|2.340594162e+03
9.930008517e+05|7.575969296e+06|7.604311680e+06|7.633219356e+06|7.607121216e+06|1.047525093e+04|1.049779285e+04|1.052068850e+04|1.049990446e+04|1.951176070e+11|1.962347270e+11|1.973755992e+11|1.963471917e+11|1.005813110e+04|1.007266504e+04|1.008744556e+04|1.007404395e+04|2.340594162e+03
1.008975628e+06|7.569608535e+06|7.609352080e+06|7.634189552e+06|7.605159998e+06|1.047018033e+04|1.050178764e+04|1.052145628e+04|1.049832999e+04|1.948670670e+11|1.964336390e+11|1.974138906e+11|1.962700877e+11|1.005486401e+04|1.007524365e+04|1.008794067e+04|1.007303125e+04|2.340594162e+03
1.022581719e+06|7.559268845e+06|7.589749993e+06|7.622343769e+06|7.592962531e+06|1.046193409e+04|1.048623023e+04|1.051207909e+04|1.048862768e+04|1.944598065e+11|1.956604454e+11|1.969463699e+11|1.957892981e+11|1.004954468e+04|1.006520898e+04|1.008188940e+04|1.006677246e+04|2.340594162e+03
1.039378542e+06|7.537902758e+06|7.566726069e+06|7.606212111e+06|7.571509509e+06|1.044487869e+04|1.046788198e+04|1.049929914e+04|1.047159201e+04|1.936183260e+11|1.947535300e+11|1.963097208e+11|1.949433004e+11|1.003854761e+04|1.005337988e+04|1.007364014e+04|1.005578223e+04|2.340594162e+03
1.056939006e+06|7.514265289e+06|7.564124621e+06|7.602393091e+06|7.560953170e+06|1.042591945e+04|1.046580731e+04|1.049627197e+04|1.046309137e+04|1.926888343e+11|1.946510607e+11|1.961590200e+11|1.945285754e+11|1.002634937e+04|1.005204199e+04|1.007168628e+04|1.005031250e+04|2.340594162e+03
1.073336791e+06|7.518341180e+06|7.556157820e+06|7.579518361e+06|7.551313231e+06|1.042919207e+04|1.045945193e+04|1.047807934e+04|1.045546714e+04|1.928490714e+11|1.943372716e+11|1.952574043e+11|1.941480251e+11|1.002845264e+04|1.004794824e+04|1.005995728e+04|1.004538965e+04|2.340594162e+03
1.086570613e+06|7.523604261e+06|7.552517109e+06|7.575759332e+06|7.550198194e+06|1.043341695e+04|1.045654674e+04|1.047508354e+04|1.045459373e+04|1.930559782e+11|1.941938785e+11|1.951093376e+11|1.941038943e+11|1.003117090e+04|1.004607324e+04|1.005802661e+04|1.004482520e+04|2.340594162e+03
1.100393272e+06|7.482535957e+06|7.523877466e+06|7.566926586e+06|7.525936835e+06|1.040041713e+04|1.043363623e+04|1.046804188e+04|1.043513914e+04|1.914415802e+11|1.930667189e+11|1.947614282e+11|1.931496680e+11|1.000992505e+04|1.003131152e+04|1.005348608e+04|1.003229688e+04|2.340594162e+03
1.113121381e+06|7.492817660e+06|7.528732193e+06|7.555766453e+06|7.521971437e+06|1.040868600e+04|1.043753209e+04|1.045913973e+04|1.043199685e+04|1.918457303e+11|1.932575718e+11|1.943218573e+11|1.929932035e+11|1.001525342e+04|1.003381689e+04|1.004774902e+04|1.003026855e+04|2.340594162e+03
1.125596349e+06|7.469186260e+06|7.508028819e+06|7.540657845e+06|7.505208032e+06|1.038965314e+04|1.042091050e+04|1.044707911e+04|1.041852149e+04|1.909172998e+11|1.924436605e+11|1.937268302e+11|1.923343175e+11|1.000300122e+04|1.002312305e+04|1.003996606e+04|1.002159375e+04|2.340594162e+03
1.138636711e+06|7.464623856e+06|7.496392639e+06|7.529126584e+06|7.495691841e+06|1.038596459e+04|1.041155997e+04|1.043784837e+04|1.041085483e+04|1.907382825e+11|1.919862529e+11|1.932730802e+11|1.919605078e+11|1.000063037e+04|1.001709717e+04|1.003401953e+04|1.001666016e+04|2.340594162e+03
1.151576896e+06|7.450550203e+06|7.491171445e+06|7.519613650e+06|7.484177572e+06|1.037458058e+04|1.040736238e+04|1.043021369e+04|1.040161275e+04|1.901860861e+11|1.917810214e+11|1.928990962e+11|1.915077546e+11|9.993312256e+03|1.001439600e+04|1.002910962e+04|1.001070996e+04|2.340594162e+03
1.164826527e+06|7.440677877e+06|7.467115873e+06|7.505168891e+06|7.469368698e+06|1.036658959e+04|1.038797941e+04|1.041861290e+04|1.038967415e+04|1.897987732e+11|1.908360634e+11|1.923312377e+11|1.909261512e+11|9.988177246e+03|1.000192090e+04|1.002164429e+04|1.000302832e+04|2.340594162e+03
1.180163813e+06|7.423189787e+06|7.474481961e+06|7.502157792e+06|7.467213939e+06|1.035242324e+04|1.039393336e+04|1.041619342e+04|1.038788356e+04|1.891127033e+11|1.911250859e+11|1.922128672e+11|1.908422059e+11|9.979059570e+03|1.000574902e+04|1.002008252e+04|1.000188281e+04|2.340594162e+03
1.192257291e+06|7.417844399e+06|7.458106308e+06|7.486340973e+06|7.451169554e+06|1.034808912e+04|1.038069375e+04|1.040347780e+04|1.037494678e+04|1.889030517e+11|1.904825440e+11|1.915911465e+11|1.902121031e+11|9.976273682e+03|9.997242676e+03|1.001189844e+04|9.993559570e+03|2.340594162e+03
1.203698404e+06|7.402618893e+06|7.450243613e+06|7.492905289e+06|7.442945374e+06|1.033569700e+04|1.037433240e+04|1.040875645e+04|1.036824615e+04|1.883067061e+11|1.901740575e+11|1.918491748e+11|1.898900277e+11|9.968315918e+03|9.993149902e+03|1.001529639e+04|9.989255859e+03|2.340594162e+03
