#RRR|Lz25|Lz50|Lz75|Lzmean|Lzsum|Isum
6.307628578e+04|5.516081218e+24|1.156056480e+25|2.408327568e+25|1.623800906e+25|1.623800906e+27|9.703333365e+30
1.158717567e+05|7.627603252e+24|2.381843792e+25|4.279969360e+25|2.997794273e+25|2.997794273e+27|2.923306472e+31
1.485232690e+05|9.310314337e+24|2.870873928e+25|4.765621173e+25|3.315152354e+25|3.315152354e+27|4.780158857e+31
1.753737550e+05|1.289938660e+25|3.189102006e+25|5.636767324e+25|4.114969984e+25|4.114969984e+27|6.644169608e+31
2.015481256e+05|1.564047811e+25|3.488298191e+25|7.125525669e+25|4.708207852e+25|4.708207852e+27|8.782991957e+31
2.232232086e+05|2.299065846e+25|4.212916569e+25|7.589738457e+25|5.650575159e+25|5.650575159e+27|1.075560413e+32
2.436895074e+05|1.355457796e+25|3.668519780e+25|9.545845701e+25|5.713110698e+25|5.713110698e+27|1.282166521e+32
2.598269640e+05|2.425014081e+25|4.394967905e+25|9.204995160e+25|6.811003296e+25|6.811003296e+27|1.457690821e+32
2.739163257e+05|1.591195388e+25|5.735356104e+25|9.652370682e+25|7.176340144e+25|7.176340144e+27|1.619847661e+32
2.894109020e+05|2.501870541e+25|6.119537550e+25|1.111381082e+26|7.819817879e+25|7.819817879e+27|1.807144887e+32
3.064453774e+05|2.716553860e+25|5.376481640e+25|1.100704984e+26|7.901720400e+25|7.901720400e+27|2.027061454e+32
3.210274175e+05|2.460174592e+25|5.841104990e+25|1.010064402e+26|7.364319166e+25|7.364319166e+27|2.222096714e+32
3.355092990e+05|2.146250710e+25|6.136727468e+25|1.358459678e+26|8.208176738e+25|8.208176738e+27|2.428148254e+32
3.497375855e+05|2.551408883e+25|6.425316674e+25|1.260587109e+26|7.894393581e+25|7.894393581e+27|2.640088063e+32
3.609080723e+05|2.699032478e+25|6.786687401e+25|1.163744166e+26|8.992617449e+25|8.992617449e+27|2.811993391e+32
3.737638554e+05|2.759748756e+25|7.154681981e+25|1.204030053e+26|8.632347627e+25|8.632347627e+27|3.013920019e+32
3.869976441e+05|3.428677005e+25|6.830264499e+25|1.287553907e+26|9.270665908e+25|9.270665908e+27|3.231701066e+32
3.982376370e+05|3.406809814e+25|7.145955758e+25|1.363136140e+26|9.583507056e+25|9.583507056e+27|3.420628751e+32
4.074870750e+05|2.748199227e+25|6.191172286e+25|1.362571998e+26|9.254583955e+25|9.254583955e+27|3.583128100e+32
4.179734156e+05|2.913762618e+25|8.367407991e+25|1.675011125e+26|1.106632493e+26|1.106632493e+28|3.767719645e+32
4.284059329e+05|3.174385433e+25|1.023936972e+26|1.697233150e+26|1.226222836e+26|1.226222836e+28|3.957738909e+32
4.394328763e+05|4.180669254e+25|7.706913668e+25|1.499864119e+26|1.121713100e+26|1.121713100e+28|4.164168089e+32
4.499346040e+05|5.002025902e+25|8.574358804e+25|1.540776546e+26|1.149160127e+26|1.149160127e+28|4.369072418e+32
4.605026124e+05|3.450413446e+25|8.122026580e+25|1.451344007e+26|1.121303273e+26|1.121303273e+28|4.576152831e+32
4.706709679e+05|3.834626074e+25|8.163285618e+25|1.433975894e+26|9.941867817e+25|9.941867817e+27|4.784738872e+32
4.795520846e+05|4.413328015e+25|8.784518061e+25|1.508816797e+26|1.146960836e+26|1.146960836e+28|4.964888630e+32
4.892752127e+05|5.009729329e+25|1.038925657e+26|1.790137476e+26|1.224016072e+26|1.224016072e+28|5.166653346e+32
4.987167263e+05|4.795705306e+25|1.010679069e+26|1.699202269e+26|1.272968577e+26|1.272968577e+28|5.364369299e+32
5.077408412e+05|4.769260992e+25|1.254888412e+26|2.181108029e+26|1.408986986e+26|1.408986986e+28|5.560211525e+32
5.163354260e+05|4.044596129e+25|1.096553876e+26|1.987131528e+26|1.383629177e+26|1.383629177e+28|5.755804223e+32
5.247823885e+05|4.323071527e+25|8.511251009e+25|1.772730729e+26|1.247777828e+26|1.247777828e+28|5.944197901e+32
5.330589515e+05|5.569324297e+25|1.001702147e+26|1.815424018e+26|1.257683963e+26|1.257683963e+28|6.126953177e+32
5.418037034e+05|3.844918520e+25|1.125902575e+26|2.281397729e+26|1.462164617e+26|1.462164617e+28|6.330567454e+32
5.498255575e+05|4.633974191e+25|9.356243195e+25|1.495724989e+26|1.095486464e+26|1.095486464e+28|6.518258967e+32
5.567419901e+05|6.061370054e+25|1.142198739e+26|2.241658898e+26|1.634577581e+26|1.634577581e+28|6.690280246e+32
5.653791818e+05|6.460938495e+25|1.067410874e+26|1.874555020e+26|1.489043701e+26|1.489043701e+28|6.897129270e+32
5.749397573e+05|6.103575921e+25|1.188869905e+26|2.126341975e+26|1.734276372e+26|1.734276372e+28|7.128306414e+32
5.831131163e+05|4.084541241e+25|9.551776843e+25|1.864178408e+26|1.278828922e+26|1.278828922e+28|7.338276598e+32
5.908124892e+05|6.125803397e+25|1.289526166e+26|2.264447481e+26|1.619519119e+26|1.619519119e+28|7.533044226e+32
5.979780661e+05|5.411942888e+25|9.593810335e+25|1.744445822e+26|1.301927196e+26|1.301927196e+28|7.713146191e+32
6.055423715e+05|5.533272499e+25|1.310809791e+26|2.456144509e+26|1.662189287e+26|1.662189287e+28|7.905649212e+32
6.123680579e+05|5.728015941e+25|1.196561551e+26|2.160295501e+26|1.551251598e+26|1.551251598e+28|8.085687235e+32
6.197905608e+05|5.107652450e+25|1.268429619e+26|2.159206545e+26|1.459325386e+26|1.459325386e+28|8.271385489e+32
6.272139429e+05|6.341690942e+25|1.248638080e+26|2.735412084e+26|1.767657412e+26|1.767657412e+28|8.485556488e+32
6.345824859e+05|6.931025713e+25|1.207417469e+26|2.246378287e+26|1.565023430e+26|1.565023430e+28|8.689186752e+32
6.415411547e+05|6.896813693e+25|1.486043080e+26|2.439380067e+26|1.939483470e+26|1.939483470e+28|8.875434570e+32
6.480977432e+05|5.410208044e+25|1.177869087e+26|2.228415209e+26|2.032650730e+26|2.032650730e+28|9.059069782e+32
6.558505778e+05|6.351174106e+25|1.260969603e+26|2.432100034e+26|1.747864281e+26|1.747864281e+28|9.271117266e+32
6.627672642e+05|5.660876927e+25|1.289234003e+26|2.014734811e+26|1.492200779e+26|1.492200779e+28|9.471257943e+32
6.694083790e+05|8.154492140e+25|1.330178009e+26|2.600914764e+26|1.690765851e+26|1.690765851e+28|9.665467488e+32
6.764529354e+05|6.199394969e+25|1.078072547e+26|2.288930466e+26|1.614986618e+26|1.614986618e+28|9.866525678e+32
6.839934294e+05|9.454735818e+25|1.549194983e+26|2.706079088e+26|2.027916790e+26|2.027916790e+28|1.007792473e+33
6.902506626e+05|7.269153415e+25|1.231538055e+26|2.163525363e+26|1.668076637e+26|1.668076637e+28|1.026299495e+33
6.962494802e+05|7.109105344e+25|1.444084851e+26|2.722994277e+26|1.866586547e+26|1.866586547e+28|1.046051717e+33
7.026743034e+05|6.273002020e+25|1.478549644e+26|3.206454144e+26|2.056572677e+26|2.056572677e+28|1.064569515e+33
7.094811022e+05|5.314766430e+25|1.236992082e+26|2.151332445e+26|1.587805158e+26|1.587805158e+28|1.086338788e+33
7.157199761e+05|6.859772252e+25|1.344614954e+26|2.449748742e+26|1.881653282e+26|1.881653282e+28|1.104700665e+33
7.222184717e+05|8.224919524e+25|1.429711189e+26|2.481117840e+26|1.856961119e+26|1.856961119e+28|1.125400549e+33
7.279691661e+05|9.477995270e+25|1.859124894e+26|2.872614628e+26|1.938655324e+26|1.938655324e+28|1.141929045e+33
