#RRR|U50|U25|U75|Umean|T50|T25|T75|Tmean|P50|P25|P75|Pmean|rho50|rho25|rho75|Pmean|S
2.769107635e+05|8.547515590e+06|8.585351075e+06|8.611073842e+06|8.575353280e+06|1.207187081e+04|1.210367642e+04|1.212519023e+04|1.209516187e+04|2.088385858e+11|2.102588883e+11|2.112264485e+11|2.098852670e+11|1.005020312e+04|1.006819678e+04|1.008038892e+04|1.006339453e+04|2.425999347e+03
4.216714072e+05|8.509827909e+06|8.539099115e+06|8.568905849e+06|8.540861683e+06|1.204009544e+04|1.206478722e+04|1.208986179e+04|1.206616154e+04|2.074249040e+11|2.085226898e+11|2.096414540e+11|2.085903823e+11|1.003223633e+04|1.004619922e+04|1.006038672e+04|1.004698730e+04|2.425999347e+03
5.014236109e+05|8.471924238e+06|8.507285719e+06|8.534705827e+06|8.505212468e+06|1.200798730e+04|1.203794375e+04|1.206108845e+04|1.203608436e+04|2.060053864e+11|2.073296921e+11|2.083578110e+11|2.072535227e+11|1.001410059e+04|1.003101709e+04|1.004410571e+04|1.002998047e+04|2.425999347e+03
5.606643724e+05|8.434811089e+06|8.470688559e+06|8.503393919e+06|8.471879083e+06|1.197642462e+04|1.200693961e+04|1.203464925e+04|1.200784587e+04|2.046172608e+11|2.059591119e+11|2.071839347e+11|2.060051654e+11|9.996281738e+03|1.001350195e+04|1.002915918e+04|1.001402832e+04|2.425999347e+03
6.104091594e+05|8.410063602e+06|8.443761024e+06|8.473060437e+06|8.444055668e+06|1.195531142e+04|1.198405412e+04|1.200895060e+04|1.198419703e+04|2.036925805e+11|2.049516921e+11|2.060479354e+11|2.049642765e+11|9.984365234e+03|1.000058447e+04|1.001463818e+04|1.000067578e+04|2.425999347e+03
6.533234535e+05|8.378873069e+06|8.429941003e+06|8.461874958e+06|8.422936315e+06|1.192862199e+04|1.197227168e+04|1.199946492e+04|1.196615592e+04|2.025282606e+11|2.044352895e+11|2.056290627e+11|2.041754795e+11|9.969318359e+03|9.993936523e+03|1.000928076e+04|9.990500977e+03|2.425999347e+03
6.902595956e+05|8.365386020e+06|8.416786374e+06|8.442406768e+06|8.409619917e+06|1.191704164e+04|1.196104938e+04|1.198289987e+04|1.195476793e+04|2.020254154e+11|2.039437684e+11|2.049010836e+11|2.036783144e+11|9.962792236e+03|9.987608887e+03|9.999929932e+03|9.984079102e+03|2.425999347e+03
7.251244519e+05|8.327337811e+06|8.376596699e+06|8.407677320e+06|8.373275146e+06|1.188432967e+04|1.192666795e+04|1.195327427e+04|1.192365982e+04|2.006070999e+11|2.024433910e+11|2.036034297e+11|2.023217154e+11|9.944366211e+03|9.968221191e+03|9.983219727e+03|9.966541016e+03|2.425999347e+03
7.546881152e+05|8.331057052e+06|8.370463837e+06|8.399056789e+06|8.364755292e+06|1.188753207e+04|1.192140247e+04|1.194591304e+04|1.191635869e+04|2.007456762e+11|2.022147371e+11|2.032813642e+11|2.020038229e+11|9.946164307e+03|9.965251953e+03|9.979064209e+03|9.962425781e+03|2.425999347e+03
7.857332424e+05|8.303349520e+06|8.342344157e+06|8.390234750e+06|8.339676306e+06|1.186359530e+04|1.189724000e+04|1.193837169e+04|1.189474291e+04|1.997147722e+11|2.011664237e+11|2.029518671e+11|2.010698363e+11|9.932702637e+03|9.951638672e+03|9.974809326e+03|9.950253906e+03|2.425999347e+03
8.134851142e+05|8.276814716e+06|8.323160107e+06|8.359202520e+06|8.319687636e+06|1.184063226e+04|1.188072035e+04|1.191172984e+04|1.187752855e+04|1.987278269e+11|2.004516915e+11|2.017948892e+11|2.003252410e+11|9.919783936e+03|9.942333496e+03|9.959803223e+03|9.940560547e+03|2.425999347e+03
8.428910371e+05|8.258845118e+06|8.317219298e+06|8.343812709e+06|8.300519819e+06|1.182504332e+04|1.187558657e+04|1.189850279e+04|1.186097276e+04|1.980599628e+11|2.002306923e+11|2.012211693e+11|1.996118767e+11|9.911009277e+03|9.939446777e+03|9.952348633e+03|9.931242188e+03|2.425999347e+03
8.683202027e+05|8.254769586e+06|8.293469264e+06|8.334925043e+06|8.292532573e+06|1.182149632e+04|1.185504837e+04|1.189085971e+04|1.185406873e+04|1.979087057e+11|1.993472679e+11|2.008898460e+11|1.993147033e+11|9.909016602e+03|9.927892578e+03|9.948042969e+03|9.927357422e+03|2.425999347e+03
