#RRR|Lz25|Lz50|Lz75|Lzmean|
2.830069853e+05|1.982577065e+26|3.814339679e+26|6.366749153e+26|4.235863463e+26|4.235863463e+28
4.293085049e+05|7.062578488e+26|1.049086407e+27|1.320142588e+27|9.854883034e+26|9.854883034e+28
5.104468878e+05|7.807858726e+26|1.520164735e+27|1.855752728e+27|1.316955614e+27|1.316955614e+29
5.729675115e+05|1.112967405e+27|1.962670560e+27|2.323313322e+27|1.687487391e+27|1.687487391e+29
6.219695711e+05|1.162604477e+27|2.016596250e+27|2.702982023e+27|1.881026817e+27|1.881026817e+29
6.656989682e+05|1.855253011e+27|2.744899041e+27|3.244850713e+27|2.445887933e+27|2.445887933e+29
7.058371582e+05|1.630438053e+27|2.590913407e+27|3.441406558e+27|2.430203288e+27|2.430203288e+29
7.381697351e+05|1.757831022e+27|2.948193358e+27|3.645892420e+27|2.641551727e+27|2.641551727e+29
7.702029783e+05|1.738769548e+27|3.528987875e+27|4.273812238e+27|3.033876277e+27|3.033876277e+29
8.004719173e+05|2.884170800e+27|3.949143364e+27|4.645685109e+27|3.552947182e+27|3.552947182e+29
8.275907953e+05|1.768642800e+27|3.355241373e+27|4.509506520e+27|3.065202570e+27|3.065202570e+29
8.534649235e+05|2.814625672e+27|4.486114805e+27|5.099491521e+27|3.792297042e+27|3.792297042e+29
8.762196277e+05|2.539483718e+27|4.421872513e+27|5.542512337e+27|3.913776870e+27|3.913776870e+29
8.996023628e+05|3.022270791e+27|4.773005451e+27|5.883697327e+27|4.287972737e+27|4.287972737e+29
9.227895560e+05|3.166587466e+27|5.221059179e+27|6.187789377e+27|4.533303480e+27|4.533303480e+29
9.438893600e+05|3.160644793e+27|5.007267020e+27|6.188316971e+27|4.534476108e+27|4.534476108e+29
9.637640763e+05|2.417151799e+27|4.673548364e+27|6.211495989e+27|4.289005615e+27|4.289005615e+29
9.818386608e+05|3.305857668e+27|5.142667500e+27|6.704133671e+27|4.822195307e+27|4.822195307e+29
9.994320300e+05|3.116380362e+27|6.118322591e+27|7.227465281e+27|5.208101581e+27|5.208101581e+29
1.018765508e+06|4.053972193e+27|6.550720700e+27|7.602937644e+27|5.716365552e+27|5.716365552e+29
1.036931810e+06|3.643819434e+27|6.081668212e+27|7.740707397e+27|5.464813658e+27|5.464813658e+29
1.053945773e+06|3.792034805e+27|6.118834994e+27|7.916246437e+27|5.644662247e+27|5.644662247e+29
1.070201585e+06|3.768379019e+27|6.779273283e+27|8.068680920e+27|5.825891622e+27|5.825891622e+29
1.084777446e+06|3.376335082e+27|5.950952685e+27|7.820082579e+27|5.453570396e+27|5.453570396e+29
1.099840438e+06|3.940587491e+27|7.156334077e+27|8.425223340e+27|6.156528450e+27|6.156528450e+29
1.115496036e+06|4.350700154e+27|7.117553194e+27|8.918906500e+27|6.345091770e+27|6.345091770e+29
1.129406512e+06|4.763897199e+27|8.126849759e+27|9.350150769e+27|6.948319552e+27|6.948319552e+29
