#RRR|Lz25|Lz50|Lz75|Lzmean|
2.762609935e+05|1.857317879e+26|4.055482983e+26|6.285165772e+26|4.185444633e+26|4.185444633e+28
4.211059382e+05|5.413638392e+26|9.595677966e+26|1.226022620e+27|8.657489556e+26|8.657489556e+28
5.013150805e+05|8.139403677e+26|1.342347724e+27|1.705973818e+27|1.216905955e+27|1.216905955e+29
5.593295997e+05|1.035554351e+27|1.747362879e+27|2.184405327e+27|1.567656707e+27|1.567656707e+29
6.101149664e+05|1.047026657e+27|1.929011669e+27|2.509983569e+27|1.732185744e+27|1.732185744e+29
6.521468986e+05|1.531756375e+27|2.374330323e+27|2.881257706e+27|2.098402705e+27|2.098402705e+29
6.882250386e+05|1.756924904e+27|2.788212200e+27|3.345148237e+27|2.480032260e+27|2.480032260e+29
7.240894644e+05|1.458853571e+27|2.736093238e+27|3.564817184e+27|2.491832494e+27|2.491832494e+29
7.558701834e+05|1.722786750e+27|3.135951217e+27|3.836343490e+27|2.701613750e+27|2.701613750e+29
7.806739494e+05|2.468458597e+27|3.642177607e+27|4.215237959e+27|3.170429960e+27|3.170429960e+29
8.089070933e+05|2.118488091e+27|3.552039588e+27|4.553733708e+27|3.217269830e+27|3.217269830e+29
8.368334226e+05|2.143642958e+27|3.823114586e+27|4.898226011e+27|3.513568847e+27|3.513568847e+29
8.590780968e+05|2.056107870e+27|3.963847393e+27|4.773036915e+27|3.370522714e+27|3.370522714e+29
8.803462959e+05|2.352113769e+27|4.337824066e+27|5.376758778e+27|3.736154315e+27|3.736154315e+29
9.015995171e+05|3.227355128e+27|4.731612539e+27|5.694875713e+27|4.207003847e+27|4.207003847e+29
9.222188652e+05|2.724548438e+27|5.004628368e+27|5.976207325e+27|4.379493325e+27|4.379493325e+29
9.421209797e+05|2.571004871e+27|4.935971022e+27|6.212602175e+27|4.318837133e+27|4.318837133e+29
9.620127065e+05|2.278349278e+27|4.552808300e+27|5.892589931e+27|4.164339373e+27|4.164339373e+29
9.805880082e+05|2.512406739e+27|4.769050982e+27|6.431979158e+27|4.368469052e+27|4.368469052e+29
9.967737369e+05|4.126454270e+27|6.523182655e+27|7.042003580e+27|5.552598060e+27|5.552598060e+29
1.012492586e+06|3.062043620e+27|5.543242758e+27|6.895911509e+27|4.845241005e+27|4.845241005e+29
1.028855836e+06|3.343051755e+27|5.954623750e+27|7.529632921e+27|5.230065988e+27|5.230065988e+29
1.045641032e+06|3.816434034e+27|5.987282174e+27|7.291702573e+27|5.491686361e+27|5.491686361e+29
1.062915585e+06|3.186771391e+27|5.961256284e+27|7.798104664e+27|5.372425039e+27|5.372425039e+29
1.077272020e+06|3.278319757e+27|6.149110099e+27|7.979517789e+27|5.537143208e+27|5.537143208e+29
1.091825526e+06|3.699795285e+27|6.986389922e+27|8.302274490e+27|5.949060751e+27|5.949060751e+29
1.104507800e+06|4.044746647e+27|6.693355614e+27|8.445297501e+27|6.011798830e+27|6.011798830e+29
1.117880625e+06|4.388782142e+27|7.376935590e+27|8.748668952e+27|6.311384707e+27|6.311384707e+29
1.131732168e+06|4.681377783e+27|7.052256629e+27|8.747131207e+27|6.287993632e+27|6.287993632e+29
1.145825077e+06|3.826564241e+27|7.953673818e+27|9.338865393e+27|6.595315925e+27|6.595315925e+29
1.158957172e+06|4.559012212e+27|7.061930625e+27|9.286412174e+27|6.548925159e+27|6.548925159e+29
1.171646574e+06|5.385191119e+27|7.809737447e+27|9.467093613e+27|7.115811721e+27|7.115811721e+29
1.185235440e+06|3.412163392e+27|7.475944956e+27|9.389472346e+27|6.493986035e+27|6.493986035e+29
1.197074431e+06|3.909799826e+27|7.786419544e+27|9.872501532e+27|6.910733865e+27|6.910733865e+29
1.209012576e+06|3.649766769e+27|7.187247023e+27|9.813904191e+27|6.566627972e+27|6.566627972e+29
1.220124316e+06|4.944407558e+27|8.518791275e+27|1.044999980e+28|7.447843230e+27|7.447843230e+29
1.231242711e+06|5.420641423e+27|8.554103533e+27|1.061923907e+28|7.810034029e+27|7.810034029e+29
1.241310808e+06|5.367793676e+27|8.583496449e+27|1.054599597e+28|7.705018088e+27|7.705018088e+29
1.252551301e+06|6.082653763e+27|9.596891190e+27|1.076636550e+28|8.370472881e+27|8.370472881e+29
1.263443684e+06|4.618383535e+27|8.650234295e+27|1.107344074e+28|7.629876461e+27|7.629876461e+29
1.274936180e+06|4.397367027e+27|7.714839970e+27|1.100845800e+28|7.289729869e+27|7.289729869e+29
1.286428098e+06|5.658389726e+27|8.932433491e+27|1.159923473e+28|8.277996463e+27|8.277996463e+29
