#RRR|Lz25|Lz50|Lz75|Lzmean|Lzsum|Isum
6.836538844e+04|3.097666042e+25|5.382902554e+25|9.412781665e+25|5.966409078e+25|5.966409078e+27|1.120710501e+31
1.230276495e+05|1.397076882e+26|1.756590967e+26|2.085770282e+26|1.756134448e+26|1.756134448e+28|3.278557539e+31
1.567389432e+05|2.610984748e+26|2.837737200e+26|3.154282887e+26|2.942548951e+26|2.942548951e+28|5.280091865e+31
1.861149228e+05|3.712681905e+26|4.089566992e+26|4.430378886e+26|4.097420628e+26|4.097420628e+28|7.445046771e+31
2.116674391e+05|4.918100447e+26|5.231773667e+26|5.544462730e+26|5.187762544e+26|5.187762544e+28|9.618636580e+31
2.336731492e+05|6.019464885e+26|6.373164009e+26|6.739999358e+26|6.444424658e+26|6.444424658e+28|1.171161785e+32
2.564694990e+05|7.270532126e+26|7.641815601e+26|8.069413913e+26|7.617197264e+26|7.617197264e+28|1.411368441e+32
2.753816964e+05|8.349188426e+26|8.725138703e+26|9.175996203e+26|8.854443314e+26|8.854443314e+28|1.626689914e+32
2.921875745e+05|9.471109038e+26|1.001291576e+27|1.030660052e+27|9.959651074e+26|9.959651074e+28|1.831648093e+32
3.091529286e+05|1.069465748e+27|1.105124258e+27|1.141056819e+27|1.104763456e+27|1.104763456e+29|2.051184635e+32
3.252352154e+05|1.178382384e+27|1.233391755e+27|1.269929370e+27|1.247748147e+27|1.247748147e+29|2.268607446e+32
3.386207121e+05|1.304277518e+27|1.335342707e+27|1.371069336e+27|1.331460219e+27|1.331460219e+29|2.459910475e+32
3.537758673e+05|1.413588549e+27|1.459036666e+27|1.496281100e+27|1.447370303e+27|1.447370303e+29|2.683931812e+32
3.673280152e+05|1.533275253e+27|1.572570761e+27|1.609316108e+27|1.582479577e+27|1.582479577e+29|2.895877973e+32
3.814642255e+05|1.646724588e+27|1.684669629e+27|1.739705793e+27|1.688498011e+27|1.688498011e+29|3.120073341e+32
