#R_planet
7.363638627e+06
#RRR|RRR50|RR|RR50|U25|U50|U75|Umean|U25mean|U75mean|deltaU25|deltaU50|deltaU75|deltaUmean|deltaU25mean|deltaU75mean|S25|S50|S75|Smean|S25mean|S75mean|deltaS25|deltaS50|delatS75|deltaSmean|deltaS25mean|deltaS75mean|T25|T50|T75|Tmean|T25mean|T75mean|deltaT25|deltaT50|deltaT75|deltaTmean|deltaT25|deltaT75|P25|P50|P75|Pmean|P25mean|P75mean|deltaP25|deltaP50|deltaP75|deltaPmean|deltaP25mean|deltaP75mean|rho25|rho50|rho75|rhomean|rho25mean|rho75mean
3.654587501e+06|3.662269749e+06|3.614821809e+06|3.619024267e+06|6.663599125e+06|6.863134750e+06|7.090381125e+06|6.884902000e+06|6.631051000e+06|7.138753500e+06|2.731863188e+06|3.273830125e+06|3.572307250e+06|3.032754000e+06|2.458670000e+06|3.606837750e+06|3.281362593e+03|3.328701564e+03|3.395073438e+03|3.340148375e+03|3.279875097e+03|3.400421652e+03|4.612630213e+02|5.086713111e+02|5.750600744e+02|5.201169194e+02|4.598152611e+02|5.804185777e+02|3.720539240e+03|3.750152334e+03|3.778535097e+03|3.752186605e+03|3.715625566e+03|3.788747644e+03|9.967054400e+02|1.137130059e+03|1.266310000e+03|1.114339567e+03|9.422290362e+02|1.286450098e+03|6.662468198e+10|6.874791526e+10|7.106879283e+10|6.891542118e+10|6.590510285e+10|7.192572723e+10|2.796288205e+10|4.242080768e+10|5.180818432e+10|3.637446656e+10|1.975311360e+10|5.299581747e+10|4.441703003e+03|4.486924805e+03|4.517984253e+03|4.485535156e+03|4.441338867e+03|4.529730469e+03
3.702519333e+06|3.702781151e+06|3.677081265e+06|3.682695651e+06|6.589883625e+06|6.806324250e+06|7.087220000e+06|6.841130000e+06|6.567116000e+06|7.115144500e+06|2.596648312e+06|3.056782125e+06|3.466361438e+06|2.941171500e+06|2.376150000e+06|3.506193500e+06|3.304371566e+03|3.360428330e+03|3.427035062e+03|3.376459821e+03|3.304068965e+03|3.448850677e+03|4.842620571e+02|5.403475127e+02|6.069909006e+02|5.564296367e+02|4.840172458e+02|6.288420276e+02|3.690070393e+03|3.719275098e+03|3.739681309e+03|3.715315486e+03|3.684228035e+03|3.746402937e+03|9.347704220e+02|1.049822583e+03|1.209682485e+03|1.056940243e+03|8.966793914e+02|1.217201094e+03|6.378662093e+10|6.620020941e+10|6.772448768e+10|6.584580096e+10|6.336738099e+10|6.832421683e+10|2.181906125e+10|3.456597402e+10|4.806959309e+10|3.190233702e+10|1.604245914e+10|4.776221901e+10|4.403138794e+03|4.434361816e+03|4.460377563e+03|4.432847656e+03|4.397244629e+03|4.468451172e+03
3.739776324e+06|3.740957724e+06|3.713944175e+06|3.716149725e+06|6.441986125e+06|6.754079750e+06|6.994082750e+06|6.727346000e+06|6.418926000e+06|7.035764000e+06|2.341908688e+06|2.774514000e+06|3.267947562e+06|2.717436750e+06|2.123913000e+06|3.310960750e+06|3.308493442e+03|3.376474616e+03|3.453719460e+03|3.391325784e+03|3.308602106e+03|3.474049462e+03|4.884546265e+02|5.564440166e+02|6.337005812e+02|5.712970600e+02|4.885586769e+02|6.540354431e+02|3.647429050e+03|3.677963318e+03|3.705827678e+03|3.674285294e+03|3.634001925e+03|3.714568662e+03|8.454649503e+02|9.718336795e+02|1.142319854e+03|9.861456919e+02|8.164227416e+02|1.155868642e+03|6.053469491e+10|6.284722381e+10|6.498325914e+10|6.265153126e+10|5.959104102e+10|6.571201741e+10|1.210301747e+10|2.835606835e+10|4.279979213e+10|2.593359872e+10|8.435384832e+09|4.343181312e+10|4.338114746e+03|4.387465576e+03|4.420423950e+03|4.381421875e+03|4.334552734e+03|4.428290527e+03
3.775502372e+06|3.777266160e+06|3.744433402e+06|3.745260304e+06|6.141614000e+06|6.574010000e+06|6.886213375e+06|6.530033500e+06|6.158212500e+06|6.901855500e+06|2.427104062e+06|2.878293000e+06|3.287812188e+06|2.734698250e+06|2.145630500e+06|3.323765500e+06|3.271988336e+03|3.357269592e+03|3.459798155e+03|3.364886336e+03|3.274438031e+03|3.455334641e+03|4.518790667e+02|5.372488395e+02|6.398717886e+02|5.448460992e+02|4.543901670e+02|6.353020315e+02|3.587743043e+03|3.640289624e+03|3.687745585e+03|3.639740976e+03|3.586062432e+03|3.693419521e+03|8.891369833e+02|1.045365755e+03|1.147778170e+03|1.010334236e+03|8.471028860e+02|1.173565586e+03|5.619884544e+10|5.999108096e+10|6.362407117e+10|6.014543462e+10|5.617059430e+10|6.412027085e+10|1.993071821e+10|3.539197747e+10|4.306452275e+10|2.880026010e+10|1.304724480e+10|4.455327744e+10|4.295294800e+03|4.338305908e+03|4.397487793e+03|4.349416504e+03|4.292130371e+03|4.406702637e+03
3.804027489e+06|3.803315568e+06|3.774637989e+06|3.778979066e+06|6.220939375e+06|6.529666250e+06|6.909446125e+06|6.551904500e+06|6.129179500e+06|6.974630000e+06|2.502478375e+06|2.874262500e+06|3.304538125e+06|2.843449000e+06|2.287253500e+06|3.399644250e+06|3.286369543e+03|3.367478317e+03|3.460211649e+03|3.379897751e+03|3.286156323e+03|3.473639178e+03|4.663510060e+02|5.474555827e+02|6.401872557e+02|5.598532772e+02|4.661057864e+02|6.536007680e+02|3.569291412e+03|3.654517826e+03|3.688263844e+03|3.638921079e+03|3.573769136e+03|3.704073021e+03|8.961181732e+02|1.015241022e+03|1.168138124e+03|1.024223613e+03|8.693897952e+02|1.179057431e+03|5.506802483e+10|6.108628582e+10|6.366437171e+10|5.968109568e+10|5.535209882e+10|6.401010074e+10|2.064646349e+10|3.286105088e+10|4.367192269e+10|3.032815206e+10|1.655988429e+10|4.409642189e+10|4.275134277e+03|4.352020996e+03|4.391947510e+03|4.338336914e+03|4.279376953e+03|4.397297363e+03
3.829338598e+06|3.829285796e+06|3.802512788e+06|3.805930305e+06|6.008833500e+06|6.544955250e+06|6.779519125e+06|6.470390000e+06|6.056686500e+06|6.884093500e+06|2.295211812e+06|2.766964625e+06|3.124020250e+06|2.636678000e+06|2.066253625e+06|3.207103250e+06|3.286216098e+03|3.386168590e+03|3.475109956e+03|3.389065844e+03|3.294251723e+03|3.483879966e+03|4.661264173e+02|5.661798060e+02|6.550029530e+02|5.690239252e+02|4.742061550e+02|6.638416954e+02|3.531116582e+03|3.600242264e+03|3.661808680e+03|3.603786192e+03|3.538768100e+03|3.668804284e+03|8.326010992e+02|9.752182488e+02|1.092106876e+03|9.555303628e+02|8.019149932e+02|1.109145732e+03|5.230903398e+10|5.710985011e+10|6.161443123e+10|5.752113152e+10|5.284309402e+10|6.219915264e+10|1.543960064e+10|2.914051584e+10|3.880132403e+10|2.502401229e+10|1.010619290e+10|3.994183270e+10|4.237131958e+03|4.283416504e+03|4.364760376e+03|4.301793945e+03|4.237886719e+03|4.365700684e+03
3.847675867e+06|3.847502402e+06|3.823111677e+06|3.829727773e+06|6.046576500e+06|6.429655750e+06|6.830592750e+06|6.464801500e+06|6.061912500e+06|6.867690000e+06|2.135539312e+06|2.814121625e+06|3.289180312e+06|2.645821000e+06|1.930476750e+06|3.361165500e+06|3.312648156e+03|3.376846278e+03|3.482755426e+03|3.401498303e+03|3.311640726e+03|3.491355879e+03|4.926868330e+02|5.567911176e+02|6.627114975e+02|5.814580958e+02|4.915923112e+02|6.713238804e+02|3.529931831e+03|3.588289094e+03|3.658049761e+03|3.594897615e+03|3.532285773e+03|3.657509457e+03|8.176261060e+02|9.677148141e+02|1.128678625e+03|9.610501802e+02|7.766029398e+02|1.145497421e+03|5.221803418e+10|5.603362406e+10|6.117739110e+10|5.670382387e+10|5.238312960e+10|6.102451405e+10|1.391600845e+10|3.008239923e+10|4.166196224e+10|2.485298586e+10|7.390796800e+09|4.231517798e+10|4.222665283e+03|4.277283936e+03|4.345576050e+03|4.285912598e+03|4.224676270e+03|4.347148926e+03
3.864994556e+06|3.864813885e+06|3.838734179e+06|3.842237507e+06|5.949029125e+06|6.489636750e+06|6.883948625e+06|6.468808500e+06|5.980742500e+06|6.956873500e+06|2.397363625e+06|2.837079750e+06|3.215293562e+06|2.721120000e+06|2.116574000e+06|3.325666250e+06|3.282447612e+03|3.396737716e+03|3.512671473e+03|3.410883833e+03|3.293059036e+03|3.528708630e+03|4.623115775e+02|5.766680372e+02|6.926079373e+02|5.908370385e+02|4.729962181e+02|7.086778588e+02|3.517699292e+03|3.593341176e+03|3.643540923e+03|3.592093221e+03|3.526080906e+03|3.658105536e+03|8.581174211e+02|1.012579215e+03|1.120430521e+03|9.766440485e+02|8.180046825e+02|1.135283415e+03|5.139976397e+10|5.659631002e+10|5.986389504e+10|5.620289946e+10|5.203367936e+10|6.037210726e+10|1.831541248e+10|3.263764378e+10|4.069325005e+10|2.612057088e+10|1.145066701e+10|4.079047066e+10|4.219867554e+03|4.281816406e+03|4.315808105e+03|4.275854492e+03|4.223426758e+03|4.328282715e+03
3.883509948e+06|3.884113163e+06|3.856789554e+06|3.859398879e+06|5.946517625e+06|6.354194250e+06|6.708695125e+06|6.355867500e+06|5.959270000e+06|6.752464000e+06|1.997329875e+06|2.546924250e+06|3.001480000e+06|2.477516250e+06|1.863340500e+06|3.091691750e+06|3.290671548e+03|3.378814935e+03|3.495770365e+03|3.399480868e+03|3.297389957e+03|3.501571778e+03|4.706187641e+02|5.587590535e+02|6.757035795e+02|5.794484550e+02|4.773506781e+02|6.815462319e+02|3.512429346e+03|3.550685559e+03|3.608910484e+03|3.563842223e+03|3.514536132e+03|3.613148314e+03|7.762304942e+02|9.005396157e+02|1.020087920e+03|8.936171118e+02|7.503725503e+02|1.036861673e+03|5.116185395e+10|5.362180915e+10|5.767083418e+10|5.460711014e+10|5.120906854e+10|5.800515994e+10|1.123198976e+10|2.423387648e+10|3.359854797e+10|2.075955405e+10|6.967384064e+09|3.455172608e+10|4.210966309e+03|4.238264648e+03|4.294341064e+03|4.253111816e+03|4.211134766e+03|4.295089844e+03
3.900299575e+06|3.900203789e+06|3.874350655e+06|3.877183139e+06|6.065742000e+06|6.461951000e+06|6.773955000e+06|6.428210500e+06|6.037961500e+06|6.818457000e+06|2.168938875e+06|2.748676000e+06|3.214629000e+06|2.616311000e+06|1.944648375e+06|3.287974000e+06|3.326033685e+03|3.418659104e+03|3.521834650e+03|3.423145557e+03|3.315520123e+03|3.530770992e+03|5.059555817e+02|5.986254497e+02|7.018120383e+02|6.031162238e+02|4.954723538e+02|7.107600938e+02|3.519023858e+03|3.567041267e+03|3.608809429e+03|3.567927559e+03|3.522332934e+03|3.613522184e+03|7.800176157e+02|9.635138000e+02|1.079308828e+03|9.300410125e+02|7.648123012e+02|1.095269724e+03|5.148418867e+10|5.474608128e+10|5.758357094e+10|5.474545664e+10|5.173533082e+10|5.775557837e+10|1.108670464e+10|2.851502387e+10|3.818038682e+10|2.289417830e+10|7.152447488e+09|3.863590912e+10|4.212612183e+03|4.241034668e+03|4.285225830e+03|4.249471680e+03|4.211224609e+03|4.287719727e+03
