#R_planet
3.270945801e+06
#RRR|RRR50|RR|RR50|U25|U50|U75|Umean|U25mean|U75mean|deltaU25|deltaU50|deltaU75|deltaUmean|deltaU25mean|deltaU75mean|S25|S50|S75|Smean|S25mean|S75mean|deltaS25|deltaS50|delatS75|deltaSmean|deltaS25mean|deltaS75mean|T25|T50|T75|Tmean|T25mean|T75mean|deltaT25|deltaT50|deltaT75|deltaTmean|deltaT25|deltaT75|P25|P50|P75|Pmean|P25mean|P75mean|deltaP25|deltaP50|deltaP75|deltaPmean|deltaP25mean|deltaP75mean|rho25|rho50|rho75|rhomean|rho25mean|rho75mean
1.628422421e+05|1.691704204e+05|1.280792005e+05|1.358029767e+05|2.138976562e+06|2.147394000e+06|2.156573062e+06|2.148393500e+06|2.137454500e+06|2.159332250e+06|5.134953125e+04|6.306525000e+04|7.703062500e+04|6.359803906e+04|4.876351172e+04|7.843258594e+04|1.879674155e+03|1.881032528e+03|1.882975141e+03|1.881440099e+03|1.879314232e+03|1.883565966e+03|2.738919192e+01|2.874701956e+01|3.068891917e+01|2.915447165e+01|2.702833035e+01|3.128061295e+01|3.289761928e+03|3.301699710e+03|3.319308007e+03|3.304149539e+03|3.288316528e+03|3.319982549e+03|1.123825828e+02|1.289310549e+02|1.476321812e+02|1.298847417e+02|1.106677949e+02|1.491016884e+02|4.417182208e+10|4.458722918e+10|4.490396467e+10|4.455305216e+10|4.410883277e+10|4.499726746e+10|-7.115366400e+08|-9.744588800e+07|4.366213120e+08|-1.437203680e+08|-8.077836160e+08|5.203429120e+08|8.078868286e+03|8.092176758e+03|8.099603882e+03|8.089954590e+03|8.077319824e+03|8.102587891e+03
2.471744236e+05|2.500727193e+05|1.925144336e+05|2.074935009e+05|2.133826188e+06|2.142079125e+06|2.150944938e+06|2.142452750e+06|2.132153500e+06|2.152751250e+06|4.956665625e+04|5.915968750e+04|7.203468750e+04|6.150378906e+04|4.735483594e+04|7.565274219e+04|1.879459933e+03|1.881310227e+03|1.882725435e+03|1.881021186e+03|1.878961988e+03|1.883080384e+03|2.717420026e+01|2.902427434e+01|3.043834097e+01|2.873549038e+01|2.667628109e+01|3.079469968e+01|3.283184671e+03|3.298082562e+03|3.310091045e+03|3.296562833e+03|3.282068991e+03|3.311056676e+03|1.089727690e+02|1.243547289e+02|1.405825977e+02|1.265189570e+02|1.083494606e+02|1.446884533e+02|4.399309210e+10|4.432928358e+10|4.464174285e+10|4.429898138e+10|4.387175219e+10|4.472621056e+10|-7.623198720e+08|-3.109724160e+08|3.049134080e+08|-1.976237280e+08|-8.690435840e+08|4.737961280e+08|8.074832153e+03|8.084162842e+03|8.093116455e+03|8.083240723e+03|8.071098145e+03|8.095383789e+03
2.938433748e+05|2.926789139e+05|2.317723546e+05|2.532848920e+05|2.129499062e+06|2.136805125e+06|2.145668750e+06|2.137524750e+06|2.127160750e+06|2.147888250e+06|5.404643750e+04|6.280218750e+04|7.486878125e+04|6.338027344e+04|4.894753906e+04|7.781300000e+04|1.878967857e+03|1.880928105e+03|1.883117256e+03|1.880934887e+03|1.878619973e+03|1.883249801e+03|2.668056087e+01|2.864216276e+01|3.083125872e+01|2.864901587e+01|2.633388467e+01|3.096414708e+01|3.277689452e+03|3.290364537e+03|3.304187728e+03|3.290770896e+03|3.275656340e+03|3.305885451e+03|1.146370215e+02|1.274393971e+02|1.422909196e+02|1.281781787e+02|1.096967757e+02|1.466595818e+02|4.376689562e+10|4.406674637e+10|4.437814170e+10|4.405699379e+10|4.363119411e+10|4.448280166e+10|-6.543892480e+08|-1.075793920e+08|4.178176000e+08|-8.571191200e+07|-8.013244160e+08|6.299005440e+08|8.066551025e+03|8.078687744e+03|8.086522827e+03|8.076371094e+03|8.063373535e+03|8.089369141e+03
3.300589028e+05|3.304055924e+05|2.642717081e+05|2.908802817e+05|2.125478312e+06|2.132860375e+06|2.137811688e+06|2.131983750e+06|2.123843750e+06|2.140124250e+06|4.777096875e+04|5.764543750e+04|6.872625000e+04|5.909187891e+04|4.600317969e+04|7.218059375e+04|1.877875835e+03|1.880010856e+03|1.882009453e+03|1.879986812e+03|1.877865876e+03|1.882107749e+03|2.559119580e+01|2.772667389e+01|2.972573302e+01|2.770120128e+01|2.558019900e+01|2.982220356e+01|3.272219076e+03|3.283660998e+03|3.293314089e+03|3.282623986e+03|3.270297069e+03|3.294950904e+03|1.082992820e+02|1.222255003e+02|1.320783641e+02|1.213893341e+02|1.046614934e+02|1.381171748e+02|4.363127910e+10|4.387127296e+10|4.411434701e+10|4.388570726e+10|4.355841229e+10|4.421299405e+10|-7.919820800e+08|-3.263160320e+08|3.179970560e+08|-1.920890400e+08|-8.189278080e+08|4.347496960e+08|8.066652954e+03|8.072274658e+03|8.080508911e+03|8.072825195e+03|8.063393066e+03|8.082259277e+03
3.601990895e+05|3.608908376e+05|3.038096085e+05|3.178484249e+05|2.120501188e+06|2.129435875e+06|2.138035438e+06|2.130228250e+06|2.118338750e+06|2.142117500e+06|4.661300000e+04|6.237943750e+04|7.933746875e+04|6.389648828e+04|4.462000000e+04|8.317297656e+04|1.877874610e+03|1.880147096e+03|1.882916547e+03|1.880214548e+03|1.877567154e+03|1.882861942e+03|2.558617915e+01|2.786320022e+01|3.062815613e+01|2.792817973e+01|2.528082854e+01|3.057553092e+01|3.263734392e+03|3.280859098e+03|3.294968705e+03|3.281031600e+03|3.262902930e+03|3.299160270e+03|1.051635931e+02|1.212162133e+02|1.487370912e+02|1.270548349e+02|1.016922065e+02|1.524174633e+02|4.352232755e+10|4.375100416e+10|4.401983181e+10|4.376783667e+10|4.334434304e+10|4.419132211e+10|-8.325785600e+08|-5.785190400e+07|7.591413760e+08|3.226316800e+07|-8.236032640e+08|8.881296000e+08|8.060954468e+03|8.068671143e+03|8.078489746e+03|8.069040039e+03|8.056371094e+03|8.081708984e+03
3.891682933e+05|3.892269484e+05|3.414214516e+05|3.502994999e+05|2.119198188e+06|2.125046375e+06|2.133229375e+06|2.125658750e+06|2.115650500e+06|2.135667000e+06|4.974384375e+04|5.957743750e+04|7.250978125e+04|6.216554688e+04|4.694346094e+04|7.738763281e+04|1.878453714e+03|1.879998370e+03|1.881873193e+03|1.880177418e+03|1.878007688e+03|1.882347149e+03|2.617011863e+01|2.771236174e+01|2.958657910e+01|2.789065578e+01|2.572084400e+01|3.006046755e+01|3.266243598e+03|3.275428255e+03|3.287938996e+03|3.275737693e+03|3.260717129e+03|3.290758258e+03|1.095841739e+02|1.234569792e+02|1.367941298e+02|1.248711434e+02|1.056001717e+02|1.441421151e+02|4.331556045e+10|4.355141018e+10|4.381966438e+10|4.353821082e+10|4.317367091e+10|4.390273843e+10|-5.744742400e+08|-1.465589760e+08|5.372815360e+08|-4.966084800e+07|-7.420284160e+08|6.427066880e+08|8.055258057e+03|8.063320557e+03|8.069743896e+03|8.062446777e+03|8.052143066e+03|8.072750000e+03
4.157910875e+05|4.138691041e+05|3.721698483e+05|3.903662537e+05|2.111414688e+06|2.117545500e+06|2.125565000e+06|2.119121000e+06|2.110213250e+06|2.128028250e+06|4.224021875e+04|5.582043750e+04|7.256387500e+04|5.716447656e+04|4.030385938e+04|7.402510938e+04|1.877689807e+03|1.879481148e+03|1.881313229e+03|1.879427725e+03|1.877160905e+03|1.881694544e+03|2.540228720e+01|2.719499483e+01|2.902290271e+01|2.714076302e+01|2.487402833e+01|2.940749770e+01|3.256418834e+03|3.264632190e+03|3.278452197e+03|3.266769554e+03|3.253397996e+03|3.280141113e+03|9.791310169e+01|1.150806338e+02|1.366980147e+02|1.176299019e+02|9.580189188e+01|1.394579120e+02|4.307445453e+10|4.330064282e+10|4.347816038e+10|4.329109094e+10|4.297669018e+10|4.360548762e+10|-8.230656000e+08|-1.273098240e+08|3.483709440e+08|-2.162778560e+08|-9.808241280e+08|5.482684160e+08|8.050855591e+03|8.057078613e+03|8.064173096e+03|8.056345215e+03|8.046848145e+03|8.065842285e+03
4.405535583e+05|4.404558649e+05|3.943388198e+05|4.077647254e+05|2.105363375e+06|2.113616000e+06|2.127141188e+06|2.116666000e+06|2.104985250e+06|2.128346500e+06|4.168740625e+04|5.729581250e+04|7.171581250e+04|5.733557422e+04|4.093807812e+04|7.373307812e+04|1.877213436e+03|1.879205853e+03|1.881940710e+03|1.879388382e+03|1.876789171e+03|1.881987594e+03|2.492467275e+01|2.691698622e+01|2.965532929e+01|2.710168347e+01|2.450219025e+01|2.970117670e+01|3.248500000e+03|3.259323435e+03|3.281598102e+03|3.263844106e+03|3.246510231e+03|3.281177981e+03|9.892977918e+01|1.171329388e+02|1.362474977e+02|1.176582462e+02|9.667137611e+01|1.386451163e+02|4.284414874e+10|4.312691917e+10|4.349365350e+10|4.316902605e+10|4.274100634e+10|4.359704986e+10|-8.628131840e+08|-2.400010240e+08|3.486453760e+08|-2.008126240e+08|-9.669441920e+08|5.653189120e+08|8.044391235e+03|8.054561768e+03|8.062823853e+03|8.052818848e+03|8.040499512e+03|8.065138184e+03
4.635844263e+05|4.639325966e+05|4.215765424e+05|4.307903192e+05|2.103825000e+06|2.111461875e+06|2.119339312e+06|2.112124250e+06|2.102567750e+06|2.121681000e+06|4.400621875e+04|5.745037500e+04|7.051803125e+04|5.780476953e+04|4.225367969e+04|7.335586719e+04|1.877022084e+03|1.879009499e+03|1.881098024e+03|1.879200624e+03|1.876738464e+03|1.881662783e+03|2.473671177e+01|2.672300414e+01|2.881207981e+01|2.691392512e+01|2.445189059e+01|2.937595965e+01|3.244613590e+03|3.257162405e+03|3.271615843e+03|3.258245004e+03|3.243239527e+03|3.273250482e+03|1.029928855e+02|1.165231051e+02|1.336050331e+02|1.176371167e+02|9.795782289e+01|1.373164106e+02|4.270727066e+10|4.292801741e+10|4.322480230e+10|4.295786086e+10|4.262458163e+10|4.329113190e+10|-7.885731840e+08|-2.877030400e+08|4.951326720e+08|-1.502226400e+08|-9.134080000e+08|6.129626880e+08|8.040501709e+03|8.046064941e+03|8.055024780e+03|8.046933594e+03|8.036748535e+03|8.057118652e+03
4.860495455e+05|4.866376705e+05|4.512326759e+05|4.621848503e+05|2.098233500e+06|2.103960375e+06|2.111415062e+06|2.105249500e+06|2.096711875e+06|2.113786500e+06|4.417734375e+04|5.365206250e+04|6.345431250e+04|5.412632422e+04|4.106501953e+04|6.718763281e+04|1.876501390e+03|1.878558725e+03|1.880377982e+03|1.878249603e+03|1.875780383e+03|1.880718822e+03|2.421217080e+01|2.627457757e+01|2.808999551e+01|2.596231445e+01|2.349265251e+01|2.843197638e+01|3.239114907e+03|3.247306106e+03|3.259035492e+03|3.248487417e+03|3.234784289e+03|3.262190545e+03|9.857855795e+01|1.096977194e+02|1.254272619e+02|1.113973231e+02|9.441456762e+01|1.283800787e+02|4.252874138e+10|4.272021299e+10|4.289834598e+10|4.271598387e+10|4.242179686e+10|4.301016269e+10|-7.448801280e+08|-2.607575040e+08|3.839303680e+08|-2.255892960e+08|-8.962576640e+08|4.450790720e+08|8.035845825e+03|8.042660645e+03|8.048390259e+03|8.041238281e+03|8.031738281e+03|8.050738281e+03
