#RRR|U50|U25|U75|Umean|T50|T25|T75|Tmean|P50|P25|P75|Pmean|rho50|rho25|rho75|Pmean|S
1.628422421e+05|2.109116735e+06|2.118051649e+06|2.123047609e+06|2.116600435e+06|3.240509311e+03|3.250614106e+03|3.256257950e+03|3.248927809e+03|4.368078679e+10|4.414111594e+10|4.439897118e+10|4.406597094e+10|8.078868286e+03|8.092176758e+03|8.099603882e+03|8.089954590e+03|1.871746632e+03
2.471744236e+05|2.106414212e+06|2.112671172e+06|2.118683361e+06|2.112092213e+06|3.237450715e+03|3.244530488e+03|3.251328097e+03|3.243830664e+03|4.354177529e+10|4.386380141e+10|4.417370911e+10|4.383369718e+10|8.074832153e+03|8.084162842e+03|8.093116455e+03|8.083240723e+03|1.871746632e+03
2.938433748e+05|2.100886923e+06|2.108997927e+06|2.114253863e+06|2.107497601e+06|3.231166265e+03|3.240374870e+03|3.246320429e+03|3.238615250e+03|4.325695646e+10|4.367467359e+10|4.394534260e+10|4.359678323e+10|8.066551025e+03|8.078687744e+03|8.086522827e+03|8.076371094e+03|1.871746632e+03
3.300589028e+05|2.100954420e+06|2.104702085e+06|2.110219909e+06|2.105101752e+06|3.231243788e+03|3.235512471e+03|3.241757535e+03|3.235925700e+03|4.326045596e+10|4.345375591e+10|4.373755926e+10|4.347370968e+10|8.066652954e+03|8.072274658e+03|8.080508911e+03|8.072825195e+03|1.871746632e+03
3.601990895e+05|2.097183466e+06|2.102290617e+06|2.108866212e+06|2.102606253e+06|3.226911614e+03|3.232778380e+03|3.240225823e+03|3.233050002e+03|4.306504827e+10|4.332974094e+10|4.366789654e+10|4.334453131e+10|8.060954468e+03|8.068671143e+03|8.078489746e+03|8.069040039e+03|1.871746632e+03
3.891682933e+05|2.093416762e+06|2.098746235e+06|2.103005515e+06|2.098203689e+06|3.222582348e+03|3.228707207e+03|3.233591429e+03|3.228044359e+03|4.287005000e+10|4.314600672e+10|4.336657380e+10|4.311745837e+10|8.055258057e+03|8.063320557e+03|8.069743896e+03|8.062446777e+03|1.871746632e+03
4.157910875e+05|2.090509369e+06|2.094618677e+06|2.099313647e+06|2.094158197e+06|3.219239386e+03|3.223963986e+03|3.229359068e+03|3.223410368e+03|4.271966747e+10|4.293225121e+10|4.317540917e+10|4.290832129e+10|8.050855591e+03|8.057078613e+03|8.064173096e+03|8.056345215e+03|1.871746632e+03
4.405535583e+05|2.086246268e+06|2.092958762e+06|2.098420615e+06|2.091845557e+06|3.214335479e+03|3.222055813e+03|3.228333103e+03|3.220732253e+03|4.249939001e+10|4.284635263e+10|4.312913545e+10|4.278843228e+10|8.044391235e+03|8.054561768e+03|8.062823853e+03|8.052818848e+03|1.871746632e+03
4.635844263e+05|2.083680959e+06|2.087346660e+06|2.093261965e+06|2.087954277e+06|3.211383345e+03|3.215601517e+03|3.222404392e+03|3.216263253e+03|4.236694062e+10|4.255622575e+10|4.286204023e+10|4.258722301e+10|8.040501709e+03|8.046064941e+03|8.055024780e+03|8.046933594e+03|1.871746632e+03
4.860495455e+05|2.080633678e+06|2.085103492e+06|2.088883101e+06|2.084207737e+06|3.207846046e+03|3.213020498e+03|3.217368965e+03|3.211938663e+03|4.220885464e+10|4.244037880e+10|4.263560423e+10|4.239325060e+10|8.035845825e+03|8.042660645e+03|8.048390259e+03|8.041238281e+03|1.871746632e+03
5.075342282e+05|2.077653715e+06|2.081755073e+06|2.086979792e+06|2.081034556e+06|3.204358498e+03|3.209158138e+03|3.215179443e+03|3.208252084e+03|4.205356708e+10|4.226731647e+10|4.253727530e+10|4.222862012e+10|8.031258789e+03|8.037565430e+03|8.045506226e+03|8.036383301e+03|1.871746632e+03
5.274888596e+05|2.073721814e+06|2.077113936e+06|2.081933306e+06|2.076933435e+06|3.199755026e+03|3.203726651e+03|3.209366664e+03|3.203482327e+03|4.184885186e+10|4.202544919e+10|4.227660956e+10|4.201568332e+10|8.025203369e+03|8.030427490e+03|8.037843750e+03|8.030105469e+03|1.871746632e+03
5.467646731e+05|2.069464049e+06|2.073590252e+06|2.079006239e+06|2.073604204e+06|3.194767657e+03|3.199600947e+03|3.205941551e+03|3.199602369e+03|4.162743387e+10|4.184200737e+10|4.212403562e+10|4.184277929e+10|8.018634399e+03|8.024999512e+03|8.033336548e+03|8.024997559e+03|1.871746632e+03
5.652167316e+05|2.065938466e+06|2.071699127e+06|2.075842175e+06|2.071190844e+06|3.190636063e+03|3.197386042e+03|3.202237807e+03|3.196771886e+03|4.144429103e+10|4.174363296e+10|4.195921524e+10|4.171720347e+10|8.013195923e+03|8.022084229e+03|8.028468262e+03|8.021270508e+03|1.871746632e+03
5.849621304e+05|2.062050741e+06|2.066219253e+06|2.072132034e+06|2.065979952e+06|3.186074567e+03|3.190965177e+03|3.197893114e+03|3.190638365e+03|4.124243563e+10|4.145887039e+10|4.176614743e+10|4.144584986e+10|8.007180420e+03|8.013627930e+03|8.022749146e+03|8.013196777e+03|1.871746632e+03
6.021127500e+05|2.060553021e+06|2.064003684e+06|2.069461571e+06|2.064617952e+06|3.184292075e+03|3.188367990e+03|3.194764754e+03|3.189040625e+03|4.116395109e+10|4.134386259e+10|4.162730510e+10|4.137500227e+10|8.004839233e+03|8.010203125e+03|8.018632935e+03|8.011093750e+03|1.871746632e+03
6.186762783e+05|2.056549879e+06|2.062078825e+06|2.067958009e+06|2.062457223e+06|3.179526309e+03|3.186107988e+03|3.193002952e+03|3.186470773e+03|4.095434465e+10|4.124390761e+10|4.154917764e+10|4.126206431e+10|7.998575806e+03|8.007227051e+03|8.016309204e+03|8.007712891e+03|1.871746632e+03
6.361416805e+05|2.053451565e+06|2.057553532e+06|2.062749830e+06|2.057758228e+06|3.175836318e+03|3.180721380e+03|3.186897869e+03|3.180924787e+03|4.079230302e+10|4.100687174e+10|4.127880868e+10|4.101712798e+10|7.993719116e+03|8.000147705e+03|8.008263916e+03|8.000413086e+03|1.871746632e+03
6.536797835e+05|2.048762025e+06|2.053364015e+06|2.058083613e+06|2.052884659e+06|3.170248757e+03|3.175732031e+03|3.181352493e+03|3.175135292e+03|4.054732699e+10|4.078772702e+10|4.103462151e+10|4.076257704e+10|7.986364868e+03|7.993584229e+03|8.000975952e+03|7.992795410e+03|1.871746632e+03
6.688333381e+05|2.045623432e+06|2.049801992e+06|2.054440428e+06|2.050425883e+06|3.166507503e+03|3.171488129e+03|3.177014159e+03|3.172183573e+03|4.038359555e+10|4.060162790e+10|4.084399680e+10|4.063383141e+10|7.981438843e+03|7.987998047e+03|7.995271973e+03|7.988910156e+03|1.871746632e+03
6.828026943e+05|2.043675313e+06|2.046750275e+06|2.052128997e+06|2.046865820e+06|3.164184646e+03|3.167850877e+03|3.174260785e+03|3.167940509e+03|4.028204778e+10|4.044236008e+10|4.072318528e+10|4.044778275e+10|7.978375977e+03|7.983206787e+03|7.991646606e+03|7.983325684e+03|1.871746632e+03
6.982367644e+05|2.040409848e+06|2.045032354e+06|2.048809317e+06|2.044163602e+06|3.160248583e+03|3.165802787e+03|3.170305127e+03|3.164717204e+03|4.011064865e+10|4.035277775e+10|4.054979315e+10|4.030656240e+10|7.973200806e+03|7.980506104e+03|7.986438110e+03|7.979083984e+03|1.871746632e+03
7.150034727e+05|2.034520932e+06|2.038727779e+06|2.043761198e+06|2.038872724e+06|3.153112234e+03|3.158210664e+03|3.164287073e+03|3.158355087e+03|3.980088513e+10|4.002211268e+10|4.028652206e+10|4.002932702e+10|7.963819214e+03|7.970525391e+03|7.978509521e+03|7.970712402e+03|1.871746632e+03
7.301219959e+05|2.031732687e+06|2.036664401e+06|2.040911514e+06|2.036489095e+06|3.149731795e+03|3.155710268e+03|3.160856307e+03|3.155461782e+03|3.965441774e+10|3.991356902e+10|4.013706270e+10|3.990404142e+10|7.959372681e+03|7.967233643e+03|7.973997559e+03|7.966905762e+03|1.871746632e+03
7.421873507e+05|2.027914137e+06|2.033524438e+06|2.037768590e+06|2.032439847e+06|3.145100584e+03|3.151904211e+03|3.157048388e+03|3.150560502e+03|3.945403657e+10|3.974852438e+10|3.997164624e+10|3.969141261e+10|7.953276489e+03|7.962226318e+03|7.968991333e+03|7.960458008e+03|1.871746632e+03
7.558029611e+05|2.026765469e+06|2.031316503e+06|2.035429762e+06|2.031414481e+06|3.143707084e+03|3.149227131e+03|3.154213870e+03|3.149317933e+03|3.939381179e+10|3.963256641e+10|3.984865416e+10|3.963753580e+10|7.951436035e+03|7.958708496e+03|7.965270264e+03|7.958823730e+03|1.871746632e+03
7.703306734e+05|2.023541271e+06|2.026763092e+06|2.031477025e+06|2.028289441e+06|3.139794753e+03|3.143704201e+03|3.149421781e+03|3.145517272e+03|3.922486797e+10|3.939368705e+10|3.964099425e+10|3.947332655e+10|7.946284790e+03|7.951437500e+03|7.958960449e+03|7.953822266e+03|1.871746632e+03
7.863345169e+05|2.017472257e+06|2.021896173e+06|2.026124961e+06|2.021184483e+06|3.132303333e+03|3.137767260e+03|3.142929982e+03|3.136849935e+03|3.890350442e+10|3.913775831e+10|3.936023838e+10|3.909939163e+10|7.936440308e+03|7.943618408e+03|7.950414673e+03|7.942419434e+03|1.871746632e+03
7.983756703e+05|2.015605043e+06|2.019412362e+06|2.023607600e+06|2.019294603e+06|3.129996425e+03|3.134699835e+03|3.139875252e+03|3.134515848e+03|3.880472716e+10|3.900620078e+10|3.922834204e+10|3.899947666e+10|7.933409546e+03|7.939593018e+03|7.946390015e+03|7.939350586e+03|1.871746632e+03
