#RRR|Lz25|Lz50|Lz75|Lzmean|
1.623621493e+05|1.540546700e+24|3.457063260e+24|4.856851061e+24|3.517345623e+24|3.517345623e+26
2.476605102e+05|5.335205515e+24|8.242314782e+24|1.016302882e+25|7.619204724e+24|7.619204724e+26
2.943116465e+05|8.006477300e+24|1.279006519e+25|1.487267975e+25|1.095185013e+25|1.095185013e+27
3.293954648e+05|9.353091238e+24|1.477887626e+25|1.866694582e+25|1.380063325e+25|1.380063325e+27
3.579404397e+05|8.634776007e+24|1.761937432e+25|2.220432467e+25|1.542740368e+25|1.542740368e+27
3.835228451e+05|1.350050578e+25|2.094094279e+25|2.463840268e+25|1.820835499e+25|1.820835499e+27
4.050866512e+05|1.379231156e+25|2.323812686e+25|2.855717530e+25|2.115982784e+25|2.115982784e+27
4.251019259e+05|1.282039606e+25|2.604385270e+25|3.209759166e+25|2.236201664e+25|2.236201664e+27
4.433268683e+05|1.728107239e+25|2.790299179e+25|3.410826224e+25|2.474300610e+25|2.474300610e+27
4.601929973e+05|1.640977302e+25|2.536615007e+25|3.358979212e+25|2.433597724e+25|2.433597724e+27
4.756672024e+05|2.069463488e+25|3.433354767e+25|4.063761128e+25|2.957315417e+25|2.957315417e+27
4.898316011e+05|1.745307913e+25|3.475862541e+25|4.261703411e+25|2.969967499e+25|2.969967499e+27
5.047483196e+05|2.476536382e+25|3.813145526e+25|4.415830948e+25|3.268654970e+25|3.268654970e+27
5.176095065e+05|2.138192978e+25|3.192633091e+25|4.112614445e+25|3.062636956e+25|3.062636956e+27
5.304446859e+05|2.526995423e+25|4.286290962e+25|4.873103357e+25|3.720771673e+25|3.720771673e+27
5.416769231e+05|2.390835251e+25|4.238740786e+25|5.124596470e+25|3.712056554e+25|3.712056554e+27
5.527591835e+05|1.985789750e+25|3.988218325e+25|5.406061153e+25|3.672006568e+25|3.672006568e+27
5.637424513e+05|2.580909658e+25|4.555547242e+25|5.561249246e+25|3.987958822e+25|3.987958822e+27
5.749828210e+05|2.706949433e+25|4.650665499e+25|5.828680820e+25|4.140548516e+25|4.140548516e+27
5.865859157e+05|3.213983799e+25|4.848049320e+25|5.862986168e+25|4.325809723e+25|4.325809723e+27
5.955013728e+05|2.773642124e+25|4.398266392e+25|6.024121874e+25|4.258767908e+25|4.258767908e+27
6.043962103e+05|2.954891003e+25|5.089652008e+25|6.413421913e+25|4.610073813e+25|4.610073813e+27
6.135198498e+05|3.532584342e+25|5.174654242e+25|6.472853404e+25|4.819932215e+25|4.819932215e+27
6.222137622e+05|2.539228182e+25|6.068928291e+25|6.939529909e+25|4.804805921e+25|4.804805921e+27
6.313595265e+05|3.410090993e+25|5.825969156e+25|7.047444703e+25|5.072170729e+25|5.072170729e+27
6.400265339e+05|3.522501139e+25|5.378915484e+25|7.166534691e+25|5.099759231e+25|5.099759231e+27
6.485903366e+05|2.891188690e+25|5.502792791e+25|7.240180557e+25|4.962268035e+25|4.962268035e+27
6.569587415e+05|4.195098545e+25|6.429339249e+25|7.410840631e+25|5.628937621e+25|5.628937621e+27
6.651898521e+05|3.908122082e+25|5.952689096e+25|7.307144192e+25|5.438349685e+25|5.438349685e+27
6.728587306e+05|2.921018923e+25|5.646225117e+25|7.763404675e+25|5.296257406e+25|5.296257406e+27
6.797067557e+05|3.973364645e+25|7.166161424e+25|8.410727439e+25|6.266866813e+25|6.266866813e+27
6.867667888e+05|4.345139077e+25|7.306617776e+25|8.386871374e+25|6.176463598e+25|6.176463598e+27
6.942865964e+05|3.594407580e+25|6.849382522e+25|8.439678240e+25|5.882822852e+25|5.882822852e+27
7.006910596e+05|2.964050898e+25|6.567717819e+25|8.344140412e+25|5.739503887e+25|5.739503887e+27
7.074918334e+05|3.993373761e+25|6.951864542e+25|8.924950716e+25|6.288890726e+25|6.288890726e+27
7.152837623e+05|3.850039103e+25|7.052694739e+25|8.722069666e+25|6.219010539e+25|6.219010539e+27
7.228492756e+05|5.201001351e+25|7.335696334e+25|9.328968041e+25|6.914451007e+25|6.914451007e+27
7.291288340e+05|5.059764990e+25|7.387334274e+25|9.205615310e+25|6.820329087e+25|6.820329087e+27
7.353379470e+05|4.140542987e+25|7.684877362e+25|9.233691399e+25|6.743913329e+25|6.743913329e+27
7.422467530e+05|4.097996361e+25|7.219615549e+25|9.637752976e+25|6.680898562e+25|6.680898562e+27
7.475119919e+05|4.559905102e+25|7.783361150e+25|9.687334134e+25|6.814515134e+25|6.814515134e+27
7.534186892e+05|4.655810280e+25|8.502627680e+25|1.022469622e+26|7.268985574e+25|7.268985574e+27
7.590761671e+05|5.003620628e+25|7.777443448e+25|1.013584307e+26|7.066531602e+25|7.066531602e+27
7.650802348e+05|5.413539186e+25|9.140560897e+25|1.046907960e+26|7.740672043e+25|7.740672043e+27
7.711650167e+05|3.934630938e+25|8.323747709e+25|1.013637915e+26|7.073277460e+25|7.073277460e+27
7.773206473e+05|4.685458252e+25|8.430992110e+25|1.038147035e+26|7.439880392e+25|7.439880392e+27
7.829321013e+05|5.777615532e+25|9.020981966e+25|1.092693760e+26|7.926627622e+25|7.926627622e+27
7.891454336e+05|5.598213022e+25|8.307715485e+25|1.084595236e+26|7.831972032e+25|7.831972032e+27
7.948351794e+05|4.473254941e+25|7.972628062e+25|1.072277505e+26|7.407771858e+25|7.407771858e+27
8.004396859e+05|5.286712491e+25|8.197080562e+25|1.099780050e+26|7.923566657e+25|7.923566657e+27
8.058685596e+05|6.002726650e+25|9.599498589e+25|1.154300997e+26|8.638836819e+25|8.638836819e+27
8.110375829e+05|5.193313960e+25|9.584870886e+25|1.124468977e+26|8.130070542e+25|8.130070542e+27
8.156865327e+05|6.243583053e+25|9.865002908e+25|1.175267818e+26|8.655232553e+25|8.655232553e+27
8.206214582e+05|3.963337057e+25|9.200206952e+25|1.170716980e+26|8.011241280e+25|8.011241280e+27
8.255192147e+05|5.508332775e+25|8.829329690e+25|1.141818048e+26|8.048647377e+25|8.048647377e+27
8.304905255e+05|5.368245386e+25|9.514546345e+25|1.211404253e+26|8.525625421e+25|8.525625421e+27
8.354834773e+05|7.336940349e+25|1.133334863e+26|1.268441964e+26|9.652171601e+25|9.652171601e+27
8.405458731e+05|6.354944551e+25|1.047931532e+26|1.222909734e+26|9.089356942e+25|9.089356942e+27
8.449989459e+05|5.127601630e+25|9.285533627e+25|1.235461719e+26|8.441141349e+25|8.441141349e+27
8.506442684e+05|6.177035235e+25|9.646097993e+25|1.234758827e+26|8.928000254e+25|8.928000254e+27
8.559520245e+05|5.104636272e+25|1.010193863e+26|1.266154947e+26|8.773798767e+25|8.773798767e+27
8.608388668e+05|6.858853443e+25|1.027301167e+26|1.318469831e+26|9.672942176e+25|9.672942176e+27
8.660777047e+05|5.443386235e+25|9.955269078e+25|1.215742723e+26|8.770298031e+25|8.770298031e+27
8.708028874e+05|6.972657367e+25|1.069081820e+26|1.327207554e+26|9.658254554e+25|9.658254554e+27
8.752716419e+05|6.498947682e+25|1.038451941e+26|1.355664081e+26|9.569785450e+25|9.569785450e+27
8.792511053e+05|7.211512759e+25|1.150476620e+26|1.353578094e+26|1.016099154e+26|1.016099154e+28
8.837848285e+05|6.753347320e+25|1.188904669e+26|1.406353599e+26|1.022389948e+26|1.022389948e+28
8.873701533e+05|6.676775367e+25|1.073191165e+26|1.400344988e+26|9.757302974e+25|9.757302974e+27
8.909717687e+05|7.280153587e+25|1.126159288e+26|1.381508834e+26|1.014605658e+26|1.014605658e+28
8.953977792e+05|5.305217936e+25|1.017015517e+26|1.359721226e+26|9.327466854e+25|9.327466854e+27
8.996167783e+05|6.040760750e+25|1.151039701e+26|1.449727585e+26|9.990121998e+25|9.990121998e+27
9.042453809e+05|6.385114464e+25|1.171345152e+26|1.392757667e+26|9.987919161e+25|9.987919161e+27
9.083522624e+05|6.989086315e+25|1.178218710e+26|1.441936371e+26|1.044732039e+26|1.044732039e+28
9.133433899e+05|8.050194178e+25|1.221297406e+26|1.490971608e+26|1.089214628e+26|1.089214628e+28
9.180199653e+05|6.687530761e+25|1.146215749e+26|1.487616790e+26|1.050835262e+26|1.050835262e+28
9.225308889e+05|6.766178878e+25|1.108025341e+26|1.469359558e+26|1.030859374e+26|1.030859374e+28
9.266709302e+05|8.453296390e+25|1.203406649e+26|1.497703985e+26|1.109234840e+26|1.109234840e+28
9.312432719e+05|7.358050869e+25|1.160524429e+26|1.448989460e+26|1.040334403e+26|1.040334403e+28
9.351694914e+05|7.261438942e+25|1.250552084e+26|1.543387245e+26|1.100222913e+26|1.100222913e+28
9.384925322e+05|7.100490838e+25|1.055909387e+26|1.458892743e+26|1.033750848e+26|1.033750848e+28
9.427576988e+05|8.319550609e+25|1.323360163e+26|1.570703427e+26|1.167590739e+26|1.167590739e+28
9.463686511e+05|6.669724068e+25|1.184200145e+26|1.538892246e+26|1.077763774e+26|1.077763774e+28
9.497359730e+05|7.777688230e+25|1.195580895e+26|1.543448413e+26|1.117232555e+26|1.117232555e+28
9.534114464e+05|7.772120987e+25|1.389275692e+26|1.648368250e+26|1.177307664e+26|1.177307664e+28
9.572902782e+05|7.980222882e+25|1.373981408e+26|1.611717659e+26|1.178938979e+26|1.178938979e+28
9.607479949e+05|7.081938300e+25|1.378682328e+26|1.642751462e+26|1.175017901e+26|1.175017901e+28
9.640860323e+05|8.147840257e+25|1.398817565e+26|1.674540850e+26|1.222368934e+26|1.222368934e+28
9.679638196e+05|6.495123600e+25|1.274097870e+26|1.608984129e+26|1.133364439e+26|1.133364439e+28
9.716249813e+05|8.135789331e+25|1.380546499e+26|1.666939811e+26|1.208835245e+26|1.208835245e+28
9.754365355e+05|6.945701121e+25|1.250598543e+26|1.594279275e+26|1.108539221e+26|1.108539221e+28
