#RRR|P25fit|P50fit|P75fit|P25model|P50model|P75model
1.623621493e+05|4.415776827e+10|4.436147855e+10|4.458421422e+10|0.000000|0.000000|0.000000
2.476605102e+05|4.386004555e+10|4.406575819e+10|4.425106562e+10|0.000000|0.000000|0.000000
2.943116465e+05|4.363994153e+10|4.384397948e+10|4.401518924e+10|0.000000|0.000000|0.000000
3.294584429e+05|4.344768396e+10|4.364945696e+10|4.381240239e+10|0.000000|0.000000|0.000000
3.594277654e+05|4.326594842e+10|4.346523238e+10|4.362247579e+10|0.000000|0.000000|0.000000
3.882800449e+05|4.307561031e+10|4.327209867e+10|4.342484957e+10|0.000000|0.000000|0.000000
4.134236104e+05|4.289751118e+10|4.309130234e+10|4.324082075e+10|0.000000|0.000000|0.000000
4.394291459e+05|4.270139447e+10|4.289219265e+10|4.303893621e+10|0.000000|0.000000|0.000000
4.615552044e+05|4.252504654e+10|4.271317223e+10|4.285794142e+10|0.000000|0.000000|0.000000
4.834927658e+05|4.234163174e+10|4.252702397e+10|4.267013087e+10|0.000000|0.000000|0.000000
5.047327610e+05|4.215595665e+10|4.233864890e+10|4.248038068e+10|0.000000|0.000000|0.000000
5.263440480e+05|4.195890135e+10|4.213881748e+10|4.227934405e+10|0.000000|0.000000|0.000000
5.443065678e+05|4.178889887e+10|4.196650269e+10|4.210614782e+10|0.000000|0.000000|0.000000
5.639718582e+05|4.159633591e+10|4.177141995e+10|4.191019853e+10|0.000000|0.000000|0.000000
5.831198751e+05|4.140239070e+10|4.157504861e+10|4.171305854e+10|0.000000|0.000000|0.000000
6.013138953e+05|4.121223787e+10|4.138262925e+10|4.151995743e+10|0.000000|0.000000|0.000000
6.175166938e+05|4.103809852e+10|4.120651332e+10|4.134326015e+10|0.000000|0.000000|0.000000
6.337703637e+05|4.085888738e+10|4.102536773e+10|4.116154433e+10|0.000000|0.000000|0.000000
6.518434860e+05|4.065431238e+10|4.081870837e+10|4.095425398e+10|0.000000|0.000000|0.000000
6.684164441e+05|4.046182775e+10|4.062438279e+10|4.075934250e+10|0.000000|0.000000|0.000000
