#RRR|Lz25|Lz50|Lz75|Lzmean|Lzsum|Isum
3.643239823e+04|3.715985577e+23|9.108793468e+23|1.706261542e+24|1.104194127e+24|1.104194127e+26|5.169862044e+29
6.515718853e+04|2.560120916e+24|3.182011231e+24|3.713061532e+24|3.242150396e+24|3.242150396e+26|1.491377299e+30
8.496672625e+04|3.854671734e+24|4.819003793e+24|5.611585557e+24|4.756535412e+24|4.756535412e+26|2.524764316e+30
1.008910094e+05|5.687464831e+24|6.630485128e+24|7.822837946e+24|6.808643182e+24|6.808643182e+26|3.553418085e+30
1.144859939e+05|7.757359077e+24|8.723040432e+24|9.773036875e+24|8.728032413e+24|8.728032413e+26|4.570975981e+30
1.260958576e+05|1.007246156e+25|1.121937647e+25|1.246699067e+25|1.145075315e+25|1.145075315e+27|5.541728697e+30
1.379916555e+05|1.209507950e+25|1.310124862e+25|1.404709498e+25|1.313450393e+25|1.313450393e+27|6.637651627e+30
1.468947653e+05|1.348795337e+25|1.484772955e+25|1.632209813e+25|1.525995375e+25|1.525995375e+27|7.518875140e+30
1.561298929e+05|1.539554676e+25|1.670280540e+25|1.829995799e+25|1.680185157e+25|1.680185157e+27|8.495653661e+30
1.657755545e+05|1.707849370e+25|1.831262158e+25|1.978386049e+25|1.852196299e+25|1.852196299e+27|9.576780424e+30
1.747552369e+05|1.911991747e+25|2.026429608e+25|2.260689427e+25|2.055391948e+25|2.055391948e+27|1.064023941e+31
1.832001656e+05|2.118036277e+25|2.297792673e+25|2.506398311e+25|2.331479939e+25|2.331479939e+27|1.169413849e+31
1.913291127e+05|2.269837394e+25|2.433930046e+25|2.688124811e+25|2.460671083e+25|2.460671083e+27|1.275246233e+31
1.984001470e+05|2.530856136e+25|2.723163048e+25|2.957788650e+25|2.710366669e+25|2.710366669e+27|1.371526999e+31
2.054937965e+05|2.650350924e+25|2.841190988e+25|3.029244055e+25|2.843529589e+25|2.843529589e+27|1.471848237e+31
2.130395643e+05|2.914352319e+25|3.138091542e+25|3.311913059e+25|3.138982845e+25|3.138982845e+27|1.581543861e+31
2.189283762e+05|3.099984239e+25|3.263136738e+25|3.581838732e+25|3.356376042e+25|3.356376042e+27|1.670209433e+31
2.248926111e+05|3.221268747e+25|3.400665694e+25|3.710686568e+25|3.477072940e+25|3.477072940e+27|1.762129285e+31
2.312608860e+05|3.472169198e+25|3.633605309e+25|3.883813824e+25|3.693154897e+25|3.693154897e+27|1.863543588e+31
2.378860485e+05|3.619405926e+25|3.769688690e+25|4.108543804e+25|3.857045999e+25|3.857045999e+27|1.971242251e+31
2.444662342e+05|3.803971055e+25|4.042787477e+25|4.206352663e+25|3.997724332e+25|3.997724332e+27|2.081773781e+31
2.499163989e+05|3.977495504e+25|4.245073791e+25|4.540682946e+25|4.322963046e+25|4.322963046e+27|2.175852624e+31
2.553841102e+05|4.169014141e+25|4.572747005e+25|4.865335174e+25|4.551264498e+25|4.551264498e+27|2.272064691e+31
2.616526785e+05|4.327160241e+25|4.638587532e+25|4.932909847e+25|4.614421612e+25|4.614421612e+27|2.385130854e+31
2.672207365e+05|4.665933504e+25|4.854451578e+25|5.100870889e+25|4.862648412e+25|4.862648412e+27|2.487752051e+31
2.722679952e+05|4.733146367e+25|5.009707309e+25|5.342121037e+25|5.030646579e+25|5.030646579e+27|2.582551873e+31
2.774776381e+05|5.005988558e+25|5.201746287e+25|5.551419552e+25|5.285827450e+25|5.285827450e+27|2.682214570e+31
2.832038712e+05|5.109656130e+25|5.400162841e+25|5.701626339e+25|5.424812588e+25|5.424812588e+27|2.794558127e+31
2.887344040e+05|5.428678577e+25|5.811807414e+25|6.088028209e+25|5.756075622e+25|5.756075622e+27|2.904647511e+31
2.935724425e+05|5.587464150e+25|5.831582482e+25|6.164347111e+25|5.855537246e+25|5.855537246e+27|3.002354801e+31
2.981405451e+05|5.751322022e+25|5.958376492e+25|6.271919130e+25|5.960505068e+25|5.960505068e+27|3.096677909e+31
3.030637767e+05|5.943130527e+25|6.173638057e+25|6.522216624e+25|6.304089293e+25|6.304089293e+27|3.199399986e+31
3.075161812e+05|6.126558520e+25|6.421081563e+25|6.760118769e+25|6.412590454e+25|6.412590454e+27|3.294632285e+31
3.126283796e+05|6.358163579e+25|6.577551480e+25|7.012138889e+25|6.691694422e+25|6.691694422e+27|3.405206848e+31
3.177074256e+05|6.600884950e+25|6.907898061e+25|7.408691053e+25|7.042583114e+25|7.042583114e+27|3.516374223e+31
3.224374011e+05|6.761561570e+25|7.118369113e+25|7.534791422e+25|7.054551715e+25|7.054551715e+27|3.622003762e+31
3.265643157e+05|6.930653315e+25|7.319807872e+25|7.722620929e+25|7.333069480e+25|7.333069480e+27|3.715338291e+31
3.309119503e+05|6.932575484e+25|7.451116810e+25|7.895238497e+25|7.403677912e+25|7.403677912e+27|3.815185411e+31
3.350714790e+05|7.226489307e+25|7.582887440e+25|8.081621506e+25|7.667479815e+25|7.667479815e+27|3.911710321e+31
3.390783572e+05|7.439599983e+25|7.786497552e+25|8.267846612e+25|7.933735943e+25|7.933735943e+27|4.006701308e+31
3.432206232e+05|7.802163129e+25|8.072340959e+25|8.375348978e+25|8.169350369e+25|8.169350369e+27|4.104025881e+31
3.475626519e+05|7.939556352e+25|8.161022722e+25|8.538186254e+25|8.214763666e+25|8.214763666e+27|4.208101524e+31
