#R_planet
2.385219014e+08
#RRR|RRR50|RR|RR50|U25|U50|U75|Umean|U25mean|U75mean|deltaU25|deltaU50|deltaU75|deltaUmean|deltaU25mean|deltaU75mean|S25|S50|S75|Smean|S25mean|S75mean|deltaS25|deltaS50|delatS75|deltaSmean|deltaS25mean|deltaS75mean|T25|T50|T75|Tmean|T25mean|T75mean|deltaT25|deltaT50|deltaT75|deltaTmean|deltaT25|deltaT75|P25|P50|P75|Pmean|P25mean|P75mean|deltaP25|deltaP50|deltaP75|deltaPmean|deltaP25mean|deltaP75mean|rho25|rho50|rho75|rhomean|rho25mean|rho75mean
1.817094658e+06|1.818167015e+06|1.342482305e+06|1.427496114e+06|3.520559125e+06|3.541594625e+06|3.558313812e+06|3.545853750e+06|3.522371250e+06|3.569336250e+06|5.962793750e+04|8.121950000e+04|1.221330000e+05|1.411374062e+05|5.706160156e+04|2.252132188e+05|2.839292832e+03|2.844768581e+03|2.849399459e+03|2.848018410e+03|2.839342742e+03|2.856694077e+03|1.924341615e+01|2.471076627e+01|2.934498150e+01|2.794930126e+01|1.927231234e+01|3.662629017e+01|2.626338474e+03|2.638209701e+03|2.647340091e+03|2.642530538e+03|2.628216308e+03|2.656844769e+03|3.435600223e+01|4.602276548e+01|7.239427905e+01|7.084219890e+01|3.493705186e+01|1.067473459e+02|2.471004518e+10|2.491152282e+10|2.511438336e+10|2.490236723e+10|2.465001677e+10|2.515472384e+10|2.629708800e+08|7.042754560e+08|1.418442752e+09|2.031003264e+09|1.800418880e+08|3.881965056e+09|3.802609985e+03|3.807878540e+03|3.813223511e+03|3.807592285e+03|3.801200195e+03|3.813983643e+03
1.821771013e+06|1.821741908e+06|1.317230332e+06|1.398181832e+06|3.518470375e+06|3.534971250e+06|3.551663188e+06|3.537501000e+06|3.517387750e+06|3.557614750e+06|5.912812500e+04|7.540650000e+04|9.708981250e+04|1.115822109e+05|5.532892578e+04|1.678354844e+05|2.838755788e+03|2.843563375e+03|2.853761782e+03|2.847007574e+03|2.838946307e+03|2.855068840e+03|1.872890860e+01|2.353446505e+01|3.370146343e+01|2.694476829e+01|1.888729050e+01|3.500224609e+01|2.626547169e+03|2.634513366e+03|2.649532528e+03|2.639081857e+03|2.626602180e+03|2.651561535e+03|3.700512433e+01|4.328789886e+01|5.735958091e+01|5.970256490e+01|3.497701570e+01|8.442811410e+01|2.450160896e+10|2.472810598e+10|2.497770138e+10|2.475292262e+10|2.446534861e+10|2.504050893e+10|9.059430400e+07|4.528025600e+08|9.669708800e+08|1.304414592e+09|1.758863375e+06|2.607070464e+09|3.797838562e+03|3.804094727e+03|3.810676331e+03|3.804311768e+03|3.797146484e+03|3.811476807e+03
1.823638900e+06|1.823622199e+06|1.262791646e+06|1.437923179e+06|3.513571500e+06|3.527796750e+06|3.547797438e+06|3.532707750e+06|3.512087750e+06|3.553327750e+06|4.906918750e+04|6.719700000e+04|9.235587500e+04|1.084194531e+05|4.825769922e+04|1.685812188e+05|2.837879157e+03|2.843777100e+03|2.852300405e+03|2.846509740e+03|2.838035855e+03|2.854983624e+03|1.774636061e+01|2.375930622e+01|3.222966438e+01|2.644588067e+01|1.796533078e+01|3.492643055e+01|2.624964649e+03|2.632270432e+03|2.646157269e+03|2.637185358e+03|2.623917090e+03|2.650453625e+03|3.301529806e+01|4.245736859e+01|5.607171698e+01|5.850006971e+01|3.230716525e+01|8.469297417e+01|2.449137818e+10|2.469839667e+10|2.491659315e+10|2.466107597e+10|2.439591322e+10|2.492624282e+10|-8.733081600e+07|3.028049920e+08|8.922716160e+08|1.260060544e+09|-1.443376000e+08|2.664458240e+09|3.798265076e+03|3.803478760e+03|3.807886597e+03|3.802265869e+03|3.795612549e+03|3.808920410e+03
1.824893855e+06|1.824883747e+06|1.309896125e+06|1.461835909e+06|3.515599000e+06|3.530072375e+06|3.565189875e+06|3.540131750e+06|3.513359000e+06|3.566904750e+06|5.263156250e+04|7.798775000e+04|1.253591250e+05|1.348355625e+05|5.150400391e+04|2.181671250e+05|2.837580375e+03|2.845159958e+03|2.857579491e+03|2.848714550e+03|2.838085431e+03|2.859343670e+03|1.754150494e+01|2.514046746e+01|3.751062971e+01|2.864883194e+01|1.802542984e+01|3.927223404e+01|2.623973508e+03|2.635172854e+03|2.653767492e+03|2.641404779e+03|2.624296199e+03|2.658513359e+03|3.248089276e+01|4.518382316e+01|6.858771370e+01|6.944290457e+01|3.238070674e+01|1.065051024e+02|2.448236800e+10|2.472413901e+10|2.493076173e+10|2.471693312e+10|2.441294643e+10|2.502091366e+10|8.195993600e+07|6.789795840e+08|1.238670848e+09|1.827664512e+09|6.294118500e+06|3.649035008e+09|3.796505493e+03|3.803240356e+03|3.808578308e+03|3.803162109e+03|3.795410889e+03|3.810913086e+03
1.825958959e+06|1.825952773e+06|1.294739392e+06|1.278981309e+06|3.512935000e+06|3.530093250e+06|3.551188562e+06|3.533796250e+06|3.512196250e+06|3.555396750e+06|4.322643750e+04|7.046025000e+04|1.085388750e+05|1.221539922e+05|4.097305078e+04|2.033349219e+05|2.840265924e+03|2.845186371e+03|2.852075202e+03|2.847943243e+03|2.839956598e+03|2.855929887e+03|2.021285287e+01|2.512191011e+01|3.204136423e+01|2.788220723e+01|1.990066227e+01|3.586375218e+01|2.626854475e+03|2.634529431e+03|2.647892871e+03|2.638765851e+03|2.625696817e+03|2.651834884e+03|3.302143747e+01|4.321595328e+01|6.255820121e+01|6.496612351e+01|3.120171295e+01|9.873053407e+01|2.433730099e+10|2.462495846e+10|2.488303616e+10|2.460349850e+10|2.428064154e+10|2.492635341e+10|-2.539607040e+08|3.218944000e+08|9.356200960e+08|1.555179648e+09|-3.491887040e+08|3.459547392e+09|3.793872803e+03|3.801154785e+03|3.808437927e+03|3.800668945e+03|3.792596680e+03|3.808740967e+03
1.826997932e+06|1.827016883e+06|1.298733605e+06|1.412076833e+06|3.514512062e+06|3.533224375e+06|3.551639375e+06|3.534812750e+06|3.513312750e+06|3.556313250e+06|5.241425000e+04|6.941762500e+04|1.045973125e+05|1.069178594e+05|5.013633984e+04|1.636993750e+05|2.839210875e+03|2.846168319e+03|2.853340889e+03|2.847758615e+03|2.839457299e+03|2.856059931e+03|1.907975705e+01|2.608350279e+01|3.332020340e+01|2.769147292e+01|1.938247946e+01|3.600046638e+01|2.627182116e+03|2.636652864e+03|2.647271411e+03|2.638929915e+03|2.625407852e+03|2.652451979e+03|3.554002007e+01|4.542551473e+01|5.884811318e+01|5.880473370e+01|3.379189955e+01|8.381756785e+01|2.439837133e+10|2.465348608e+10|2.483028531e+10|2.464038298e+10|2.434614477e+10|2.493462323e+10|3.260979200e+07|4.134144000e+08|9.213132800e+08|1.137601920e+09|-1.156478960e+08|2.390851584e+09|3.796005798e+03|3.801461182e+03|3.807509399e+03|3.801564941e+03|3.794380615e+03|3.808750000e+03
1.827760360e+06|1.827773862e+06|1.224039548e+06|1.310952905e+06|3.507651750e+06|3.523523750e+06|3.544648062e+06|3.529272750e+06|3.507088250e+06|3.551456750e+06|3.916212500e+04|7.234975000e+04|9.824181250e+04|1.089776328e+05|3.948017969e+04|1.784750625e+05|2.840122998e+03|2.844923461e+03|2.850807666e+03|2.846889353e+03|2.839498075e+03|2.854280631e+03|2.000450097e+01|2.484857509e+01|3.079227054e+01|2.682514079e+01|1.943235879e+01|3.421792279e+01|2.624092822e+03|2.631490990e+03|2.643840786e+03|2.636461324e+03|2.623997301e+03|2.648925346e+03|3.082528144e+01|4.324519839e+01|5.611308982e+01|5.920780393e+01|3.030922478e+01|8.810638309e+01|2.436695501e+10|2.456691302e+10|2.479481190e+10|2.455200563e+10|2.424383693e+10|2.486017434e+10|-2.446289920e+08|2.745815040e+08|8.417807360e+08|1.259101440e+09|-3.152559360e+08|2.833458688e+09|3.794781067e+03|3.799864746e+03|3.805638062e+03|3.799663330e+03|3.792394287e+03|3.806933105e+03
1.828399876e+06|1.828400878e+06|1.331641328e+06|1.462866085e+06|3.509914312e+06|3.531530625e+06|3.548668938e+06|3.532357500e+06|3.510642250e+06|3.554073000e+06|5.222937500e+04|7.575375000e+04|1.099613750e+05|1.305666328e+05|4.697368359e+04|2.141595781e+05|2.841590072e+03|2.846600956e+03|2.855359068e+03|2.848786696e+03|2.841170640e+03|2.856402752e+03|2.156188530e+01|2.654785817e+01|3.527133018e+01|2.872753177e+01|2.111673406e+01|3.633832949e+01|2.627008672e+03|2.634115849e+03|2.649971732e+03|2.639061708e+03|2.626441414e+03|2.651682003e+03|3.379520216e+01|4.620671913e+01|6.527425769e+01|6.862798938e+01|3.390859939e+01|1.033473794e+02|2.427401421e+10|2.447513805e+10|2.484957696e+10|2.451752141e+10|2.417907507e+10|2.485596160e+10|-1.314063360e+08|3.327590400e+08|9.333114880e+08|1.730955136e+09|-2.562870080e+08|3.718197504e+09|3.792495544e+03|3.798662964e+03|3.806232971e+03|3.798523193e+03|3.790305664e+03|3.806739990e+03
1.828933450e+06|1.828918829e+06|1.314028854e+06|1.406742282e+06|3.507881062e+06|3.529368875e+06|3.545619625e+06|3.531541000e+06|3.510274250e+06|3.552809000e+06|4.456081250e+04|6.869462500e+04|9.121462500e+04|1.057632109e+05|4.374260156e+04|1.677838125e+05|2.841692565e+03|2.845875865e+03|2.855933167e+03|2.848509207e+03|2.841299206e+03|2.855719208e+03|2.162687567e+01|2.586476922e+01|3.587337283e+01|2.844390198e+01|2.123396569e+01|3.565383827e+01|2.626955784e+03|2.635889273e+03|2.646708914e+03|2.638563740e+03|2.626256913e+03|2.650870566e+03|3.388901591e+01|4.356176254e+01|5.772800672e+01|5.947844522e+01|3.298776630e+01|8.596912413e+01|2.422164275e+10|2.450164224e+10|2.479372851e+10|2.451322880e+10|2.416510976e+10|2.486134989e+10|-3.022192640e+08|2.718894080e+08|6.460861440e+08|1.076047360e+09|-3.599962880e+08|2.512090880e+09|3.791850830e+03|3.798328125e+03|3.804820618e+03|3.798468506e+03|3.790120850e+03|3.806815674e+03
1.829490331e+06|1.829467862e+06|1.321152456e+06|1.464385403e+06|3.509120188e+06|3.522359625e+06|3.544890375e+06|3.529651250e+06|3.508133500e+06|3.551169000e+06|4.490412500e+04|7.470087500e+04|1.078335625e+05|1.289372500e+05|4.340887109e+04|2.144656562e+05|2.841568377e+03|2.846165439e+03|2.855055876e+03|2.848794306e+03|2.840946647e+03|2.856641965e+03|2.144547067e+01|2.606195002e+01|3.500129006e+01|2.873449649e+01|2.088844984e+01|3.658054313e+01|2.625615499e+03|2.633917871e+03|2.646833709e+03|2.638228073e+03|2.625645795e+03|2.650810350e+03|3.401654924e+01|4.419821904e+01|6.757367923e+01|6.809156358e+01|3.284046578e+01|1.033426614e+02|2.411294618e+10|2.445882778e+10|2.476024269e+10|2.444818022e+10|2.407834624e+10|2.481802445e+10|-1.618181120e+08|3.539537920e+08|1.051365888e+09|1.688080512e+09|-3.324761280e+08|3.708636672e+09|3.789403137e+03|3.796955688e+03|3.804564453e+03|3.796898438e+03|3.788066650e+03|3.805730225e+03
