#RRR|U50|U25|U75|Umean|T50|T25|T75|Tmean|P50|P25|P75|Pmean|rho50|rho25|rho75|Pmean|S
1.626258942e+05|2.128417585e+06|2.131939577e+06|2.135407910e+06|2.131403004e+06|3.260926677e+03|3.264842353e+03|3.268696638e+03|3.264239392e+03|4.474963128e+10|4.493028702e+10|4.510833444e+10|4.490282434e+10|8.110583740e+03|8.115746094e+03|8.120829468e+03|8.114950195e+03|1.871101902e+03
2.468752813e+05|2.120801545e+06|2.126017111e+06|2.129150249e+06|2.124308459e+06|3.252449265e+03|3.258256865e+03|3.261741384e+03|3.256326026e+03|4.435936636e+10|4.462658779e+10|4.478720003e+10|4.453854260e+10|8.099386353e+03|8.107059570e+03|8.111657104e+03|8.104510742e+03|1.871101902e+03
2.937060212e+05|2.116706809e+06|2.120170473e+06|2.123871756e+06|2.119620782e+06|3.247823344e+03|3.251736481e+03|3.255870094e+03|3.251082205e+03|4.414785313e+10|4.432675167e+10|4.451668579e+10|4.429772644e+10|8.093294434e+03|8.098448975e+03|8.103906860e+03|8.097591797e+03|1.871101902e+03
3.290347378e+05|2.113121991e+06|2.116432035e+06|2.120154892e+06|2.115638693e+06|3.243771553e+03|3.247512841e+03|3.251718883e+03|3.246590195e+03|4.396290609e+10|4.413367286e+10|4.432594645e+10|4.409255750e+10|8.087955933e+03|8.092886963e+03|8.098425781e+03|8.091669434e+03|1.871101902e+03
3.592088797e+05|2.108834166e+06|2.112948602e+06|2.116294661e+06|2.112326938e+06|3.238922797e+03|3.243575532e+03|3.247357600e+03|3.242853047e+03|4.374187536e+10|4.395396370e+10|4.412658364e+10|4.392185324e+10|8.081559326e+03|8.087697998e+03|8.092681519e+03|8.086741699e+03|1.871101902e+03
3.873423648e+05|2.102273902e+06|2.108016883e+06|2.110995732e+06|2.106177853e+06|3.231499291e+03|3.237998304e+03|3.241367462e+03|3.235881897e+03|4.340421402e+10|4.369977895e+10|4.385326521e+10|4.360468245e+10|8.071766235e+03|8.080341309e+03|8.084786743e+03|8.077551270e+03|1.871101902e+03
4.131334491e+05|2.099739937e+06|2.105078331e+06|2.107931688e+06|2.103380870e+06|3.228619388e+03|3.234673493e+03|3.237901927e+03|3.232703042e+03|4.327359813e+10|4.354849195e+10|4.369539130e+10|4.346041359e+10|8.067965576e+03|8.075951904e+03|8.080216431e+03|8.073357422e+03|1.871101902e+03
4.373684816e+05|2.095599958e+06|2.099872306e+06|2.104357872e+06|2.099720727e+06|3.223864372e+03|3.228771383e+03|3.233858144e+03|3.228547440e+03|4.305888277e+10|4.328046699e+10|4.351141734e+10|4.327167711e+10|8.061701782e+03|8.068162109e+03|8.074881104e+03|8.067876953e+03|1.871101902e+03
4.619356432e+05|2.093680240e+06|2.097226493e+06|2.099859578e+06|2.096178448e+06|3.221658652e+03|3.225732829e+03|3.228756768e+03|3.224488722e+03|4.295939614e+10|4.314321409e+10|4.327980649e+10|4.308848122e+10|8.058796143e+03|8.064163818e+03|8.068143433e+03|8.062526367e+03|1.871101902e+03
4.820138864e+05|2.086160555e+06|2.092528240e+06|2.096682480e+06|2.091653036e+06|3.213013738e+03|3.220334779e+03|3.225107943e+03|3.219288312e+03|4.257020862e+10|4.289971914e+10|4.311500461e+10|4.285410084e+10|8.047404175e+03|8.057054199e+03|8.063338501e+03|8.055672363e+03|1.871101902e+03
5.040986753e+05|2.085561257e+06|2.089557278e+06|2.092642392e+06|2.089238277e+06|3.212324424e+03|3.216919714e+03|3.220465972e+03|3.216518920e+03|4.253922441e+10|4.274589700e+10|4.290563168e+10|4.272913805e+10|8.046493530e+03|8.052552979e+03|8.057226562e+03|8.052021973e+03|1.871101902e+03
5.243748248e+05|2.081367231e+06|2.085055656e+06|2.088927896e+06|2.084437147e+06|3.207499034e+03|3.211742841e+03|3.216196090e+03|3.210990832e+03|4.232252674e+10|4.251308735e+10|4.271333133e+10|4.248059013e+10|8.040124146e+03|8.045723145e+03|8.051601196e+03|8.044732910e+03|1.871101902e+03
5.439991358e+05|2.074761483e+06|2.079930652e+06|2.083486552e+06|2.079698297e+06|3.199796504e+03|3.205841930e+03|3.209937703e+03|3.205502238e+03|4.197878234e+10|4.224826771e+10|4.243198988e+10|4.223485509e+10|8.029976318e+03|8.037934082e+03|8.043342651e+03|8.037497559e+03|1.871101902e+03
5.619383305e+05|2.071639347e+06|2.078040193e+06|2.083035744e+06|2.077646935e+06|3.196143355e+03|3.203631427e+03|3.209419019e+03|3.203090661e+03|4.181619991e+10|4.214967467e+10|4.240869501e+10|4.212799319e+10|8.025165283e+03|8.035028809e+03|8.042660889e+03|8.034319336e+03|1.871101902e+03
5.812392660e+05|2.071576059e+06|2.074177434e+06|2.077614521e+06|2.074709892e+06|3.196069289e+03|3.199113221e+03|3.203133623e+03|3.199704796e+03|4.181290573e+10|4.194835797e+10|4.212748012e+10|4.197579149e+10|8.025068359e+03|8.029081299e+03|8.034372681e+03|8.029857910e+03|1.871101902e+03
5.997724924e+05|2.066334816e+06|2.070862646e+06|2.074447117e+06|2.070164054e+06|3.189933579e+03|3.195234347e+03|3.199428717e+03|3.194385082e+03|4.154029309e+10|4.177577555e+10|4.196240711e+10|4.173921104e+10|8.016980957e+03|8.023969971e+03|8.029493042e+03|8.022847656e+03|1.871101902e+03
