#R_planet
3.272672690e+06
#RRR|RRR50|RR|RR50|U25|U50|U75|Umean|U25mean|U75mean|deltaU25|deltaU50|deltaU75|deltaUmean|deltaU25mean|deltaU75mean|S25|S50|S75|Smean|S25mean|S75mean|deltaS25|deltaS50|delatS75|deltaSmean|deltaS25mean|deltaS75mean|T25|T50|T75|Tmean|T25mean|T75mean|deltaT25|deltaT50|deltaT75|deltaTmean|deltaT25|deltaT75|P25|P50|P75|Pmean|P25mean|P75mean|deltaP25|deltaP50|deltaP75|deltaPmean|deltaP25mean|deltaP75mean|rho25|rho50|rho75|rhomean|rho25mean|rho75mean
1.829137510e+06|1.829278129e+06|1.820288071e+06|1.823540055e+06|3.555712812e+06|3.575325000e+06|3.608450500e+06|3.583133000e+06|3.555528000e+06|3.610739000e+06|9.942725000e+04|1.201947500e+05|1.728728125e+05|1.805207188e+05|9.498352344e+04|2.660579375e+05|2.858129675e+03|2.864630052e+03|2.875001115e+03|2.867691862e+03|2.858410628e+03|2.876973095e+03|3.809096170e+01|4.460849332e+01|5.493334577e+01|4.762270355e+01|3.834739425e+01|5.689801285e+01|2.656187856e+03|2.666598373e+03|2.684632957e+03|2.671439979e+03|2.655589540e+03|2.687290417e+03|6.525778254e+01|7.641124418e+01|1.018201001e+02|1.006082834e+02|6.418867261e+01|1.370278941e+02|2.441704038e+10|2.459853619e+10|2.480798515e+10|2.467486310e+10|2.434340659e+10|2.500631757e+10|3.124633600e+07|4.831313920e+08|1.173474304e+09|1.863594752e+09|-9.827979200e+07|3.825469440e+09|3.792718262e+03|3.796361206e+03|3.801934814e+03|3.798840820e+03|3.791277588e+03|3.806404297e+03
1.833353379e+06|1.833352951e+06|1.824449954e+06|1.827575897e+06|3.550499688e+06|3.571986375e+06|3.591026562e+06|3.573671000e+06|3.547910750e+06|3.599431750e+06|9.112087500e+04|1.125155000e+05|1.495040000e+05|1.596007188e+05|8.114853906e+04|2.380529062e+05|2.859032928e+03|2.866579463e+03|2.873267541e+03|2.867386585e+03|2.858706821e+03|2.876066350e+03|3.899299356e+01|4.645634230e+01|5.322694852e+01|4.732381531e+01|3.863695061e+01|5.601068000e+01|2.653625993e+03|2.667123224e+03|2.678624415e+03|2.668213825e+03|2.653044992e+03|2.683382657e+03|6.178429780e+01|7.724778523e+01|9.279423489e+01|9.325899849e+01|6.023189114e+01|1.262861058e+02|2.418212352e+10|2.442531328e+10|2.469162650e+10|2.445407437e+10|2.410959258e+10|2.479855206e+10|-4.054891520e+08|2.305187840e+08|9.318650880e+08|1.331642880e+09|-4.810687360e+08|3.144354304e+09|3.786895996e+03|3.793671265e+03|3.799527893e+03|3.793745605e+03|3.785455566e+03|3.802034912e+03
1.836046481e+06|1.835990260e+06|1.826297049e+06|1.829461885e+06|3.557631625e+06|3.579935875e+06|3.595554500e+06|3.576763250e+06|3.552702000e+06|3.600825000e+06|9.856775000e+04|1.218465000e+05|1.982133750e+05|1.965412656e+05|9.147720312e+04|3.016053125e+05|2.862648902e+03|2.869696277e+03|2.877680138e+03|2.869505723e+03|2.861505794e+03|2.877505652e+03|4.261684047e+01|4.962984643e+01|5.766687173e+01|4.944446542e+01|4.144834642e+01|5.744058441e+01|2.658849556e+03|2.672126665e+03|2.683998489e+03|2.671033306e+03|2.657027919e+03|2.685038694e+03|6.867184802e+01|8.221732869e+01|1.095706541e+02|1.084111661e+02|6.573245784e+01|1.510898743e+02|2.407557427e+10|2.437221376e+10|2.468460134e+10|2.440598118e+10|2.404084941e+10|2.477111091e+10|-3.560842240e+08|2.925680640e+08|1.746589696e+09|2.205947392e+09|-3.627415040e+08|4.774636544e+09|3.783785339e+03|3.791730591e+03|3.800078125e+03|3.792249756e+03|3.783682129e+03|3.800817139e+03
1.838550163e+06|1.838527148e+06|1.828715220e+06|1.830865989e+06|3.542374938e+06|3.561001375e+06|3.575819562e+06|3.562635250e+06|3.541316250e+06|3.583954500e+06|8.324118750e+04|1.051041250e+05|2.439262500e+05|1.824952812e+05|7.436347656e+04|2.906270625e+05|2.862207397e+03|2.867283588e+03|2.874309466e+03|2.868619198e+03|2.861096140e+03|2.876142255e+03|4.220411329e+01|4.720840609e+01|5.426535097e+01|4.854483792e+01|4.101745087e+01|5.607222497e+01|2.655232530e+03|2.662808840e+03|2.674427492e+03|2.665817640e+03|2.653448473e+03|2.678186807e+03|6.400391813e+01|7.494590858e+01|1.270091075e+02|1.035370168e+02|6.062894533e+01|1.464450882e+02|2.387698944e+10|2.408325837e+10|2.442968627e+10|2.410164838e+10|2.376901632e+10|2.443428045e+10|-7.153628160e+08|-7.579648000e+07|3.408213248e+09|1.913839104e+09|-7.898743040e+08|4.617552384e+09|3.779970520e+03|3.784702148e+03|3.792233582e+03|3.785288086e+03|3.777281982e+03|3.793294434e+03
1.840565130e+06|1.840565825e+06|1.828872587e+06|1.830514780e+06|3.531767188e+06|3.551206875e+06|3.571403062e+06|3.554385250e+06|3.530849500e+06|3.577919750e+06|8.379193750e+04|1.039495000e+05|1.480713125e+05|1.705529531e+05|7.753575781e+04|2.635701562e+05|2.858659391e+03|2.865623521e+03|2.876007860e+03|2.867464408e+03|2.858554651e+03|2.876374164e+03|3.854725597e+01|4.554178397e+01|5.592646859e+01|4.740272120e+01|3.850103680e+01|5.630440560e+01|2.650967621e+03|2.657724934e+03|2.673462932e+03|2.662191984e+03|2.648535281e+03|2.675848687e+03|6.146083948e+01|6.922884867e+01|9.655641451e+01|9.795562346e+01|5.940225117e+01|1.365089958e+02|2.361623245e+10|2.396600832e+10|2.429731379e+10|2.396094464e+10|2.356207206e+10|2.435982336e+10|-5.110615040e+08|1.268838400e+07|7.740830720e+08|1.653745536e+09|-6.376604160e+08|3.945151744e+09|3.773046387e+03|3.781376953e+03|3.790356934e+03|3.782167236e+03|3.772600586e+03|3.791734131e+03
1.843265340e+06|1.843175037e+06|1.834278306e+06|1.836588925e+06|3.523163125e+06|3.541308750e+06|3.562616500e+06|3.544697500e+06|3.520880750e+06|3.568515000e+06|6.532243750e+04|8.594837500e+04|1.405926250e+05|1.622278281e+05|5.905950391e+04|2.653961562e+05|2.858936781e+03|2.868009749e+03|2.876946474e+03|2.868764565e+03|2.858946347e+03|2.878582784e+03|3.891166289e+01|4.789473177e+01|5.686108372e+01|4.869533288e+01|3.887827868e+01|5.851238709e+01|2.645809160e+03|2.656821218e+03|2.674186566e+03|2.660225795e+03|2.645083681e+03|2.675367910e+03|5.443135368e+01|6.815126307e+01|9.450155965e+01|9.682266419e+01|5.326254648e+01|1.403827819e+02|2.335732224e+10|2.364360806e+10|2.397685402e+10|2.363681997e+10|2.324697498e+10|2.402666086e+10|-1.007504384e+09|-3.957913600e+08|5.738849280e+08|1.376928128e+09|-1.122723712e+09|3.876579840e+09|3.767383667e+03|3.773715820e+03|3.781554443e+03|3.774287598e+03|3.764555908e+03|3.784019043e+03
1.846153837e+06|1.846066550e+06|1.836106075e+06|1.838861885e+06|3.530316812e+06|3.563722375e+06|3.593777312e+06|3.566019500e+06|3.527128750e+06|3.604910000e+06|6.441143750e+04|1.316545000e+05|4.380721875e+05|2.217830156e+05|6.875672656e+04|3.748093125e+05|2.863607686e+03|2.876084581e+03|2.884453277e+03|2.875815840e+03|2.864607766e+03|2.887023914e+03|4.350182041e+01|5.603357682e+01|6.442500398e+01|5.575411610e+01|4.454736093e+01|6.696087127e+01|2.650111515e+03|2.676128202e+03|2.687878114e+03|2.673101025e+03|2.651635024e+03|2.694567025e+03|5.970064851e+01|9.356822754e+01|2.084160953e+02|1.236073394e+02|6.166351365e+01|1.855511652e+02|2.334187571e+10|2.373012992e+10|2.410313216e+10|2.375199539e+10|2.326685286e+10|2.423713792e+10|-1.060098048e+09|-2.837329920e+08|8.086751232e+09|2.533062912e+09|-1.060563008e+09|6.126688768e+09|3.765696533e+03|3.775386963e+03|3.783505920e+03|3.775718994e+03|3.764691895e+03|3.786747070e+03
1.850861818e+06|1.850299975e+06|1.840654501e+06|1.842401057e+06|3.540061250e+06|3.562323250e+06|3.585510375e+06|3.566402500e+06|3.536838500e+06|3.595966000e+06|7.945181250e+04|1.294817500e+05|4.239731250e+05|2.197873125e+05|7.618564844e+04|3.633890000e+05|2.873412483e+03|2.878765587e+03|2.887203341e+03|2.881653153e+03|2.872085474e+03|2.891220831e+03|5.336567015e+01|5.868186371e+01|6.714537733e+01|6.158497858e+01|5.202450793e+01|7.114544923e+01|2.663264366e+03|2.674784571e+03|2.688371939e+03|2.678182350e+03|2.661222924e+03|2.695141776e+03|7.164237554e+01|9.395651376e+01|2.038860573e+02|1.280996012e+02|6.994881046e+01|1.862503919e+02|2.304604774e+10|2.346761114e+10|2.372698675e+10|2.341001216e+10|2.296584602e+10|2.385417626e+10|-1.166300160e+09|-5.505771520e+08|7.591704064e+09|2.134996096e+09|-1.325469696e+09|5.595461120e+09|3.757232849e+03|3.768611328e+03|3.775624817e+03|3.766571045e+03|3.756074463e+03|3.777066895e+03
1.918989897e+06|1.927440759e+06|1.912059714e+06|1.921016604e+06|3.244095875e+06|3.261975750e+06|3.296995500e+06|3.304252250e+06|3.240682250e+06|3.367822750e+06|8.466231250e+04|1.155818750e+05|1.431323750e+05|8.327877344e+04|1.997295044e+03|1.645602188e+05|2.867765935e+03|2.875887285e+03|2.887776373e+03|2.878763324e+03|2.866387256e+03|2.891139391e+03|4.767905949e+01|5.580108450e+01|6.767388542e+01|5.870066356e+01|4.632988612e+01|7.107144100e+01|2.545659280e+03|2.558280777e+03|2.579769095e+03|2.576458435e+03|2.543771346e+03|2.609145524e+03|5.920218177e+01|7.688375898e+01|9.488086769e+01|7.155576351e+01|3.619640618e+01|1.069151208e+02|1.549037235e+10|1.563130061e+10|1.583127910e+10|1.649649562e+10|1.547184742e+10|1.752113971e+10|-8.208491520e+08|-2.341478400e+07|2.908515840e+08|-1.373422208e+09|-3.385080832e+09|6.382367360e+08|3.564835266e+03|3.568844727e+03|3.572883484e+03|3.589931641e+03|3.564068848e+03|3.615793701e+03
1.932965663e+06|1.932832766e+06|1.924266752e+06|1.927005716e+06|3.232368312e+06|3.252166625e+06|3.271184312e+06|3.252385000e+06|3.228585250e+06|3.276184000e+06|7.312418750e+04|1.106006250e+05|1.308191250e+05|5.868473438e+04|-1.853440430e+04|1.359038750e+05|2.863945525e+03|2.872169131e+03|2.879604676e+03|2.872242516e+03|2.862488101e+03|2.881996931e+03|4.386415744e+01|5.204046669e+01|5.956689279e+01|5.217645274e+01|4.241596135e+01|6.193694413e+01|2.538580416e+03|2.551374105e+03|2.563752304e+03|2.551799408e+03|2.536384138e+03|2.567214678e+03|5.009050332e+01|7.101199489e+01|8.498482698e+01|5.717271884e+01|2.613686852e+01|8.820856917e+01|1.533894554e+10|1.552204339e+10|1.569170790e+10|1.549435392e+10|1.529731379e+10|1.569139610e+10|-4.339084800e+08|3.649228800e+07|2.803737600e+08|-1.621655936e+09|-3.637928192e+09|3.946165120e+08|3.560838745e+03|3.566218140e+03|3.570510864e+03|3.565123779e+03|3.559797607e+03|3.570449951e+03
