#RRR|Lz25|Lz50|Lz75|Lzmean|Lzsum|Isum
3.539994162e+04|9.276114238e+22|2.214913995e+23|3.577897136e+23|2.323198114e+23|2.323198114e+25|4.974766926e+29
6.627348891e+04|5.159993656e+23|6.739788566e+23|7.939590666e+23|6.561894583e+23|6.561894583e+25|1.542740145e+30
8.452520217e+04|9.196512186e+23|1.066900275e+24|1.296681065e+24|1.110034947e+24|1.110034947e+26|2.498858326e+30
1.004822357e+05|1.384642844e+24|1.576487913e+24|1.738515863e+24|1.570047113e+24|1.570047113e+26|3.523888348e+30
1.147769181e+05|1.796484677e+24|1.991077152e+24|2.157485243e+24|2.004305438e+24|2.004305438e+26|4.592334255e+30
1.269074431e+05|2.213290617e+24|2.415419411e+24|2.668183255e+24|2.394520349e+24|2.394520349e+26|5.614616806e+30
1.374138853e+05|2.612380639e+24|2.841163588e+24|3.086847774e+24|2.857126679e+24|2.857126679e+26|6.580513912e+30
1.472441047e+05|3.116266681e+24|3.302213341e+24|3.477864982e+24|3.354379037e+24|3.354379037e+26|7.556410945e+30
1.570170777e+05|3.561169654e+24|3.754091912e+24|3.971693147e+24|3.790083199e+24|3.790083199e+26|8.589822141e+30
1.660619703e+05|3.855199965e+24|4.086086928e+24|4.394967763e+24|4.113144413e+24|4.113144413e+26|9.607491738e+30
1.748119611e+05|4.403118935e+24|4.656831712e+24|4.937080885e+24|4.631284191e+24|4.631284191e+26|1.064688882e+31
1.828453494e+05|4.797348316e+24|5.047498010e+24|5.388963267e+24|5.025508706e+24|5.025508706e+26|1.164726540e+31
1.903538009e+05|5.107956423e+24|5.460207977e+24|5.813312021e+24|5.457604392e+24|5.457604392e+26|1.262512609e+31
1.988971361e+05|5.735925741e+24|5.994068001e+24|6.264073469e+24|6.025203127e+24|6.025203127e+26|1.378268033e+31
2.061207364e+05|6.133515927e+24|6.383745726e+24|6.752763187e+24|6.437019627e+24|6.437019627e+26|1.480160347e+31
2.120394384e+05|6.380791763e+24|6.726497826e+24|7.039729949e+24|6.602927314e+24|6.602927314e+26|1.566387731e+31
2.190104783e+05|6.873082063e+24|7.270268424e+24|7.602385107e+24|7.252609672e+24|7.252609672e+26|1.671133267e+31
2.258005361e+05|7.258473371e+24|7.647046329e+24|7.962038776e+24|7.594838633e+24|7.594838633e+26|1.776058340e+31
2.322897711e+05|7.786471412e+24|8.116555781e+24|8.591123151e+24|8.196515729e+24|8.196515729e+26|1.879839374e+31
2.378641230e+05|8.224313745e+24|8.544839673e+24|8.952399139e+24|8.595743096e+24|8.595743096e+26|1.970895818e+31
2.442059295e+05|8.419052190e+24|8.940221123e+24|9.380619885e+24|8.889571324e+24|8.889571324e+26|2.077612737e+31
2.495052328e+05|8.984178905e+24|9.406129586e+24|9.740371562e+24|9.309369786e+24|9.309369786e+26|2.168500267e+31
2.554834447e+05|9.439706612e+24|9.813210957e+24|1.019558893e+25|9.903540046e+24|9.903540046e+26|2.273769006e+31
2.617714053e+05|9.923576697e+24|1.038246951e+25|1.081831575e+25|1.038257960e+25|1.038257960e+27|2.387208710e+31
2.676033137e+05|1.043682466e+25|1.080943946e+25|1.128468435e+25|1.092060709e+25|1.092060709e+27|2.495230913e+31
2.730650368e+05|1.084641082e+25|1.131739613e+25|1.170096051e+25|1.129966977e+25|1.129966977e+27|2.597709682e+31
2.784993671e+05|1.140785254e+25|1.172536586e+25|1.211511282e+25|1.173711442e+25|1.173711442e+27|2.701978271e+31
2.831513043e+05|1.171545910e+25|1.202757181e+25|1.255381205e+25|1.212883873e+25|1.212883873e+27|2.792850684e+31
2.884280625e+05|1.215287263e+25|1.263938224e+25|1.307763522e+25|1.256222489e+25|1.256222489e+27|2.897870103e+31
2.936146993e+05|1.241081148e+25|1.290489770e+25|1.334281939e+25|1.267979817e+25|1.267979817e+27|3.002789400e+31
2.983597820e+05|1.281972979e+25|1.329708623e+25|1.399264723e+25|1.338829731e+25|1.338829731e+27|3.101034838e+31
3.037235208e+05|1.335718093e+25|1.390986280e+25|1.441396028e+25|1.393102238e+25|1.393102238e+27|3.213672804e+31
3.082972105e+05|1.389942253e+25|1.433196377e+25|1.482592567e+25|1.427656571e+25|1.427656571e+27|3.311218717e+31
3.130963753e+05|1.437533799e+25|1.477079760e+25|1.529414376e+25|1.486093851e+25|1.486093851e+27|3.415048119e+31
3.176351422e+05|1.464721171e+25|1.521262157e+25|1.568342273e+25|1.522570284e+25|1.522570284e+27|3.514425205e+31
3.216133421e+05|1.506696140e+25|1.558723638e+25|1.608767946e+25|1.553195674e+25|1.553195674e+27|3.603475219e+31
3.256481606e+05|1.539883513e+25|1.597912184e+25|1.653226338e+25|1.589708187e+25|1.589708187e+27|3.694386604e+31
3.300509727e+05|1.587678600e+25|1.645367348e+25|1.713414863e+25|1.653741983e+25|1.653741983e+27|3.794799379e+31
3.347153618e+05|1.643054109e+25|1.682662753e+25|1.766986985e+25|1.693942053e+25|1.693942053e+27|3.902980068e+31
3.394943180e+05|1.689874654e+25|1.739505321e+25|1.784525435e+25|1.743724925e+25|1.743724925e+27|4.015012190e+31
3.434704240e+05|1.723735836e+25|1.760538878e+25|1.817611007e+25|1.768575666e+25|1.768575666e+27|4.109756931e+31
3.477619067e+05|1.761604949e+25|1.827493650e+25|1.861805815e+25|1.816694184e+25|1.816694184e+27|4.213120332e+31
3.520008010e+05|1.810816185e+25|1.871383661e+25|1.941591189e+25|1.886926696e+25|1.886926696e+27|4.316429283e+31
3.564394422e+05|1.847594488e+25|1.899136197e+25|1.950629794e+25|1.906761711e+25|1.906761711e+27|4.425784992e+31
3.613272481e+05|1.913935267e+25|1.954471528e+25|2.021897703e+25|1.969896679e+25|1.969896679e+27|4.548035319e+31
3.654917677e+05|1.966382474e+25|2.013095324e+25|2.057957571e+25|2.016907548e+25|2.016907548e+27|4.653790503e+31
3.701010434e+05|2.010054011e+25|2.071978512e+25|2.123937536e+25|2.070098050e+25|2.070098050e+27|4.771933689e+31
3.735908835e+05|2.032663328e+25|2.084680223e+25|2.161635436e+25|2.095290683e+25|2.095290683e+27|4.862053962e+31
3.771238196e+05|2.068495838e+25|2.128657832e+25|2.184935881e+25|2.123975653e+25|2.123975653e+27|4.954540049e+31
3.811430716e+05|2.116813984e+25|2.166443506e+25|2.232610479e+25|2.174039043e+25|2.174039043e+27|5.060635295e+31
3.847170390e+05|2.169216450e+25|2.219139613e+25|2.266093051e+25|2.220723238e+25|2.220723238e+27|5.155865529e+31
3.885270806e+05|2.193583664e+25|2.257874399e+25|2.320337047e+25|2.264256938e+25|2.264256938e+27|5.258518997e+31
3.918395255e+05|2.262178606e+25|2.337091349e+25|2.377194513e+25|2.324780587e+25|2.324780587e+27|5.348614931e+31
3.955566913e+05|2.287601361e+25|2.358069864e+25|2.422674244e+25|2.357802595e+25|2.357802595e+27|5.450705120e+31
3.996064820e+05|2.307330945e+25|2.370114922e+25|2.448819195e+25|2.373114569e+25|2.373114569e+27|5.562779964e+31
4.035125825e+05|2.369653940e+25|2.444465053e+25|2.511743467e+25|2.432088926e+25|2.432088926e+27|5.672206260e+31
4.067923896e+05|2.430132318e+25|2.488499763e+25|2.540782721e+25|2.485451921e+25|2.485451921e+27|5.764699667e+31
4.101117068e+05|2.471065195e+25|2.519458878e+25|2.590209353e+25|2.533993809e+25|2.533993809e+27|5.858929408e+31
4.132080004e+05|2.499895890e+25|2.547586666e+25|2.619059247e+25|2.562240552e+25|2.562240552e+27|5.947865031e+31
4.164830174e+05|2.546274910e+25|2.586879097e+25|2.656740372e+25|2.604202917e+25|2.604202917e+27|6.042704909e+31
4.203630803e+05|2.605067188e+25|2.663347683e+25|2.710095747e+25|2.649693665e+25|2.649693665e+27|6.155725874e+31
4.240007230e+05|2.645000629e+25|2.701701772e+25|2.771190749e+25|2.705369293e+25|2.705369293e+27|6.262650685e+31
4.279270632e+05|2.686610717e+25|2.731520096e+25|2.799287225e+25|2.731357839e+25|2.731357839e+27|6.379309311e+31
4.313603594e+05|2.732201575e+25|2.799743623e+25|2.889140612e+25|2.806010631e+25|2.806010631e+27|6.481629445e+31
4.348349834e+05|2.774779179e+25|2.833747243e+25|2.898687743e+25|2.839470790e+25|2.839470790e+27|6.586661961e+31
4.384438259e+05|2.797570114e+25|2.853206937e+25|2.937319143e+25|2.837317529e+25|2.837317529e+27|6.696525945e+31
4.419962996e+05|2.832543875e+25|2.919780688e+25|2.994908175e+25|2.916381407e+25|2.916381407e+27|6.805484998e+31
4.455122369e+05|2.914695411e+25|2.991173214e+25|3.051484992e+25|2.977277011e+25|2.977277011e+27|6.913963265e+31
4.492404211e+05|2.962005610e+25|3.022471281e+25|3.103018817e+25|3.040309931e+25|3.040309931e+27|7.030287208e+31
4.523689587e+05|3.018428991e+25|3.085125792e+25|3.151472684e+25|3.082945452e+25|3.082945452e+27|7.128493922e+31
4.555586438e+05|3.060029319e+25|3.105524312e+25|3.179291654e+25|3.121936072e+25|3.121936072e+27|7.229446844e+31
4.584426532e+05|3.082776325e+25|3.172413929e+25|3.240254107e+25|3.165924287e+25|3.165924287e+27|7.321159888e+31
4.615956944e+05|3.133243050e+25|3.190219408e+25|3.270318539e+25|3.197451752e+25|3.197451752e+27|7.422379746e+31
4.650689470e+05|3.161827962e+25|3.236439226e+25|3.304607291e+25|3.230161414e+25|3.230161414e+27|7.534485842e+31
4.680665959e+05|3.214044066e+25|3.283506910e+25|3.342858752e+25|3.261909473e+25|3.261909473e+27|7.631874933e+31
4.706859385e+05|3.258296787e+25|3.327129819e+25|3.384262738e+25|3.326308371e+25|3.326308371e+27|7.717400064e+31
4.739268063e+05|3.288254731e+25|3.355249528e+25|3.443795653e+25|3.365931261e+25|3.365931261e+27|7.824169774e+31
4.773365813e+05|3.357475556e+25|3.437116452e+25|3.500669789e+25|3.437077603e+25|3.437077603e+27|7.937039439e+31
4.804918412e+05|3.407398312e+25|3.460130623e+25|3.545850014e+25|3.472783443e+25|3.472783443e+27|8.042427152e+31
4.833539703e+05|3.430508772e+25|3.491721006e+25|3.570186989e+25|3.495257367e+25|3.495257367e+27|8.138424120e+31
4.864086109e+05|3.457778144e+25|3.551768961e+25|3.638194689e+25|3.537375674e+25|3.537375674e+27|8.241572292e+31
4.893100196e+05|3.520891736e+25|3.598698450e+25|3.663295345e+25|3.599610963e+25|3.599610963e+27|8.340063493e+31
4.924604808e+05|3.566991418e+25|3.637704508e+25|3.717108085e+25|3.644697286e+25|3.644697286e+27|8.447684437e+31
4.959878850e+05|3.604477082e+25|3.680898755e+25|3.769698461e+25|3.685791238e+25|3.685791238e+27|8.569292777e+31
4.990443326e+05|3.656082141e+25|3.736315602e+25|3.809313478e+25|3.731800537e+25|3.731800537e+27|8.675096867e+31
5.021914370e+05|3.694017899e+25|3.766437613e+25|3.836314314e+25|3.794463075e+25|3.794463075e+27|8.785102867e+31
5.050675959e+05|3.706572423e+25|3.801506603e+25|3.857872964e+25|3.794819108e+25|3.794819108e+27|8.885910227e+31
5.076362619e+05|3.750692477e+25|3.837078483e+25|3.912063398e+25|3.801879214e+25|3.801879214e+27|8.976375137e+31
5.105104760e+05|3.812167272e+25|3.885360321e+25|3.954855896e+25|3.878003302e+25|3.878003302e+27|9.078587846e+31
5.133839848e+05|3.903156353e+25|3.968518606e+25|4.051443500e+25|3.960749399e+25|3.960749399e+27|9.180927885e+31
5.167056700e+05|3.938142498e+25|4.033169644e+25|4.133808495e+25|4.027681410e+25|4.027681410e+27|9.299967073e+31
5.195809295e+05|3.977846655e+25|4.045840959e+25|4.125984044e+25|4.052818323e+25|4.052818323e+27|9.403835827e+31
5.222164530e+05|4.001783298e+25|4.088365274e+25|4.167816743e+25|4.082221482e+25|4.082221482e+27|9.499352767e+31
5.249162290e+05|4.061529855e+25|4.141812705e+25|4.218258994e+25|4.141617018e+25|4.141617018e+27|9.597936597e+31
5.275866448e+05|4.074348199e+25|4.177096860e+25|4.254189906e+25|4.171959741e+25|4.171959741e+27|9.695942913e+31
5.305303734e+05|4.122374356e+25|4.201490253e+25|4.315746920e+25|4.216695511e+25|4.216695511e+27|9.804474322e+31
5.331516654e+05|4.184233397e+25|4.272845008e+25|4.360498629e+25|4.276670869e+25|4.276670869e+27|9.901433302e+31
5.360243730e+05|4.218899701e+25|4.297346667e+25|4.389065243e+25|4.314295267e+25|4.314295267e+27|1.000819531e+32
5.385357395e+05|4.249779827e+25|4.343858560e+25|4.418055635e+25|4.331647100e+25|4.331647100e+27|1.010236089e+32
5.413884870e+05|4.319803581e+25|4.404101493e+25|4.482187425e+25|4.406583414e+25|4.406583414e+27|1.020988389e+32
5.441149043e+05|4.364202610e+25|4.466307247e+25|4.540478750e+25|4.443899136e+25|4.443899136e+27|1.031272379e+32
5.469904522e+05|4.385655245e+25|4.512835695e+25|4.582845353e+25|4.509979607e+25|4.509979607e+27|1.042205242e+32
5.500867531e+05|4.432762076e+25|4.532236842e+25|4.601245966e+25|4.515252753e+25|4.515252753e+27|1.054058095e+32
5.528484081e+05|4.472257138e+25|4.572091113e+25|4.676289119e+25|4.552411569e+25|4.552411569e+27|1.064657641e+32
5.553067382e+05|4.553355928e+25|4.620888186e+25|4.719018872e+25|4.653266424e+25|4.653266424e+27|1.074146582e+32
5.579587479e+05|4.562984162e+25|4.658267588e+25|4.726677513e+25|4.634055078e+25|4.634055078e+27|1.084409445e+32
5.605459809e+05|4.645020871e+25|4.718872196e+25|4.824228700e+25|4.742965994e+25|4.742965994e+27|1.094503701e+32
5.632174154e+05|4.680637467e+25|4.755851837e+25|4.828595319e+25|4.770509000e+25|4.770509000e+27|1.104965761e+32
5.658482341e+05|4.717936221e+25|4.811809891e+25|4.895645638e+25|4.807769177e+25|4.807769177e+27|1.115300460e+32
5.688481113e+05|4.774421532e+25|4.852372473e+25|4.926358998e+25|4.864362302e+25|4.864362302e+27|1.127178424e+32
5.723410733e+05|4.852199007e+25|4.942896084e+25|5.024591914e+25|4.938350432e+25|4.938350432e+27|1.141055047e+32
5.750116627e+05|4.860242627e+25|4.949866588e+25|5.041791084e+25|4.950621633e+25|4.950621633e+27|1.151708294e+32
5.775819689e+05|4.922081379e+25|5.023357462e+25|5.120123299e+25|5.005333942e+25|5.005333942e+27|1.162056208e+32
5.799787615e+05|4.947546477e+25|5.043573959e+25|5.146381633e+25|5.047544744e+25|5.047544744e+27|1.171715603e+32
5.824905931e+05|4.981363230e+25|5.101643883e+25|5.171087564e+25|5.089459257e+25|5.089459257e+27|1.181877672e+32
5.851330689e+05|5.036708694e+25|5.146307418e+25|5.220380613e+25|5.122295024e+25|5.122295024e+27|1.192621344e+32
5.877555556e+05|5.137025509e+25|5.224133641e+25|5.303749580e+25|5.240387356e+25|5.240387356e+27|1.203354538e+32
5.899264638e+05|5.125696768e+25|5.217836189e+25|5.326392762e+25|5.207722018e+25|5.207722018e+27|1.212250443e+32
5.924441882e+05|5.171862279e+25|5.269884489e+25|5.373136561e+25|5.276293641e+25|5.276293641e+27|1.222622935e+32
5.950918862e+05|5.217252250e+25|5.331695437e+25|5.422753070e+25|5.355175621e+25|5.355175621e+27|1.233576583e+32
5.975635551e+05|5.242562840e+25|5.350641667e+25|5.444593677e+25|5.344578817e+25|5.344578817e+27|1.243841476e+32
6.000799328e+05|5.304180586e+25|5.388407419e+25|5.467366304e+25|5.404603012e+25|5.404603012e+27|1.254307679e+32
6.024838206e+05|5.384796281e+25|5.454616955e+25|5.515634237e+25|5.444684753e+25|5.444684753e+27|1.264409251e+32
6.046801043e+05|5.411714550e+25|5.489267303e+25|5.569367413e+25|5.506718978e+25|5.506718978e+27|1.273629640e+32
6.073031982e+05|5.441055919e+25|5.555960256e+25|5.636780001e+25|5.540962392e+25|5.540962392e+27|1.284701199e+32
6.096313643e+05|5.457806955e+25|5.576377688e+25|5.661062252e+25|5.547855174e+25|5.547855174e+27|1.294582535e+32
6.120103392e+05|5.490256062e+25|5.613675142e+25|5.707181184e+25|5.587408860e+25|5.587408860e+27|1.304698545e+32
6.142535089e+05|5.534330744e+25|5.643317922e+25|5.763767476e+25|5.669696374e+25|5.669696374e+27|1.314305285e+32
6.164667178e+05|5.585245166e+25|5.696187299e+25|5.773985601e+25|5.683996306e+25|5.683996306e+27|1.323801605e+32
6.190241888e+05|5.616925864e+25|5.715649364e+25|5.812432619e+25|5.724359418e+25|5.724359418e+27|1.334812558e+32
6.214047423e+05|5.693052019e+25|5.803780571e+25|5.878709818e+25|5.784240536e+25|5.784240536e+27|1.345093498e+32
6.238954777e+05|5.727437651e+25|5.819850843e+25|5.899305392e+25|5.795677896e+25|5.795677896e+27|1.355884801e+32
6.263344638e+05|5.803965509e+25|5.881866226e+25|5.987923386e+25|5.885531692e+25|5.885531692e+27|1.366500708e+32
6.288883765e+05|5.837042982e+25|5.930635951e+25|6.048198364e+25|5.963893514e+25|5.963893514e+27|1.377675716e+32
6.316671962e+05|5.866634535e+25|5.952644096e+25|6.059507491e+25|6.003087559e+25|6.003087559e+27|1.389891440e+32
6.341246168e+05|5.913832200e+25|6.014091887e+25|6.095421414e+25|5.985496029e+25|5.985496029e+27|1.400708173e+32
6.367059527e+05|6.009536112e+25|6.081210013e+25|6.182094533e+25|6.098353693e+25|6.098353693e+27|1.412128372e+32
6.393292344e+05|6.030684727e+25|6.111337396e+25|6.234822185e+25|6.123742613e+25|6.123742613e+27|1.423791620e+32
6.419039061e+05|6.083938221e+25|6.192770014e+25|6.276408368e+25|6.199178737e+25|6.199178737e+27|1.435294923e+32
6.444588942e+05|6.132493999e+25|6.213161104e+25|6.303064008e+25|6.236458730e+25|6.236458730e+27|1.446728026e+32
6.470614720e+05|6.126727805e+25|6.314277125e+25|6.383970493e+25|6.267604546e+25|6.267604546e+27|1.458404028e+32
6.493771925e+05|6.247838562e+25|6.323814835e+25|6.390233387e+25|6.329728644e+25|6.329728644e+27|1.468908585e+32
6.514039689e+05|6.278417231e+25|6.410592326e+25|6.480797538e+25|6.399940556e+25|6.399940556e+27|1.478116138e+32
6.532132833e+05|6.280591344e+25|6.388138194e+25|6.467011804e+25|6.359363080e+25|6.359363080e+27|1.486318477e+32
6.553370172e+05|6.336195462e+25|6.439927744e+25|6.548978735e+25|6.457974556e+25|6.457974556e+27|1.496009297e+32
6.576745122e+05|6.337444914e+25|6.463668230e+25|6.583899908e+25|6.456295909e+25|6.456295909e+27|1.506694519e+32
6.594920712e+05|6.446201757e+25|6.521547099e+25|6.640038114e+25|6.545334966e+25|6.545334966e+27|1.515025589e+32
6.616377499e+05|6.469747843e+25|6.592152206e+25|6.655848458e+25|6.556789783e+25|6.556789783e+27|1.524903419e+32
6.644761945e+05|6.569624220e+25|6.663162378e+25|6.747338233e+25|6.662297079e+25|6.662297079e+27|1.538013114e+32
6.668216199e+05|6.524432769e+25|6.644097942e+25|6.756293014e+25|6.628505901e+25|6.628505901e+27|1.548902960e+32
6.692001832e+05|6.568849684e+25|6.709777613e+25|6.784716463e+25|6.658232274e+25|6.658232274e+27|1.559950618e+32
6.717822369e+05|6.695194402e+25|6.784881299e+25|6.863755524e+25|6.781573458e+25|6.781573458e+27|1.572046296e+32
6.742043866e+05|6.726185587e+25|6.823956466e+25|6.907921397e+25|6.802651483e+25|6.802651483e+27|1.583377678e+32
6.765535835e+05|6.777250801e+25|6.873806308e+25|6.986179351e+25|6.904607084e+25|6.904607084e+27|1.594426247e+32
6.788462316e+05|6.783512807e+25|6.903060414e+25|6.994957741e+25|6.899609325e+25|6.899609325e+27|1.605235943e+32
6.806770697e+05|6.872765603e+25|6.991452383e+25|7.104793190e+25|6.998499739e+25|6.998499739e+27|1.613934109e+32
6.824972149e+05|6.852070533e+25|6.955002644e+25|7.070592870e+25|6.965588118e+25|6.965588118e+27|1.622597187e+32
6.846147675e+05|6.894905698e+25|7.005807293e+25|7.100546207e+25|7.010594248e+25|7.010594248e+27|1.632683719e+32
6.868351579e+05|6.956667287e+25|7.043333596e+25|7.174806002e+25|7.065252596e+25|7.065252596e+27|1.643254934e+32
6.892820051e+05|6.997206062e+25|7.097683752e+25|7.197881430e+25|7.095290367e+25|7.095290367e+27|1.655000108e+32
6.917727152e+05|7.063599978e+25|7.184025252e+25|7.248258479e+25|7.173885509e+25|7.173885509e+27|1.666990827e+32
6.941643123e+05|7.123726931e+25|7.236974633e+25|7.337949288e+25|7.241710811e+25|7.241710811e+27|1.678566125e+32
6.964799150e+05|7.148130782e+25|7.238903589e+25|7.347460665e+25|7.265133637e+25|7.265133637e+27|1.689745769e+32
6.985778089e+05|7.207209676e+25|7.318372519e+25|7.442083296e+25|7.347657201e+25|7.347657201e+27|1.699933642e+32
7.005859172e+05|7.294558125e+25|7.379550662e+25|7.469136961e+25|7.396314721e+25|7.396314721e+27|1.709760990e+32
7.026091473e+05|7.252373190e+25|7.397423836e+25|7.522989256e+25|7.390623297e+25|7.390623297e+27|1.719619772e+32
7.045688631e+05|7.288122411e+25|7.410462704e+25|7.498421196e+25|7.413117283e+25|7.413117283e+27|1.729240513e+32
7.068257673e+05|7.411888249e+25|7.502768454e+25|7.644106108e+25|7.551025616e+25|7.551025616e+27|1.740299936e+32
7.089857862e+05|7.442378443e+25|7.526190681e+25|7.646274264e+25|7.513555537e+25|7.513555537e+27|1.750999531e+32
7.111535260e+05|7.443359350e+25|7.565758520e+25|7.726742397e+25|7.600192523e+25|7.600192523e+27|1.761692278e+32
7.134058634e+05|7.481873787e+25|7.621298116e+25|7.746116756e+25|7.612366843e+25|7.612366843e+27|1.772881339e+32
7.154891942e+05|7.595094031e+25|7.684138559e+25|7.795294373e+25|7.685772732e+25|7.685772732e+27|1.783233240e+32
7.174132007e+05|7.588265834e+25|7.676311871e+25|7.790112912e+25|7.695037317e+25|7.695037317e+27|1.792877601e+32
7.196258173e+05|7.637828970e+25|7.769866251e+25|7.878307500e+25|7.775804680e+25|7.775804680e+27|1.803967014e+32
7.218061376e+05|7.707493419e+25|7.796549548e+25|7.935931590e+25|7.819483238e+25|7.819483238e+27|1.814856234e+32
7.244469104e+05|7.675064709e+25|7.844492957e+25|7.934937850e+25|7.823666982e+25|7.823666982e+27|1.828187660e+32
