#R_planet
3.242865362e+06
#RRR|RRR50|RR|RR50|U25|U50|U75|Umean|U25mean|U75mean|deltaU25|deltaU50|deltaU75|deltaUmean|deltaU25mean|deltaU75mean|S25|S50|S75|Smean|S25mean|S75mean|deltaS25|deltaS50|delatS75|deltaSmean|deltaS25mean|deltaS75mean|T25|T50|T75|Tmean|T25mean|T75mean|deltaT25|deltaT50|deltaT75|deltaTmean|deltaT25|deltaT75|P25|P50|P75|Pmean|P25mean|P75mean|deltaP25|deltaP50|deltaP75|deltaPmean|deltaP25mean|deltaP75mean|rho25|rho50|rho75|rhomean|rho25mean|rho75mean
1.828396533e+06|1.829065588e+06|1.819300803e+06|1.822183305e+06|3.513336438e+06|3.526467000e+06|3.547474312e+06|3.534787500e+06|3.510372750e+06|3.559202000e+06|4.333387500e+04|6.779525000e+04|1.104348750e+05|1.246142188e+05|4.004542578e+04|2.091830469e+05|2.843208020e+03|2.849708788e+03|2.855260497e+03|2.851170912e+03|2.843952935e+03|2.858388888e+03|2.308839292e+01|2.966627536e+01|3.514568677e+01|3.110746925e+01|2.388786155e+01|3.832707695e+01|2.627958513e+03|2.638486455e+03|2.649062202e+03|2.641901999e+03|2.628475618e+03|2.655328379e+03|3.411022364e+01|4.771330690e+01|6.297283138e+01|6.849618640e+01|3.421916703e+01|1.027732058e+02|2.410999552e+10|2.436896666e+10|2.461931264e+10|2.443708211e+10|2.408075674e+10|2.479341363e+10|-4.111068160e+08|1.030184960e+08|8.487275520e+08|1.424716928e+09|-5.269806400e+08|3.376414720e+09|3.788204407e+03|3.794905151e+03|3.801259888e+03|3.796215820e+03|3.787665527e+03|3.804765869e+03
1.833305170e+06|1.833440432e+06|1.823673021e+06|1.826092013e+06|3.517199688e+06|3.534896875e+06|3.558197250e+06|3.539748250e+06|3.515616250e+06|3.563879250e+06|5.143881250e+04|8.263862500e+04|1.220868750e+05|1.452429844e+05|5.278952344e+04|2.376964531e+05|2.850382197e+03|2.854046609e+03|2.859819726e+03|2.855756187e+03|2.849047324e+03|2.862465051e+03|3.032834394e+01|3.397096818e+01|3.980588610e+01|3.570017073e+01|2.899505639e+01|4.240528508e+01|2.635929748e+03|2.644979709e+03|2.654589351e+03|2.647460190e+03|2.634535239e+03|2.660385141e+03|4.161165489e+01|5.577635496e+01|7.966886121e+01|7.961817097e+01|4.212120928e+01|1.171151327e+02|2.400141875e+10|2.427290112e+10|2.454345882e+10|2.429022618e+10|2.395901542e+10|2.462144102e+10|-3.562327040e+08|7.558553600e+07|8.244208640e+08|1.700079232e+09|-4.977066880e+08|3.897865216e+09|3.786008179e+03|3.791339966e+03|3.798479919e+03|3.791995605e+03|3.784410645e+03|3.799580078e+03
1.835877015e+06|1.835896123e+06|1.825193759e+06|1.827792285e+06|3.519357875e+06|3.532040375e+06|3.550940438e+06|3.537679000e+06|3.516227000e+06|3.559131750e+06|5.905981250e+04|8.357162500e+04|2.067680000e+05|1.598104062e+05|5.296792969e+04|2.666529062e+05|2.850567947e+03|2.856029494e+03|2.861059725e+03|2.856973279e+03|2.850180868e+03|2.863765690e+03|3.048934956e+01|3.597730766e+01|4.091826079e+01|3.690630412e+01|3.011080417e+01|4.370180407e+01|2.636559178e+03|2.645716017e+03|2.654773959e+03|2.647855921e+03|2.636004021e+03|2.659707821e+03|4.587010008e+01|5.491379288e+01|1.017802690e+02|8.614465339e+01|4.377457206e+01|1.285147347e+02|2.388326195e+10|2.414181478e+10|2.442963814e+10|2.416474112e+10|2.382607974e+10|2.450340250e+10|-5.006638080e+08|3.247718400e+07|3.218180096e+09|2.030663808e+09|-6.212961920e+08|4.682624000e+09|3.781522400e+03|3.788218872e+03|3.794910034e+03|3.788836670e+03|3.780763428e+03|3.796910889e+03
1.837766060e+06|1.837801255e+06|1.826281774e+06|1.827222906e+06|3.510584750e+06|3.525806500e+06|3.552078812e+06|3.532280750e+06|3.509300500e+06|3.555260750e+06|5.334618750e+04|7.492387500e+04|1.152101250e+05|1.299458672e+05|4.898971094e+04|2.109020156e+05|2.850296307e+03|2.855632961e+03|2.864559490e+03|2.857582319e+03|2.849858532e+03|2.865306106e+03|3.025070420e+01|3.558164303e+01|4.447056216e+01|3.751987323e+01|2.979574431e+01|4.524400216e+01|2.634162704e+03|2.642719238e+03|2.659412289e+03|2.646696228e+03|2.633556007e+03|2.659836450e+03|4.335690242e+01|5.386350140e+01|7.547471597e+01|7.597260961e+01|4.254520781e+01|1.094000114e+02|2.375685171e+10|2.407628698e+10|2.425058304e+10|2.399128781e+10|2.366981734e+10|2.431275418e+10|-5.940812800e+08|-1.641533440e+08|5.588602880e+08|1.187400960e+09|-7.453661440e+08|3.120167680e+09|3.779302856e+03|3.785582275e+03|3.790667358e+03|3.784664795e+03|3.777160889e+03|3.792168457e+03
1.839651884e+06|1.839551418e+06|1.829595842e+06|1.831118897e+06|3.513288375e+06|3.528986625e+06|3.545972375e+06|3.530291500e+06|3.507301750e+06|3.553280750e+06|5.444293750e+04|7.462600000e+04|1.405640000e+05|1.439673906e+05|4.342567578e+04|2.445090938e+05|2.852010952e+03|2.857532769e+03|2.862746374e+03|2.858329002e+03|2.851427147e+03|2.865230856e+03|3.199223332e+01|3.745354688e+01|4.268206882e+01|3.827603030e+01|3.137803433e+01|4.517402627e+01|2.637013275e+03|2.644925942e+03|2.656203214e+03|2.646670995e+03|2.634668548e+03|2.658673441e+03|4.376911992e+01|5.574044342e+01|8.926006718e+01|8.184986352e+01|4.199470691e+01|1.217050201e+02|2.355222886e+10|2.393901875e+10|2.426154547e+10|2.389579571e+10|2.343439155e+10|2.435719578e+10|-8.189957120e+08|-2.363719680e+08|1.093044736e+09|1.529571200e+09|-9.461658240e+08|4.005308416e+09|3.773929565e+03|3.782910767e+03|3.791413879e+03|3.782246338e+03|3.771181885e+03|3.793309326e+03
1.841531513e+06|1.841559533e+06|1.832286267e+06|1.834612820e+06|3.520595375e+06|3.536852250e+06|3.558550625e+06|3.540097250e+06|3.513579750e+06|3.566614500e+06|5.744775000e+04|8.177100000e+04|4.026951875e+05|1.773496875e+05|5.155232422e+04|3.031469688e+05|2.853575277e+03|2.858758523e+03|2.868401443e+03|2.861710383e+03|2.853390640e+03|2.870030125e+03|3.358836997e+01|3.866360132e+01|4.836229711e+01|4.164274999e+01|3.332698824e+01|4.995851174e+01|2.639553201e+03|2.649603945e+03|2.664813549e+03|2.652711203e+03|2.637640371e+03|2.667782035e+03|4.773899563e+01|5.850304037e+01|1.793612518e+02|9.658257573e+01|4.599867092e+01|1.471664805e+02|2.369644186e+10|2.399168102e+10|2.427579034e+10|2.394223616e+10|2.358261555e+10|2.430186496e+10|-6.899799040e+08|-2.195793920e+08|8.146806016e+09|2.222419200e+09|-8.515989760e+08|5.296437248e+09|3.777562439e+03|3.783667847e+03|3.790797485e+03|3.782759033e+03|3.774292236e+03|3.791227539e+03
1.843894022e+06|1.843816579e+06|1.836859947e+06|1.839253762e+06|3.504185062e+06|3.524627500e+06|3.546728062e+06|3.525020750e+06|3.501171250e+06|3.548870750e+06|4.748381250e+04|7.811562500e+04|3.594009375e+05|1.537370469e+05|4.301626172e+04|2.644577812e+05|2.854080642e+03|2.858582749e+03|2.864891843e+03|2.859637898e+03|2.853062257e+03|2.866213538e+03|3.396450879e+01|3.849342954e+01|4.486179388e+01|3.958136751e+01|3.300333575e+01|4.615939927e+01|2.634670462e+03|2.645743798e+03|2.655806524e+03|2.646163147e+03|2.633656431e+03|2.658669862e+03|4.443656343e+01|5.907850127e+01|1.583656267e+02|8.668106008e+01|4.338416221e+01|1.299779579e+02|2.339416218e+10|2.369689190e+10|2.403067546e+10|2.368422707e+10|2.334296678e+10|2.402548736e+10|-8.139596800e+08|-3.951175680e+08|7.358902016e+09|1.723800448e+09|-1.021781120e+09|4.469381632e+09|3.769619141e+03|3.777533203e+03|3.784393005e+03|3.777063721e+03|3.769343750e+03|3.784784668e+03
1.848077563e+06|1.847749096e+06|1.838188554e+06|1.840882533e+06|3.508096500e+06|3.528548000e+06|3.546207125e+06|3.526051250e+06|3.500573000e+06|3.551528750e+06|5.183006250e+04|8.190437500e+04|4.028350625e+05|1.820298594e+05|4.523951562e+04|3.188201875e+05|2.855262233e+03|2.861913028e+03|2.867274598e+03|2.863105659e+03|2.854794626e+03|2.871416692e+03|3.515014860e+01|4.190036287e+01|4.724419409e+01|4.303571881e+01|3.472821206e+01|5.134322556e+01|2.636710633e+03|2.650065682e+03|2.660718783e+03|2.649443824e+03|2.634793267e+03|2.664094380e+03|4.866946166e+01|6.088760664e+01|1.789148123e+02|1.000163866e+02|4.504258596e+01|1.549901873e+02|2.325078477e+10|2.354112717e+10|2.384243098e+10|2.350161306e+10|2.313502925e+10|2.386820096e+10|-1.048307712e+09|-3.622553600e+08|8.142518784e+09|2.288784384e+09|-1.092095616e+09|5.669664256e+09|3.764896912e+03|3.772422729e+03|3.780190613e+03|3.772104980e+03|3.763166016e+03|3.781044678e+03
1.920696665e+06|1.927966113e+06|1.912353364e+06|1.919577762e+06|3.187175125e+06|3.215079000e+06|3.238055625e+06|3.237165000e+06|3.188277750e+06|3.286051750e+06|4.849187500e+04|7.205587500e+04|1.041960625e+05|6.424580469e+04|1.136909473e+04|1.171225234e+05|2.842457427e+03|2.856981106e+03|2.866315428e+03|2.856466031e+03|2.845164299e+03|2.867767763e+03|2.239768885e+01|3.693687292e+01|4.622123167e+01|3.639283226e+01|2.509227678e+01|4.769338773e+01|2.507749171e+03|2.528275452e+03|2.543134510e+03|2.535907417e+03|2.509939126e+03|2.561875708e+03|3.385153241e+01|5.126601722e+01|6.719516460e+01|4.888241794e+01|2.395193508e+01|7.381290079e+01|1.531363712e+10|1.546693222e+10|1.561922509e+10|1.606639411e+10|1.528864358e+10|1.684414566e+10|-3.235420160e+08|1.240069120e+08|3.332940800e+08|-4.819872640e+08|-1.663575040e+09|6.996005120e+08|3.563831299e+03|3.567995361e+03|3.572977905e+03|3.582957764e+03|3.562386475e+03|3.603530518e+03
1.933413497e+06|1.933334401e+06|1.922625498e+06|1.924070921e+06|3.195685250e+06|3.213960375e+06|3.229430562e+06|3.212647250e+06|3.191328750e+06|3.233966000e+06|4.364381250e+04|8.053687500e+04|9.849243750e+04|3.498027734e+04|-3.173125000e+04|1.016917969e+05|2.849882531e+03|2.858110392e+03|2.863815140e+03|2.857152673e+03|2.848495410e+03|2.865809937e+03|2.984375320e+01|3.808905248e+01|4.375968200e+01|3.709124122e+01|2.842765564e+01|4.575482679e+01|2.515449006e+03|2.527801236e+03|2.537963474e+03|2.526582638e+03|2.512917658e+03|2.540247618e+03|2.937189338e+01|5.179610219e+01|6.426196695e+01|3.800047620e+01|1.009651641e+01|6.590443599e+01|1.524099354e+10|1.536187034e+10|1.544960998e+10|1.534638592e+10|1.519944294e+10|1.549332787e+10|-3.243522560e+08|-8.268339200e+07|1.830845440e+08|-1.326697088e+09|-2.968551680e+09|3.151576320e+08|3.560669250e+03|3.564623047e+03|3.567205933e+03|3.563998535e+03|3.559983643e+03|3.568013184e+03
