#RRR|P25fit|P50fit|P75fit|P25model|P50model|P75model
1.620827638e+05|4.459408235e+10|4.482865935e+10|4.510677414e+10|0.000000|0.000000|0.000000
2.472869014e+05|4.425332896e+10|4.450752004e+10|4.479967346e+10|0.000000|0.000000|0.000000
2.941304838e+05|4.401323230e+10|4.427398730e+10|4.456891769e+10|0.000000|0.000000|0.000000
3.294193618e+05|4.380751289e+10|4.407153471e+10|4.436664684e+10|0.000000|0.000000|0.000000
3.595653108e+05|4.361482263e+10|4.388062194e+10|4.417476242e+10|0.000000|0.000000|0.000000
3.880800473e+05|4.341816254e+10|4.368487139e+10|4.397725424e+10|0.000000|0.000000|0.000000
4.149730330e+05|4.321985058e+10|4.348679795e+10|4.377686686e+10|0.000000|0.000000|0.000000
4.384561940e+05|4.303648669e+10|4.330319876e+10|4.359078982e+10|0.000000|0.000000|0.000000
4.631647786e+05|4.283328948e+10|4.309935191e+10|4.338393411e+10|0.000000|0.000000|0.000000
4.845663630e+05|4.264878242e+10|4.291398193e+10|4.319566822e+10|0.000000|0.000000|0.000000
5.051492488e+05|4.246388792e+10|4.272802129e+10|4.300670363e+10|0.000000|0.000000|0.000000
5.270307614e+05|4.225932694e+10|4.252209952e+10|4.279738755e+10|0.000000|0.000000|0.000000
5.464789517e+05|4.207059837e+10|4.233198633e+10|4.260411160e+10|0.000000|0.000000|0.000000
5.643343066e+05|4.189160171e+10|4.215158981e+10|4.242071165e+10|0.000000|0.000000|0.000000
5.830183830e+05|4.169843548e+10|4.195684237e+10|4.222273890e+10|0.000000|0.000000|0.000000
6.019305630e+05|4.149681371e+10|4.175351433e+10|4.201607988e+10|0.000000|0.000000|0.000000
6.177231177e+05|4.132375666e+10|4.157896203e+10|4.183870890e+10|0.000000|0.000000|0.000000
6.354194497e+05|4.112477043e+10|4.137823549e+10|4.163479798e+10|0.000000|0.000000|0.000000
6.524294207e+05|4.092846223e+10|4.118020049e+10|4.143368939e+10|0.000000|0.000000|0.000000
6.697484992e+05|4.072352031e+10|4.097345658e+10|4.122381627e+10|0.000000|0.000000|0.000000
6.833917351e+05|4.055848257e+10|4.080697486e+10|4.105487785e+10|0.000000|0.000000|0.000000
6.991005880e+05|4.036454308e+10|4.061135296e+10|4.085644473e+10|0.000000|0.000000|0.000000
7.149431430e+05|4.016471737e+10|4.040981598e+10|4.065209989e+10|0.000000|0.000000|0.000000
7.301491122e+05|3.996892906e+10|4.021237798e+10|4.045200044e+10|0.000000|0.000000|0.000000
7.446144476e+05|3.977905585e+10|4.002093449e+10|4.025806223e+10|0.000000|0.000000|0.000000
7.573756634e+05|3.960862609e+10|3.984912273e+10|4.008408444e+10|0.000000|0.000000|0.000000
7.710727040e+05|3.942265392e+10|3.966167459e+10|3.989435228e+10|0.000000|0.000000|0.000000
7.866224790e+05|3.920771496e+10|3.944507414e+10|3.967521569e+10|0.000000|0.000000|0.000000
8.004453137e+05|3.901325295e+10|3.924915207e+10|3.947709471e+10|0.000000|0.000000|0.000000
8.126942377e+05|3.883827028e+10|3.907289201e+10|3.929893331e+10|0.000000|0.000000|0.000000
