#R_planet
3.798452596e+06
#RRR|RRR50|RR|RR50|U25|U50|U75|Umean|U25mean|U75mean|deltaU25|deltaU50|deltaU75|deltaUmean|deltaU25mean|deltaU75mean|S25|S50|S75|Smean|S25mean|S75mean|deltaS25|deltaS50|delatS75|deltaSmean|deltaS25mean|deltaS75mean|T25|T50|T75|Tmean|T25mean|T75mean|deltaT25|deltaT50|deltaT75|deltaTmean|deltaT25|deltaT75|P25|P50|P75|Pmean|P25mean|P75mean|deltaP25|deltaP50|deltaP75|deltaPmean|deltaP25mean|deltaP75mean|rho25|rho50|rho75|rhomean|rho25mean|rho75mean
2.002289530e+06|2.003882892e+06|2.002289530e+06|2.003882892e+06|3.907329375e+06|4.000523000e+06|4.107741375e+06|4.010880250e+06|3.904597500e+06|4.117163000e+06|9.185895000e+05|9.787218750e+05|1.071460250e+06|9.854422500e+05|8.774936875e+05|1.093391000e+06|3.030684694e+03|3.057957695e+03|3.093239271e+03|3.062446020e+03|3.027355366e+03|3.097536674e+03|2.105619712e+02|2.378430351e+02|2.731216587e+02|2.423254787e+02|2.072347470e+02|2.774162104e+02|2.918496512e+03|2.951967766e+03|2.980141708e+03|2.950585245e+03|2.913709581e+03|2.987460908e+03|5.097458268e+02|5.449944996e+02|5.918362408e+02|5.443456257e+02|4.925795626e+02|5.961116888e+02|2.242950758e+10|2.313203405e+10|2.385295002e+10|2.328363622e+10|2.245151130e+10|2.411576115e+10|9.524414208e+09|1.262959565e+10|1.454583373e+10|1.165755904e+10|8.230690304e+09|1.508442931e+10|3.709881409e+03|3.723650146e+03|3.735985229e+03|3.725898682e+03|3.707145020e+03|3.744652100e+03
2.010973160e+06|2.010999873e+06|2.010973160e+06|2.010999873e+06|3.942952125e+06|4.011722750e+06|4.159699438e+06|4.056219000e+06|3.935188750e+06|4.177248750e+06|8.908445625e+05|9.674138750e+05|1.060253188e+06|9.839732500e+05|8.599638125e+05|1.107982625e+06|3.045208676e+03|3.074231531e+03|3.130439166e+03|3.089303458e+03|3.042651925e+03|3.135954990e+03|2.250819950e+02|2.541130181e+02|3.103193491e+02|2.691826465e+02|2.225307134e+02|3.158345796e+02|2.930562183e+03|2.955704098e+03|2.971593173e+03|2.951097258e+03|2.925305896e+03|2.976888620e+03|4.858664009e+02|5.240016407e+02|5.617524670e+02|5.174976874e+02|4.662250560e+02|5.687703187e+02|2.219542630e+10|2.278089216e+10|2.335072154e+10|2.279609139e+10|2.203169587e+10|2.356048896e+10|7.845735168e+09|1.035437773e+10|1.289439155e+10|9.546188800e+09|6.118602752e+09|1.297377485e+10|3.684352417e+03|3.707684937e+03|3.723313904e+03|3.705530518e+03|3.683077881e+03|3.727983398e+03
2.015552305e+06|2.015410136e+06|2.015552305e+06|2.015410136e+06|3.935008688e+06|4.029133750e+06|4.116311688e+06|4.036579500e+06|3.929075500e+06|4.144083750e+06|8.997866875e+05|9.797877500e+05|1.062381875e+06|9.686446250e+05|8.600681875e+05|1.077221375e+06|3.045605914e+03|3.082826638e+03|3.113416125e+03|3.084470713e+03|3.044443074e+03|3.124498352e+03|2.254870764e+02|2.627109655e+02|2.932967359e+02|2.643493934e+02|2.243213842e+02|3.043774025e+02|2.927323752e+03|2.950219804e+03|2.969097140e+03|2.947098259e+03|2.920639323e+03|2.973557195e+03|4.789582411e+02|5.144856207e+02|5.538404208e+02|5.135722669e+02|4.656709266e+02|5.614736073e+02|2.205881242e+10|2.245812531e+10|2.317470515e+10|2.260375142e+10|2.188162458e+10|2.332588237e+10|7.874236928e+09|9.970195968e+09|1.196447770e+10|9.421180928e+09|6.484400640e+09|1.235796378e+10|3.684955200e+03|3.703472412e+03|3.719211487e+03|3.702363037e+03|3.681276367e+03|3.723448975e+03
2.019739926e+06|2.019648968e+06|2.019739926e+06|2.019648968e+06|3.949965312e+06|4.038244750e+06|4.109312188e+06|4.044287000e+06|3.934999000e+06|4.153575750e+06|8.903738750e+05|9.616842500e+05|1.061798750e+06|9.684448750e+05|8.508498125e+05|1.086039750e+06|3.051987734e+03|3.083893517e+03|3.125878648e+03|3.092042387e+03|3.051127088e+03|3.132957685e+03|2.318704154e+02|2.637667877e+02|3.057590013e+02|2.719215674e+02|2.310067529e+02|3.128363820e+02|2.923404346e+03|2.949317196e+03|2.966442978e+03|2.945150387e+03|2.918751305e+03|2.971549470e+03|4.803068450e+02|5.136213222e+02|5.519545053e+02|5.097407085e+02|4.578307531e+02|5.616506638e+02|2.167694797e+10|2.234685030e+10|2.286163866e+10|2.234173645e+10|2.153489613e+10|2.314857882e+10|7.321413376e+09|9.454675968e+09|1.194464512e+10|8.978960384e+09|5.681563136e+09|1.227635507e+10|3.675803040e+03|3.695306274e+03|3.709881836e+03|3.693395020e+03|3.670671143e+03|3.716118408e+03
2.024112282e+06|2.024164978e+06|2.024112282e+06|2.024164978e+06|3.918594938e+06|3.982784500e+06|4.087025312e+06|4.017763750e+06|3.911198000e+06|4.124328250e+06|8.591070625e+05|9.365763750e+05|1.012225500e+06|9.291888750e+05|8.053871250e+05|1.052990500e+06|3.051524205e+03|3.069091770e+03|3.108985561e+03|3.086939284e+03|3.047433052e+03|3.126445516e+03|2.314033421e+02|2.489732264e+02|2.888612489e+02|2.668189055e+02|2.273121236e+02|3.063256874e+02|2.916960943e+03|2.935765702e+03|2.960222336e+03|2.937239982e+03|2.913981179e+03|2.960498786e+03|4.699709958e+02|5.065573562e+02|5.528942643e+02|4.983210788e+02|4.425788699e+02|5.540632878e+02|2.147744922e+10|2.203139072e+10|2.262605466e+10|2.199816602e+10|2.121752576e+10|2.277880422e+10|6.715094528e+09|9.236271616e+09|1.201485978e+10|8.325185536e+09|4.465446912e+09|1.218492518e+10|3.664468018e+03|3.690283569e+03|3.707767578e+03|3.686429688e+03|3.663060547e+03|3.709799316e+03
2.027639536e+06|2.027581219e+06|2.027639536e+06|2.027581219e+06|3.946060688e+06|4.049172500e+06|4.132513750e+06|4.048390750e+06|3.929435250e+06|4.167345250e+06|8.753624375e+05|9.429210000e+05|1.036712500e+06|9.564621875e+05|8.299579375e+05|1.082966125e+06|3.059588858e+03|3.091923036e+03|3.135008763e+03|3.103443899e+03|3.057162634e+03|3.149725165e+03|2.394675850e+02|2.718045682e+02|3.148969145e+02|2.833233795e+02|2.370415950e+02|3.296051640e+02|2.920955898e+03|2.938354073e+03|2.956243358e+03|2.935021696e+03|2.911756324e+03|2.958287068e+03|4.662617479e+02|4.987681542e+02|5.327250226e+02|4.952168363e+02|4.414671579e+02|5.489665147e+02|2.120416666e+10|2.178195866e+10|2.245763789e+10|2.177641472e+10|2.096447693e+10|2.258835251e+10|6.289943552e+09|8.771884544e+09|1.084566272e+10|8.028324352e+09|4.412497408e+09|1.164415181e+10|3.653787903e+03|3.673942017e+03|3.698295532e+03|3.675310547e+03|3.651372070e+03|3.699250244e+03
2.032098129e+06|2.032054157e+06|2.032098129e+06|2.032054157e+06|3.886196875e+06|4.008337875e+06|4.107870812e+06|4.013320250e+06|3.894237000e+06|4.132404250e+06|8.346772500e+05|9.073102500e+05|1.001943188e+06|9.152265625e+05|8.015699375e+05|1.028883375e+06|3.050672622e+03|3.083054644e+03|3.140539473e+03|3.097654312e+03|3.052461851e+03|3.142846773e+03|2.305508263e+02|2.629311003e+02|3.204172225e+02|2.775337561e+02|2.323403417e+02|3.227271704e+02|2.904035482e+03|2.919485815e+03|2.943612206e+03|2.922396189e+03|2.900264870e+03|2.944527508e+03|4.472684582e+02|4.798176633e+02|5.139227918e+02|4.751203619e+02|4.281645207e+02|5.220762031e+02|2.051869082e+10|2.125215130e+10|2.206897971e+10|2.126419763e+10|2.045492429e+10|2.207347098e+10|5.740878080e+09|7.633003008e+09|1.017845402e+10|7.168685056e+09|3.945430272e+09|1.039193907e+10|3.639936951e+03|3.664077881e+03|3.686889038e+03|3.664037842e+03|3.639834717e+03|3.688240967e+03
2.037349091e+06|2.037233322e+06|2.037349091e+06|2.037233322e+06|3.902258625e+06|4.012025875e+06|4.094719562e+06|4.012189500e+06|3.904491750e+06|4.119887250e+06|8.177475625e+05|8.912556250e+05|9.798030625e+05|8.983197500e+05|7.732050625e+05|1.023434562e+06|3.067961711e+03|3.098380571e+03|3.135691371e+03|3.102228058e+03|3.062303851e+03|3.142152266e+03|2.478394674e+02|2.782583035e+02|3.155673751e+02|2.821075121e+02|2.421822179e+02|3.220328064e+02|2.899057406e+03|2.920556975e+03|2.939734809e+03|2.916762010e+03|2.893266408e+03|2.940257613e+03|4.391970883e+02|4.760325424e+02|4.980787509e+02|4.621398603e+02|4.143893880e+02|5.098903326e+02|2.038349363e+10|2.110450995e+10|2.174740685e+10|2.096552141e+10|2.012589261e+10|2.180514611e+10|5.391067904e+09|7.478556160e+09|9.401016832e+09|6.386153984e+09|3.178694144e+09|9.593614336e+09|3.636456787e+03|3.657539062e+03|3.676304504e+03|3.654749756e+03|3.631847900e+03|3.677652100e+03
2.046391913e+06|2.045663060e+06|2.046391913e+06|2.045663060e+06|3.871014438e+06|3.980917125e+06|4.072004062e+06|3.986213750e+06|3.872292250e+06|4.100135000e+06|7.793444375e+05|8.683866250e+05|9.807319375e+05|8.608770625e+05|7.242671875e+05|9.974869375e+05|3.062521465e+03|3.096848789e+03|3.142911316e+03|3.106124013e+03|3.062389677e+03|3.149858349e+03|2.423988624e+02|2.767257976e+02|3.227831642e+02|2.860028349e+02|2.422685564e+02|3.297371134e+02|2.872080600e+03|2.897411976e+03|2.918058176e+03|2.895590614e+03|2.870203082e+03|2.920978146e+03|4.055076269e+02|4.540304987e+02|4.847372861e+02|4.362833777e+02|3.814211399e+02|4.911456155e+02|1.929037978e+10|2.011176346e+10|2.090067354e+10|2.010320282e+10|1.916042650e+10|2.104598528e+10|4.439934720e+09|6.133807616e+09|8.452524800e+09|5.193715712e+09|1.656513536e+09|8.730917888e+09|3.607705994e+03|3.629307251e+03|3.655894165e+03|3.630565918e+03|3.603724121e+03|3.657408203e+03
2.067138051e+06|2.066655135e+06|2.067138051e+06|2.066655135e+06|3.769025312e+06|3.875532125e+06|4.036765250e+06|3.905798750e+06|3.763481250e+06|4.048115750e+06|7.482545625e+05|8.586273750e+05|9.409428125e+05|8.514643125e+05|7.087012500e+05|9.942274375e+05|3.052338145e+03|3.092139049e+03|3.157811743e+03|3.106429327e+03|3.053911349e+03|3.158947305e+03|2.322155115e+02|2.720177088e+02|3.376899970e+02|2.863083555e+02|2.337899198e+02|3.388267911e+02|2.814623378e+03|2.829046968e+03|2.862261541e+03|2.840505595e+03|2.811152405e+03|2.869858784e+03|3.761444849e+02|4.228928623e+02|4.648823682e+02|4.197453737e+02|3.564457730e+02|4.830449743e+02|1.709362816e+10|1.763799962e+10|1.906415206e+10|1.807477146e+10|1.697850880e+10|1.917103923e+10|3.202623488e+09|6.081920512e+09|8.598211968e+09|5.529804288e+09|1.827387776e+09|9.232220160e+09|3.548795959e+03|3.567534180e+03|3.595264160e+03|3.574793457e+03|3.545372559e+03|3.604214355e+03
