#RRR|Lz25|Lz50|Lz75|Lzmean|Lzsum|Isum
3.597941420e+04|4.843765416e+23|9.906608131e+23|1.855971734e+24|1.284533872e+24|1.284533872e+26|5.095771070e+29
6.678032357e+04|2.942359033e+24|3.589133230e+24|4.621453383e+24|3.751043762e+24|3.751043762e+26|1.566079268e+30
8.522236017e+04|5.076810241e+24|6.131032609e+24|7.453437093e+24|6.305787904e+24|6.305787904e+26|2.537113644e+30
1.002077419e+05|7.314217418e+24|8.649302310e+24|1.000932272e+25|8.783121976e+24|8.783121976e+26|3.505625527e+30
1.146455227e+05|1.003584984e+25|1.128202693e+25|1.265207621e+25|1.116228115e+25|1.116228115e+27|4.584430760e+30
1.273386360e+05|1.176284411e+25|1.364576398e+25|1.517177293e+25|1.365478785e+25|1.365478785e+27|5.653101820e+30
1.384342859e+05|1.490375049e+25|1.642732256e+25|1.824679001e+25|1.669461739e+25|1.669461739e+27|6.679379978e+30
1.486715973e+05|1.719179664e+25|1.911493175e+25|2.109194294e+25|1.911984103e+25|1.911984103e+27|7.700936838e+30
1.579871140e+05|1.910955681e+25|2.119915107e+25|2.301669953e+25|2.077209165e+25|2.077209165e+27|8.698817955e+30
1.670672179e+05|2.178768444e+25|2.398658607e+25|2.596096659e+25|2.388400754e+25|2.388400754e+27|9.723547567e+30
1.748780745e+05|2.391871457e+25|2.597774936e+25|2.805119634e+25|2.588756987e+25|2.588756987e+27|1.065628700e+31
1.830877876e+05|2.682053764e+25|2.842695062e+25|3.056505025e+25|2.887579276e+25|2.887579276e+27|1.167960033e+31
1.917421042e+05|2.942469248e+25|3.175628477e+25|3.361896548e+25|3.151198735e+25|3.151198735e+27|1.281206351e+31
1.993441217e+05|3.126331176e+25|3.404547253e+25|3.669674892e+25|3.364653761e+25|3.364653761e+27|1.384253131e+31
2.062631216e+05|3.404746786e+25|3.623898993e+25|3.877234170e+25|3.627739528e+25|3.627739528e+27|1.482296396e+31
2.140028106e+05|3.631025823e+25|3.968651208e+25|4.237487258e+25|3.939562180e+25|3.939562180e+27|1.595506925e+31
2.204688295e+05|3.845033617e+25|4.140250085e+25|4.390419907e+25|4.125869809e+25|4.125869809e+27|1.693836930e+31
2.274160544e+05|4.088573745e+25|4.390506313e+25|4.738939943e+25|4.390828613e+25|4.390828613e+27|1.801834635e+31
2.332660680e+05|4.412002689e+25|4.718350851e+25|4.935576808e+25|4.680692991e+25|4.680692991e+27|1.895365591e+31
2.392276338e+05|4.501319857e+25|4.880218948e+25|5.175571885e+25|4.862181222e+25|4.862181222e+27|1.993847841e+31
2.448941127e+05|4.811006482e+25|5.207099711e+25|5.507819926e+25|5.175232467e+25|5.175232467e+27|2.089360647e+31
