#R_planet
3.462892810e+06
#RRR|RRR50|RR|RR50|U25|U50|U75|Umean|U25mean|U75mean|deltaU25|deltaU50|deltaU75|deltaUmean|deltaU25mean|deltaU75mean|S25|S50|S75|Smean|S25mean|S75mean|deltaS25|deltaS50|delatS75|deltaSmean|deltaS25mean|deltaS75mean|T25|T50|T75|Tmean|T25mean|T75mean|deltaT25|deltaT50|deltaT75|deltaTmean|deltaT25|deltaT75|P25|P50|P75|Pmean|P25mean|P75mean|deltaP25|deltaP50|deltaP75|deltaPmean|deltaP25mean|deltaP75mean|rho25|rho50|rho75|rhomean|rho25mean|rho75mean
1.627836146e+05|1.721051754e+05|1.291832120e+05|1.332409801e+05|2.208787688e+06|2.221493375e+06|2.228860750e+06|2.219239000e+06|2.206598500e+06|2.231879750e+06|1.238866875e+05|1.343852500e+05|1.482895625e+05|1.362328438e+05|1.214161562e+05|1.510495469e+05|1.902132390e+03|1.905521912e+03|1.908168201e+03|1.904861528e+03|1.901241125e+03|1.908481932e+03|4.984449570e+01|5.323469438e+01|5.588369251e+01|5.257577522e+01|4.895569004e+01|5.619586040e+01|3.414062204e+03|3.437397402e+03|3.448489350e+03|3.431994449e+03|3.410840139e+03|3.453148758e+03|2.390025788e+02|2.592192144e+02|2.741396755e+02|2.597003729e+02|2.374926217e+02|2.819081240e+02|4.508818637e+10|4.536105984e+10|4.563343974e+10|4.534987571e+10|4.500190413e+10|4.569783910e+10|3.104706560e+08|7.161835520e+08|1.197682688e+09|7.463047680e+08|1.377404480e+08|1.354869248e+09|8.069010498e+03|8.080077637e+03|8.088086548e+03|8.078251465e+03|8.067729492e+03|8.088772461e+03
2.473646944e+05|2.472070244e+05|1.948121224e+05|2.129433518e+05|2.204698000e+06|2.212795125e+06|2.223190062e+06|2.213163500e+06|2.201316750e+06|2.225010500e+06|1.201541875e+05|1.377946250e+05|1.486300000e+05|1.352536875e+05|1.195403984e+05|1.509669844e+05|1.900879517e+03|1.904289725e+03|1.906920096e+03|1.904035651e+03|1.900356466e+03|1.907714836e+03|4.859518182e+01|5.200369139e+01|5.463077360e+01|5.174945243e+01|4.807030652e+01|5.542859834e+01|3.406107168e+03|3.424519785e+03|3.440403546e+03|3.423308397e+03|3.403489035e+03|3.443127760e+03|2.366692940e+02|2.587293027e+02|2.772792599e+02|2.565878353e+02|2.339683563e+02|2.792073143e+02|4.487832064e+10|4.512385638e+10|4.546689024e+10|4.514390016e+10|4.476576973e+10|4.552203878e+10|2.014371840e+08|8.779980800e+08|1.410834432e+09|8.053400320e+08|1.030682240e+08|1.507612160e+09|8.063105347e+03|8.074215088e+03|8.083824097e+03|8.073571777e+03|8.061314453e+03|8.085830078e+03
2.942242142e+05|2.955066130e+05|2.299555022e+05|2.496442333e+05|2.194669938e+06|2.206966500e+06|2.219868938e+06|2.207724250e+06|2.193883500e+06|2.221565000e+06|1.192428125e+05|1.347343750e+05|1.514041562e+05|1.362906875e+05|1.168255781e+05|1.557557969e+05|1.899087809e+03|1.903684451e+03|1.907754692e+03|1.903356904e+03|1.898646207e+03|1.908067600e+03|4.680275096e+01|5.139762285e+01|5.546815034e+01|5.107081397e+01|4.636034288e+01|5.578128506e+01|3.393719790e+03|3.416142818e+03|3.437278107e+03|3.415669516e+03|3.391317480e+03|3.440021553e+03|2.294929303e+02|2.561250310e+02|2.823141835e+02|2.560789316e+02|2.276221995e+02|2.845356638e+02|4.469895885e+10|4.495827149e+10|4.523944346e+10|4.495082701e+10|4.461280870e+10|4.528884531e+10|2.347038720e+08|9.068380160e+08|1.619524608e+09|9.495550080e+08|1.631340960e+08|1.735976192e+09|8.059656250e+03|8.072030029e+03|8.079294312e+03|8.069026367e+03|8.056409180e+03|8.081642578e+03
3.297149138e+05|3.306142143e+05|2.578588942e+05|2.785836783e+05|2.194570750e+06|2.201967875e+06|2.215082000e+06|2.204052750e+06|2.191525250e+06|2.216579750e+06|1.156295000e+05|1.328108750e+05|1.496427812e+05|1.330296406e+05|1.145583281e+05|1.515009688e+05|1.899232405e+03|1.902400905e+03|1.906785970e+03|1.902893631e+03|1.898760161e+03|1.907027101e+03|4.694686950e+01|5.011542618e+01|5.450227056e+01|5.060741302e+01|4.647382290e+01|5.474100314e+01|3.393601849e+03|3.405143254e+03|3.430815168e+03|3.410516326e+03|3.388073264e+03|3.432959389e+03|2.272753916e+02|2.487954646e+02|2.730482912e+02|2.513962648e+02|2.251539127e+02|2.776386169e+02|4.465311949e+10|4.489524224e+10|4.508468736e+10|4.482199962e+10|4.450530918e+10|4.513869005e+10|1.441515520e+08|8.069345280e+08|1.480843264e+09|8.423622400e+08|6.183378800e+07|1.622890624e+09|8.059771240e+03|8.068183350e+03|8.075797363e+03|8.066033203e+03|8.055479980e+03|8.076585449e+03
3.583878710e+05|3.572610959e+05|2.898858291e+05|3.109324358e+05|2.184632438e+06|2.197213000e+06|2.210740688e+06|2.198798000e+06|2.184686250e+06|2.212909000e+06|1.168620312e+05|1.312613125e+05|1.502373125e+05|1.343201562e+05|1.159010703e+05|1.527392344e+05|1.897953031e+03|1.902776690e+03|1.906501225e+03|1.902328963e+03|1.897325122e+03|1.907332804e+03|4.566449056e+01|5.049113165e+01|5.421185339e+01|5.004239853e+01|4.503884322e+01|5.504595384e+01|3.379073567e+03|3.405938610e+03|3.421726718e+03|3.403313960e+03|3.377907232e+03|3.428720687e+03|2.220765026e+02|2.470592473e+02|2.757862205e+02|2.513792277e+02|2.233618768e+02|2.793965785e+02|4.436473344e+10|4.461759898e+10|4.493312205e+10|4.462415462e+10|4.429425050e+10|4.495405875e+10|3.368499200e+08|9.321656320e+08|1.589954560e+09|9.851781120e+08|2.650702720e+08|1.705286144e+09|8.048737305e+03|8.064823242e+03|8.070487549e+03|8.061166992e+03|8.049546875e+03|8.072785645e+03
3.859795305e+05|3.859564495e+05|3.265479371e+05|3.536461433e+05|2.180289875e+06|2.187846750e+06|2.201992250e+06|2.189821500e+06|2.176266000e+06|2.203376750e+06|1.089303438e+05|1.245393125e+05|1.445826250e+05|1.270204766e+05|1.064211719e+05|1.476197812e+05|1.896769071e+03|1.901451323e+03|1.903693134e+03|1.900704064e+03|1.896284713e+03|1.905123415e+03|4.448253007e+01|4.916461425e+01|5.140682046e+01|4.841733262e+01|4.399819822e+01|5.283646702e+01|3.371207352e+03|3.385174955e+03|3.409995120e+03|3.389674026e+03|3.366221188e+03|3.413126863e+03|2.131135470e+02|2.400812573e+02|2.639464947e+02|2.396292243e+02|2.096257657e+02|2.696326829e+02|4.403039027e+10|4.444257485e+10|4.472748646e+10|4.436558643e+10|4.395635507e+10|4.477482598e+10|8.704921600e+07|9.033871360e+08|1.474681856e+09|8.145212800e+08|1.215914000e+07|1.616883328e+09|8.043129517e+03|8.058709473e+03|8.068602295e+03|8.056113281e+03|8.042562988e+03|8.069662109e+03
4.108655894e+05|4.111127531e+05|3.591432954e+05|3.740339550e+05|2.175331562e+06|2.185773875e+06|2.198775250e+06|2.187231000e+06|2.174261250e+06|2.200200750e+06|1.055889062e+05|1.235358125e+05|1.374148125e+05|1.228678984e+05|1.027289531e+05|1.430068594e+05|1.896626729e+03|1.899734884e+03|1.904489797e+03|1.900682167e+03|1.896058490e+03|1.905305845e+03|4.434103523e+01|4.744830821e+01|5.220499822e+01|4.839578602e+01|4.377216319e+01|5.301940886e+01|3.366841543e+03|3.382265162e+03|3.406278692e+03|3.386625354e+03|3.363251708e+03|3.409999001e+03|2.126847952e+02|2.321979826e+02|2.524824271e+02|2.348693018e+02|2.066447427e+02|2.630938608e+02|4.401573171e+10|4.427247002e+10|4.452222771e+10|4.423726285e+10|4.393343795e+10|4.454107955e+10|-1.200885760e+08|6.235340800e+08|1.248509952e+09|6.048946560e+08|-2.590384160e+08|1.468827776e+09|8.042500366e+03|8.055578857e+03|8.062794800e+03|8.052439941e+03|8.041029785e+03|8.063848145e+03
4.338352597e+05|4.331863576e+05|3.768545204e+05|3.908296572e+05|2.171730938e+06|2.182583750e+06|2.194181812e+06|2.183922000e+06|2.170261750e+06|2.197582000e+06|1.127482500e+05|1.248853750e+05|1.457443438e+05|1.297955469e+05|1.102649766e+05|1.493261250e+05|1.895719355e+03|1.899337681e+03|1.904661276e+03|1.900039123e+03|1.895265979e+03|1.904812267e+03|4.343005765e+01|4.705257950e+01|5.237147563e+01|4.775206657e+01|4.297892456e+01|5.252520857e+01|3.358631902e+03|3.380685704e+03|3.400544702e+03|3.381515842e+03|3.357183329e+03|3.405848355e+03|2.155868646e+02|2.359362779e+02|2.642615988e+02|2.411661240e+02|2.120480581e+02|2.702841898e+02|4.390699725e+10|4.416697958e+10|4.438313984e+10|4.414650778e+10|4.380720742e+10|4.448580403e+10|3.616798720e+08|1.001506816e+09|1.650331648e+09|1.049087168e+09|2.609439520e+08|1.837230208e+09|8.041754028e+03|8.054153076e+03|8.060845581e+03|8.050760742e+03|8.038919434e+03|8.062601074e+03
4.569592779e+05|4.563631461e+05|4.103016935e+05|4.250173920e+05|2.166795312e+06|2.177464375e+06|2.186158938e+06|2.177817500e+06|2.165878750e+06|2.189756250e+06|1.056685938e+05|1.221208750e+05|1.391015000e+05|1.232530938e+05|1.044877422e+05|1.420184375e+05|1.894601547e+03|1.899652728e+03|1.903343247e+03|1.899512510e+03|1.894807099e+03|1.904217921e+03|4.231792491e+01|4.736684681e+01|5.105553140e+01|4.722569122e+01|4.252031488e+01|5.193106755e+01|3.352058332e+03|3.373474550e+03|3.390638019e+03|3.373362329e+03|3.351282288e+03|3.395442370e+03|2.096797648e+02|2.308105299e+02|2.576882999e+02|2.324693177e+02|2.043045623e+02|2.606340731e+02|4.368449638e+10|4.391434854e+10|4.410583347e+10|4.390097306e+10|4.363545805e+10|4.416648397e+10|1.409064960e+08|7.580282880e+08|1.288864768e+09|7.799433600e+08|8.587764000e+07|1.474008960e+09|8.035187866e+03|8.045559570e+03|8.055480957e+03|8.044428711e+03|8.033154297e+03|8.055704590e+03
4.772489281e+05|4.774509817e+05|4.331947509e+05|4.441999209e+05|2.159895562e+06|2.169878875e+06|2.186179750e+06|2.172057500e+06|2.157959250e+06|2.186155750e+06|1.030064688e+05|1.178930625e+05|1.380307812e+05|1.192715312e+05|1.001221797e+05|1.384208750e+05|1.893517786e+03|1.898445686e+03|1.903197964e+03|1.898387697e+03|1.893507498e+03|1.903267896e+03|4.122939689e+01|4.616086624e+01|5.091283463e+01|4.610062917e+01|4.121993093e+01|5.098132741e+01|3.342970731e+03|3.360501859e+03|3.392161558e+03|3.364476553e+03|3.339207068e+03|3.389746038e+03|2.003003095e+02|2.240042159e+02|2.537759152e+02|2.255926020e+02|1.966945500e+02|2.544906539e+02|4.349471437e+10|4.377837773e+10|4.400305562e+10|4.374263398e+10|4.343206707e+10|4.405319270e+10|4.990976000e+06|5.659054080e+08|1.247668224e+09|7.149025920e+08|-6.934487200e+07|1.499149824e+09|8.032772095e+03|8.044291748e+03|8.051071411e+03|8.041497070e+03|8.031145508e+03|8.051847656e+03
