#R_planet
3.462892810e+06
#RRR|RRR50|RR|RR50|U25|U50|U75|Umean|U25mean|U75mean|deltaU25|deltaU50|deltaU75|deltaUmean|deltaU25mean|deltaU75mean|S25|S50|S75|Smean|S25mean|S75mean|deltaS25|deltaS50|delatS75|deltaSmean|deltaS25mean|deltaS75mean|T25|T50|T75|Tmean|T25mean|T75mean|deltaT25|deltaT50|deltaT75|deltaTmean|deltaT25|deltaT75|P25|P50|P75|Pmean|P25mean|P75mean|deltaP25|deltaP50|deltaP75|deltaPmean|deltaP25mean|deltaP75mean|rho25|rho50|rho75|rhomean|rho25mean|rho75mean
1.895564394e+06|1.895651704e+06|1.885216432e+06|1.886543352e+06|3.707340312e+06|3.745119500e+06|3.797106500e+06|3.778411250e+06|3.704757750e+06|3.852064750e+06|2.790693125e+05|3.390240000e+05|6.015172500e+05|4.431042812e+05|2.689970312e+05|6.172115000e+05|2.920857777e+03|2.933328729e+03|2.946309297e+03|2.936177794e+03|2.921208661e+03|2.951146927e+03|1.007669289e+02|1.133200841e+02|1.262813205e+02|1.161090354e+02|1.011499255e+02|1.310681453e+02|2.757943565e+03|2.782383403e+03|2.810209918e+03|2.793138434e+03|2.758416853e+03|2.827860015e+03|1.842138833e+02|2.163692688e+02|3.045712033e+02|2.467928307e+02|1.797416876e+02|3.138439737e+02|2.424938035e+10|2.471237632e+10|2.528767334e+10|2.538689741e+10|2.419006054e+10|2.658374246e+10|1.932764160e+08|1.416289280e+09|9.055762944e+09|4.408518144e+09|1.707984960e+08|8.646238208e+09|3.776299866e+03|3.786967773e+03|3.803025146e+03|3.802103516e+03|3.775129883e+03|3.829076660e+03
1.921529882e+06|1.923239907e+06|1.909720113e+06|1.910877827e+06|3.739031562e+06|3.856266000e+06|4.016653188e+06|3.914922500e+06|3.744974000e+06|4.084871000e+06|3.560259375e+05|6.087123750e+05|8.359788125e+05|6.369702500e+05|3.703227500e+05|9.036178125e+05|2.948859938e+03|2.995889186e+03|3.049972762e+03|3.010715310e+03|2.952969550e+03|3.068461070e+03|1.288228847e+02|1.758173052e+02|2.299595229e+02|1.906474274e+02|1.328980028e+02|2.483968521e+02|2.790346028e+03|2.876704630e+03|2.949451399e+03|2.883513225e+03|2.798609794e+03|2.968416656e+03|2.487537290e+02|3.485806271e+02|4.707023358e+02|3.593263129e+02|2.427494957e+02|4.759031301e+02|2.263951411e+10|2.372277555e+10|2.468559206e+10|2.411689370e+10|2.257364173e+10|2.566014566e+10|-3.933445120e+08|6.032062464e+09|8.590880000e+09|4.743094272e+09|-7.698612000e+07|9.563174912e+09|3.717349121e+03|3.754125732e+03|3.778075195e+03|3.756261475e+03|3.716890381e+03|3.795633789e+03
1.932775580e+06|1.932903535e+06|1.920538332e+06|1.922841567e+06|3.752970500e+06|3.824409625e+06|3.953063938e+06|3.866749750e+06|3.737661750e+06|3.995837000e+06|3.316378125e+05|5.881587500e+05|8.045951875e+05|5.888578125e+05|3.336459688e+05|8.440696875e+05|2.973673891e+03|3.001957757e+03|3.057521239e+03|3.014397836e+03|2.967038068e+03|3.061757604e+03|1.535893819e+02|1.818506036e+02|2.374861497e+02|1.943292771e+02|1.469742529e+02|2.416843013e+02|2.817511475e+03|2.863194056e+03|2.939140068e+03|2.873723445e+03|2.807538899e+03|2.939907991e+03|2.468414593e+02|3.431829463e+02|4.552848603e+02|3.507058031e+02|2.417472773e+02|4.596643288e+02|2.187612211e+10|2.254972928e+10|2.325710950e+10|2.271386829e+10|2.177163264e+10|2.365609779e+10|-1.802235904e+09|4.118837760e+09|8.020364800e+09|3.378080000e+09|-1.685459328e+09|8.441619968e+09|3.700474304e+03|3.722748535e+03|3.742576782e+03|3.722667725e+03|3.697896240e+03|3.747438965e+03
1.937926783e+06|1.938044825e+06|1.927442049e+06|1.930653319e+06|3.738267312e+06|3.879579625e+06|4.030305562e+06|3.904124250e+06|3.755316500e+06|4.052931750e+06|3.534072500e+05|5.846827500e+05|8.591401875e+05|6.183166250e+05|3.632437188e+05|8.733894375e+05|2.980295220e+03|3.025512052e+03|3.075990609e+03|3.032896326e+03|2.980188308e+03|3.085604344e+03|1.602643258e+02|2.054587733e+02|2.559022627e+02|2.128281526e+02|1.601273249e+02|2.655289804e+02|2.818776037e+03|2.900342043e+03|2.958033202e+03|2.890347146e+03|2.823757399e+03|2.956936892e+03|2.748504694e+02|3.554369032e+02|4.642870624e+02|3.648168310e+02|2.607313743e+02|4.689022876e+02|2.161388237e+10|2.245866291e+10|2.321622528e+10|2.249867674e+10|2.149398323e+10|2.350337434e+10|-2.057099264e+09|-2.982594560e+08|7.565895936e+09|2.959021056e+09|-2.181551616e+09|8.099594240e+09|3.692676636e+03|3.710529053e+03|3.734943176e+03|3.712764404e+03|3.686893555e+03|3.738635010e+03
1.942567090e+06|1.942611299e+06|1.932363510e+06|1.935620943e+06|3.789084062e+06|3.948543625e+06|4.075641312e+06|3.944551250e+06|3.786581000e+06|4.102521500e+06|4.778890625e+05|7.491503750e+05|9.666958750e+05|7.328539375e+05|4.639585938e+05|1.001749250e+06|3.000084804e+03|3.059435180e+03|3.097928264e+03|3.054616939e+03|2.996584088e+03|3.112649790e+03|1.799564761e+02|2.393697449e+02|2.778321368e+02|2.345495079e+02|1.765198612e+02|2.925791546e+02|2.854734548e+03|2.921024571e+03|2.959947874e+03|2.902084593e+03|2.842928205e+03|2.961240981e+03|3.166839656e+02|4.179149460e+02|4.922969360e+02|4.085197035e+02|3.014604720e+02|5.155789349e+02|2.119193754e+10|2.217809101e+10|2.293339750e+10|2.217598566e+10|2.115985818e+10|2.319211110e+10|-1.330381312e+09|5.903412736e+09|8.429264640e+09|4.822290944e+09|-4.941828000e+07|9.694001152e+09|3.680518005e+03|3.697049072e+03|3.723883728e+03|3.698749756e+03|3.672775391e+03|3.724723389e+03
1.947516456e+06|1.947480326e+06|1.936974157e+06|1.939785139e+06|3.852784438e+06|3.969233750e+06|4.090857562e+06|3.983774000e+06|3.838060250e+06|4.129487750e+06|6.435056250e+05|8.615062500e+05|1.009915938e+06|8.271920000e+05|5.957212500e+05|1.058662750e+06|3.017764052e+03|3.063423752e+03|3.104950651e+03|3.068645175e+03|3.012710426e+03|3.124579924e+03|1.976026629e+02|2.433537753e+02|2.848272412e+02|2.485769569e+02|1.926442430e+02|3.045096709e+02|2.893282280e+03|2.931480723e+03|2.957296573e+03|2.917279260e+03|2.873311288e+03|2.961247232e+03|3.712978288e+02|4.725505923e+02|5.165057066e+02|4.442395017e+02|3.614850935e+02|5.269939099e+02|2.168750643e+10|2.221455258e+10|2.277877197e+10|2.229178368e+10|2.147509248e+10|2.310847898e+10|5.164677120e+09|7.749088256e+09|9.694015232e+09|6.451570688e+09|2.497666816e+09|1.040547430e+10|3.683012207e+03|3.702027344e+03|3.718915405e+03|3.698060547e+03|3.673864258e+03|3.722256836e+03
1.953067552e+06|1.952946465e+06|1.943427960e+06|1.945630344e+06|3.847130500e+06|3.970686125e+06|4.127452688e+06|4.001522500e+06|3.835265500e+06|4.167779500e+06|7.169132500e+05|8.847748750e+05|1.075141125e+06|8.534332500e+05|6.047100625e+05|1.102156750e+06|3.033651561e+03|3.065259453e+03|3.133131011e+03|3.084170711e+03|3.023873834e+03|3.144467589e+03|2.136062846e+02|2.451828528e+02|3.131126547e+02|2.641066073e+02|2.038069361e+02|3.244062785e+02|2.888415567e+03|2.927074470e+03|2.954262260e+03|2.915191464e+03|2.870984385e+03|2.959398542e+03|4.024524482e+02|4.651202064e+02|5.174640707e+02|4.482036363e+02|3.588560989e+02|5.375511737e+02|2.083626906e+10|2.175499981e+10|2.247594701e+10|2.179076915e+10|2.076210586e+10|2.281943245e+10|4.652054528e+09|6.883412992e+09|9.656312320e+09|6.282612736e+09|1.833242112e+09|1.073198285e+10|3.659658630e+03|3.682841797e+03|3.698758484e+03|3.680599609e+03|3.655371826e+03|3.705826904e+03
1.962718864e+06|1.962260667e+06|1.952565988e+06|1.954844492e+06|3.821513938e+06|3.902707500e+06|4.049751125e+06|3.951334750e+06|3.800078750e+06|4.102591750e+06|4.953223750e+05|7.433328750e+05|9.299960625e+05|7.470671250e+05|4.932614688e+05|1.000872750e+06|3.021144007e+03|3.048981327e+03|3.111815467e+03|3.073216628e+03|3.015337433e+03|3.131095824e+03|2.010844252e+02|2.289010167e+02|2.918197962e+02|2.531509244e+02|1.952679588e+02|3.110338900e+02|2.871597454e+03|2.909741044e+03|2.927778631e+03|2.897344519e+03|2.859580356e+03|2.935108682e+03|3.250588668e+02|4.166064204e+02|4.732546331e+02|4.064032709e+02|3.223870624e+02|4.904194795e+02|2.061616282e+10|2.118834790e+10|2.186368410e+10|2.121810534e+10|2.018888499e+10|2.224732570e+10|-2.281264640e+09|5.319558144e+09|7.835959296e+09|4.062583808e+09|-9.425132160e+08|9.067680768e+09|3.644129822e+03|3.669472046e+03|3.697157043e+03|3.669203369e+03|3.637089355e+03|3.701317871e+03
1.985656447e+06|1.985928679e+06|1.976908567e+06|1.976935558e+06|3.560407188e+06|3.790635125e+06|4.078901562e+06|3.811496000e+06|3.546054000e+06|4.076937250e+06|3.163168750e+05|5.700783750e+05|8.337708750e+05|5.992301875e+05|3.115764375e+05|8.868838125e+05|2.960566760e+03|3.043409200e+03|3.135971248e+03|3.053598068e+03|2.962546871e+03|3.144649266e+03|1.405308476e+02|2.233405748e+02|3.159401117e+02|2.335218149e+02|1.424689416e+02|3.245746883e+02|2.738933752e+03|2.837256112e+03|2.910615592e+03|2.810965763e+03|2.721433034e+03|2.900498492e+03|2.113266557e+02|3.231371478e+02|3.985089712e+02|3.124657509e+02|2.117488310e+02|4.131826708e+02|1.675308749e+10|1.905075610e+10|2.070421197e+10|1.887188378e+10|1.690540544e+10|2.083836314e+10|-3.375674368e+09|1.607111168e+09|5.405267712e+09|1.345089280e+09|-2.919223552e+09|5.609401856e+09|3.568019714e+03|3.610656738e+03|3.650400574e+03|3.610571777e+03|3.569178223e+03|3.651965332e+03
2.010077897e+06|2.009954765e+06|2.000161346e+06|2.000324349e+06|3.419330562e+06|3.539871250e+06|3.653895688e+06|3.587773750e+06|3.425981000e+06|3.749566500e+06|1.154264375e+05|3.238183750e+05|5.177175000e+05|3.581468125e+05|1.175529766e+05|5.987405625e+05|2.936604699e+03|2.963347774e+03|3.025007163e+03|2.991733762e+03|2.937658800e+03|3.045808723e+03|1.164847754e+02|1.433251856e+02|2.050070141e+02|1.716683606e+02|1.175887728e+02|2.257479485e+02|2.657297168e+03|2.733651531e+03|2.780962870e+03|2.729181443e+03|2.663335416e+03|2.795027469e+03|1.425458823e+02|2.055451271e+02|3.056805450e+02|2.243382621e+02|1.323963716e+02|3.162801526e+02|1.560997274e+10|1.611634842e+10|1.813343027e+10|1.691915469e+10|1.557121229e+10|1.826709914e+10|-7.571606272e+09|5.550940160e+08|2.614620416e+09|-1.082616064e+09|-5.517918208e+09|3.352685568e+09|3.547948608e+03|3.561621460e+03|3.606062622e+03|3.575923828e+03|3.540765381e+03|3.611081543e+03
