#RRR|P25fit|P50fit|P75fit|P25model|P50model|P75model
1.627836146e+05|4.511889536e+10|4.537620889e+10|4.571091202e+10|0.000000|0.000000|0.000000
2.473646944e+05|4.488254448e+10|4.515573515e+10|4.543706882e+10|0.000000|0.000000|0.000000
2.942242142e+05|4.468692959e+10|4.496439475e+10|4.522462785e+10|0.000000|0.000000|0.000000
3.297149138e+05|4.450905612e+10|4.478793449e+10|4.503553335e+10|0.000000|0.000000|0.000000
3.583878710e+05|4.434703047e+10|4.462603236e+10|4.486527179e+10|0.000000|0.000000|0.000000
3.859795305e+05|4.417591303e+10|4.445426315e+10|4.468684756e+10|0.000000|0.000000|0.000000
4.108655894e+05|4.400897221e+10|4.428615066e+10|4.451378150e+10|0.000000|0.000000|0.000000
4.338352597e+05|4.384441966e+10|4.412007481e+10|4.434392731e+10|0.000000|0.000000|0.000000
4.569592779e+05|4.366873613e+10|4.394247363e+10|4.416321492e+10|0.000000|0.000000|0.000000
4.772489281e+05|4.350639489e+10|4.377816602e+10|4.399669299e+10|0.000000|0.000000|0.000000
4.976008964e+05|4.333594460e+10|4.360550673e+10|4.382224796e+10|0.000000|0.000000|0.000000
5.174674711e+05|4.316228074e+10|4.342948492e+10|4.364486114e+10|0.000000|0.000000|0.000000
5.365682557e+05|4.298859515e+10|4.325336863e+10|4.346774785e+10|0.000000|0.000000|0.000000
5.534970962e+05|4.282920432e+10|4.309170782e+10|4.330543478e+10|0.000000|0.000000|0.000000
5.710474753e+05|4.265859449e+10|4.291864710e+10|4.313190300e+10|0.000000|0.000000|0.000000
5.888303476e+05|4.248019598e+10|4.273768114e+10|4.295064923e+10|0.000000|0.000000|0.000000
6.062430237e+05|4.230016127e+10|4.255506705e+10|4.276791629e+10|0.000000|0.000000|0.000000
6.208462624e+05|4.214512233e+10|4.239782688e+10|4.261068583e+10|0.000000|0.000000|0.000000
6.372387061e+05|4.196671502e+10|4.221691963e+10|4.242989350e+10|0.000000|0.000000|0.000000
6.529541009e+05|4.179136217e+10|4.203915290e+10|4.225232682e+10|0.000000|0.000000|0.000000
6.680828416e+05|4.161859138e+10|4.186405319e+10|4.207749097e+10|0.000000|0.000000|0.000000
6.831632057e+05|4.144252708e+10|4.168567242e+10|4.189943229e+10|0.000000|0.000000|0.000000
6.963467956e+05|4.128547994e+10|4.152661192e+10|4.174069409e+10|0.000000|0.000000|0.000000
7.107247147e+05|4.111089740e+10|4.134985402e+10|4.156432355e+10|0.000000|0.000000|0.000000
7.249951602e+05|4.093422488e+10|4.117105128e+10|4.138593533e+10|0.000000|0.000000|0.000000
7.398324748e+05|4.074696702e+10|4.098161765e+10|4.119695731e+10|0.000000|0.000000|0.000000
7.517911414e+05|4.059340598e+10|4.082633785e+10|4.104205844e+10|0.000000|0.000000|0.000000
7.640478415e+05|4.043358954e+10|4.066479724e+10|4.088091726e+10|0.000000|0.000000|0.000000
7.776150081e+05|4.025383159e+10|4.048318073e+10|4.069974969e+10|0.000000|0.000000|0.000000
7.907279403e+05|4.007725426e+10|4.030486282e+10|4.052186889e+10|0.000000|0.000000|0.000000
8.043516318e+05|3.989085747e+10|4.011672192e+10|4.033418205e+10|0.000000|0.000000|0.000000
8.159360863e+05|3.973001233e+10|3.995444997e+10|4.017229382e+10|0.000000|0.000000|0.000000
8.277580367e+05|3.956365249e+10|3.978669156e+10|4.000492293e+10|0.000000|0.000000|0.000000
8.392026837e+05|3.940047592e+10|3.962222020e+10|3.984082138e+10|0.000000|0.000000|0.000000
