#RRR|Lz25|Lz50|Lz75|Lzmean|
1.623372337e+05|4.659030313e+24|1.069088381e+25|1.754461151e+25|1.135610935e+25|1.135610935e+27
2.468856249e+05|1.668230949e+25|2.790849381e+25|3.480550026e+25|2.588556729e+25|2.588556729e+27
2.942596896e+05|2.047391410e+25|3.858518791e+25|4.869405655e+25|3.534058631e+25|3.534058631e+27
3.292846652e+05|2.872307304e+25|5.250540340e+25|6.169693866e+25|4.491592875e+25|4.491592875e+27
3.572569574e+05|3.742591438e+25|5.891076116e+25|7.103812152e+25|5.313699361e+25|5.313699361e+27
3.830717396e+05|3.782277742e+25|6.664430671e+25|8.306881889e+25|6.127891487e+25|6.127891487e+27
4.044972855e+05|4.842269571e+25|7.635367908e+25|9.339621288e+25|6.824344331e+25|6.824344331e+27
4.252802603e+05|4.478559326e+25|8.908726466e+25|1.069365677e+26|7.720943297e+25|7.720943297e+27
4.419624866e+05|5.265053993e+25|8.667535236e+25|1.120372386e+26|7.919016421e+25|7.919016421e+27
4.595837134e+05|5.678898244e+25|9.384384729e+25|1.208668753e+26|8.775245950e+25|8.775245950e+27
4.757968222e+05|5.770117004e+25|1.026219749e+26|1.297380392e+26|9.150940907e+25|9.150940907e+27
4.896601224e+05|7.729084961e+25|1.271144264e+26|1.449169695e+26|1.085225633e+26|1.085225633e+28
5.031417411e+05|6.171505041e+25|1.093187424e+26|1.420953002e+26|9.815771771e+25|9.815771771e+27
5.167316804e+05|6.993345331e+25|1.175409193e+26|1.522767444e+26|1.077381553e+26|1.077381553e+28
5.300525172e+05|7.760646716e+25|1.280012305e+26|1.603139457e+26|1.147207316e+26|1.147207316e+28
5.408863890e+05|8.776037702e+25|1.472857393e+26|1.706163004e+26|1.278690343e+26|1.278690343e+28
5.524962812e+05|8.315478498e+25|1.452603469e+26|1.798829594e+26|1.276605696e+26|1.276605696e+28
5.639470999e+05|8.627458432e+25|1.446158233e+26|1.776556329e+26|1.282906338e+26|1.282906338e+28
5.741980194e+05|1.031505644e+26|1.667716384e+26|1.928740535e+26|1.449775552e+26|1.449775552e+28
5.847703783e+05|7.989644583e+25|1.429298952e+26|1.890440260e+26|1.321116315e+26|1.321116315e+28
5.935357621e+05|8.417528773e+25|1.684270692e+26|2.033580634e+26|1.415982495e+26|1.415982495e+28
6.039435791e+05|1.157609868e+26|1.654804921e+26|2.105858085e+26|1.538675078e+26|1.538675078e+28
6.137483083e+05|1.008803595e+26|1.775360923e+26|2.193759118e+26|1.572651865e+26|1.572651865e+28
6.223702148e+05|9.799133448e+25|1.887887862e+26|2.265155275e+26|1.621822025e+26|1.621822025e+28
6.304482952e+05|1.018070361e+26|1.814526046e+26|2.286788224e+26|1.600593047e+26|1.600593047e+28
6.388439705e+05|1.352317832e+26|2.002593629e+26|2.375336015e+26|1.765802387e+26|1.765802387e+28
6.473304879e+05|1.157577913e+26|1.820511334e+26|2.441430547e+26|1.730030075e+26|1.730030075e+28
