#R_planet
3.416602056e+06
#RRR|RRR50|RR|RR50|U25|U50|U75|Umean|U25mean|U75mean|deltaU25|deltaU50|deltaU75|deltaUmean|deltaU25mean|deltaU75mean|S25|S50|S75|Smean|S25mean|S75mean|deltaS25|deltaS50|delatS75|deltaSmean|deltaS25mean|deltaS75mean|T25|T50|T75|Tmean|T25mean|T75mean|deltaT25|deltaT50|deltaT75|deltaTmean|deltaT25|deltaT75|P25|P50|P75|Pmean|P25mean|P75mean|deltaP25|deltaP50|deltaP75|deltaPmean|deltaP25mean|deltaP75mean|rho25|rho50|rho75|rhomean|rho25mean|rho75mean
1.849215315e+06|1.851194699e+06|1.838112453e+06|1.837543621e+06|3.750900312e+06|3.792543250e+06|3.865560812e+06|3.838777250e+06|3.748206500e+06|3.929347000e+06|3.017182500e+05|3.714743750e+05|6.473093750e+05|4.883651250e+05|2.988704062e+05|6.778598125e+05|2.909074149e+03|2.923142355e+03|2.936729849e+03|2.925993195e+03|2.908435096e+03|2.943551293e+03|8.905620776e+01|1.030672317e+02|1.166809622e+02|1.059243134e+02|8.837661139e+01|1.234720155e+02|2.762424942e+03|2.786982233e+03|2.818911273e+03|2.801876937e+03|2.760502529e+03|2.843251346e+03|1.771519043e+02|2.147015996e+02|3.076229462e+02|2.501512896e+02|1.750356338e+02|3.252669454e+02|2.622113792e+10|2.660225229e+10|2.754413210e+10|2.746993664e+10|2.606974976e+10|2.887012147e+10|1.884450816e+09|2.866701312e+09|1.091112141e+10|6.083671552e+09|1.789950336e+09|1.037739213e+10|3.826869263e+03|3.833816406e+03|3.853117004e+03|3.850915527e+03|3.822068115e+03|3.879763184e+03
1.868683252e+06|1.868349439e+06|1.860336617e+06|1.862078238e+06|3.747104688e+06|3.785893875e+06|3.921765438e+06|3.864565750e+06|3.739567000e+06|3.989564750e+06|2.935790625e+05|4.767747500e+05|6.801423750e+05|5.309741875e+05|3.021602812e+05|7.597881875e+05|2.912361640e+03|2.927938871e+03|2.969030835e+03|2.954423148e+03|2.911701180e+03|2.997145117e+03|9.231809708e+01|1.077768891e+02|1.489917237e+02|1.343574638e+02|9.163389642e+01|1.770810312e+02|2.762290395e+03|2.789720997e+03|2.876461093e+03|2.834072176e+03|2.760079205e+03|2.908065147e+03|1.722548161e+02|2.729901881e+02|3.516293280e+02|2.884489412e+02|1.820953961e+02|3.948024863e+02|2.560257997e+10|2.610814259e+10|2.661440870e+10|2.634275840e+10|2.521410355e+10|2.747141734e+10|1.630726656e+09|3.171009536e+09|1.057082650e+10|5.414127616e+09|1.331260928e+09|9.496993792e+09|3.802877808e+03|3.820555298e+03|3.833239563e+03|3.820463135e+03|3.794265869e+03|3.846659912e+03
1.881543437e+06|1.881637090e+06|1.871333824e+06|1.873672053e+06|3.730014812e+06|3.829205125e+06|3.959825250e+06|3.865948750e+06|3.731544750e+06|4.000353000e+06|2.962843750e+05|5.914465000e+05|8.088040625e+05|5.903515000e+05|3.399048125e+05|8.407981875e+05|2.925968945e+03|2.966732890e+03|3.029254369e+03|2.982717723e+03|2.927845684e+03|3.037589762e+03|1.058796537e+02|1.466311526e+02|2.092174147e+02|1.626468671e+02|1.077755862e+02|2.175181479e+02|2.771872859e+03|2.827564735e+03|2.941867142e+03|2.857033818e+03|2.772825167e+03|2.941242469e+03|1.912051723e+02|3.390250012e+02|4.503388685e+02|3.365072785e+02|2.128382382e+02|4.601763188e+02|2.378351309e+10|2.441068646e+10|2.519967949e+10|2.464769434e+10|2.367251456e+10|2.562286387e+10|-7.071436800e+07|4.307731456e+09|1.022554675e+10|5.429203968e+09|9.553690400e+07|1.076287078e+10|3.753960754e+03|3.769563110e+03|3.794091614e+03|3.775874756e+03|3.749198975e+03|3.802551270e+03
1.886852481e+06|1.886891257e+06|1.878403103e+06|1.880086192e+06|3.765429625e+06|3.900855500e+06|4.004102562e+06|3.901690250e+06|3.756141750e+06|4.047238000e+06|4.336940000e+05|6.513076250e+05|8.813865625e+05|6.607521250e+05|4.157031875e+05|9.058010625e+05|2.939034133e+03|3.005624169e+03|3.055658497e+03|3.007940335e+03|2.950454035e+03|3.065426635e+03|1.189888122e+02|1.855279927e+02|2.355782672e+02|1.878713846e+02|1.303897658e+02|2.453530034e+02|2.789093029e+03|2.896232003e+03|2.956500000e+03|2.879851085e+03|2.800022673e+03|2.959679497e+03|2.694009746e+02|3.778264023e+02|4.810346922e+02|3.723487247e+02|2.588169738e+02|4.858804756e+02|2.301971968e+10|2.366015078e+10|2.472718080e+10|2.398022246e+10|2.297466880e+10|2.498576998e+10|-5.222840320e+08|7.632784384e+09|9.830764032e+09|5.719206912e+09|6.476313600e+08|1.079078195e+10|3.726236572e+03|3.752932495e+03|3.773298401e+03|3.754284668e+03|3.725296143e+03|3.783272461e+03
1.891192389e+06|1.891306371e+06|1.879501549e+06|1.881924064e+06|3.760828750e+06|3.903103500e+06|4.031361500e+06|3.909458500e+06|3.763171000e+06|4.055746500e+06|4.576371250e+05|7.493742500e+05|9.348323750e+05|6.930279375e+05|4.450925625e+05|9.409634375e+05|2.949069116e+03|3.003742194e+03|3.064524681e+03|3.013267710e+03|2.953208943e+03|3.073326476e+03|1.289739401e+02|1.836424999e+02|2.444408380e+02|1.931976682e+02|1.331362755e+02|2.532590608e+02|2.804513819e+03|2.895587795e+03|2.955306913e+03|2.882232189e+03|2.805736939e+03|2.958727438e+03|2.914718293e+02|3.873457293e+02|4.936199305e+02|3.846870382e+02|2.665178414e+02|5.028562350e+02|2.289742490e+10|2.376421581e+10|2.454050355e+10|2.385262182e+10|2.280579072e+10|2.489945088e+10|-2.426531840e+08|8.265457152e+09|9.918862592e+09|6.294767104e+09|1.633670272e+09|1.095586304e+10|3.722176941e+03|3.751012817e+03|3.773573853e+03|3.749748535e+03|3.717523193e+03|3.781973633e+03
1.895462450e+06|1.895201796e+06|1.883001497e+06|1.884084996e+06|3.732887500e+06|3.853222875e+06|3.965757875e+06|3.872614000e+06|3.737764250e+06|4.007464250e+06|3.255304375e+05|5.731251250e+05|7.982338750e+05|5.931548125e+05|3.539257500e+05|8.323838125e+05|2.945702411e+03|2.994053806e+03|3.046445897e+03|3.004523438e+03|2.946156816e+03|3.062890061e+03|1.256665464e+02|1.739894089e+02|2.263937586e+02|1.844571877e+02|1.260889127e+02|2.428254627e+02|2.784924354e+03|2.863892596e+03|2.938034917e+03|2.864351454e+03|2.790232108e+03|2.938470800e+03|2.331507065e+02|3.356546561e+02|4.416851366e+02|3.416428319e+02|2.349499084e+02|4.483357554e+02|2.269578598e+10|2.337294029e+10|2.419432858e+10|2.348976947e+10|2.256412262e+10|2.441542042e+10|-9.679395840e+08|1.167946752e+09|8.635185664e+09|4.140226560e+09|-1.067984640e+09|9.348438016e+09|3.720067078e+03|3.742857910e+03|3.763888916e+03|3.743069580e+03|3.714165283e+03|3.771974365e+03
1.901723229e+06|1.901799753e+06|1.891368690e+06|1.893572897e+06|3.715905562e+06|3.784684250e+06|4.016499250e+06|3.865565750e+06|3.714658500e+06|4.016472750e+06|2.855015625e+05|5.727931250e+05|9.348030000e+05|6.178285625e+05|3.242356250e+05|9.114215000e+05|2.936074271e+03|2.976541000e+03|3.063187419e+03|2.999658955e+03|2.936979903e+03|3.062338007e+03|1.159783842e+02|1.565096051e+02|2.431727290e+02|1.795929421e+02|1.169121019e+02|2.422737824e+02|2.775463357e+03|2.829576713e+03|2.963175052e+03|2.857968999e+03|2.774439039e+03|2.941498959e+03|1.954622170e+02|3.125209871e+02|5.054825354e+02|3.531258515e+02|2.144004395e+02|4.918512636e+02|2.265451162e+10|2.378387763e+10|2.459987763e+10|2.360730214e+10|2.246842573e+10|2.474617856e+10|-4.724771840e+08|6.162152960e+09|9.717645312e+09|5.334949376e+09|-5.201426880e+08|1.119004262e+10|3.717407959e+03|3.748003906e+03|3.780241211e+03|3.746642578e+03|3.713051758e+03|3.780232910e+03
1.912114655e+06|1.911726215e+06|1.901419770e+06|1.902561919e+06|3.732545312e+06|3.917822375e+06|4.109826062e+06|3.931833500e+06|3.740131750e+06|4.123536000e+06|3.813767500e+05|7.106163750e+05|1.081058500e+06|7.366156875e+05|4.051797188e+05|1.068051500e+06|2.961279273e+03|3.036868970e+03|3.097659410e+03|3.032249396e+03|2.963790229e+03|3.100708563e+03|1.411626448e+02|2.168506141e+02|2.775981331e+02|2.121814487e+02|1.437219408e+02|2.806409567e+02|2.804347916e+03|2.919694103e+03|2.981406254e+03|2.892419678e+03|2.803365995e+03|2.981473361e+03|2.698602643e+02|4.054997413e+02|5.606613733e+02|4.075433110e+02|2.583912144e+02|5.566954076e+02|2.249226752e+10|2.347218842e+10|2.411151002e+10|2.321956045e+10|2.214615859e+10|2.429296230e+10|-4.317818880e+08|7.975947776e+09|1.151135693e+10|6.404535808e+09|8.572426880e+08|1.195182797e+10|3.708797729e+03|3.735495239e+03|3.755831116e+03|3.729635742e+03|3.700007080e+03|3.759263428e+03
1.942121468e+06|1.943985460e+06|1.932374468e+06|1.930858251e+06|3.464665625e+06|3.575875000e+06|3.858764562e+06|3.683091000e+06|3.467937500e+06|3.898244500e+06|2.405888125e+05|3.509282500e+05|6.910495625e+05|4.758504688e+05|1.803135156e+05|7.713875000e+05|2.926721507e+03|2.950078325e+03|3.058743471e+03|2.989440379e+03|2.926243686e+03|3.052637072e+03|1.066526227e+02|1.299918224e+02|2.387064113e+02|1.693761311e+02|1.061745214e+02|2.325777408e+02|2.677273304e+03|2.725112355e+03|2.855018122e+03|2.772088789e+03|2.675598479e+03|2.868579100e+03|1.657748104e+02|2.213556998e+02|3.736128414e+02|2.784448601e+02|1.501357811e+02|4.067539392e+02|1.721771520e+10|1.939386880e+10|2.182250906e+10|1.956758118e+10|1.751867392e+10|2.161648640e+10|-3.515043840e+09|2.142564352e+09|6.307869184e+09|2.279593472e+09|-2.804299264e+09|7.363486208e+09|3.599581421e+03|3.643703247e+03|3.688116577e+03|3.646766846e+03|3.602739014e+03|3.690795410e+03
1.966714966e+06|1.967178617e+06|1.957774974e+06|1.959001096e+06|3.414765500e+06|3.447337875e+06|3.549896062e+06|3.521284750e+06|3.410028750e+06|3.632540750e+06|1.007953750e+05|2.966055000e+05|3.585405000e+05|3.050213750e+05|1.307460234e+05|4.792966875e+05|2.918031631e+03|2.933021609e+03|2.964076369e+03|2.952337784e+03|2.916168247e+03|2.988507322e+03|9.796493561e+01|1.129299114e+02|1.439941634e+02|1.322720144e+02|9.610189365e+01|1.684421352e+02|2.645833196e+03|2.670112025e+03|2.737089726e+03|2.702791118e+03|2.644832075e+03|2.760750161e+03|1.440519814e+02|1.814004316e+02|2.269265855e+02|2.028385609e+02|1.271622875e+02|2.785148343e+02|1.698906138e+10|1.720893133e+10|1.747068314e+10|1.769772851e+10|1.683165798e+10|1.856379699e+10|-6.251177472e+09|1.695512064e+09|2.408664832e+09|6.212210800e+07|-3.829801984e+09|3.954046720e+09|3.594860291e+03|3.600716064e+03|3.606849365e+03|3.607584717e+03|3.586779297e+03|3.628390381e+03
